類別,里別,防空疏散避難設施地址,地下層數位址,可容納人數
捷運龍山寺站,富民里,臺北市萬華區西園路一段153號,1、2,55225.0
捷運東門站,龍圖里,臺北市大安區信義路二段166號,1、2、3、4,22034.0
捷運大安森林公園站,龍門里,臺北市大安區信義路三段100號,1、2,24220.0
捷運大安站,住安里,臺北市大安區信義路四段6號,1、2,21690.0
捷運忠孝復興站,光武里,臺北市大安區忠孝東路四段47號,1、2、3、4,16658.0
捷運信義安和站,義安里,臺北市大安區信義路四段212-1號,1、2,15240.0
捷運忠孝敦化站,建倫里,臺北市大安區忠孝東路四段182號,1、2、3,9880.0
捷運忠孝新生站,民炤里,臺北市大安區新生南路一段67號,1、2、3,32534.0
捷運西門站,建國里,臺北市中正區寶慶路32-1號,1、2、3,34816.0
捷運台北車站,黎明里,臺北市中正區忠孝西路一段49號,1、2、3、4,41366.0
捷運台大醫院站,黎明里,臺北市中正區公園路52號,1、2,6421.0
捷運善導寺站,幸福里,臺北市中正區忠孝東路一段58號,1、2,19817.0
捷運古亭站,頂東里,臺北市中正區羅斯福路二段164-1號,1、2、3,15852.0
捷運中正紀念堂站,龍福里,臺北市中正區羅斯福路一段8之1號,1、2、3,15824.0
捷運小南門站,南門里,臺北市中正區愛國西路22號,1、2,11529.0
捷運台電大樓站,林興里,臺北市中正區羅斯福路三段126之5號,1、2,11548.0
捷運公館站,水源里,臺北市中正區羅斯福路四段74號,1、2,14500.0
捷運台北101/世貿站,景新里,臺北市信義區信義路五段20號,1、2,17813.0
捷運象山站,三犁里,臺北市信義區信義路五段152號,1、2,15256.0
捷運永春站,富台里,臺北市信義區忠孝東路五段455號,1、2,12742.0
捷運市政府站,興雅里,臺北市信義區忠孝東路五段2號,1、2,12453.0
捷運國父紀念館站,興隆里,臺北市信義區忠孝東路四段400號,1、2,8625.0
