類別,電腦編號,村里別,經度緯度,地下樓層數,可容納人數,轄管分局,停車場坡道,備註
公寓,A0202007,龜山里,"24.999236, 121.345673",1,1689人,龜山分局,,
大樓,A0203008,龜山里,"25.000467,121.346656",2,1284人,龜山分局,O,
大樓,A0204009,龜山里,"25.0007351, 121.3464126",1,960人,龜山分局,,
大樓,A0205010,龜山里,"25.001014,121.347083",1,234人,龜山分局,,
大樓,A0206011,龜山里,"25.000737,121.346405",1,1883人,龜山分局,,
公寓,A2101110,龜山里,"24.999030,121.338264",1,75人,龜山分局,,
公寓,A0401013,新嶺里,"25.003640,121.3660524",1,813人,龜山分局,,
公寓,A0503016,楓樹里,"25.001858,121.3427359",1,4868人,龜山分局,,
大樓,A0504017,楓樹里,"25.007180,121.342508",1,622人,龜山分局,,
公寓,A0709027,兔坑里,"24.983501,121.345706",1,280人,龜山分局,,
公寓,A0716034,兔坑里,"24.981207,121.344984",1,65人,龜山分局,,
公寓,A0717035,兔坑里,"24.981386,121.345661",1,200人,龜山分局,,
公寓,A0720038,福源里,"24.982157,121.354304",1,40人,龜山分局,,
大樓,A0801039,陸光里,"24.996642,121.331061",1,6385人,龜山分局,O,
大樓,A0901040,陸光里,"24.995674,121.330892",2,4684人,龜山分局,O,
大樓,A0902041,陸光里,"24.995417,121.331616",2,2242人,龜山分局,,
公寓,A1001042,嶺頂里,"25.002057,121.350252",1,298人,龜山分局,,
公寓,A1017058,嶺頂里,"24.997648,121.357237",1,108人,龜山分局,,
公寓,A1021062,嶺頂里,"25.001089,121.354696",1,681人,龜山分局,,
公寓,A1025066,兔坑里,"24.996998,121.358671",1,201人,龜山分局,,
公寓,A1028069,嶺頂里,"24.997149,121.357868",1,190人,龜山分局,,
大樓,A1030071,嶺頂里,"25.003087,121.350425",1,2006人,龜山分局,O,
公寓,A1032073,嶺頂里,"24.999607,121.355466",1,766人,龜山分局,,
大樓,A1304081,大同里,"24.991543,121.343424",1,992人,龜山分局,O,
公寓,A1305082,大同里,"24.991543,121.346843",1,1146人,龜山分局,O,
大樓,A1306083,大同里,"24.991399,121.344568",1,1037人,龜山分局,,
公寓,A1402085,大同里,"24.987748,121.348084",1,100人,龜山分局,,
公寓,A1403086,大同里,"24.987067,121.351252",1,157人,龜山分局,,
公寓,A1409092,大同里,"24.990753,121.341764",1,202人,龜山分局,,
