類別,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註
婦幼館,三民里,基隆市安樂區麥金路482之1號,"25.1259849,121.7194203",B01,1104,第四分局,
公寓,干城里,基隆市安樂區安一路348之22號,"25.1337973,121.729324",B01,95,第四分局,
公寓,干城里,基隆市安樂區安一路348之22號,"25.1337979,121.7292814",B01,95,第四分局,
公寓,干城里,基隆市安樂區安一路313號,"25.133859,121.7284809",B01,96,第四分局,
公寓,干城里,基隆市安樂區安一路370巷22號,"25.1350084,121.7278226",B01,376,第四分局,
安樂高中,干城里,基隆市安樂區安一路360號,"25.1344851,121.7301759",B01,57,第四分局,
公寓,干城里,基隆市安樂區安一路329號,"25.1342058,121.7291296",B02,220,第四分局,
仁愛之家養護大樓,干城里,基隆市安樂區安一路370巷1之5號,"25.1342554,121.7274795",B01,1164,第四分局,
公寓,中山里,基隆市中山區中山一路207號,"25.1341736,121.7393405",B01,59,第四分局,
公寓,中山里,基隆市中山區中山一路155號,"25.1330971,121.7386743",B01,57,第四分局,
健康屋,中山里,基隆市中山區中山一路113巷10號,"25.1325675,121.7380193",B01,221,第四分局,
愛米爾幼兒園,中和里,基隆市中山區中和路70巷1號,"25.1473577,121.7196226",B01,261,第四分局,
中和國小國風樓,中和里,基隆市中山區中和路64號,"25.1466285,121.7202006",B01,209,第四分局,
中和國小國風樓,中和里,基隆市中山區中和路64號,"25.1466021,121.7201654",B01,137,第四分局,
兩承菸酒行,中和里,基隆市中山區中和路10號,"25.1438153,121.7248151",01,131,第四分局,
臻璽,中和里,基隆市中山區中和路83號,"25.1464357,121.7208862",B03,1094,第四分局,
聯同鐵材,中崙里,基隆市安樂區武訓街20號,"25.1433161,121.7005354",B01,66,第四分局,
海灣國際,中崙里,基隆市安樂區武訓街16號,"25.1427385,121.6999095",B01,31,第四分局,
敦南科技,中崙里,基隆市安樂區武訓街28號,"25.1428231,121.7014806",B01,578,第四分局,
馗佑鹽燈,中崙里,基隆市安樂區武訓街47號,"25.1468588,121.6997613",B01,34,第四分局,
安心工程行,中崙里,基隆市安樂區武訓街35號,"25.1446704,121.7008773",B01,30,第四分局,
嘉澤端子,中崙里,基隆市安樂區武訓街15號,"25.1432049,121.6988066",B01,40,第四分局,
海灣國際,中崙里,基隆市安樂區武訓街45號,"25.1462588,121.7000134",B01,127,第四分局,
聯華食品,中崙里,基隆市安樂區武訓街43號,"25.1460617,121.7001661",B01,538,第四分局,
勝美達電子,中崙里,基隆市安樂區武訓街50號,"25.1456515,121.7009483",B01,16,第四分局,
碧嵐大地,中崙里,基隆市安樂區基金二路13號,"25.143415,121.7024115",B01,608,第四分局,
東都A座,中崙里,基隆市安樂區基金二路1巷174之1號,"25.1416258,121.7004648",B01,5296,第四分局,
東都B座,中崙里,基隆市安樂區基金二路1巷176號,"25.1419143,121.7012687",B01,4061,第四分局,
碧嵐大地,中崙里,基隆市安樂區基金二路45號,"25.144307,121.7018935",B01,364,第四分局,
公寓,中崙里,基隆市安樂區基金二路1巷33號,"25.1414715,121.7031913",B01,713,第四分局,
海灣國際,中崙里,基隆市安樂區武訓街16號,"25.1426861,121.6998906",B01,368,第四分局,
嘉澤端子,中崙里,基隆市安樂區武訓街15號,"25.1431849,121.6987907",B01,144,第四分局,
柏林愛悅AB區,中崙里,基隆市安樂區基金二路1巷32號,"25.1415586,121.702845",B01,424,第四分局,
柏林愛悅AB區,中崙里,基隆市安樂區基金二路1巷50號,"25.1418152,121.7026334",B01,209,第四分局,
柏林愛悅C區,中崙里,基隆市安樂區基金二路1巷38之2號,"25.1412805,121.7030873",B01,309,第四分局,
禾傑臻品,中崙里,基隆市安樂區基金二路3巷9號,"25.1433849,121.7020993",B01,656,第四分局,
公寓,中興里,基隆市中山區中山二路53號,"25.1380716,121.7404397",B01,286,第四分局,
公寓,中興里,基隆市中山區中山二路21號,"25.1375743,121.7406739",B01,31,第四分局,
公寓,中興里,基隆市中山區中山二路1巷7之1號,"25.1368057,121.7407115",B01,68,第四分局,
公寓,中興里,基隆市中山區中山二路83號,"25.1388326,121.7400612",B01,162,第四分局,
公寓,中興里,基隆市中山區中山二路65巷3號,"25.1382181,121.7402883",B01,537,第四分局,
中山華廈大樓,中興里,基隆市中山區中山二路35號,"25.1378697,121.7406507",B01,148,第四分局,
基隆第一景社區,中興里,基隆市中山區華興街53巷7號,"25.1372792,121.7385633",B01,389,第四分局,
麗寶大觀社區,中興里,基隆市中山區華興街53巷9號,"25.1373112,121.7386355",B01,716,第四分局,
商辦大樓,中興里,基隆市中山區中山二路7號,"25.1369586,121.740993",B01B02,296,第四分局,
公寓,五福里,基隆市安樂區樂利三街30巷67號,"25.1274321,121.7116669",B01,602,第四分局,
公寓,五福里,基隆市安樂區樂利三街30巷3號,"25.1277086,121.7120633",B01,1254,第四分局,
長樂國小室內停車場,五福里,基隆市安樂區樂利三街30巷123號,"25.1259563,121.7114104",B01,1104,第四分局,
公寓,五福里,基隆市安樂區樂利三街32巷22號,"25.1264738,121.7126061",B01,374,第四分局,
大德國中禮堂,仁正里,基隆市中山區中山二路105巷144號,"25.1402927,121.7346838",B01,280,第四分局,
信榮電子,內寮里,基隆市安樂區武訓街70號,"25.1483228,121.6997803",B01,148,第四分局,
瑞昶貿易,內寮里,基隆市安樂區武訓街65號,"25.1495942,121.6986578",B01,40,第四分局,
毅太企業,內寮里,基隆市安樂區武訓街51號,"25.1472988,121.6996461",B01,64,第四分局,
藍天麗地,內寮里,基隆市安樂區基金三路46巷11號,"25.1546542,121.6972816",B01,3127,第四分局,
隆聖國小圖書館,內寮里,基隆市安樂區武隆街107號,"25.1562947,121.6934844",B01,146,第四分局,
武隆尊貴,內寮里,基隆市安樂區武隆街205號,"25.1585288,121.6937129",B01,226,第四分局,
創為精密材料工廠,內寮里,基隆市安樂區武訓街84號,"25.1504113,121.6984488",B01,1192,第四分局,
隆聖國小體育館,內寮里,基隆市安樂區武隆街107號,"25.156336,121.6937352",B01,422,第四分局,
水天德莊,內寮里,基隆市安樂區武隆街127號,"25.1568952,121.694586",B01,893,第四分局,
山海關,六合里,基隆市安樂區樂利三街189號,"25.1273624,121.7139779",B01B02,2359,第四分局,
陽光青境社區,六合里,基隆市安樂區樂利三街263巷47號,"25.1276799,121.7173415",B01B02,2982,第四分局,
八代緣,六合里,基隆市安樂區樂利三街369號,"25.1266855,121.718055",B01,496,第四分局,
基隆港務局,太白里,基隆市中山區中山四路1號,"25.149257,121.7450107",B01,387,第四分局,
嘉新水泥,太白里,基隆市中山區光華路59號,"25.1561228,121.7495478",B01,126,第四分局,
公寓,文化里,基隆市中山區文化路60之1號,"25.1530619,121.7357624",B01,46,第四分局,
公寓,文化里,基隆市中山區文化路185號,"25.1539597,121.7318081",B01,84,第四分局,
公寓,文化里,基隆市中山區文化路189號,"25.1538766,121.7317013",B01,85,第四分局,
公寓,文化里,基隆市中山區文化路193之2號,"25.1538118,121.7315891",B01,84,第四分局,
中山國中活動中心,文化里,基隆市中山區文化路162號,"25.1546563,121.7309557",B01,258,第四分局,
德和國小,文化里,基隆市中山區文化路162號,"25.1549647,121.7299464",B01,104,第四分局,
德和國小德英樓,文化里,基隆市中山區文化路164號,"25.155085,121.729673",B01,243,第四分局,
中山區公所,文化里,基隆市中山區文化路168號,"25.1528912,121.7295634",B01,594,第四分局,
中山高中地下停車場,文化里,基隆市中山區文化路162號,"25.1538512,121.7308497",B01,2219,第四分局,
仙洞國小活動中心,仙洞里,基隆市中山區仁安街141號,"25.1472741,121.7470953",B01,183,第四分局,
仙洞國小行政大樓,仙洞里,基隆市中山區仁安街141號,"25.1472261,121.7471047",B01,331,第四分局,
東帝士舊賣場,四維里,基隆市安樂區安和二街15號,"25.1306946,121.7225057",B01B02,9778,第四分局,
東帝士黑貓宅急便,四維里,基隆市安樂區安和二街15號,"25.1306731,121.7225326",B01,2410,第四分局,
藍色國宅,四維里,基隆市安樂區安和二街4之1號,"25.1292844,121.720634",B01,4609,第四分局,
建德山莊,四維里,基隆市安樂區安和一街330巷3號,"25.1289267,121.7229146",B01B02B03,4245,第四分局,
櫻花社區,四維里,基隆市安樂區安和一街148號,"25.1262196,121.7242866",B01B02,3176,第四分局,
建德國小活動中心,四維里,基隆市安樂區安和一街392號,"25.1247193,121.7223366",B01,500,第四分局,
建德國小健康樓,四維里,基隆市安樂區安和一街392號,"25.1244594,121.7218109",B01,182,第四分局,
建德國中室內停車場,四維里,基隆市安樂區安和一街29號,"25.1272307,121.7219971",B01,472,第四分局,
涵悅,四維里,基隆市安樂區安和二街66號,"25.1298194,121.7219899",B01B02,624,第四分局,
涵悅,四維里,基隆市安樂區安和二街52號,"25.1298329,121.7214543",B01B02,655,第四分局,
涵悅,四維里,基隆市安樂區安和二街48號,"25.1302751,121.7214825",B01,79,第四分局,
