類別,電腦編號,里別,座落,緯度,經度,新計算容量,轄管分局
一般住宅,FOA00001,香山里,新竹市香山區香山里大庄路120號,24.7916377,120.9259557,28.0,第三分局
一般住宅,FOA00002,香山里,新竹市香山區香山里大庄路116巷31-39號,24.791375,120.9260026,121.0,第三分局
一般住宅,FOA00003,大庄里,"新竹市香山區大庄里遊樂街29巷50號 B1",24.793637,120.9242854,369.0,第三分局
一般住宅,FOA00004,大庄里,新竹市香山區大庄里大庄路260-262號B1,24.793235,120.9226136,135.0,第三分局
一般住宅,FOA00005,東香里,新竹市香山區東香里柴橋路360巷12號,24.7601483,120.9592823,156.0,第三分局
一般住宅,FOA00006,大庄里,"新竹市香山區大庄里大庄路228巷39之7號 B1",24.7925238,120.9225937,634.0,第三分局
一般住宅,FOA00007,東香里,"新竹市香山區東香里新香街344號 B1",24.7781533,120.9610617,575.0,第三分局
一般住宅,FOA00008,東香里,"新竹市香山區東香里13鄰富群街2號 B1",24.7694891,120.9574368,1617.0,第三分局
一般住宅,FOA00009,香山里,"新竹市香山區香山里中華路5段90號 B1",24.7874146,120.9264408,495.0,第三分局
一般住宅,FOA00010,香山里,"新竹市香山區香山里中華路5段35號 B1",24.787863,120.9281971,556.0,第三分局
公有建築物,FOA00011,香山里,"新竹市香山區香山里20鄰大庄路48號 B1",24.7897516,120.9273451,1467.0,第三分局
一般住宅,FOA00012,香山里,新竹市香山區香山里元培街8號,24.7878839,120.9287294,206.0,第三分局
一般住宅,FOA00013,香山里,"新竹市香山區香山里大庄路70號 B1",24.7905501,120.9269314,400.0,第三分局
公有建築物,FOA00014,香山里,新竹市香山區香山里元培街124號,24.7851705,120.9303385,118.0,第三分局
公有建築物,FOA00015,香山里,"新竹市香山區香山里大庄路48號 B1",24.7897516,120.9273451,124.0,第三分局
公有建築物,FOA00016,香山里,新竹市香山區香山里1鄰大庄路48號,24.789452,120.927164,123.0,第三分局
供公眾使用建築物,FOA00017,海山里,新竹市香山區海山里中華路5段491號,24.761446,120.9128182,176.0,第三分局
公有建築物,FOA00018,內湖里,"新竹市香山區內湖里內湖路109號 B1",24.7422354,120.9061346,302.0,第三分局
供公眾使用建築物,FOA00019,鹽水里,新竹市香山區鹽水里中華路6段47號,24.7511993,120.9074735,147.0,第三分局
供公眾使用建築物,FOA00020,鹽水里,新竹市香山區鹽水里中華路6段67巷3弄1號,24.748866,120.9071917,40.0,第三分局
供公眾使用建築物,FOA00021,朝山里,新竹市香山區朝山里大湖路9號B1,24.7650039,120.9137754,45.0,第三分局
一般住宅,FOA00022,頂竹里,新竹市東區頂竹里21鄰食品路155巷6弄1-3號,24.7968464,120.9764848,86.0,第三分局
供公眾使用建築物,FOA00024,中隘里,新竹市香山區中隘里中華路六段823號,24.7194415,120.9158326,66.0,第三分局
一般住宅,FOA00025,南隘里,新竹市香山區南隘里3鄰南湖路1號B1,24.7133896,120.9345668,29.0,第三分局
一般住宅,FOA00026,中隘里,新竹市香山區中隘里中華路6段668號,24.7272855,120.9175225,133.0,第三分局
一般住宅,FOA00028,中隘里,新竹市香山區中隘里中華路6段799號,24.7199553,120.916602,223.0,第三分局
一般住宅,FOA00030,關帝里,新竹市東區關帝里南門街147號,24.8031536,120.9664493,31.0,第三分局
供公眾使用建築物,FOA00031,關帝里,新竹市東區關帝里武昌街51號,24.801768,120.9679606,250.0,第三分局
一般住宅,FOA00032,關帝里,新竹市東區關帝里中南街14號,24.801664,120.967664,74.0,第三分局
一般住宅,FOA00033,關帝里,新竹市東區關帝里南門街71號,24.8018545,120.9668944,37.0,第三分局
一般住宅,FOA00034,關帝里,新竹市東區關帝里南門街80號,24.8018182,120.9671124,28.0,第三分局
一般住宅,FOA00035,關帝里,新竹市東區關帝里南門街82號,24.801858,120.9670993,26.0,第三分局
一般住宅,FOA00036,關帝里,新竹市東區關帝里文昌街93號,24.8020548,120.9665549,25.0,第三分局
一般住宅,FOA00037,關帝里,新竹市東區關帝里南門街88號,24.802007,120.9670649,34.0,第三分局
一般住宅,FOA00038,關帝里,新竹市東區關帝里中南街12號,24.801791,120.967638,71.0,第三分局
供公眾使用建築物,FOA00039,關帝里,新竹市東區關帝里武昌街81號,24.8025389,120.967308,790.0,第三分局
一般住宅,FOA00040,關帝里,新竹市東區關帝里西大路380號,24.8024252,120.9654528,24.0,第三分局
一般住宅,FOA00041,關帝里,新竹市東區關帝里西大路370號,24.8023171,120.965662,32.0,第三分局
一般住宅,FOA00042,關帝里,新竹市東區關帝里西大路374號,24.8023078,120.9655381,20.0,第三分局
一般住宅,FOA00043,關帝里,新竹市東區關帝里西大路376號,24.8023468,120.9654956,22.0,第三分局
一般住宅,FOA00044,關帝里,新竹市東區關帝里西大路378號,24.8024996,120.9654912,52.0,第三分局
一般住宅,FOA00045,關帝里,新竹市東區關帝里武昌街77號,24.8023769,120.9674369,32.0,第三分局
一般住宅,FOA00047,關帝里,新竹市東區關帝里南門街98號,24.8022273,120.9669946,28.0,第三分局
一般住宅,FOA00048,關帝里,新竹市東區關帝里南門街96號,24.8021705,120.9670084,28.0,第三分局
一般住宅,FOA00049,關帝里,新竹市東區關帝里中南街18號,24.8015883,120.9675282,25.0,第三分局
一般住宅,FOA00050,關帝里,新竹市東區關帝里武昌街63號,24.8020824,120.9676739,37.0,第三分局
一般住宅,FOA00051,關帝里,新竹市東區關帝里南門街66號,24.8015105,120.9673008,33.0,第三分局
一般住宅,FOA00052,關帝里,新竹市東區關帝里西門街21號,24.8030723,120.9660332,16.0,第三分局
一般住宅,FOA00053,關帝里,新竹市東區關帝里西門街17號,24.8031244,120.9660903,18.0,第三分局
一般住宅,FOA00054,關帝里,新竹市東區關帝里南門街86號,24.8020114,120.9670978,45.0,第三分局
一般住宅,FOA00055,關帝里,新竹市東區關帝里文昌街85號,24.8021162,120.9667017,24.0,第三分局
一般住宅,FOA00056,關帝里,新竹市東區關帝里中南街46號,24.8016198,120.9665623,90.0,第三分局
一般住宅,FOA00057,振興里,新竹市東區振興里食品路547號B1,24.7951537,120.9648532,278.0,第三分局
一般住宅,FOA00058,振興里,新竹市東區振興里南大路550巷40號B1,24.7955778,120.9637499,34.0,第三分局
一般住宅,FOA00059,振興里,新竹市東區振興里南大路550巷12弄5號,24.7952294,120.9643803,25.0,第三分局
一般住宅,FOA00060,振興里,新竹市東區振興里食品路590號B1,24.7946031,120.965558,52.0,第三分局
一般住宅,FOA00061,振興里,新竹市東區振興里南大路538號,24.794741,120.964661,40.0,第三分局
一般住宅,FOA00063,振興里,新竹市東區振興里興學街44-48號B1,24.7977178,120.9671582,56.0,第三分局
一般住宅,FOA00065,振興里,新竹市東區振興里興學街84號,24.797282,120.966364,75.0,第三分局
公有建築物,FOA00066,振興里,新竹市東區振興里興學街106號,24.7968093,120.966368,233.0,第三分局
公有建築物,FOA00067,振興里,新竹市東區振興里興學街106號,24.7968093,120.966368,246.0,第三分局
一般住宅,FOA00068,振興里,新竹市東區振興里興學街37-39號,24.7976436,120.9676547,76.0,第三分局
一般住宅,FOA00069,振興里,新竹市東區振興里興學街5-7號,24.7980152,120.9682799,143.0,第三分局
公有建築物,FOA00070,振興里,新竹市東區振興里興學街106號,24.7968093,120.966368,45.0,第三分局
公有建築物,FOA00071,振興里,新竹市東區振興里興學街106號,24.7968093,120.966368,50.0,第三分局
一般住宅,FOA00072,振興里,新竹市東區振興里興學街23號,24.7978394,120.9679056,30.0,第三分局
一般住宅,FOA00074,振興里,新竹市東區振興里興學街109號,24.796463,120.966976,20.0,第三分局
供公眾使用建築物,FOA00075,振興里,新竹市東區振興里南大路430號,24.7970664,120.9684783,90.0,第三分局
一般住宅,FOA00076,振興里,新竹市東區振興里興學街9號,24.7979576,120.9681678,13.0,第三分局
