編號,村里別,地址,建築物名稱,類別,地下樓層數,可容納人數,電腦編號,備註,placemark_address
1.0,大新里,彰化縣北斗鎮大新里四海路78號,"聯發塑膠公司   ",地下室,地下一層,18.0,JOA00122,,彰化縣北斗鎮大新里四海路78號
2.0,大新里,彰化縣北斗鎮大新里新工一路108號,"好品味 ",地下室,地下一層,111.0,JOA00123,,彰化縣北斗鎮大新里新工一路108號
3.0,大新里,彰化縣北斗鎮大新里四海路2段2巷79號,信鋐工業,地下室,地下一層,80.0,JOA00109,,彰化縣北斗鎮大新里四海路2段2巷79號
4.0,大新里,彰化縣北斗鎮大新里新工一路103號,合興工業,地下室,地下一層,77.0,JOA00141,,彰化縣北斗鎮大新里新工一路103號
5.0,大新里,彰化縣北斗鎮大新里新工三路3段89號,"貞宇公司 ",地下室,地下一層,55.0,JOA00153,,彰化縣北斗鎮大新里新工三路3段89號
6.0,大新里,彰化縣北斗鎮大新里四海路2段35號,瑞銘金屬工業,地下室,地下一層,66.0,JOA00128,,彰化縣北斗鎮大新里四海路2段35號
7.0,大新里,彰化縣北斗鎮大新里新工一路100號,普惠醫工,地下室,地下一層,50.0,JOA00120,,彰化縣北斗鎮大新里新工一路100號
8.0,大新里,彰化縣北斗鎮大新里財神路20號,臺灣生物製劑,地下室,地下一層,1193.0,JOA00158,,彰化縣北斗鎮大新里財神路20號
9.0,大新里,彰化縣北斗鎮大新里財神路30號,寶緯公司,地下室,地下一層,398.0,JOA00168,,彰化縣北斗鎮大新里財神路30號
10.0,大新里,彰化縣北斗鎮大新里四海路1段88號,"上銘工業股份有限公司 ",地下室,地下一層,77.0,JOA00141,,彰化縣北斗鎮大新里四海路1段88號
11.0,光復里,彰化縣北斗鎮光復里中華路123號,北斗奠安宮,地下室,地下一層,96.0,JOA00050,,彰化縣北斗鎮光復里中華路123號
12.0,光復里,彰化縣北斗鎮光復里光復路238號,北斗稅捐處,地下室,地下一層,207.0,JOA00033,,彰化縣北斗鎮光復里光復路238號
13.0,大道里,彰化縣北斗鎮大道里學府路50號,"北斗家商 ",地下室,地下一層,596.0,JOA00157,,彰化縣北斗鎮大道里學府路50號
14.0,大道里,彰化縣北斗鎮大道里文苑路17號,"北斗家商 ",地下室,地下一層,154.0,JOA00031,,彰化縣北斗鎮大道里文苑路17號
