編號,村里別,地址,建築物名稱,類別,地下樓層數,可容納人數,電腦編號,備註,placemark_address
15.0,大道里,彰化縣北斗鎮大道里學府路50號,"北斗家商 ",地下室,地下一層,230.0,JOA00032,,彰化縣北斗鎮大道里學府路50號
16.0,大道里,彰化縣北斗鎮大道里學府路50號,"北斗家商 ",地下室,地下一層,154.0,JOA00064,,彰化縣北斗鎮大道里學府路50號
17.0,大道里,彰化縣北斗鎮大道里文苑路17號,"北斗家商 ",地下室,地下一層,205.0,JOA00132,,彰化縣北斗鎮大道里文苑路17號
18.0,大道里,彰化縣北斗鎮文苑路1段136號,"北斗國中  ",地下室,地下一層,264.0,JOA00159,,彰化縣北斗鎮文苑路1段136號
19.0,大道里,彰化縣北斗鎮大道里中山路2段309號,國泰人壽,地下室,地下一層,456.0,JOA00145,,彰化縣北斗鎮大道里中山路2段309號
20.0,西德里,彰化縣北斗鎮西德里公所路12號,北斗消防隊,地下室,地下一層,58.0,JOA00119,,彰化縣北斗鎮西德里公所路12號
21.0,西德里,彰化縣北斗鎮西德里公所路2號,北斗鎮公所,地下室,地下一層,138.0,JOA00009,,彰化縣北斗鎮西德里公所路2號
22.0,西安里,彰化縣北斗鎮西安里斗苑路2段243號,北斗菸酒公賣局,地下室,地下一層,57.0,JOA00055,,彰化縣北斗鎮西安里斗苑路2段243號
23.0,西安里,彰化縣北斗鎮西安里中山路1段311號,"卓醫院 ",地下室,地下一層,8.0,JOA00164,,彰化縣北斗鎮西安里中山路1段311號
24.0,西安里,彰化縣北斗鎮西安里中山路1段311號-1,"卓醫院 ",地下室,地下一層,372.0,JOA00003,,彰化縣北斗鎮西安里中山路1段311號-1
25.0,七星里,彰化縣北斗鎮七星里斗苑路1段73號,北斗鎮市場,地下室,地下一層,666.0,JOA00036,,彰化縣北斗鎮七星里斗苑路1段73號
26.0,七星里,彰化縣北斗鎮七星里民權路92號,易國顯,地下室,地下一層,101.0,JOA00075,,彰化縣北斗鎮七星里民權路92號
27.0,七星里,彰化縣北斗鎮七星里神農路1-8號,弘揚綠材有限公司,地下室,地下一層,114.0,JOA00107,,彰化縣北斗鎮七星里神農路1-8號
28.0,新政里,彰化縣北斗鎮新政里地政路470號,松順園邸公寓大廈,地下室,地下一層,427.0,JOA00167,,彰化縣北斗鎮新政里地政路470號
29.0,新政里,彰化縣北斗鎮新政里中華路190號,"世業行 ",地下室,地下一層,93.0,JOA00115,,彰化縣北斗鎮新政里中華路190號
30.0,文昌里,彰化縣北斗鎮文昌里後溪巷35號,"承成塑膠廠股份有限公司 ",地下室,地下一層,40.0,JOA00130,,彰化縣北斗鎮文昌里後溪巷35號
31.0,居仁里,彰化縣北斗鎮居安里斗苑路1段26號,"南星醫院 ",地下室,地下一層,18.0,JOA00004,,彰化縣北斗鎮居安里斗苑路1段26號
32.0,新生里,彰化縣北斗鎮新生里興農路1段293號,"皇廣企業股份有限公司 ",地下室,地下一層,232.0,JOA00080,,彰化縣北斗鎮新生里興農路1段293號
33.0,東光里,彰化縣北斗鎮東光里斗中路80號,龍口粉絲食品有限公司,地下室,地下一層,66.0,JOA00166,,彰化縣北斗鎮東光里斗中路80號
34.0,中和里,彰化縣北斗鎮中和里斗中路320號,伊秀妮化妝品,地下室,地下一層,51.0,JOA00028,,彰化縣北斗鎮中和里斗中路320號
35.0,中和里,彰化縣北斗鎮中和里斗中路412巷26號,饒舜文,地下室,地下一層,18.0,JOA00101,,彰化縣北斗鎮中和里斗中路412巷26號
36.0,饒平村,彰化縣田尾鄉饒平村公所路201號,田尾鄉公所,地下室,地下一層,510.0,JOA00180,,彰化縣田尾鄉饒平村公所路201號
37.0,饒平村,彰化縣田尾鄉饒平村中學路1段18號,田尾國中,地下室,地下一層,631.0,JOA00072,,彰化縣田尾鄉饒平村中學路1段18號
38.0,饒平村,彰化縣田尾鄉饒平村公所路139號,田尾鄉農會,地下室,地下一層,1038.0,JOA000173,,彰化縣田尾鄉饒平村公所路139號
39.0,饒平村,彰化縣田尾鄉饒平村四維巷128號,華興化學製藥廠,地下室,地下一層,640.0,JOA00092,,彰化縣田尾鄉饒平村四維巷128號
40.0,饒平村,彰化縣田尾鄉饒平村四維巷127號,緯茂塑膠企業,地下室,地下一層,1554.0,JOA00093,,彰化縣田尾鄉饒平村四維巷127號
41.0,饒平村,彰化縣田尾鄉饒平村中山路1段191號,85度C田尾中山店,地下室,地下一層,93.0,JOA00105,,彰化縣田尾鄉饒平村中山路1段191號
42.0,饒平村,彰化縣田尾鄉中山路1段163號,信泉產業,地下室,地下一層,461.0,JOA00163,,彰化縣田尾鄉中山路1段163號
43.0,饒平村,彰化縣田尾鄉中山路1段167號,信泉產業,地下室,地下一層,346.0,JOA00126,,彰化縣田尾鄉中山路1段167號
44.0,田尾村,彰化縣田尾鄉田尾村民族路156號,田尾遊客中心,地下室,地下一層,140.0,JOA00051,,彰化縣田尾鄉田尾村民族路156號
45.0,北曾村,彰化縣田尾鄉北曾村福德路343號,"殘障福利中心  ",地下室,地下一層,946.0,JOA00178,,彰化縣田尾鄉北曾村福德路343號
46.0,和豊村,彰化縣埤頭鄉和豊村斗苑東路525號,津谷食品股份有限公司,地下室,地下一層,190.0,JOA00129,,彰化縣埤頭鄉和豊村斗苑東路525號
47.0,和豊村,彰化縣埤頭鄉和豊村斗苑東路228號,榮洲紡織股份有限公司,地下室,地下一層,104.0,JOA00089,,彰化縣埤頭鄉和豊村斗苑東路228號
48.0,興農村,彰化縣埤頭鄉興農村彰水路472巷15號,巫木雄,地下室,地下一層,81.0,JOA00076,,彰化縣埤頭鄉興農村彰水路472巷15號
49.0,興農村,彰化縣埤頭鄉興農村彰水路四段576號,永富車料股份有限公司,地下室,地下一層,195.0,JOA00106,,彰化縣埤頭鄉興農村彰水路四段576號
50.0,興農村,彰化縣埤頭鄉興農村彰水路四段552號,偉英工業,地下室,地下一層,222.0,JOA00083,,彰化縣埤頭鄉興農村彰水路四段552號
51.0,興農村,彰化縣埤頭鄉興農村彰水路4段110號,永富車料股份有限公司,地下室,地下一層,121.0,JOA00034,,彰化縣埤頭鄉興農村彰水路4段110號
52.0,崙子村,彰化縣埤頭鄉崙子村庄子路65號,長老教會,地下室,地下一層,90.0,JOA00172,,彰化縣埤頭鄉崙子村庄子路65號
53.0,崙腳村,彰化縣埤頭鄉崙腳村興工路18號,燈通盛工業股份有限公司,地下室,地下一層,100.0,JOA00016,,彰化縣埤頭鄉崙腳村興工路18號
54.0,崙腳村,彰化縣埤頭鄉崙腳村興工路2號,易旺股份有限公司,地下室,地下一層,55.0,JOA00011,,彰化縣埤頭鄉崙腳村興工路2號
55.0,崙腳村,彰化縣埤頭鄉崙腳村興工路10號,裕隆公司,地下室,地下一層,200.0,JOA00021,,彰化縣埤頭鄉崙腳村興工路10號
56.0,崙腳村,彰化縣埤頭鄉崙腳村興工路11號,丁守科技股份有限公司,地下室,地下一層,33.0,JOA00007,,彰化縣埤頭鄉崙腳村興工路11號
57.0,崙腳村,彰化縣埤頭鄉崙腳村興工路4號,益張實業,地下室,地下一層,96.0,JOA00026,,彰化縣埤頭鄉崙腳村興工路4號
58.0,崙腳村,彰化縣埤頭鄉崙腳村興工路17號,承韋家具股份有限公司,地下室,地下一層,35.0,JOA00024,,彰化縣埤頭鄉崙腳村興工路17號
59.0,崙腳村,彰化縣埤頭鄉崙腳村興工路17號,承韋家具股份有限公司,地下室,地下一層,35.0,JOA00176,,彰化縣埤頭鄉崙腳村興工路17號
60.0,崙腳村,彰化縣埤頭鄉崙腳村興工路61號,聯米企業（花東糧食）,地下室,地下一層,52.0,JOA00014,,彰化縣埤頭鄉崙腳村興工路61號
61.0,崙腳村,彰化縣埤頭鄉崙腳村興工路37號,利元飼料加工廠,地下室,地下一層,81.0,JOA00012,,彰化縣埤頭鄉崙腳村興工路37號
62.0,崙腳村,彰化縣埤頭鄉崙腳村興工路07號,寶大塑膠股份有限公司,地下室,地下一層,88.0,JOA00010,,彰化縣埤頭鄉崙腳村興工路07號
63.0,崙腳村,彰化縣埤頭鄉崙腳村興工路59號,益張實業股份有限公司,地下室,地下一層,138.0,JOA00170,,彰化縣埤頭鄉崙腳村興工路59號
64.0,崙腳村,彰化縣埤頭鄉崙腳村興工路65號,瑋品股份有限公司,地下室,地下一層,44.0,JOA00151,,彰化縣埤頭鄉崙腳村興工路65號
65.0,崙腳村,彰化縣埤頭鄉崙腳村興工路20號,歐典生物科技,地下室,地下一層,88.0,JOA00017,,彰化縣埤頭鄉崙腳村興工路20號
66.0,崙腳村,彰化縣埤頭鄉崙腳村彰水路4段472巷16號,聯彰橡膠工業股份有限公司,地下室,地下一層,55.0,JOA00070,,彰化縣埤頭鄉崙腳村彰水路4段472巷16號
67.0,豊崙村,彰化縣埤頭鄉豊崙村彰水路4段76號,林黃春蘭,地下室,地下一層,67.0,JOA00067,,彰化縣埤頭鄉豊崙村彰水路4段76號
68.0,豊崙村,彰化縣埤頭鄉豊崙村彰水路4段607號,鐵甲工業,地下室,地下一層,83.0,JOA00095,,彰化縣埤頭鄉豊崙村彰水路4段607號
69.0,豊崙村,彰化縣埤頭鄉豊崙村彰水路4段557號,全有織造廠股份有限公司,地下室,地下一層,135.0,JOA00103,,彰化縣埤頭鄉豊崙村彰水路4段557號
70.0,豊崙村,彰化縣埤頭鄉豊崙村彰水路4段486巷6號,全有織造廠股份有限公司,地下室,地下一層,198.0,JOA00154,,彰化縣埤頭鄉豊崙村彰水路4段486巷6號
71.0,豊崙村,彰化縣埤頭鄉豊崙村彰水路4段468巷5號,奈特科技材料股份有信公司,地下室,地下一層,52.0,JOA00040,,彰化縣埤頭鄉豊崙村彰水路4段468巷5號
72.0,豊崙村,彰化縣埤頭鄉豊崙村彰水路4段88號,陳呂新,地下室,地下一層,54.0,JOA00147,,彰化縣埤頭鄉豊崙村彰水路4段88號
73.0,豊崙村,彰化縣埤頭鄉豊崙村斗苑東路180巷9號,承韋家具股份有限公司,地下室,地下一層,194.0,JOA00054,,彰化縣埤頭鄉豊崙村斗苑東路180巷9號
74.0,豊崙村,彰化縣埤頭鄉豊崙村彰水路4段581號,鈞豐金屬工業股份有限公司,地下室,地下一層,135.0,JOA00060,,彰化縣埤頭鄉豊崙村彰水路4段581號
75.0,豊崙村,彰化縣埤頭鄉豊崙村彰水路4段470號,鎰晟工業股份有限公司,地下室,地下一層,226.0,JOA00096,,彰化縣埤頭鄉豊崙村彰水路4段470號
76.0,大湖村,彰化縣埤頭鄉大湖村彰水路二段400號,歐都納,地下室,地下一層,131.0,JOA00082,,彰化縣埤頭鄉大湖村彰水路二段400號
77.0,大湖村,彰化縣埤頭鄉大湖村中央路89之10號,興中臺家畜電宰廠,地下室,地下一層,58.0,JOA00142,,彰化縣埤頭鄉大湖村中央路89之10號
78.0,溪州村,彰化縣溪州鄉溪州村中央路3段300號,溪州國中,地下室,地下一層,136.0,JOA00114,,彰化縣溪州鄉溪州村中央路3段300號
79.0,溪厝村,彰化縣溪州鄉溪厝村中山路2段602號,正新輪胎,地下室,地下一層,2176.0,JOA00104,,彰化縣溪州鄉溪厝村中山路2段602號
80.0,溪厝村,彰化縣溪州鄉溪厝村中山路2段602號-1,正新輪胎,地下室,地下一層,200.0,JOA00111,,彰化縣溪州鄉溪厝村中山路2段602號-1
81.0,溪厝村,彰化縣溪州鄉溪厝村中山路2段705號,朱書麟,地下室,地下一層,46.0,JOA00065,,彰化縣溪州鄉溪厝村中山路2段705號
82.0,尾厝村,彰化縣溪州鄉尾厝村文化路22號,"松漢股份有限公司 ",地下室,地下一層,294.0,JOA00069,,彰化縣溪州鄉尾厝村文化路22號
83.0,尾厝村,彰化縣溪州鄉尾厝村中山路4段441巷30號,上槐公司,地下室,地下一層,173.0,JOA00047,,彰化縣溪州鄉尾厝村中山路4段441巷30號
84.0,尾厝村,彰化縣溪州鄉尾厝村溪下路4段556號,"溪州圖書館 ",地下室,地下一層,262.0,JOA00073,,彰化縣溪州鄉尾厝村溪下路4段556號
85.0,尾厝村,彰化縣溪州鄉尾厝村中山路3段462號,基督教長老教會,地下室,地下一層,101.0,JOA00059,,彰化縣溪州鄉尾厝村中山路3段462號
86.0,水尾村,彰化縣溪州鄉中山路1段20號,一貫道,地下室,地下一層,1132.0,JOA00162,,彰化縣溪州鄉中山路1段20號
87.0,水尾村,彰化縣溪州鄉水尾村中山路1段24號,開發局,地下室,地下一層,240.0,JOA00084,,彰化縣溪州鄉水尾村中山路1段24號
88.0,西畔村,彰化縣溪州鄉西畔村登山路3段135號,蔡金澤,地下室,地下一層,438.0,JOA00174,,彰化縣溪州鄉西畔村登山路3段135號
