電腦編號,鄉鎮市區,村里別,地址,經度,緯度,避難樓層,可容納人數,轄管分局
XX0047,新興區,榮治里,高雄市新興區大同一路179號,"120.301023 ","22.628827 ",B1,396.0,新興分局
XX0049,新興區,振成里,高雄市新興區五福二路147號,"120.303763 ","22.623847 ",B1,366.0,新興分局
XX0058,新興區,順昌里,高雄市新興區七賢一路100號,"120.314415 ","22.633944 ",B1,392.0,新興分局
XX0059,新興區,明莊里,高雄市新興區中山一路117號,"120.301095 ","22.631442 ",B1,544.0,新興分局
QJ0015,前金區,新生里,高雄市前金區市中一路242號,"120.289338 ","22.631280 ",B1,385.0,新興分局
QJ0018,前金區,長城里,高雄市前金區新盛一街9號,"120.296478 ","22.630277 ",B2,570.0,新興分局
QJ0022,前金區,國民里,高雄市前金區大同二路131號,"120.291070 ","22.625499 ",B1,295.0,新興分局
XX0097,新興區,新江里,高雄市新興區中山一路300號,"120.302660 ","22.635808 ",B1,86.0,新興分局
QJ0023,前金區,青山里,高雄市前金區中正四路105號,"120.297901 ","22.629773 ",B1,314.0,新興分局
XX0103,新興區,新江里,高雄市新興區八德一路316號,"120.304871 ","22.635981 ",B2,1134.0,新興分局
XX0104,新興區,新江里,高雄市新興區林森一路267號,"120.304878 ","22.636261 ",B2,1143.0,新興分局
XX0105,新興區,大明里,高雄市新興區南台路16號,"120.301041 ","22.629605 ",B1,528.0,新興分局
XX0114,新興區,建華里,高雄市新興區自立一路66之16號,"120.297499 ","22.635974 ",B2,1340.0,新興分局
XX0115,新興區,成功里,高雄市新興區六合一路109號,"120.305081 ","22.632622 ",B1,207.0,新興分局
QJ0027,新興區,國民里,高雄市前金區大同二路145號,"120.290173 ","22.625223 ",B2,2957.0,新興分局
XX0129,新興區,新江里,高雄市新興區南華路188號,"120.303116 ","22.635439 ",B1,423.0,新興分局
QJ0033,前金區,草江里,高雄市前金區新盛一街55號,"120.295849 ","22.631786 ",B1,305.0,新興分局
QJ0034,前金區,青山里,高雄市前金區中正四路99號,"120.298226 ","22.629919 ",B2,989.0,新興分局
XX0135,新興區,浩然里,高雄市新興區五福二路3號,"120.308776 ","22.625237 ",B1,525.0,新興分局
XX0136,新興區,中東里,高雄市新興區七賢一路393號,"120.306487 ","22.633753 ",B1,277.0,新興分局
QJ0036,前金區,博孝里,高雄市前金區五福三路122號,"120.294121 ","22.621921 ",B1,763.0,新興分局
XX0141,新興區,中東里,高雄市新興區六合一路90號,"120.308663 ","22.632717 ",B1,231.0,新興分局
XX0143,新興區,南港里,高雄市新興區林森一路242號,"120.305179 ","22.634943 ",B2,1493.0,新興分局
XX0144,新興區,順昌里,高雄市新興區七賢一路75號,"120.314952 ","22.633405 ",B1,229.0,新興分局
XX0152,新興區,玉衡里,高雄市新興區文橫一路17號,"120.302831 ","22.624728 ",B1,706.0,新興分局
XX0171,新興區,中東里,高雄市新興區七賢一路301號,"120.308659 ","22.633928 ",B1,955.0,新興分局
XX0183,新興區,建華里,高雄市新興區八德二路94號,"120.297608 ","22.635705 ",B1,253.0,新興分局
QJ0073,前金區,長生里,高雄市前金區中華三路17號,"120.297910 ","22.623379 ",B1,270.0,新興分局
XX0188,新興區,中東里,高雄市新興區六合一路92號,"120.308496 ","22.632708 ",B2,559.0,新興分局
XX0201,新興區,興昌里,高雄市新興區七賢一路225號,"120.310363 ","22.633702 ",B2,688.0,新興分局
QJ0096,前金區,新生里,高雄市前金區七賢二路254號,"120.292450 ","22.632314 ",B1,255.0,新興分局
XX0227,新興區,德生里,高雄市新興區五福一路142號,"120.312040 ","22.627053 ",B1,1334.0,新興分局
XX0228,新興區,建華里,高雄市新興區南台橫路31號,"120.299566 ","22.635190 ",B1,486.0,新興分局
XX0229,新興區,秋山里,高雄市新興區民主路16號,"120.300248 ","22.633378 ",B2,778.0,新興分局
