電腦編號,里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註
鐵花001,國聯里,花蓮縣花蓮市國聯里035鄰國聯一路100號,"23.99341,121.60127",1.0,625.0,花蓮分局,
鐵花002,南昌村,花蓮縣吉安鄉南昌村南昌街200號,"23.9682726, 121.5825944",1.0,177.0,花蓮分局,
鐵花003,鳳智里,花蓮縣鳳林鎮鳳智里019鄰中山路43號,"23.74645,121.44701",1.0,132.0,花蓮分局,
鐵花004,瑞穗村,花蓮縣瑞穗村009鄰四維街13號,"23.49749,121.37714",1.0,83.0,花蓮分局,
鐵花005,富里鄉,花蓮縣富里鄉富里村車站接56號,"23.17935,121.24864",1.0,83.0,花蓮分局,
12,嘉里村,"花蓮縣新城鄉嘉里村機場巷1號B1
(花蓮航站地下停車場)","24.02569807167981, 121.61390040041867",1.0,13680.0,航空警察局臺北分局,
A0001,民德里,花蓮市民德里海岸路66號,"23.980657190103116, 121.6200115881742",1.0,2419.0,保安警察隊,
A0002,民孝里,花蓮市民孝里港口路15號,"23.99795255351382, 121.63486143101377",1.0,242.0,保安警察隊,
A0003,民孝里,"花蓮港區第 12號碼頭","24.005770204138965, 121.63728584398469",1.0,142.0,東堤中隊,
