編號,村里別,地址,避難所在之地下樓層數,可容納人數,轄區分局,經度,緯度
1.0,田心里,臺中市南屯區向上路一段281號,1.0,100.0,第四分局,"120.649460 ","24.146643 "
2.0,田心里,臺中市南屯區向上路一段282號,1.0,49.0,第四分局,"120.647583 ","24.146950 "
3.0,田心里,臺中市南屯區向上路一段283號,1.0,40.0,第四分局,"120.649460 ","24.146643 "
4.0,田心里,臺中市南屯區向上路一段421號,1.0,30.0,第四分局,"120.649460 ","24.146643 "
5.0,田心里,臺中市南屯區向上路一段163號,1.0,20.0,第四分局,"120.649460 ","24.146643 "
6.0,田心里,臺中市南屯區向上路一段165號,1.0,20.0,第四分局,"120.649460 ","24.146643 "
7.0,田心里,臺中市南屯區向上路一段167號,1.0,20.0,第四分局,"120.649460 ","24.146643 "
8.0,田心里,臺中市南屯區向上路一段169號,1.0,20.0,第四分局,"120.649460 ","24.146643 "
9.0,田心里,臺中市南屯區向上路一段171號,1.0,20.0,第四分局,"120.649460 ","24.146643 "
10.0,田心里,臺中市南屯區向上路一段173號,1.0,20.0,第四分局,"120.649460 ","24.146643 "
11.0,田心里,臺中市南屯區向上路一段290號,1.0,25.0,第四分局,"120.647583 ","24.146950 "
12.0,田心里,臺中市南屯區向上路二段50號,1.0,16.0,第四分局,"120.639904 ","24.147309 "
13.0,田心里,臺中市南屯區向上路二段101號,1.0,48.0,第四分局,"120.636855 ","24.146405 "
14.0,田心里,臺中市南屯區向上路二段52號,1.0,66.0,第四分局,"120.639904 ","24.147309 "
15.0,田心里,臺中市南屯區向上路二段10號,1.0,40.0,第四分局,"120.639904 ","24.147309 "
16.0,田心里,臺中市南屯區向上路二段111號,1.0,40.0,第四分局,"120.636855 ","24.146405 "
17.0,田心里,臺中市南屯區向上路二段112號,1.0,30.0,第四分局,"120.639904 ","24.147309 "
18.0,田心里,臺中市南屯區向上路二段113號,1.0,100.0,第四分局,"120.636855 ","24.146405 "
19.0,田心里,臺中市南屯區向上路二段114號,1.0,50.0,第四分局,"120.639904 ","24.147309 "
20.0,田心里,臺中市南屯區向上路二段115號,1.0,66.0,第四分局,"120.636855 ","24.146405 "
21.0,田心里,臺中市南屯區向上路二段116號,1.0,30.0,第四分局,"120.639904 ","24.147309 "
22.0,田心里,臺中市南屯區向上路二段117號,1.0,30.0,第四分局,"120.636855 ","24.146405 "
23.0,田心里,臺中市南屯區向上路二段118號,1.0,30.0,第四分局,"120.639904 ","24.147309 "
24.0,田心里,臺中市南屯區向上路二段119號,1.0,30.0,第四分局,"120.636855 ","24.146405 "
25.0,田心里,臺中市南屯區向上路二段121號,1.0,80.0,第四分局,"120.643331 ","24.146657 "
26.0,田心里,臺中市南屯區向上路二段12號,1.0,80.0,第四分局,"120.639904 ","24.147309 "
27.0,田心里,臺中市南屯區向上路二段151號,1.0,40.0,第四分局,"120.636855 ","24.146405 "
28.0,田心里,臺中市南屯區向上路二段152號,1.0,30.0,第四分局,"120.639904 ","24.147309 "
29.0,田心里,臺中市南屯區向上路二段153號,1.0,10.0,第四分局,"120.636855 ","24.146405 "
30.0,田心里,臺中市南屯區向上路二段155號,1.0,40.0,第四分局,"120.636855 ","24.146405 "
31.0,田心里,臺中市南屯區向上路二段157號,1.0,10.0,第四分局,"120.636855 ","24.146405 "
32.0,田心里,臺中市南屯區向上路二段159號,1.0,10.0,第四分局,"120.643331 ","24.146657 "
33.0,田心里,臺中市南屯區向上路二段161號,1.0,20.0,第四分局,"120.643331 ","24.146657 "
34.0,田心里,臺中市南屯區向上路二段163號,1.0,20.0,第四分局,"120.642920 ","24.146654 "
35.0,田心里,臺中市南屯區向上路二段172號,1.0,40.0,第四分局,"120.639904 ","24.147309 "
36.0,田心里,臺中市南屯區向上路二段173號,1.0,450.0,第四分局,"120.636855 ","24.146405 "
37.0,田心里,臺中市南屯區向上路二段176號,1.0,20.0,第四分局,"120.639904 ","24.147309 "
38.0,田心里,臺中市南屯區向上路二段180號,1.0,20.0,第四分局,"120.639904 ","24.147309 "
39.0,田心里,臺中市南屯區向上路二段182號,1.0,20.0,第四分局,"120.639904 ","24.147309 "
40.0,田心里,臺中市南屯區向上路二段184號,1.0,20.0,第四分局,"120.639904 ","24.147309 "
41.0,田心里,臺中市南屯區向上路二段196號,1.0,60.0,第四分局,"120.643323 ","24.147326 "
42.0,田心里,臺中市南屯區向上路二段191號,1.0,32.0,第四分局,"120.636855 ","24.146405 "
43.0,田心里,臺中市南屯區向上路二段192號,1.0,32.0,第四分局,"120.639904 ","24.147309 "
44.0,田心里,臺中市南屯區向上路二段193號,1.0,10.0,第四分局,"120.636855 ","24.146405 "
45.0,田心里,臺中市南屯區向上路二段194號,1.0,32.0,第四分局,"120.643323 ","24.147326 "
46.0,田心里,臺中市南屯區向上路二段201號,1.0,788.0,第四分局,"120.640178 ","24.146671 "
47.0,田心里,臺中市南屯區向上路二段201號,1.0,20.0,第四分局,"120.640178 ","24.146671 "
48.0,田心里,臺中市南屯區向上路二段202號,1.0,40.0,第四分局,"120.639904 ","24.147309 "
49.0,田心里,臺中市南屯區向上路二段203號,1.0,160.0,第四分局,"120.636855 ","24.146405 "
50.0,田心里,臺中市南屯區向上路二段208號,1.0,925.0,第四分局,"120.639904 ","24.147309 "
51.0,田心里,臺中市南屯區向上路二段210號,1.0,90.0,第四分局,"120.639904 ","24.147309 "
52.0,田心里,臺中市南屯區向上路二段213號,1.0,30.0,第四分局,"120.636855 ","24.146405 "
53.0,田心里,臺中市南屯區向上路二段230號,1.0,60.0,第四分局,"120.639904 ","24.147309 "
54.0,田心里,臺中市南屯區向上路二段231號,1.0,30.0,第四分局,"120.636855 ","24.146405 "
55.0,田心里,臺中市南屯區向上路二段233號,1.0,40.0,第四分局,"120.636855 ","24.146405 "
56.0,田心里,臺中市南屯區向上路二段234號,1.0,30.0,第四分局,"120.639904 ","24.147309 "
57.0,田心里,臺中市南屯區向上路二段235號,1.0,30.0,第四分局,"120.636855 ","24.146405 "
58.0,田心里,臺中市南屯區向上路二段236號,1.0,30.0,第四分局,"120.639904 ","24.147309 "
59.0,田心里,臺中市南屯區向上路二段237號,1.0,30.0,第四分局,"120.636855 ","24.146405 "
60.0,田心里,臺中市南屯區向上路二段238號,1.0,60.0,第四分局,"120.639904 ","24.147309 "
61.0,田心里,臺中市南屯區向上路二段241號,1.0,100.0,第四分局,"120.636855 ","24.146405 "
62.0,田心里,臺中市南屯區向上路二段244號,1.0,40.0,第四分局,"120.639904 ","24.147309 "
63.0,田心里,臺中市南屯區向上路二段242號,1.0,40.0,第四分局,"120.639904 ","24.147309 "
64.0,田心里,臺中市南屯區向上路二段243號,1.0,40.0,第四分局,"120.636855 ","24.146405 "
65.0,田心里,臺中市南屯區向上路二段244號,1.0,20.0,第四分局,"120.639904 ","24.147309 "
66.0,田心里,臺中市南屯區向上路二段245號,1.0,20.0,第四分局,"120.636855 ","24.146405 "
67.0,田心里,臺中市南屯區向上路二段246號,1.0,30.0,第四分局,"120.639904 ","24.147309 "
68.0,田心里,臺中市南屯區向上路二段247號,1.0,30.0,第四分局,"120.636855 ","24.146405 "
69.0,田心里,臺中市南屯區向上路二段248號,1.0,40.0,第四分局,"120.639904 ","24.147309 "
70.0,田心里,臺中市南屯區向上路二段249號,1.0,40.0,第四分局,"120.636855 ","24.146405 "
71.0,田心里,臺中市南屯區向上路二段267號,1.0,30.0,第四分局,"120.636855 ","24.146405 "
72.0,田心里,臺中市南屯區向上路二段269號,1.0,30.0,第四分局,"120.636855 ","24.146405 "
73.0,田心里,臺中市南屯區向上路二段271號,1.0,30.0,第四分局,"120.636855 ","24.146405 "
74.0,田心里,臺中市南屯區向上路二段273號,1.0,30.0,第四分局,"120.636855 ","24.146405 "
75.0,田心里,臺中市南屯區向上路二段275號,1.0,30.0,第四分局,"120.636855 ","24.146405 "
76.0,田心里,臺中市南屯區向上路二段277號,1.0,60.0,第四分局,"120.636855 ","24.146405 "
77.0,田心里,臺中市南屯區向上路二段281號,1.0,60.0,第四分局,"120.636855 ","24.146405 "
78.0,田心里,臺中市南屯區向上路二段285號,1.0,30.0,第四分局,"120.636855 ","24.146405 "
79.0,田心里,臺中市南屯區向上路二段287號,1.0,30.0,第四分局,"120.636855 ","24.146405 "
80.0,田心里,臺中市南屯區向上路二段289號,1.0,60.0,第四分局,"120.636855 ","24.146405 "
81.0,田心里,臺中市南屯區向上路二段293號,1.0,30.0,第四分局,"120.636855 ","24.146405 "
82.0,田心里,臺中市南屯區向上路二段297號,1.0,30.0,第四分局,"120.636855 ","24.146405 "
83.0,田心里,臺中市南屯區向上路二段299號,1.0,30.0,第四分局,"120.636855 ","24.146405 "
84.0,田心里,臺中市南屯區向上路二段331號,1.0,50.0,第四分局,"120.636855 ","24.146405 "
85.0,田心里,臺中市南屯區向上路二段423號,1.0,30.0,第四分局,"120.637683 ","24.146882 "
86.0,田心里,臺中市南屯區向上路二段421號,1.0,30.0,第四分局,"120.637742 ","24.146899 "
87.0,田心里,臺中市南屯區向上路二段422號,1.0,40.0,第四分局,"120.637840 ","24.147297 "
88.0,田心里,臺中市南屯區向上路二段423號,1.0,50.0,第四分局,"120.637683 ","24.146882 "
89.0,田心里,臺中市南屯區向上路二段424號,1.0,30.0,第四分局,"120.637673 ","24.147259 "
90.0,田心里,臺中市南屯區向上路二段427號,1.0,30.0,第四分局,"120.637598 ","24.146854 "
91.0,田心里,臺中市南屯區向上路二段429號,1.0,30.0,第四分局,"120.637561 ","24.146844 "
92.0,田心里,臺中市南屯區向上路二段431號,1.0,40.0,第四分局,"120.637523 ","24.146832 "
93.0,田心里,臺中市南屯區向上路二段432號,1.0,30.0,第四分局,"120.637572 ","24.147219 "
94.0,田心里,臺中市南屯區向上路二段436號,1.0,2141.0,第四分局,"120.637058 ","24.147040 "
95.0,田心里,臺中市南屯區向上路二段430號,1.0,20.0,第四分局,"120.637620 ","24.147233 "
96.0,田心里,臺中市南屯區向上路二段480號,1.0,30.0,第四分局,"120.636651 ","24.146988 "
97.0,田心里,臺中市南屯區向上路二段50號,1.0,30.0,第四分局,"120.639904 ","24.147309 "
98.0,田心里,臺中市南屯區向上路二段51號,1.0,30.0,第四分局,"120.636855 ","24.146405 "
99.0,田心里,臺中市南屯區向上路二段52號,1.0,40.0,第四分局,"120.639904 ","24.147309 "
100.0,田心里,臺中市南屯區向上路二段53號,1.0,40.0,第四分局,"120.636855 ","24.146405 "
101.0,田心里,臺中市南屯區向上路二段54號,1.0,30.0,第四分局,"120.639904 ","24.147309 "
102.0,田心里,臺中市南屯區向上路二段55號,1.0,40.0,第四分局,"120.636855 ","24.146405 "
103.0,田心里,臺中市南屯區向上路二段56號,1.0,40.0,第四分局,"120.639904 ","24.147309 "
104.0,田心里,臺中市南屯區向上路二段57號,1.0,40.0,第四分局,"120.636855 ","24.146405 "
105.0,田心里,臺中市南屯區向上路二段58號,1.0,30.0,第四分局,"120.639904 ","24.147309 "
106.0,田心里,臺中市南屯區向上路二段59號,1.0,30.0,第四分局,"120.636855 ","24.146405 "
107.0,田心里,臺中市南屯區向上路二段61號,1.0,113.0,第四分局,"120.636855 ","24.146405 "
108.0,田心里,臺中市南屯區向上路二段62號,1.0,30.0,第四分局,"120.639904 ","24.147309 "
109.0,田心里,臺中市南屯區向上路二段64號,1.0,30.0,第四分局,"120.639904 ","24.147309 "
110.0,田心里,臺中市南屯區向上路二段63號,1.0,30.0,第四分局,"120.636855 ","24.146405 "
111.0,田心里,臺中市南屯區向上路二段66號,1.0,30.0,第四分局,"120.639904 ","24.147309 "
112.0,田心里,臺中市南屯區向上路二段68號,1.0,30.0,第四分局,"120.639904 ","24.147309 "
113.0,田心里,臺中市南屯區向上路二段69號,1.0,113.0,第四分局,"120.636855 ","24.146405 "
114.0,田心里,臺中市南屯區向上路二段70號,1.0,30.0,第四分局,"120.639904 ","24.147309 "
115.0,田心里,臺中市南屯區向上路二段72號,1.0,30.0,第四分局,"120.639904 ","24.147309 "
116.0,田心里,臺中市南屯區向上路二段74號,1.0,30.0,第四分局,"120.639904 ","24.147309 "
117.0,田心里,臺中市南屯區向上路二段76號,1.0,30.0,第四分局,"120.639904 ","24.147309 "
118.0,田心里,臺中市南屯區向上路二段78號,1.0,30.0,第四分局,"120.639904 ","24.147309 "
119.0,田心里,臺中市南屯區向上路二段80號,1.0,30.0,第四分局,"120.639904 ","24.147309 "
120.0,田心里,臺中市南屯區向上路二段82號,1.0,120.0,第四分局,"120.639904 ","24.147309 "
121.0,田心里,臺中市南屯區向上路二段84號,1.0,40.0,第四分局,"120.639904 ","24.147309 "
122.0,田心里,臺中市南屯區向上路二段86號,1.0,30.0,第四分局,"120.639904 ","24.147309 "
123.0,田心里,臺中市南屯區向上路二段88號,1.0,30.0,第四分局,"120.639904 ","24.147309 "
124.0,田心里,臺中市南屯區向上路二段90號,1.0,40.0,第四分局,"120.639904 ","24.147309 "
125.0,田心里,臺中市南屯區向上路二段92號,1.0,30.0,第四分局,"120.639904 ","24.147309 "
126.0,田心里,臺中市南屯區向上路二段94號,1.0,30.0,第四分局,"120.639904 ","24.147309 "
127.0,田心里,臺中市南屯區向上路二段96號,1.0,30.0,第四分局,"120.639904 ","24.147309 "
128.0,田心里,臺中市南屯區向上路二段111號,1.0,20.0,第四分局,"120.636855 ","24.146405 "
129.0,田心里,臺中市南屯區向上路二段24號,1.0,40.0,第四分局,"120.639904 ","24.147309 "
130.0,田心里,臺中市南屯區向上路二段201號,1.0,40.0,第四分局,"120.640178 ","24.146671 "
131.0,田心里,臺中市南屯區向心南路811號,1.0,8280.0,第四分局,"120.643438 ","24.134209 "
132.0,田心里,臺中市南屯區向心南路981號,1.0,94.0,第四分局,"120.643641 ","24.137464 "
133.0,田心里,臺中市南屯區向心南路982號,1.0,128.0,第四分局,"120.644015 ","24.137589 "
134.0,田心里,臺中市南屯區向心南路984號,1.0,100.0,第四分局,"120.644015 ","24.137589 "
135.0,田心里,臺中市南屯區田心里向心路631號,1.0,476.0,第四分局,"120.645588 ","24.141676 "
136.0,田心里,臺中市南屯區田心里大墩三街96號,1.0,682.0,第四分局,"120.643691 ","24.141289 "
137.0,田心里,臺中市南屯區田心里東興二3416號,1.0,30.0,第四分局,"120.644313 ","24.138660 "
138.0,田心里,臺中市南屯區田心里東興北街2號,1.0,110.0,第四分局,"120.644256 ","24.138587 "
139.0,田心里,臺中市南屯區田心里東興北街6號,1.0,41.0,第四分局,"120.644360 ","24.138684 "
140.0,田心里,臺中市南屯區東興東街120號,1.0,232.0,第四分局,"120.654053 ","24.139354 "
141.0,田心里,臺中市南屯區東興路一段225號,1.0,76.0,第四分局,"120.653064 ","24.130072 "
142.0,田心里,臺中市南屯區東興路一段231號,1.0,161.0,第四分局,"120.653064 ","24.130072 "
143.0,田心里,臺中市南屯區東興路一段234號,1.0,28.0,第四分局,"120.653868 ","24.131456 "
144.0,田心里,臺中市南屯區東興路一段247號,1.0,26.0,第四分局,"120.653064 ","24.130072 "
