電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註
WMA00102,民安里,臺北市中山區中山北路一段56-58號,"25.049638,121.521764",1,661.0,中山分局,
WMA00103,民安里,臺北市中山區中山北路一段70-78號,"25.048715,121.520814",1,574.0,中山分局,
WMA00164,民安里,臺北市中山區中山北路一段56巷2、2之1號,"25.048881,121.520628",1,176.0,中山分局,
WMA00165,民安里,臺北市中山區中山北路一段56巷2之2號,"25.048701,121.520529",1,246.0,中山分局,
WMA01637,民安里,臺北市中山區長安西路40巷9號,"25.049392,121.520321",1,113.0,中山分局,
WMA01638,民安里,臺北市中山區長安西路40巷10弄9-15號,"25.049382,121.519917",1,102.0,中山分局,
WMA01639,民安里,臺北市中山區長安西路40巷2弄4、6號,"25.049845,121.520112",1,29.0,中山分局,
WMA01640,民安里,臺北市中山區長安西路40巷2弄8號,"25.049845,121.520112",1,85.0,中山分局,
WMA01641,民安里,臺北市中山區長安西路40巷4弄8號,"25.049766,121.520061",1,146.0,中山分局,
WMA01642,民安里,臺北市中山區長安西路40巷6弄2-6號,"25.049527,121.520193",1,138.0,中山分局,
WMA01643,民安里,臺北市中山區長安西路40巷6弄7、9號,"25.049541,121.520061",1,164.0,中山分局,
WMA02186,民安里,臺北市中山區華陰街14號,"25.048964,121.520472",1,40.0,中山分局,
WMA02187,民安里,臺北市中山區華陰街15號,"25.049191,121.520137",1,22.0,中山分局,
WMA02188,民安里,臺北市中山區華陰街18號,"25.04904,121.520135",1,329.0,中山分局,
WMA02189,民安里,臺北市中山區華陰街19號,"25.049212,121.520045",1,66.0,中山分局,
WMA02190,民安里,臺北市中山區華陰街26號,"25.049167,121.519757",1,92.0,中山分局,
WMA02191,民安里,臺北市中山區華陰街24巷3號,"25.048728,121.519749",1,42.0,中山分局,
WMA02192,民安里,臺北市中山區華陰街24巷2弄1-5號,"25.048952,121.519735",1,65.0,中山分局,
WMA02193,民安里,臺北市中山區華陰街24巷2弄4號,"25.048897,121.519687",1,17.0,中山分局,
WMA02194,民安里,臺北市中山區華陰街24巷4弄1號,"25.048853,121.519713",1,18.0,中山分局,
