建築物名稱,"電腦編號 serial number",村里別village,"地址 address","緯經度 latitude and longitude","地下樓層數number of basement levels",可容納人數capacity,轄管分局jurisdiction,"備駐 notes"
思牧企業股份有限公司,QSA00013,豐田村,屏東縣內埔鄉豐田村30鄰延平路133號,"22.636449222776797, 120.54579891251684",1.0,40.0,內埔分局,
全興飼料公司,QSA00024,豐田村,屏東縣內埔鄉豐田村27鄰建國路2號,"22.637231505861305, 120.53986586644346",1.0,46.0,內埔分局,
內埔工業區服務中心,QSA00113,豐田村,屏東縣內埔鄉豐田村27鄰建國路4號,"22.638206736381736, 120.54154231990698",1.0,338.0,內埔分局,
大同3C公司,QSA00045,豐田村,屏東縣內埔鄉豐田村27鄰建國路8號,"22.638525149143074, 120.54206462544965",1.0,53.0,內埔分局,
和恆電基公司,QSA00102,豐田村,屏東縣內埔鄉豐田村27鄰建國路12號,"22.639219832539354, 120.54272449661421",1.0,68.0,內埔分局,
強匠冷凍食品公司/B廠,QSA00014,豐田村,屏東縣內埔鄉豐田村29鄰建國路16號,"22.640311928724053, 120.5434281236021",1.0,66.0,內埔分局,
強匠冷凍食品公司/A廠,QSA00022,豐田村,屏東縣內埔鄉豐田村29鄰建國路16-1號,"22.640321830791265, 120.5429453260109",1.0,26.0,內埔分局,
大復企業公司,QSA00018,豐田村,屏東縣內埔鄉豐田村29鄰建國路18號,"22.64085151565797, 120.54350718368154",1.0,104.0,內埔分局,
盛利有限公司,QSA00021,豐田村,屏東縣內埔鄉豐田村29鄰建國路20號,"22.64155093083575, 120.54390858368151",1.0,168.0,內埔分局,
高科磁計公司,QSA00050,豐田村,屏東縣內埔鄉豐田村29鄰建國路24-1號,"22.643430624001283, 120.54549731066946",1.0,40.0,內埔分局,
信昌工業公司,QSA00040,豐田村,屏東縣內埔鄉豐田村29鄰建國路28號,"22.644397913605335, 120.5477321971756",1.0,66.0,內埔分局,
內埔酒廠/產品推廣中心,QSA00017,豐田村,屏東縣內埔鄉豐田村27鄰建國路34號,"22.645781519303526, 120.55145427237454",1.0,1708.0,內埔分局,共有3處、總計可容納人數2891人
內埔酒廠/散裝倉庫,QSA00019,豐田村,屏東縣內埔鄉豐田村27鄰建國路34號,"22.644737409951, 120.55188441252048",1.0,242.0,內埔分局,共有3處、總計可容納人數2891人
內埔酒廠/包裝工場,QSA00124,豐田村,屏東縣內埔鄉豐田村27鄰建國路34號,"22.64362803505294, 120.55160158064028",1.0,941.0,內埔分局,共有3處、總計可容納人數2891人
頂新油脂,QSA00030,豐田村,屏東縣內埔鄉豐田村29鄰建國路61號,"22.646455901426823, 120.55005386834036",1.0,106.0,內埔分局,
聖恩企業公司,QSA00016,豐田村,屏東縣內埔鄉豐田村27鄰永田路15號,"22.63819949848075, 120.54082282601078",1.0,66.0,內埔分局,
永大食品公司,QSA00025,豐田村,屏東縣內埔鄉豐田村29鄰建工路2號,"22.63945309793805, 120.54260452601076",1.0,26.0,內埔分局,
安德烈公司,QSA00048,豐田村,屏東縣內埔鄉豐田村29鄰建工路3號,"22.639158791603876, 120.54327291066942",1.0,33.0,內埔分局,
巨祥公司,QSA00049,豐田村,屏東縣內埔鄉豐田村29鄰建工路8號,"22.638692285148814, 120.54326056834019",1.0,26.0,內埔分局,
復進企業股份有限公司,QSA00028,豐田村,屏東縣內埔鄉豐田村04鄰建華路1號,"22.640209883073457, 120.54485312601075",1.0,93.0,內埔分局,
京冠生物科技公司,QSA00039,豐田村,屏東縣內埔鄉豐田村29鄰建邦路3號,"22.643435985146382, 120.54818922601095",1.0,23.0,內埔分局,
維鋼工業,QSA00032,豐田村,屏東縣內埔鄉豐田村29鄰建邦路5號,"22.643339386996054, 120.54855343950481",1.0,106.0,內埔分局,
宏益冷凍公司,QSA00031,豐田村,屏東縣內埔鄉豐田村29鄰建邦路6號,"22.64324288514647, 120.5479688395048",1.0,53.0,內埔分局,
