類別,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,備註
公寓,WMA00567,永安里,臺北市中山區北安路512巷2-4號,"25.079547,121.545326",1,"598 ",
公寓,WMA00568,永安里,臺北市中山區北安路518巷2-4-6號,"25.079573,121.545917",1,"316 ",
公寓,WMA00569,永安里,臺北市中山區北安路518巷14弄8-16號,"25.079263,121.545776",1,"404 ",
公寓,WMA03310,永安里,臺北市中山區北安路458巷47弄1-7號,"25.078329,121.544799",3,"2916 ",
公寓,WMA00532,永安里,臺北市中山區北安路458巷29-31號,"25.078845,121.544628",1,"328 ",
公寓,WMA00533,永安里,臺北市中山區北安路458巷39號,"25.07873,121.544625",1,"194 ",
公寓,WMA00533,永安里,臺北市中山區北安路458巷43號,"25.078538,121.544661",1,"246 ",
公寓,WMA00539,永安里,臺北市中山區北安路458巷47弄2-16號,"25.078029,121.545111",1,"1254 ",
公寓,WMA00575,永安里,臺北市中山區北安路538巷1弄1-11號,"25.079785,121.548015",1,"553 ",
公寓,WMA00580,永安里,臺北市中山區北安路578巷2-6號,"25.080864,121.548681",1,"517 ",
公寓,WMA00581,永安里,臺北市中山區北安路578巷8弄1-9號,"25.080684,121.548897",1,"665 ",
公寓,WMA00582,永安里,臺北市中山區北安路578巷8弄11-17號,"25.080477,121.549136",2,"388 ",
公寓,WMA00583,永安里,臺北市中山區北安路578巷8弄19-21號,"25.080476,121.549606",1,"186 ",
大樓,WMA00584,永安里,臺北市中山區北安路578巷8弄11-17號,"25.080477,121.549136",2,"4989 ",
大樓,WMA00583,永安里,臺北市中山區北安路578巷8弄19-21號,"25.080476,121.549606",1,"498 ",
大樓,WMA00584,永安里,臺北市中山區北安路588巷32-34號,"25.080939,121.550698",2,"2448 ",
公寓,WMA00585,永安里,臺北市中山區北安路588巷46弄7-13號,"25.080655,121.550869",1,"302 ",
大樓,WMA01252,永安里,臺北市中山區明水路581巷15-21號,"25.080242,121.551023",2,"1606 ",
大樓,WMA01253,永安里,臺北市中山區明水路581巷23-25號,"25.080103,121.550638",2,"2398 ",
大樓,WMA01254,永安里,臺北市中山區明水路581巷5號,"25.080119,121.551644",2,"2762 ",
大樓,WMA01255,永安里,臺北市中山區明水路581巷13弄3號,"25.080421,121.55121",2,"530 ",
公寓,WMA03040,永安里,臺北市中山區北安路554巷35號,"25.080145,121.549732",1,"265 ",
大樓,WMA03061,永安里,臺北市中山區明水路589-591號,"25.080801,121.551423",3,"4150 ",
大樓,WMA03067,永安里,臺北市中山區北安路554巷43-49號,"25.080147,121.549964",1,"981 ",
大樓,WMA03112,永安里,臺北市中山區北安路578巷8弄12號,"25.08069,121.549758",1,"576 ",
大樓,WMA03370,永安里,臺北市中山區北安路578巷8弄26-30號,"25.080677,121.549966",1,"648 ",
大樓,WMA03386,永安里,臺北市中山區北安路578巷8弄2號,"25.080698,121.549162",1,"912 ",
大樓,WMA03504,永安里,臺北市中山區北安路588巷30弄23號,"25.080448,121.550117",2,"1174 ",
公寓,WMA03614,永安里,"臺北市中山區北安路  578巷8號","25.080883,121.548893",1,"409 ",
大樓,WMA03666,永安里,臺北市中山區北安路536號,"25.079698,121.547437",1,"2252 ",
大樓,WMA01229,永安里,臺北市中山區明水路457-471號,"25.077528,121.550709",2,"2446 ",
大樓,WMA01230,永安里,臺北市中山區明水路477-499號,"25.077956,121.551554",2,"1088 ",
大樓,WMA01231,永安里,臺北市中山區明水路537-541號,"25.078306,121.551771",2,"2069 ",
大樓,WMA01239,永安里,臺北市中山區明水路397巷19弄32-34號,"25.078547,121.54983",2,"1062 ",
大樓,WMA01245,永安里,臺北市中山區明水路397巷7弄41-45號,"25.078073,121.549943",3,"4728 ",
公寓,WMA01248,永安里,臺北市中山區明水路397巷7弄78-80號,"25.078551,121.551241",1,"397 ",
大樓,WMA01249,永安里,臺北市中山區明水路397巷7弄82-88號,"25.07883,121.551359",2,"1149 ",
大樓,WMA01250,永安里,臺北市中山區明水路475巷6-8號,"25.078098,121.550859",1,"1117 ",
大樓,WMA03042,永安里,臺北市中山區明水路475巷9號,"25.078203,121.551191",1,"1674 ",
公寓,WMA00537,永安里,臺北市中山區北安路458巷41弄50號,"25.079027,121.546432",1,"405 ",
公寓,WMA00540,永安里,臺北市中山區北安路458巷47弄41-51號,"25.078433,121.546172",1,"252 ",
大樓,WMA01225,永安里,臺北市中山區明水路383-389號,"25.077922,121.54603",2,"2702 ",
公寓,WMA01226,永安里,臺北市中山區明水路397巷10-12號,"25.078434,121.54761",1,"254 ",
大樓,WMA01240,永安里,臺北市中山區明水路397巷2弄20號,"25.077978,121.546459",1,"785 ",
大樓,WMA01241,永安里,臺北市中山區明水路397巷2弄22-24號,"25.077977,121.546532",1,"1070 ",
公寓,WMA03103,永安里,臺北市中山區北安路458巷47弄13-35號,"25.078247,121.545652",3,"2172 ",
公寓,WMA03118,永安里,臺北市中山區北安路458巷47弄49-53號,"25.0786,121.546394",3,"582 ",
大樓,WMA03143,永安里,臺北市中山區明水路397巷2弄10-12號,"25.077983,121.546976",1,"898 ",
大樓,WMA03143,永安里,臺北市中山區明水路397巷2弄6-8號,"25.077974,121.547431",2,"1042 ",
大樓,WMA03143,永安里,臺北市中山區明水路397巷2弄2號,"25.077971,121.547574",1,"785 ",
大樓,WMA03495,永安里,臺北市中山區明水路397巷20號,"25.07878,121.547461",1,"2528 ",
公寓,WMA03500,永安里,臺北市中山區北安路458巷47弄18號,"25.078192,121.546117",1,"189 ",
公寓,WMA01226,永安里,臺北市中山區明水路405-407號,"25.077525,121.548165",2,"669 ",
公寓,WMA01227,永安里,臺北市中山區明水路415-437號,"25.077511,121.548845",2,"1921 ",
公寓,WMA01228,永安里,臺北市中山區明水路441-455號,"25.0775,121.549735",2,"5236 ",
大樓,WMA01237,永安里,臺北市中山區明水路397巷3-5號,"25.077877,121.547782",2,"453 ",
大樓,WMA01247,永安里,臺北市中山區明水路397巷7弄6號,"25.077894,121.548118",1,"942 ",
大樓,WMA03070,永安里,臺北市中山區明水路397巷19弄10-20號,"25.078537,121.548175",2,"1762 ",
大樓,WMA03137,永安里,臺北市中山區明水路397巷19弄1號,"25.078735,121.549392",2,"9884 ",
大樓,WMA03372,永安里,臺北市中山區明水路397巷11號,"25.078441,121.547821",2,"1390 ",
大樓,WMA03574,永安里,臺北市中山區明水路397巷7弄2號,"25.077925,121.547912",1,"620 ",
大樓,WMA03793,永安里,臺北市中山區明水路399號,"25.077541,121.547788",1,"243 ",
大樓,WMA01238,永安里,臺北市中山區明水路397巷19弄22-28號,"25.078545,121.549313",2,"4637 ",
大樓,WMA01238,永安里,臺北市中山區明水路397巷9-15號,"25.078272,121.547827",1,"1352 ",
大樓,WMA01243,永安里,臺北市中山區明水路397巷7弄40-42號,"25.077888,121.550109",2,"662 ",
大樓,WMA03041,永安里,臺北市中山區明水路409號,"25.077552,121.548402",2,"377 ",
大樓,WMA03104,永安里,臺北市中山區明水路397巷9號,"25.078154,121.547825",2,"585 ",
公寓,WMA03171,永安里,臺北市中山區明水路397巷7弄24號,"25.077888,121.549198",1,"265 ",
大樓,WMA03388,永安里,臺北市中山區明水路397巷7弄18-22號,"25.07787,121.548464",1,"781 ",
大樓,WMA03475,永安里,臺北市中山區明水路397巷19弄2號,"25.078735,121.549392",2,"3985 ",
大樓,WMA01232,永安里,臺北市中山區明水路543號,"25.078652,121.552004",2,"4132 ",
大樓,WMA01233,永安里,臺北市中山區明水路561-575號,"25.079464,121.552036",1,"7662 ",
大樓,WMA01246,永安里,臺北市中山區明水路397巷7弄57-59號,"25.078495,121.550796",2,"4389 ",
大樓,WMA01251,永安里,臺北市中山區明水路557巷17-19號,"25.079393,121.550614",3,"1472 ",
大樓,WMA03043,永安里,臺北市中山區明水路581巷12弄9號,"25.079522,121.551337",1,"966 ",
大樓,WMA03313,永安里,臺北市中山區明水路581巷46-50號,"25.079819,121.551024",1,"1752 ",
大樓,WMA03876,永安里,臺北市中山區明水路397巷26弄5號,"25.078924,121.5475946",1,"1966 ",
永安國小,WMA03137,永安里,臺北市中山區明水路397巷19弄1號,"25.078735,121.549392",2,"9884 ",
大樓,WMA03105,成功里,臺北市中山區明水路607-609號,"25.082173,121.550984",1,"2760 ",
大樓,WMA03106,成功里,臺北市中山區明水路611-613號,"25.08239,121.550893",1,"2212 ",
公寓,WMA00516,成功里,臺北市中山區北安路620-628號,"25.08256,121.549076",1,"121 ",
公寓,WMA00519,成功里,臺北市中山區北安路632-636號,"25.082968,121.549183",1,"80 ",
公寓,WMA00520,成功里,臺北市中山區北安路638-640號,"25.083202,121.549255",1,"70 ",
公寓,WMA00521,成功里,臺北市中山區北安路642-648號,"25.083272,121.549274",1,"138 ",
公寓,WMA00522,成功里,臺北市中山區北安路650-660號,"25.083449,121.549319",1,"212 ",
大樓,WMA00603,成功里,臺北市中山區北安路608巷1-3號,"25.082068,121.549091",1,"1586 ",
大樓,WMA00645,成功里,臺北市中山區北安路630巷11-19號,"25.082919,121.549905",3,"1296 ",
大樓,WMA00645,成功里,臺北市中山區北安路630巷25弄1-11號,"25.082825,121.550443",1,"786 ",
大樓,WMA00646,成功里,臺北市中山區北安路630巷9弄16-22號,"25.083151,121.549848",1,"1000 ",
公寓,WMA00647,成功里,臺北市中山區北安路630巷9弄17號,"25.083513,121.549661",2,"329 ",
大樓,WMA00648,成功里,臺北市中山區北安路630巷9弄23號,"25.083793,121.549746",2,"722 ",
大樓,WMA03145,成功里,臺北市中山區敬業三路161巷2-6號,"25.079094,121.556087",1,"826 ",
大樓,WMA03147,成功里,臺北市中山區敬業三路161巷1-3號,"25.079353,121.555997",2,"1326 ",
大樓,WMA03176,成功里,臺北市中山區明水路500-518號,"25.078795,121.552532",2,"2448 ",
大樓,WMA03185,成功里,臺北市中山區明水路598號,"25.08128,121.551857",2,"3236 ",
大樓,WMA03196,成功里,臺北市中山區敬業一路160-162號,"25.083987,121.553132",1,"741 ",
大樓,WMA03201,成功里,臺北市中山區樂群二路116巷61弄2-10號,"25.07797,121.555145",3,"2445 ",
大樓,WMA03211,成功里,臺北市中山區明水路698-700號,"25.084876,121.551506",2,"4705 ",
大樓,WMA03212,成功里,臺北市中山區敬業一路97-99號,"25.082906,121.552048",2,"2309 ",
大樓,WMA03244,成功里,臺北市中山區樂群二路116巷61弄12號,"25.077929,121.554147",2,"1443 ",
大樓,WMA03246,成功里,臺北市中山區明水路486-492號,"25.078016,121.552481",2,"2577 ",
大樓,WMA03252,成功里,臺北市中山區樂群二路30巷30號,"25.079098,121.55349",1,"520 ",
大樓,WMA03255,成功里,臺北市中山區敬業一路192號,"25.083877,121.554137",2,"941 ",
大樓,WMA03145,成功里,臺北市中山區敬業三路161巷2-6號,"25.079094,121.556087",1,"826 ",
大樓,WMA03145,成功里,臺北市中山區敬業三路161巷2-6號,"25.079094,121.556087",1,"826 ",
大樓,WMA03147,成功里,臺北市中山區敬業三路161巷1-3號,"25.079353,121.555997",2,"1326 ",
大樓,WMA03176,成功里,臺北市中山區明水路500-518號,"25.078795,121.552532",2,"2448 ",
大樓,WMA03185,成功里,臺北市中山區明水路598號,"25.08128,121.551857",2,"3236 ",
大樓,WMA03196,成功里,臺北市中山區敬業一路160-162號,"25.083987,121.553132",1,"741 ",
大樓,WMA03201,成功里,臺北市中山區樂群二路116巷61弄2-10號,"25.07797,121.555145",3,"2445 ",
大樓,WMA03211,成功里,臺北市中山區明水路698-700號,"25.084876,121.551506",2,"4705 ",
大樓," WMA03212",成功里,臺北市中山區敬業一路97-99號,"25.082906,121.552048",2,"2309 ",
大樓,WMA03244,成功里,臺北市中山區樂群二路116巷61弄12號,"25.077929,121.554147",2,"1443 ",
大樓,WMA03246,成功里,臺北市中山區明水路486-492號,"25.078016,121.552481",2,"2577 ",
大樓,WMA03252,成功里,臺北市中山區樂群二路30巷30號,"25.079098,121.55349",1,"520 ",
大樓," WMA03255",成功里,臺北市中山區敬業一路192號,"25.083877,121.554137",2,"941 ",
大樓,WMA03145,成功里,臺北市中山區敬業三路161巷2-6號,"25.079094,121.556087",1,"826 ",
大樓,WMA03369,成功里,臺北市中山區敬業一路139號,"25.084022,121.551998",1,"1297 ",
大樓,WMA03380,成功里,臺北市中山區明水路526巷46號,"25.079141,121.553756",1,"357 ",
大樓,WMA03384,成功里,臺北市中山區樂群三路123號,"25.082823,121.554659",1,"4824 ",
大樓,WMA03394,成功里,臺北市中山區樂群三路51-61號,"25.082812,121.552741",1、2,"1233 ",
大樓,WMA03397,成功里,臺北市中山區明水路672巷21號,"25.083722,121.551597",1,"1684 ",
大樓,WMA03400,成功里,臺北市中山區敬業三路121-123號,"25.080611,121.556454",1,"9877 ",
大樓," WMA03405",成功里,臺北市中山區敬業三路161巷23-27號,"25.079364,121.555573",1,"277 ",
大樓,WMA03406,成功里,臺北市中山區樂群二路30巷38弄28號,"25.078583,121.554176",1,"468 ",
大樓,WMA03416,成功里,臺北市中山區明水路520號,"25.079143,121.552567",1,"453 ",
大樓,WMA03420,成功里,臺北市中山區樂群二路116巷61弄33號,"25.07826,121.554092",1,"158 ",
大樓,WMA03422,成功里,臺北市中山區明水路588號,"25.080707,121.552063",1,"482 ",
大樓,WMA03427,成功里,臺北市中山區明水路526巷56號,"25.079163,121.554191",1,"1015 ",
大樓,WMA03429,成功里,臺北市中山區敬業四路168號,"25.084285,121.558745",1,"3593 ",
大樓,WMA03431,成功里,臺北市中山區樂群二路39號,"25.080311,121.553786",1,"573 ",
大樓,WMA03436,成功里,臺北市中山區明水路480號,"25.077779,121.55204",1,"1616 ",
大樓,WMA03444,成功里,臺北市中山區明水路688號,"25.084163,121.551079",2,"1482 ",
大樓,WMA03445,成功里,臺北市中山區樂群二路30巷82弄9號,"25.077708,121.553665",2,"361 ",
大樓,WMA03446,成功里,臺北市中山區敬業二路69巷10號,"25.081824,121.553622",2,"772 ",
大樓,WMA03452,成功里,臺北市中山區明水路636號,"25.082841,121.551346",2,"2112 ",
大樓,WMA03480,成功里,臺北市中山區明水路650號,"25.083406,121.551154",2,"802 ",
大樓,WMA03485,成功里,臺北市中山區明水路526巷1號,"25.079355,121.552621",1,"2293 ",
大樓,WMA03486,成功里,臺北市中山區明水路702號,"25.085189,121.551976",1,"608 ",
大樓,WMA03492,成功里,臺北市中山區敬業一路128巷1號,"25.08347,121.552767",2,"2826 ",
大樓,WMA03496,成功里,臺北市中山區敬業一路59號,"25.081658,121.552466",2,"662 ",
大樓,WMA03499,成功里,臺北市中山區敬業二路69巷51號,"25.082124,121.553385",2,"2138 ",
大樓,WMA03509,成功里,臺北市中山區敬業一路118號,"25.083098,121.552375",2,"674 ",
大樓,WMA03511,成功里,臺北市中山區樂群三路67號,"25.082808,121.553505",2,"1380 ",
大樓,WMA03516,成功里,臺北市中山區明水路690號,"25.084413,121.551137",2,"1438 ",
大樓,WMA03517,成功里,臺北市中山區敬業一路166號,"25.083959,121.553385",2,"1614 ",
大樓,WMA03518,成功里,臺北市中山區敬業一路185號,"25.084235,121.553911",2,"1589 ",
大樓,WMA03532,成功里,臺北市中山區敬業一路128巷47號,"25.083407,121.553856",1,"590 ",
大樓,WMA03533,成功里,臺北市中山區樂群二路30巷38弄36號,"25.078572,121.554666",1,"1045 ",
大樓,WMA03541,成功里,臺北市中山區敬業二路30巷75號,"25.081797,121.553023",1,"2221 ",
大樓,WMA03547,成功里,臺北市中山區樂群二路116巷61弄16號,"25.078037,121.553832",1,"281 ",
大樓,WMA03549,成功里,臺北市中山區敬業二路89號,"25.082438,121.554302",4,"5238 ",
大樓,WMA03556,成功里,臺北市中山區樂群三路35號,"25.082809,121.55258",1,"542 ",
大樓,WMA03558,成功里,臺北市中山區敬業三路11號,"25.083572,121.55591",2,"9874 ",
大樓,WMA03573,成功里,臺北市中山區明水路590號,"25.080987,121.551978",3,"1722 ",
大樓,WMA03573,成功里,臺北市中山區敬業三路177巷1、3號,"25.078928,121.555556",1,"1680 ",
大樓,WMA03583,成功里,臺北市中山區敬業三路171號,"25.078887,121.556113",1,"478 ",
大樓,WMA03593,成功里,臺北市中山區樂群二路30巷38弄8號,"25.078555,121.553805",1,"741 ",
大樓,WMA03594,成功里,臺北市中山區明水路676號,"25.083874,121.551032",1,"1388 ",
大樓,WMA03597,成功里,臺北市中山區樂群二路30巷80號,"25.077711,121.553445",1、2,"634 ",
大樓,WMA03598,成功里,臺北市中山區樂群二路116巷61弄25號,"25.078258,121.554967",1,"1722 ",
大樓,WMA03610,成功里,臺北市中山區敬業一路36巷3號及敬業二路69巷16號,"25.081254,121.553388",1,"3854 ",
大樓,WMA03613,成功里,臺北市中山區敬業一路141號,"25.083932,121.552336",1,"1505 ",
大樓,WMA03617,成功里,"臺北市中山區樂群三路60號    ","25.082422,121.553214",1,"2265 ",
大樓,WMA03636,成功里," 臺北市中山區北安路668號","25.083929,121.54944",1,"318 ",
大樓,WMA03628,成功里,臺北市中山區樂群二路116巷55號,"25.078264,121.555273",1、2,"488 ",
大樓,WMA03636,成功里,臺北市中山區明水路666號,"25.08348,121.551128",1,"1578 ",
大樓,WMA03653,成功里,臺北市中山區樂群二路30巷60號,"25.078348,121.55373",1,"367 ",
大樓,WMA03583,成功里,臺北市中山區敬業三路171號,"25.078887,121.556113",1,"478 ",
大樓,WMA03665,成功里,臺北市中山區敬業路二段115號,"25.083227,121.554226",1,"929 ",
大樓,WMA03673,成功里,臺北市中山區明水路526巷58弄8號,"25.078863,121.554503",1,"514 ",
大樓,WMA03674,成功里,臺北市中山區明水路526巷58弄9號,"25.078862,121.55432",1,"413 ",
大樓,WMA03851,成功里,臺北市中山區敬業二路195號,"25.08343,121.554278",1,"898 ",
大樓,WMA03676,成功里,臺北市中山區樂群二路30巷66號,"25.078047,121.553456",1,"361 ",
大樓,WMA03852,成功里,臺北市中山區樂群三路128號,"25.082585,121.554928",1,"4969 ",
大樓,WMA03697,成功里,臺北市中山區敬業一路173號,"25.084337,121.553451",1,"1661 ",
大樓,WMA03782,成功里,臺北市中山區敬業一路169號,"25.08424,121.553162",1,"843 ",
大樓,WMA03805,成功里,臺北市中山區北安路669號,"25.085054,121.549361",1,"193 ",
大樓,WMA03789,成功里,臺北市中山區樂群二路30巷38弄32號,"25.078581,121.554496",1,"532 ",
大樓,WMA0379,成功里,臺北市中山區明水路618號,"25.082536,121.551389",1,"1060 ",
大樓,WMA00605,成功里,臺北市中山區北安路608巷5弄6-22號,"25.08208,121.549494",1,"2741 ",
大樓,WMA01234,成功里,臺北市中山區明水路593-601號,"25.081219,121.551424",2,"3825 ",
大樓,WMA03017,成功里,臺北市中山區北安路608巷16-18號,"25.081828,121.550838",1,"678 ",
大樓,WMA00604,成功里,臺北市中山區北安路608巷4弄6號,"25.081415,121.549307",3,"1969 ",
大樓,WMA03011,成功里,臺北市中山區明水路630巷25弄2號,"25.080102,121.550544",2,"4012 ",
大樓,WMA00015,朱崙里,臺北市中山區八德路二段201號,"25.046768,121.539317",1,"1390 ",
大樓,WMA00018,朱崙里,臺北市中山區八德路二段245號,"25.046941,121.540893",1,"661 ",
大樓,WMA00019,朱崙里,臺北市中山區八德路二段249、251號,"25.047615,121.54364",1,"597 ",
大樓,WMA00033,朱崙里,臺北市中山區八德路二段167巷21號,"25.047567,121.538054",1,"314 ",
公寓,WMA00034,朱崙里,臺北市中山區建國北路一段17巷24號,"25.046911,121.538165",2,"216 ",
公寓,WMA00042,朱崙里,臺北市中山區八德路二段199巷15、17號,"25.048082,121.538771",1,"48 ",
公寓,WMA00044,朱崙里,臺北市中山區八德路二段267巷17號,"25.047533,121.541349",1,"36 ",
大樓,WMA01682,朱崙里,臺北市中山區長安東路二段142號,"25.048279,121.537395",2,"1078 ",
公寓,WMA01689,朱崙里,臺北市中山區長安東路二段178號,"25.048217,121.540584",1,"32 ",
公寓,WMA01940,朱崙里,臺北市中山區建國北路一段33巷9號,"25.047889,121.537582",1,"12 ",
公寓,WMA01944,朱崙里,臺北市中山區建國北路一段33巷5號,"25.047877,121.537443",1,"49 ",
公寓,WMA01948,朱崙里,臺北市中山區建國北路一段33巷45、47號,"25.047826,121.539406",1,"182 ",
大樓,WMA01999,朱崙里,臺北市中山區建國北路一萬35號,"25.04772,121.537137",1,"289 ",
公寓,WMA02007,朱崙里,臺北市中山區建國北路一段23巷17-19號,"25.047402,121.53809",1,"240 ",
