類別,建築物名稱,電腦編號,村里別,地址,緯度,經度,地下樓層數,可容納人數,備註,placemark_address
地下室,惠生醫院,JNA00001,南光里,彰化縣二林鎮南光里大成路1段266號,23.89787887,120.3693795,"1 ","50 ",,彰化縣二林鎮南光里大成路1段266號
地下室,廣福佳園,JNA00018,南光里,彰化縣二林鎮南光里裕民街10號,23.89595815,120.3687192,"1 ","1,331 ",,彰化縣二林鎮南光里裕民街10號
地下室,二林基督教醫院,JNA00025,南光里,彰化縣二林鎮南光里大成路1段558號,23.89359304,120.3633791,"1 ","2,275 ",,彰化縣二林鎮南光里大成路1段558號
地下室,二林基督教長老教會,JNA00079,東和里,彰化縣二林鎮東和里中正路13號,23.89926723,120.3692657,"1 ","133 ",,彰化縣二林鎮東和里中正路13號
地下室,大宏建設公司（一品世家大樓）,JNA00003,後厝里,彰化縣二林鎮後厝里正知三路12號,23.90008284,120.3834624,"1 ","871 ",,彰化縣二林鎮後厝里正知三路12號
地下室,眾泰建設公司,JNA00014,後厝里,彰化縣二林鎮後厝里斗苑路4段267號,23.89920975,120.3820681,"1 ","1,622 ",,彰化縣二林鎮後厝里斗苑路4段267號
地下室,金聯合建設公司,JNA00017,後厝里,彰化縣二林鎮後厝里斗苑路4段357號,23.89927888,120.3802435,"1 ","238 ",,彰化縣二林鎮後厝里斗苑路4段357號
地下室,大宏建設公司（二林示範國宅）,JNA00003,後厝里,彰化縣二林鎮後厝里斗苑路4段198號,23.89934626,120.3834845,"1 ","1,187 ",,彰化縣二林鎮後厝里斗苑路4段198號
地下室,金成賓館,JNA00005,北平里,彰化縣二林鎮北平里新生路298號,23.90550873,120.368743,"1 ","671 ",,彰化縣二林鎮北平里新生路298號
地下室,大樓,JNA00013,北平里,彰化縣二林鎮北平里福德街8巷19號,23.90516294,120.3658879,"1 ","111 ",,彰化縣二林鎮北平里福德街8巷19號
地下室,晉坤建設公司,JNA00022,北平里,彰化縣二林鎮北平里民享街37號,23.90513311,120.3709948,"1 ","1,360 ",,彰化縣二林鎮北平里民享街37號
地下室,二林工商,JNA00015,豐田里,彰化縣二林鎮豐田里斗苑路4段500號,23.90112793,120.3774703,"1 ","480 ",,彰化縣二林鎮豐田里斗苑路4段500號
地下室,宋志懿醫院,JNA00019,豐田里,彰化縣二林鎮豐田里大成路1段51號,23.90059735,120.3728408,"1 ","96 ",,彰化縣二林鎮豐田里大成路1段51號
地下室,二林工商,JNA00081,豐田里,彰化縣二林鎮豐田里斗苑路4段500號,23.90112793,120.3774703,"1 ","445 ",,彰化縣二林鎮豐田里斗苑路4段500號
地下室,二林工商,JNA00082,豐田里,彰化縣二林鎮豐田里斗苑路4段500號,23.90112793,120.3774703,"1 ","480 ",,彰化縣二林鎮豐田里斗苑路4段500號
地下室,二林工商,JNA00083,豐田里,彰化縣二林鎮豐田里斗苑路4段500號,23.90112793,120.3774703,"1 ","480 ",,彰化縣二林鎮豐田里斗苑路4段500號
地下室,二林工商,JNA00128,豐田里,彰化縣二林鎮豐田里斗苑路4段500號,23.90112793,120.3774703,"1 ","480 ",,彰化縣二林鎮豐田里斗苑路4段500號
地下室,觀音堂,JNA00012,西平里,彰化縣二林鎮西平里自強街296號,23.89962103,120.3649244,"1 ","380 ",,彰化縣二林鎮西平里自強街296號
地下室,泉德成油廠,JNA00132,西平里,彰化縣二林鎮西平里儒林路2段469號,23.90084795,120.3674976,"1 ","62 ",,彰化縣二林鎮西平里儒林路2段469號
地下室,竹塘鄉公所,JNA00028,竹塘村,彰化縣竹塘鄉竹塘村竹林路1段305號,23.86048929,120.4277072,"1 ","383 ",,彰化縣竹塘鄉竹塘村竹林路1段305號
地下室,莊伯義,JNA00029,竹塘村,彰化縣竹塘鄉竹塘村中興街41巷21號,23.85789817,120.4264425,"1 ","53 ",,彰化縣竹塘鄉竹塘村中興街41巷21號
地下室,竹塘國民小學,JNA00030,竹塘村,彰化縣竹塘鄉竹塘村文化街20號,23.86082525,120.4287822,"1 ","66 ",,彰化縣竹塘鄉竹塘村文化街20號
地下室,碁富公司,JNA00031,東城村,彰化縣大城鄉東城村南平路1號之1,23.84959013,120.3278649,"1 ","475 ",,彰化縣大城鄉東城村南平路1號之1
地下室,大城鄉公所,JNA00033,東城村,彰化縣大城鄉東城村中平路185號,23.8523147,120.3208919,"1 ","716 ",,彰化縣大城鄉東城村中平路185號
地下室,大城鄉圖書館,JNA00034,東城村,彰化縣大城鄉東城村中平路163號,23.85263782,120.3209989,"1 ","106 ",,彰化縣大城鄉東城村中平路163號
地下室,大錚實業有限公司,JNA00035,東城村,彰化縣大城鄉東城村南平路3號之2,23.85079411,120.327758,"1 ","53 ",,彰化縣大城鄉東城村南平路3號之2
地下室,大錚實業有限公司,JNA00036,東城村,彰化縣大城鄉東城村南平路3號,23.85079411,120.327758,"1 ","75 ",,彰化縣大城鄉東城村南平路3號
地下室,夏暉食品公司,JNA00133,東城村,彰化縣大城鄉東城村南平路1-2號,23.84959582,120.327672,"1 ","1,418 ",,彰化縣大城鄉東城村南平路1-2號
地下室,宏恩塑膠公司,JNA00020,後寮村,彰化縣芳苑鄉後寮村工區路35號,23.92098409,120.3487445,"1 ","48 ",,彰化縣芳苑鄉後寮村工區路35號
地下室,吉茂精密公司,JNA00041,後寮村,彰化縣芳苑鄉後寮村工區路15號,23.92085688,120.3486998,"1 ","86 ",,彰化縣芳苑鄉後寮村工區路15號
地下室,吉茂精密公司,JNA00042,後寮村,彰化縣芳苑鄉後寮村工區路13號,23.92084591,120.3487008,"1 ","97 ",,彰化縣芳苑鄉後寮村工區路13號
地下室,美傢家具股份有限公司,JNA00043,後寮村,彰化縣芳苑鄉後寮村工區路5號,23.90982312,120.3457184,"1 ","280 ",,彰化縣芳苑鄉後寮村工區路5號
地下室,力麗企業公司,JNA00044,後寮村,彰化縣芳苑鄉後寮村工業路38號,23.92359265,120.3552247,"1 ","938 ",,彰化縣芳苑鄉後寮村工業路38號
地下室,力麗企業公司,JNA00045,後寮村,彰化縣芳苑鄉後寮村工區七路16號,23.91755266,120.3518768,"1 ","1,359 ",,彰化縣芳苑鄉後寮村工區七路16號
地下室,佑鋒實業公司,JNA00048,後寮村,彰化縣芳苑鄉後寮村工區四路9號,23.91352244,120.3487864,"1 ","98 ",,彰化縣芳苑鄉後寮村工區四路9號
地下室,帝宏膠業有限公司,JNA00049,後寮村,彰化縣芳苑鄉後寮村工業路24號,23.9178303,120.3536491,"1 ","45 ",,彰化縣芳苑鄉後寮村工業路24號
地下室,力鵬企業有限公司,JNA00051,後寮村,彰化縣芳苑鄉後寮村工業路16號,23.91436316,120.3516833,"1 ","917 ",,彰化縣芳苑鄉後寮村工業路16號
地下室,翔億公司,JNA00052,後寮村,彰化縣芳苑鄉後寮村工區路41號,23.92105182,120.3486152,"1 ","180 ",,彰化縣芳苑鄉後寮村工區路41號
地下室,佑懋興公司,JNA00053,後寮村,彰化縣芳苑鄉後寮村工區五路15號,23.91515674,120.3483366,"1 ","62 ",,彰化縣芳苑鄉後寮村工區五路15號
地下室,保境有限公司,JNA00054,後寮村,彰化縣芳苑鄉後寮村工業路12號,23.91347012,120.3513615,"1 ","82 ",,彰化縣芳苑鄉後寮村工業路12號
地下室,樺美食品公司,JNA00057,後寮村,彰化縣芳苑鄉後寮村工區路37號,23.92035588,120.3484658,"1 ","188 ",,彰化縣芳苑鄉後寮村工區路37號
地下室,聚隆纖維公司,JNA00058,後寮村,彰化縣芳苑鄉後寮村工區路45號,23.92324864,120.3492379,"1 ","706 ",,彰化縣芳苑鄉後寮村工區路45號
