類別,建築物名稱,電腦編號,村里別,地址,緯度,經度,地下樓層數,可容納人數,備註,placemark_address
地下室,聚隆纖維公司,JNA00059,後寮村,彰化縣芳苑鄉後寮村工區路45號,23.92324864,120.3492379,"1 ","700 ",,彰化縣芳苑鄉後寮村工區路45號
地下室,芳苑工業區汙水處理廠,JNA00060,後寮村,彰化縣芳苑鄉後寮村工區11路40號,23.92488844,120.3530996,"1 ","133 ",,彰化縣芳苑鄉後寮村工區11路40號
地下室,今立塑膠公司,JNA00065,後寮村,彰化縣芳苑鄉後寮村工區六路8號,23.91635729,120.3498604,"1 ","33 ",,彰化縣芳苑鄉後寮村工區六路8號
地下室,友晟塑膠公司,JNA00068,後寮村,彰化縣芳苑鄉後寮村工區路20號,23.91247936,120.3468134,"1 ","142 ",,彰化縣芳苑鄉後寮村工區路20號
地下室,祥鈦企業公司,JNA00072,後寮村,彰化縣芳苑鄉後寮村工區三路1號,23.91249005,120.3472631,"1 ","108 ",,彰化縣芳苑鄉後寮村工區三路1號
地下室,紅政公司,JNA00077,後寮村,彰化縣芳苑鄉後寮村工區六路12號,23.91639245,120.3504396,"1 ","108 ",,彰化縣芳苑鄉後寮村工區六路12號
地下室,宏恩塑膠公司,JNA00078,後寮村,彰化縣芳苑鄉後寮村工區路33號,23.91899312,120.3481867,"1 ","124 ",,彰化縣芳苑鄉後寮村工區路33號
地下室,芳苑工業服務中心,JNA00085,後寮村,彰化縣芳苑鄉後寮村工區路18號,23.91213718,120.3467269,"1 ","62 ",,彰化縣芳苑鄉後寮村工區路18號
地下室,上建升工業,JNA00086,後寮村,彰化縣芳苑鄉後寮村工區三路26號,23.91204885,120.3506544,"1 ","84 ",,彰化縣芳苑鄉後寮村工區三路26號
地下室,域愷公司,JNA00090,後寮村,彰化縣芳苑鄉後寮村工區路26號,23.91413817,120.3473276,"1 ","54 ",,彰化縣芳苑鄉後寮村工區路26號
地下室,學一公司,JNA00092,後寮村,彰化縣芳苑鄉後寮村工區路22號,23.91287314,120.346856,"1 ","62 ",,彰化縣芳苑鄉後寮村工區路22號
地下室,東隆興業公司,JNA00093,後寮村,彰化縣芳苑鄉後寮村工區路11號,23.92082695,120.3487016,"1 ","124 ",,彰化縣芳苑鄉後寮村工區路11號
地下室,大川鋅氧工業公司,JNA00098,後寮村,彰化縣芳苑鄉後寮村工區四路10號,23.91394051,120.3482071,"1 ","107 ",,彰化縣芳苑鄉後寮村工區四路10號
地下室,佑霖公司,JNA00100,後寮村,彰化縣芳苑鄉後寮村工區二路13號,23.91125403,120.3486153,"1 ","86 ",,彰化縣芳苑鄉後寮村工區二路13號
地下室,宏謚汽車公司,JNA00107,後寮村,彰化縣芳苑鄉後寮村工區路34號,23.91928732,120.3483568,"1 ","115 ",,彰化縣芳苑鄉後寮村工區路34號
地下室,北原工業公司,JNA00108,後寮村,彰化縣芳苑鄉後寮村工區路38號,23.92100353,120.3487443,"1 ","117 ",,彰化縣芳苑鄉後寮村工區路38號
地下室,友晟塑膠公司,JNA00109,後寮村,彰化縣芳苑鄉後寮村工區路20號,23.91248087,120.3468129,"1 ","82 ",,彰化縣芳苑鄉後寮村工區路20號
地下室,吉茂精密公司,JNA00112,後寮村,彰化縣芳苑鄉後寮村芳工區六路3號,23.91162612,120.3463836,"1 ","250 ",,彰化縣芳苑鄉後寮村芳工區六路3號
地下室,吉茂精密公司,JNA00114,後寮村,彰化縣芳苑鄉後寮村工區路28號,23.91486425,120.3475205,"1 ","1,045 ",,彰化縣芳苑鄉後寮村工區路28號
地下室,友晟塑膠公司,JNA00115,後寮村,彰化縣芳苑鄉後寮村工區路27號,23.91674662,120.347821,"1 ","82 ",,彰化縣芳苑鄉後寮村工區路27號
地下室,全基木業有限公司,JNA00117,後寮村,彰化縣芳苑鄉後寮村工區二路21號,23.91111676,120.349023,"1 ","133 ",,彰化縣芳苑鄉後寮村工區二路21號
地下室,美傢家具股份有限公司,JNA00118,後寮村,彰化縣芳苑鄉後寮村工區路5號,23.90982253,120.3457185,"1 ","257 ",,彰化縣芳苑鄉後寮村工區路5號
地下室,雅昌實業公司,JNA00119,後寮村,彰化縣芳苑鄉後寮村工區五路6號,23.91455025,120.3506537,"1 ","180 ",,彰化縣芳苑鄉後寮村工區五路6號
地下室,佑懋興公司,JNA00124,後寮村,彰化縣芳苑鄉後寮村工區四路22號,23.91339187,120.3504391,"1 ","41 ",,彰化縣芳苑鄉後寮村工區四路22號
地下室,力麗公司,JNA00127,後寮村,彰化縣芳苑鄉後寮村工區九路6號,23.92151227,120.3497521,"1 ","927 ",,彰化縣芳苑鄉後寮村工區九路6號
地下室,力鵬公司,JNA00131,後寮村,彰化縣芳苑鄉後寮村工業路33號,23.92117867,120.3538723,"1 ","77 ",,彰化縣芳苑鄉後寮村工業路33號
地下室,芳苑消防分隊,JNA00111,芳苑村,彰化縣芳苑鄉芳苑村斗苑路芳苑段194巷50號,23.9251906,120.3204834,"1 ","96 ",,彰化縣芳苑鄉芳苑村斗苑路芳苑段194巷50號
地下室,芳苑文化活動中心,JNA00091,芳苑村,彰化縣芳苑鄉芳苑村斗苑路220號,23.92532711,120.3178867,"1 ","280 ",,彰化縣芳苑鄉芳苑村斗苑路220號
地下室,富味鄉公司,JNA00037,仁愛村,彰化縣芳苑鄉仁愛村斗苑路芳苑段73號,23.92114038,120.3241745,"1 ","100 ",,彰化縣芳苑鄉仁愛村斗苑路芳苑段73號
地下室,重光油脂,JNA00084,頂廍村,彰化縣芳苑鄉頂廍村斗苑路頂侯段600號,23.91596206,120.332971,"1 ","122 ",,彰化縣芳苑鄉頂廍村斗苑路頂侯段600號
地下室,普裕公司,JNA00073,草湖村,彰化縣芳苑鄉草湖村二溪路草2段275號,23.95397239,120.3806566,"1 ","133 ",,彰化縣芳苑鄉草湖村二溪路草2段275號
地下室,晶品金屬,JNA00095,建平村,彰化縣芳苑鄉建平村二溪路草2段805巷10號,23.95802332,120.3934216,"1 ","57 ",,彰化縣芳苑鄉建平村二溪路草2段805巷10號
