類別,電腦編號,村里別,地下樓層數,可容納人數,轄管分局,備註,停車場坡道,placemark_address
大樓,EVY10001,福祿里,1,2642,蘆竹分局,南崁所,O,桃園市蘆竹區五福六路48號
工廠,EVY10002,內厝里,1,2254,蘆竹分局,南崁所,O,桃園市蘆竹區長安路一段148號
大樓,EVY10003,中山里,1,1780,蘆竹分局,南崁所,O,桃園市蘆竹區福祿一街202號
工廠,EVY10004,瓦窯里,1,124,蘆竹分局,南崁所,,桃園市蘆竹區南山路一段349巷9號
工廠,EVY10005,瓦窯里,1,286,蘆竹分局,南崁所,,桃園市蘆竹區南山路一段349巷21號
工廠,EVY10006,瓦窯里,1,112,蘆竹分局,南崁所,,桃園市蘆竹區南山路一段349巷3號
大樓,EVY10007,瓦窯里,1,714,蘆竹分局,南崁所,O,桃園市蘆竹區五福路100號
大樓,EVY10008,瓦窯里,1,128,蘆竹分局,南崁所,O,桃園市蘆竹區南山路一段179巷17號
工廠,EVY10013,瓦窯里,1,59,蘆竹分局,南崁所,,桃園市蘆竹區六福路93號
工廠,EVY10014,羊稠里,1,51,蘆竹分局,南崁所,,桃園市蘆竹區中山路48巷27號
政府機關,EVY10015,南崁里,1,2024,蘆竹分局,南崁所,O,桃園市蘆竹區南崁路150號
工廠,EVY10017,錦興里,1,54,蘆竹分局,南崁所,,桃園市蘆竹區錦秀街4號
工廠,EVY10018,錦興里,1,187,蘆竹分局,南崁所,,桃園市蘆竹區錦秀街12號
工廠,EVY10019,錦興里,1,187,蘆竹分局,南崁所,,桃園市蘆竹區錦秀街14號
工廠,EVY10020,錦興里,1,956,蘆竹分局,南崁所,,桃園市蘆竹區錦秀街13巷1號
工廠,EVY10021,錦興里,1,110,蘆竹分局,南崁所,,桃園市蘆竹區錦華路43巷8號
工廠,EVY10022,錦興里,1,121,蘆竹分局,南崁所,,桃園市蘆竹區錦華路43巷6號
工廠,EVY10023,錦興里,1,121,蘆竹分局,南崁所,,桃園市蘆竹區錦華路43巷4號
工廠,EVY10024,錦興里,1,119,蘆竹分局,南崁所,,桃園市蘆竹區錦華路43巷2號
工廠,EVY10025,錦興里,1,557,蘆竹分局,南崁所,,桃園市蘆竹區錦秀街18號
工廠,EVY10026,錦興里,1,196,蘆竹分局,南崁所,,桃園市蘆竹區錦秀街16號
工廠,EVY10027,南崁里,1,62,蘆竹分局,南崁所,,桃園市蘆竹區新南路二段138號
工廠,EVY10028,南崁里,1,34,蘆竹分局,南崁所,,桃園市蘆竹區新南路二段140號
工廠,EVY10031,長興里,1,137,蘆竹分局,南崁所,,桃園市蘆竹區興隆街40巷28號
工廠,EVY10032,長興里,1,590,蘆竹分局,南崁所,,桃園市蘆竹區南工路一段12號
工廠,EVY10035,錦中里,1,80,蘆竹分局,南崁所,,桃園市蘆竹區南崁路一段231巷28號
工廠,EVY10036,錦中里,1,78,蘆竹分局,南崁所,,桃園市蘆竹區南崁路一段231巷30號
工廠,EVY10037,錦中里,1,116,蘆竹分局,南崁所,,桃園市蘆竹區南崁路一段231巷31號
工廠,EVY10038,錦中里,1,116,蘆竹分局,南崁所,,桃園市蘆竹區南崁路一段231巷27號
工廠,EVY10039,錦中里,1,116,蘆竹分局,南崁所,,桃園市蘆竹區南崁路一段231巷29號
工廠,EVY10040,錦中里,1,124,蘆竹分局,南崁所,,桃園市蘆竹區南崁路一段231巷25號
工廠,EVY10041,錦中里,1,78,蘆竹分局,南崁所,,桃園市蘆竹區南崁路一段231巷22號
工廠,EVY10044,瓦窯里,1,88,蘆竹分局,南崁所,,桃園市蘆竹區南山路一段126巷13號
工廠,EVY10045,瓦窯里,1,265,蘆竹分局,南崁所,,桃園市蘆竹區南山路一段113號
大樓,EVY10048,營盤里,1,1381,蘆竹分局,南崁所,O,桃園市蘆竹區六福路165巷17號
大樓,EVY10049,營盤里,1,546,蘆竹分局,南崁所,O,桃園市蘆竹區六福路247巷6號
大樓,EVY10051,福祿里,1,813,蘆竹分局,南崁所,O,桃園市蘆竹區五福一路195號
大樓,EVY10052,中山里,1,813,蘆竹分局,南崁所,O,桃園市蘆竹區中山路89號
大樓,EVY10056,瓦窯里,1,5732,蘆竹分局,南崁所,O
工廠,EVY10060,南崁里,1,225,蘆竹分局,南崁所,,桃園市蘆竹區新南路一段362號
大樓,EVY10061,南崁里,1,1973,蘆竹分局,南崁所,O,桃園市蘆竹區新南路一段163號
大樓,EVY10062,南崁里,1,3746,蘆竹分局,南崁所,O,桃園市蘆竹區新南路一段376號
大樓,EVY10064,南崁里,1,534,蘆竹分局,南崁所,O,桃園市蘆竹區新南路二段100號
工廠,EVY10065,南崁里,1,34,蘆竹分局,南崁所,,桃園市蘆竹區新南路二段144號
工廠,EVY10068,南崁里,1,34,蘆竹分局,南崁所,,桃園市蘆竹區新南路二段150號
工廠,EVY10077,南崁里,1,777,蘆竹分局,南崁所,,桃園市蘆竹區南華一街35號
工廠,EVY10080,內厝里,1,36,蘆竹分局,南崁所,,桃園市蘆竹區內新路53號
工廠,EVY10082,內厝里,1,533,蘆竹分局,南崁所,,桃園市蘆竹區長安路二段40號
工廠,EVY10086,內厝里,1,128,蘆竹分局,南崁所,,桃園市蘆竹區內溪路62號
工廠,EVY10087,內厝里,1,58,蘆竹分局,南崁所,,桃園市蘆竹區內溪路3號
工廠,EVY10088,內厝里,1,392,蘆竹分局,南崁所,,桃園市蘆竹區內新路61號
工廠,EVY10089,內厝里,1,1322,蘆竹分局,南崁所,,桃園市蘆竹區南山路二段357巷34號
工廠,EVY10092,內厝里,1,78,蘆竹分局,南崁所,,桃園市蘆竹區南山路二段90號
工廠,EVY10095,長興里,1,173,蘆竹分局,南崁所,,桃園市蘆竹區南崁路二段201巷9號
工廠,EVY10102,長興里,1,3640,蘆竹分局,南崁所,O,桃園市蘆竹區南崁路二段323號
工廠,EVY10103,長興里,1,1818,蘆竹分局,南崁所,O,桃園市蘆竹區南崁路二段355號
工廠,EVY10106,長興里,1,388,蘆竹分局,南崁所,,桃園市蘆竹區南崁路二段38號
工廠,EVY10107,長興里,1,129,蘆竹分局,南崁所,,桃園市蘆竹區南崁路二段42巷2號
工廠,EVY10114,長興里,1,288,蘆竹分局,南崁所,,桃園市蘆竹區南崁路二段3號
民宅,EVY10116,五福里,1,161,蘆竹分局,南崁所,,桃園市蘆竹區仁愛路一段466號
民宅,EVY10118,五福里,1,204,蘆竹分局,南崁所,,桃園市蘆竹區仁愛路一段494號之1
工廠,EVY10122,長興里,1,3818,蘆竹分局,南崁所,O,桃園市蘆竹區南崁路一段336號
工廠,EVY10125,長興里,1,1818,蘆竹分局,南崁所,O,桃園市蘆竹區南崁路二段355號
工廠,EVY10126,長興里,1,406,蘆竹分局,南崁所,,桃園市蘆竹區興隆街29-5號
工廠,EVY10128,長興里,1,34,蘆竹分局,南崁所,,桃園市蘆竹區興隆街40巷17號
工廠,EVY10129,長興里,1,34,蘆竹分局,南崁所,,桃園市蘆竹區興隆街40巷17號
工廠,EVY10130,長興里,1,34,蘆竹分局,南崁所,,桃園市蘆竹區興隆街40巷17號
工廠,EVY10131,長興里,1,34,蘆竹分局,南崁所,,桃園市蘆竹區興隆街40巷19號
工廠,EVY10132,長興里,1,41,蘆竹分局,南崁所,,桃園市蘆竹區興隆街40巷2號
工廠,EVY10134,內厝里,1,25,蘆竹分局,南崁所,,桃園市蘆竹區南山路二段261號
工廠,EVY10135,長興里,1,693,蘆竹分局,南崁所,,桃園市蘆竹區南工路一段11號
工廠,EVY10139,長興里,1,82,蘆竹分局,南崁所,,桃園市蘆竹區南工路一段14號
工廠,EVY10141,長興里,1,53,蘆竹分局,南崁所,,桃園市蘆竹區南工路一段南工巷5號
工廠,EVY10142,長興里,1,53,蘆竹分局,南崁所,,桃園市蘆竹區南工路一段南工巷7號
民宅,EVY10143,長興里,1,68,蘆竹分局,南崁所,,桃園市蘆竹區南工路一段南工巷11號
工廠,EVY10145,長興里,1,49,蘆竹分局,南崁所,,桃園市蘆竹區南工路一段8-2號
工廠,EVY10146,長興里,1,49,蘆竹分局,南崁所,,桃園市蘆竹區南工路一段8-3號
工廠,EVY10150,內厝里,1,45,蘆竹分局,南崁所,,桃園市蘆竹區長安路二段39巷13號
工廠,EVY10153,內厝里,1,49,蘆竹分局,南崁所,,桃園市蘆竹區南山路二段205巷60號
工廠,EVY10154,內厝里,1,329,蘆竹分局,南崁所,,桃園市蘆竹區南山路二段205巷60號
工廠,EVY10156,內厝里,1,26,蘆竹分局,南崁所,,桃園市蘆竹區長安路二段39巷12號
工廠,EVY10157,內厝里,1,440,蘆竹分局,南崁所,,桃園市蘆竹區油管路一段450號
工廠,EVY10158,內厝里,1,96,蘆竹分局,南崁所,,桃園市蘆竹區長安路二段39巷4號
工廠,EVY10159,內厝里,1,58,蘆竹分局,南崁所,,桃園市蘆竹區大豐街43巷6號
工廠,EVY10162,內厝里,1,102,蘆竹分局,南崁所,,桃園市蘆竹區大豐街38號
工廠,EVY10163,內厝里,1,68,蘆竹分局,南崁所,,桃園市蘆竹區長興路三段247號
工廠,EVY10166,內厝里,1,820,蘆竹分局,南崁所,
工廠,EVY10168,內厝里,1,130,蘆竹分局,南崁所,,桃園市蘆竹區長安路二段100號
工廠,EVY10169,內厝里,1,86,蘆竹分局,南崁所,,桃園市蘆竹區內溪路51號
工廠,EVY10170,內厝里,1,34,蘆竹分局,南崁所,,桃園市蘆竹區內溪路33號
工廠,EVY10172,內厝里,1,26,蘆竹分局,南崁所,,桃園市蘆竹區大豐街31巷10號
工廠,EVY10173,內厝里,1,314,蘆竹分局,南崁所,,桃園市蘆竹區內溪路49號
工廠,EVY10174,內厝里,1,212,蘆竹分局,南崁所,,桃園市蘆竹區長興路三段7號
工廠,EVY10175,內厝里,1,118,蘆竹分局,南崁所,,桃園市蘆竹區大豐街37號
工廠,EVY10176,內厝里,1,156,蘆竹分局,南崁所,,桃園市蘆竹區南山路二段205巷58號
工廠,EVY10179,內厝里,1,136,蘆竹分局,南崁所,,桃園市蘆竹區南山路二段394巷63-1號
工廠,EVY10180,內厝里,1,68,蘆竹分局,南崁所,,桃園市蘆竹區內溪路42號
工廠,EVY10181,內厝里,1,160,蘆竹分局,南崁所,,桃園市蘆竹區南山路二段12巷78號
工廠,EVY10185,內厝里,1,80,蘆竹分局,南崁所,,桃園市蘆竹區內溪路39巷44號
工廠,EVY10188,內厝里,1,741,蘆竹分局,南崁所,,桃園市蘆竹區內溪路48號
工廠,EVY10190,內厝里,1,58,蘆竹分局,南崁所,,桃園市蘆竹區內溪路52號
工廠,EVY10191,內厝里,1,54,蘆竹分局,南崁所,,桃園市蘆竹區內溪路39巷39號
民宅,EVY10193,南崁里,1,590,蘆竹分局,南崁所,,桃園市蘆竹區南崁路175巷9號
工廠,EVY10194,長興里,1,113,蘆竹分局,南崁所,,桃園市蘆竹區南崁路二段281號
工廠,EVY10195,內厝里,1,110,蘆竹分局,南崁所,,桃園市蘆竹區長興路三段219巷9號
工廠,EVY10196,長興里,1,3818,蘆竹分局,南崁所,O,桃園市蘆竹區南崁路一段336號
大樓,EVY10197,羊稠里,1,3762,蘆竹分局,南崁所,O,桃園市蘆竹區中山路20號
大樓,EVY10198,五福里,1,4838,蘆竹分局,南崁所,O,桃園市蘆竹區長春路84號
大樓,EVY10199,南榮里,1,421,蘆竹分局,南崁所,O,桃園市蘆竹區中正路131號
大樓,EVY10200,營盤里,1,6589,蘆竹分局,南崁所,O,桃園市蘆竹區六福路253號
民宅,EVY10202,南榮里,1,722,蘆竹分局,南崁所,,桃園市蘆竹區南竹路一段63號
大樓,EVY10203,五福里,1,2259,蘆竹分局,南崁所,O,桃園市蘆竹區五福六路40號
大樓,EVY10204,五福里,1,2392,蘆竹分局,南崁所,O,桃園市蘆竹區中山路73號
大樓,EVY10205,羊稠里,1,7858,蘆竹分局,南崁所,O,桃園市蘆竹區中山路45號
工廠,EVY10206,瓦窯里,1,318,蘆竹分局,南崁所,,桃園市蘆竹區六福路22號
