編號,地址,避難所在之地下樓層數,可容納人數,轄區分局,經度,緯度,里別
1.0,臺中市大甲區幸福里5鄰長安路福祥巷58號,1.0,16.0,大甲分局,120.660261,24.382278,幸福里
2.0,臺中市大甲區日南里19鄰幼獅路33號,1.0,70.0,大甲分局,120.650531,24.406554,日南里
3.0,臺中市大甲區日南里19鄰工一路24號,1.0,520.0,大甲分局,120.646408,24.408821,日南里
4.0,臺中市大甲區日南里19鄰幼獅路69號,1.0,43.0,大甲分局,120.656469,24.402747,日南里
5.0,臺中市大甲區日南里19鄰幼獅路7號,1.0,21.0,大甲分局,120.645411,24.408579,日南里
6.0,臺中市大甲區日南里19鄰幼獅路59號,1.0,21.0,大甲分局,120.654637,24.403381,日南里
7.0,臺中市大甲區日南里19鄰工九路27號,1.0,36.0,大甲分局,120.654642,24.404731,日南里
8.0,臺中市大甲區日南里19鄰幼一路6號,1.0,52.0,大甲分局,120.646767,24.409173,日南里
9.0,臺中市大甲區日南里19鄰幼獅路17號,1.0,96.0,大甲分局,120.647066,24.407687,日南里
10.0,臺中市大甲區日南里19鄰幼獅路3號,1.0,57.0,大甲分局,120.644205,24.409141,日南里
11.0,臺中市大甲區日南里19鄰工十路33號,1.0,62.0,大甲分局,120.655266,24.395076,日南里
12.0,臺中市大甲區日南里19鄰工五路3號,1.0,23.0,大甲分局,120.645973,24.411902,日南里
13.0,臺中市大甲區日南里19鄰幼獅路36號,1.0,266.0,大甲分局,120.651708,24.404743,日南里
14.0,臺中市大甲區日南里19鄰幼獅路15號,1.0,63.0,大甲分局,120.646681,24.407839,日南里
15.0,臺中市大甲區日南里19鄰幼三路03號,1.0,183.0,大甲分局,120.649395,24.408661,日南里
16.0,臺中市大甲區日南里19鄰幼五路05號,1.0,68.0,大甲分局,120.653682,24.406748,日南里
17.0,臺中市大甲區日南里19鄰幼獅路29號,1.0,22.0,大甲分局,120.649247,24.406574,日南里
18.0,臺中市大甲區日南里19鄰幼獅路65號,1.0,27.0,大甲分局,120.655472,24.402507,日南里
19.0,臺中市大甲區日南里19鄰幼獅路21號,1.0,70.0,大甲分局,120.647891,24.407381,日南里
20.0,臺中市大甲區日南里19鄰工七路6號,1.0,74.0,大甲分局,120.652231,24.407114,日南里
21.0,臺中市大甲區日南里19鄰工一路15號,1.0,213.0,大甲分局,120.645027,24.409936,日南里
22.0,臺中市大甲區日南里19鄰工九路17號,1.0,130.0,大甲分局,120.653762,24.405587,日南里
23.0,臺中市大甲區日南里19鄰工九路23號,1.0,56.0,大甲分局,120.654436,24.405123,日南里
24.0,臺中市大甲區日南里19鄰工七路7號,1.0,95.0,大甲分局,120.655372,24.405369,日南里
25.0,臺中市大甲區日南里19鄰工九路21號,1.0,66.0,大甲分局,120.654155,24.405466,日南里
26.0,臺中市大甲區日南里19鄰幼四路12號,1.0,22.0,大甲分局,120.651345,24.407527,日南里
27.0,臺中市大甲區日南里19鄰幼六路9號,1.0,58.0,大甲分局,120.652184,24.400365,日南里
28.0,臺中市大甲區日南里19鄰幼九路20號,1.0,110.0,大甲分局,120.658732,24.398788,日南里
29.0,臺中市大甲區日南里19鄰工一路35號,1.0,66.0,大甲分局,120.648115,24.408438,日南里
30.0,臺中市大甲區日南里19鄰幼獅路25號,1.0,41.0,大甲分局,120.648173,24.407193,日南里
31.0,臺中市大甲區日南里19鄰幼獅路52號,1.0,58.0,大甲分局,120.654627,24.402151,日南里
32.0,臺中市大甲區日南里19鄰幼獅路73號,1.0,102.0,大甲分局,120.656356,24.401682,日南里
33.0,臺中市大甲區日南里19鄰工一路28號,1.0,44.0,大甲分局,120.648288,24.408155,日南里
34.0,臺中市大甲區日南里19鄰工二路10號,1.0,363.0,大甲分局,120.652538,24.402923,日南里
36.0,臺中市大甲區日南里19鄰青年路146號,1.0,93.0,大甲分局,120.653251,24.399381,日南里
37.0,臺中市大甲區日南里19鄰工五路5號,1.0,93.0,大甲分局,120.645882,24.411804,日南里
38.0,臺中市大甲區日南里19鄰工五路1號,1.0,93.0,大甲分局,120.644145,24.412835,日南里
39.0,臺中市大甲區日南里19鄰幼獅路50號,1.0,500.0,大甲分局,120.653191,24.403428,日南里
40.0,臺中市大甲區日南里19鄰幼獅路1號,1.0,127.0,大甲分局,120.643739,24.409391,日南里
41.0,臺中市大甲區日南里19鄰工一路1號,1.0,506.0,大甲分局,120.644289,24.411643,日南里
42.0,臺中市大甲區龍泉里6鄰吉祥一街9號,1.0,56.0,大甲分局,120.637739,24.401545,龍泉里
43.0,臺中市大甲區日南里19鄰幼獅路63號,1.0,23.0,大甲分局,120.655129,24.402777,日南里
44.0,臺中市大甲區日南里19鄰幼獅路45號,1.0,70.0,大甲分局,120.651976,24.405221,日南里
45.0,臺中市大甲區日南里19鄰工六路1號,1.0,58.0,大甲分局,120.648419,24.401682,日南里
46.0,臺中市大甲區日南里19鄰幼三路1號,1.0,116.0,大甲分局,120.646854,24.408681,日南里
47.0,臺中市大甲區日南里19鄰工九路33號,1.0,65.0,大甲分局,120.655886,24.403732,日南里
48.0,臺中市大甲區日南里19鄰幼獅路13號,1.0,134.0,大甲分局,120.645873,24.408188,日南里
49.0,臺中市大甲區日南里19鄰工一路11號,1.0,93.0,大甲分局,120.644322,24.410552,日南里
50.0,臺中市大甲區日南里19鄰幼獅路61號,1.0,65.0,大甲分局,120.654636,24.403368,日南里
51.0,臺中市大甲區日南里19鄰幼獅路63之1號,1.0,83.0,大甲分局,120.655102,24.402765,日南里
52.0,臺中市大甲區日南里19鄰工一路33號,1.0,41.0,大甲分局,120.647316,24.408853,日南里
53.0,臺中市大甲區龍泉里6鄰渭水路25之14號,1.0,43.0,大甲分局,120.640312,24.401935,龍泉里
54.0,臺中市大甲區龍泉里10鄰順帆路19號,1.0,410.0,大甲分局,120.637931,24.408614,龍泉里
55.0,臺中市大甲區孟春里7鄰經國路1912號,1.0,14.0,大甲分局,120.651265,24.380761,孟春里
56.0,臺中市大甲區孟春里7鄰經國路1908號,1.0,14.0,大甲分局,120.651225,24.380561,孟春里
57.0,臺中市大甲區孟春里7鄰經國路1916號,1.0,14.0,大甲分局,120.651243,24.380684,孟春里
58.0,臺中市大甲區孟春里5鄰通天路198號,1.0,33.0,大甲分局,120.654177,24.381371,孟春里
59.0,臺中市大甲區孟春里5鄰通天路196號,1.0,22.0,大甲分局,120.654235,24.381358,孟春里
60.0,臺中市大甲區孟春里5鄰通天路194號,1.0,22.0,大甲分局,120.654235,24.381358,孟春里
61.0,臺中市大甲區孟春里14鄰通天路291號,1.0,138.0,大甲分局,120.651949,24.382362,孟春里
62.0,臺中市大甲區孟春里5鄰通天路280號,1.0,37.0,大甲分局,120.652393,24.382371,孟春里
63.0,臺中市大甲區日南里13鄰中山路二段916巷22之2號,1.0,101.0,大甲分局,120.645956,24.399068,日南里
