類別,電腦編號,村里別,緯經度,可容納人數,轄管分局,備註,停車場坡道,建築物名稱,地下樓層數
公家機關,ETA00331,大安里,"24.944624,121.328159",841.0,八德分局,,O,八德生命紀念園區,2
大樓,ETA00332,大勇里,"24.965768,121.306295",932.0,八德分局,,O,三本皇琚社區,3
大樓,ETA00333,興中里,"24.92658,121.28075",1804.0,八德分局,,O,合雄Max社區,3
大樓,ETA00334,興中里,"24.93162,121.28098",1742.0,八德分局,,O,麗寶Fika社區,3
大樓,ETA00335,興仁里,"24.927807,121.286373",1162.0,八德分局,,O,桃大源社區,2
大樓,ETA00336,大強里,"24.969957,121.313987",811.0,八德分局,,O,桃園綻社區,2
學校,ETA00337,永豐里,"24.975529,121.270099",4971.0,八德分局,,O,永豐高中,1
大樓,ETA00338,瑞發里,"24.934283,121.29677",688.0,八德分局,,O,楓澍.PARK社區,2
大樓,ETA00339,大興里,"24.953925,121.303124",679.0,八德分局,,O,逍遙遊社區,2
大樓,ETA00340,瑞豐里,"24.926912,121.288602",2429.0,八德分局,,O,涵悅+社區,3
工廠,ETA00341,大湳里,"24.965456,121.320255",779.0,八德分局,,O,舒好國際企業有限公司,1
公寓,ETA00342,瑞發里,"24.933643,121.29472",454.0,八德分局,,O,呂新民宅,1
大樓,ETA00343,茄明里,"24.986564,121.282183",981.0,八德分局,,O,佳展好市佳社區,3
大樓,ETA00344,大正里,"24.97003,121.300952",2395.0,八德分局,,O,寶欣G5綻社區,2
工廠,ETA00345,大發里,"24.965047,121.327671",1151.0,八德分局,,O,騰翔資產管理股份有限公司,1
大樓,ETA00346,大勇里,"24.9664,121.306127",1375.0,八德分局,,O,昭揚君璽社區,2
大樓,ETA00347,大忠里,"24.961971,121.300087",504.0,八德分局,,O,複合大樓,2
工廠,ETA00348,大湳里,"24.965975,121.319736",9659.0,八德分局,,O,同欣電子工業股份有限公司,2
大樓,ETA00349,瑞豐里,"24.927311,121.292856",682.0,八德分局,,O,光合市氧森區社區,2
大樓,ETA00350,興中里,"24.925189,121.283081",4544.0,八德分局,,O,八德三號社會住宅,3
大樓,ETA00351,瑞豐里,"24.927596,121.293344",1324.0,八德分局,,O,光合市#2社區D棟,2
公務機關,ETA00352,瑞祥里,,7984.0,八德分局,,O,法務部矯正署八德外役監獄,1
大樓,ETA00353,永豐里,"24.974263,121.272598",2216.0,八德分局,,O,永豐綻社區,3
大樓,ETA00354,大興里,"24.954568,121.303428",1591.0,八德分局,,O,逍遙遊社區,2
大樓,ETA00355,瑞豐里,"24.927112,121.293543",1085.0,八德分局,,O,光合市#2社區G棟,2
大樓,ETA00356,瑞豐里,"24.92709,121.29293",1496.0,八德分局,,0,光合市#2社區H棟,4
大樓,ETA00357,大興里,"24.95719,121.30595",2243.0,八德分局,,0,三本CEO,5
大樓,ETA00358,福興里,"24.93442,121.28057",3395.0,八德分局,,O,福爾摩沙社區,5
