類別,電腦編號,村里別,緯經度,可容納人數,轄管分局,備註,停車場坡道,建築物名稱,地下樓層數
學校,ETA00056,興中里,"24.928905,121.283928",1282.0,八德分局,,,八德國小,1
公家機關,ETA00057,興仁里,"24.928954,121.286326",404.0,八德分局,,O,八德區戶政事務所,1
學校,ETA00058,興仁里,"24.929876,121.286762",483.0,八德分局,,,八德國中,1
工廠,ETA00059,茄苳里,"24.96576,121.27796",58.0,八德分局,,,德優機械公司,1
大樓,ETA00060,茄苳里,"24.97217,121.28015",468.0,八德分局,,,大樓,1
工廠,ETA00061,高明里,"24.975878,121.277308",27.0,八德分局,,,福泉食品企業社,1
大樓,ETA00065,白鷺里,"24.963422,121.278363",904.0,八德分局,,,私立八德殘障教養院,1
工廠,ETA00066,永豐里,"24.970613,121.269597",22.0,八德分局,,,柯記公司,1
工廠,ETA00067,永豐里,"24.97621,121.26729",216.0,八德分局,,,貿聯倉儲公司,1
工廠,ETA00068,永豐里,"24.97211,121.27439",58.0,八德分局,,,四貝企業社,1
工廠,ETA00069,永豐里,"24.97389,121.276967",54.0,八德分局,,,政大金屬公司,1
學校,ETA00070,永豐里,"24.975051,121.271741",661.0,八德分局,,,新興工商,1
工廠,ETA00071,永豐里,"24.97044,121.269953",26.0,八德分局,,,精錬公司,1
工廠,ETA00072,茄苳里,"24.97289,121.27632",66.0,八德分局,,,九德電子公司,1
工廠,ETA00073,永豐里,"24.969768,121.269408",782.0,八德分局,,,台灣鑽石工業公司,1
工廠,ETA00074,茄苳里,"24.969854,121.276747",351.0,八德分局,,,四貝企業社,1
工廠,ETA00076,永豐里,"24.973942,121.275288",540.0,八德分局,,,廣偉工業公司,1
學校,ETA00078,永豐里,"24.975051,121.271741",375.0,八德分局,,O,新興工商資政大樓,1
工廠,ETA00079,茄苳里,"24.97399,121.27704",21.0,八德分局,,,富運企業有限公司,1
工廠,ETA00080,茄苳里,"24.97402,121.27706",31.0,八德分局,,,和旭機械公司,1
工廠,ETA00081,茄苳里,"24.97313,121.27334",304.0,八德分局,,,良維工業公司,1
工廠,ETA00083,永豐里,"24.97621,121.26729",152.0,八德分局,,,貿聯倉儲公司,1
工廠,ETA00084,永豐里,"24.969163,121.270143",31.0,八德分局,,,宏喬彈簧公司,1
工廠,ETA00086,永豐里,"24.975,121.27542",62.0,八德分局,,,帛億公司,1
工廠,ETA00087,永豐里,"24.970421,121.270149",556.0,八德分局,,,暢稜公司,1
大樓,ETA00090,茄明里,"24.982783,121.279191",118.0,八德分局,,,武陵綠大地社區,1
公寓,ETA00091,茄明里,"24.984537,121.278015",72.0,八德分局,,,私人住宅,1
大樓,ETA00092,茄明里,"24.981815,121.276675",835.0,八德分局,,,中日龍族社區,1
工廠,ETA00093,永豐里,"24.973942,121.275288",41.0,八德分局,,,健鋒科技公司,1
工廠,ETA00094,大安里,"24.952155,121.316897",124.0,八德分局,,,廣喆金屬公司,1
工廠,ETA00095,大安里,"24.953189,121.315355",64.0,八德分局,,,明台科技工業園區,1
工廠,ETA00096,大安里,"24.95478,121.312623",220.0,八德分局,,,丁元塑膠公司,1
學校,ETA00097,大安里,"24.956365,121.315315",68.0,八德分局,,,大安國小,1
學校,ETA00099,大安里,"24.95652,121.31544",1026.0,八德分局,,,大安國小,1
工廠,ETA00100,大發里,"24.960101,121.323457",36.0,八德分局,,,宣帆電子股份有限公司,1
工廠,ETA00101,大發里,"24.96177,121.323266",31.0,八德分局,,,三甲電線股份有限公司,1
工廠,ETA00102,大發里,"24.96026,121.323393",40.0,八德分局,,,大申通風股份有限公司,1
