電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註
WTA01627,港都里,臺北市內湖區麗山街340號,"25.082467,121.573041",1,1992.0,內湖分局,
WTA01628,港都里,臺北市內湖區麗山街340號,"25.082467,121.573041",1,3730.0,內湖分局,
WTA01676,港都里,臺北市內湖區麗山街348巷20號,"25.081945,121.574192",1,1692.0,內湖分局,
WTA02462,港都里,臺北市內湖區內湖路一段659號,"25.080257,121.575335",2,4202.0,內湖分局,
WTA00133,港都里,臺北市內湖區內湖路一段693號,"25.079977,121.577009",1,101.0,內湖分局,
WTA00280,港都里,臺北市內湖區內湖路一段629巷101弄13號,"25.081448,121.576944",1,2053.0,內湖分局,
WTA00281,港都里,臺北市內湖區內湖路一段629巷101弄2號,"25.081775,121.576483",1,274.0,內湖分局,
WTA00282,港都里,臺北市內湖區內湖路一段629巷101弄5號,"25.081598,121.576537",1,318.0,內湖分局,
WTA00298,港都里,臺北市內湖區港墘路110號,"25.080024,121.577128",1,653.0,內湖分局,
WTA00300,港都里,臺北市內湖區港墘路80號,"25.080867,121.577763",1,1289.0,內湖分局,
WTA00301,港都里,臺北市內湖區港墘路100巷3號,"25.080432,121.577145",1,729.0,內湖分局,
WTA01488,港都里,臺北市內湖區港墘路82巷9號,"25.081047,121.577243",1,520.0,內湖分局,
WTA01489,港都里,臺北市內湖區港墘路82巷7弄5號,"25.081171,121.577484",1,338.0,內湖分局,
WTA01977,港都里,臺北市內湖區港墘路82巷7弄18號,"25.082128,121.57751",1,1196.0,內湖分局,
WTA02258,港都里,臺北市內湖區港墘路82巷16號,"25.080846,121.577027",2,3484.0,內湖分局,
WTA00283,港都里,臺北市內湖區內湖路一段629巷103弄10號,"25.082062,121.577036",1,246.0,內湖分局,
WTA00284,港都里,臺北市內湖區內湖路一段629巷103弄2號,"25.082127,121.57674",1,742.0,內湖分局,
WTA00285,港都里,臺北市內湖區內湖路一段629巷103弄3號,"25.081976,121.576702",1,370.0,內湖分局,
WTA00286,港都里,臺北市內湖區港華街22號,"25.082332,121.577192",1,616.0,內湖分局,
WTA01626,港都里,臺北市內湖區麗山街322號,"25.083269,121.573274",1,3401.0,內湖分局,
WTA00134,港富里,臺北市內湖區內湖路一段717號,"25.079239,121.577744",1,2404.0,內湖分局,
WTA00317,港富里,臺北市內湖區內湖路一段737巷19弄2號,"25.079378,121.578765",1,374.0,內湖分局,
WTA00318,港富里,臺北市內湖區內湖路一段737巷19弄6號,"25.079332,121.578918",1,694.0,內湖分局,
