"unnamed (1)",類別,經緯度,村里別,地址,地下層數位址,可容納人數,轄管分局,備註,placemark_address
1.0,大樓,"25.06472, 121.19467",田心里,337桃園市大園區田心里5鄰大觀路53號,2.0,518,大園分局,,"大樓 ENA01002 田心里 337桃園市大園區田心里5鄰大觀路53號 518 大園分局"
2.0,大樓,"25.06617, 121.19335",田心里,337桃園市大園區田心里5鄰大觀路33號,1.0,110,大園分局,,"大樓 ENA01003 田心里 337桃園市大園區田心里5鄰大觀路33號 110 大園分局"
3.0,大樓,"25.06378, 121.19424",田心里,337桃園市大園區田心里7鄰新興路46號,1.0,83,大園分局,,"大樓 ENA01016 田心里 337桃園市大園區田心里7鄰新興路46號 83 大園分局"
4.0,大樓,"25.064, 121.19427",田心里,337桃園市大園區田心里7鄰新興路42號,1.0,93,大園分局,,"大樓 ENA01017 田心里 337桃園市大園區田心里7鄰新興路42號 93 大園分局"
5.0,公寓,"25.0634, 121.19574",田心里,337桃園市大園區田心里9鄰中正西路13號,1.0,44,大園分局,,"公寓 ENA01018 田心里 337桃園市大園區田心里9鄰中正西路13號 44 大園分局"
6.0,大樓,"25.06476, 121.19299",田心里,337桃園市大園區田心里6鄰華興路40號,1.0,52,大園分局,,"大樓 ENA01019 田心里 337桃園市大園區田心里6鄰華興路40號 52 大園分局"
7.0,大樓,"25.06352, 121.19474",田心里,337桃園市大園區田心里7鄰中正西路36號,1.0,117,大園分局,,"大樓 ENA01020 田心里 337桃園市大園區田心里7鄰中正西路36號 117 大園分局"
8.0,大樓（大興高中）,"25.06198, 121.19261",田心里,337桃園市大園區田心里18鄰永興路142號,1.0,274,大園分局,,"大樓（大興高中） ENA01023 田心里 337桃園市大園區田心里18鄰永興路142號 274 大園分局"
9.0,大樓,"25.0617, 121.19515",田心里,337桃園市大園區田心里新興路132號,1.0,1336,大園分局,,"大樓 ENA01024 田心里 337桃園市大園區田心里新興路132號 1336 大園分局"
10.0,大樓,"25.06546, 121.18836",田心里,337桃園市大園區田心里4鄰大觀路255號,1.0,43,大園分局,,"大樓 ENA01025 田心里 337桃園市大園區田心里4鄰大觀路255號 43 大園分局"
11.0,大樓（大園國小）,"25.05908, 121.20267",橫峰里,337桃園市大園區橫峰里12鄰中山南路351號,1.0,380,大園分局,,"大樓（大園國小） ENA01028 橫峰里 337桃園市大園區橫峰里12鄰中山南路351號 380 大園分局"
12.0,大樓大園國小,"25.05908, 121.20267",橫峰里,337桃園市大園區橫峰里12鄰中山南路351號,1.0,653,大園分局,,"大樓大園國小 ENA01029 橫峰里 337桃園市大園區橫峰里12鄰中山南路351號 653 大園分局"
