類別,電腦編號,編號,村里別,地址,緯經度,地下樓層數,可容納人數,備註
公寓,WXA00095,14384.0,三民里,臺北市松山區三民路101巷2號,"25.057466,121.56336",1,"1706 ",
大樓,WXA00598,14385.0,三民里,臺北市松山區民生東路五段138巷3號,"25.058468,121.561677",1,"1542 ",
公寓,WXA00077,14386.0,三民里,臺北市松山區三民路113巷10號,"25.058066,121.562496",1,"412 ",
公寓,WXA00354,14387.0,三民里,臺北市松山區三民路113巷16號,"25.058059,121.562365",1,"288 ",
大樓,WXA00404,14388.0,三民里,臺北市松山區民生東路五段170號,"25.058274,121.562783",1,"2248 ",
大樓,WXA00476,14389.0,三民里,臺北市松山區民生東路五段148.146號,"25.059078,121.56806",1,"1080 ",
大樓,WXA00477,14390.0,三民里,臺北市松山區民生東路五段150號,"25.058548,121.562379",1,"853 ",
大樓,WXA00405,14391.0,三民里,臺北市松山區民生東路五段143號,"25.059014,121.561932",2,"106 ",
大樓,WXA00600,14392.0,三民里,臺北市松山區民生東路五段137巷2號,"25.059277,121.561671",1,"1188 ",
公寓,WXA00601,14393.0,三民里,臺北市松山區民生東路五段137巷2號,"25.059277,121.561671",1,"97 ",
公寓,WXA00603,14394.0,三民里,臺北市松山區民生東路五段137巷4弄7號,"25.05992,121.561856",1,"212 ",
公寓,WXA00604,14395.0,三民里,臺北市松山區民生東路五段137巷6弄1號,"25.060397,121.561519",1,"208 ",
公寓,WXA00605,14396.0,三民里,臺北市松山區民生東路五段137巷6弄11號,"25.060424,121.562037",1,"124 ",
公寓,WXA00606,14397.0,三民里,臺北市松山區民生東路五段137巷6弄5號,"25.060406,121.561927",1,"161 ",
公寓,WXA01276,14398.0,三民里,"臺北市松山區富錦街442號之1 ","25.060604,121.561592",1,"446 ",
公寓,WXA01277,14399.0,三民里,臺北市松山區富錦街446號,"25.060713,121.561663",1,"433 ",
公寓,WXA01279,14400.0,三民里,臺北市松山區富錦街450號,"25.060738,121.561931",1,"230 ",
公寓,WXA01727,14401.0,三民里,臺北市松山區民生東路五段137巷6弄8號,"25.06022,121.561913",1,"60 ",
公寓,WXA00352,14402.0,三民里,臺北市松山區三民路155巷32號,"25.061167,121.561514",1,"56 ",
公寓,WXA00563,14403.0,三民里,臺北市松山區三民路161巷1號,"25.061537,121.562895",1,"153 ",
公寓,WXA00352,14404.0,三民里,臺北市松山區三民路155巷18號,"25.061202,121.561986",1,"89 ",
公寓,WXA00917,14405.0,三民里,臺北市松山區三民路155巷22號,"25.061195,121.561888",1,"240 ",
公寓,WXA00990,14406.0,三民里,臺北市松山區三民路167巷2號,"25.061734,121.56294",1,"365 ",
公寓,WXA01278,14407.0,三民里,臺北市松山區富錦街447號,"25.060904,121.56148",1,"121 ",
公寓,WXA01280,14408.0,三民里,臺北市松山區富錦街451號,"25.060915,121.56164",1,"196 ",
公寓,WXA01281,14409.0,三民里,臺北市松山區富錦街461號,"25.060945,121.562044",1,"40 ",
公寓,WXA01290,14410.0,三民里,臺北市松山區富錦街429巷2號,"25.061105,121.561431",1,"152 ",
公寓,WXA01498,14411.0,三民里,臺北市松山區三民路155巷30號,"25.061194,121.561614",1,"45 ",
公寓,WXA01500,14412.0,三民里,臺北市松山區三民路155巷30號,"25.061194,121.561614",1,"1120 ",
臺北市政府民政局,WXA00608,14713.0,三民里,臺北市松山區民生東路五段163-1號,"25.059287,121.562907",3,"2426 ",
民權國小,WXA00354,14714.0,三民里,臺北市松山區三民路167巷1號,"25.061734,121.56294",1,"1629 ",
民權國小,WXA00355,14715.0,三民里,臺北市松山區三民路167巷1號,"25.061734,121.56294",1,"1304 ",
大樓,WXA00217,13564.0,中正里,臺北市松山區敦化北路120巷17號,"25.053864,121.54716",1,"1194 ",
大樓,WXA00939,13565.0,中正里,臺北市松山區長春路472號,"25.054393,121.54637",1,"1993 ",
公寓,WXA00940,13566.0,中正里,臺北市松山區長春路490號,"25.054383,121.547019",1,"385 ",
公寓,WXA00941,13567.0,中正里,臺北市松山區長春路498號,"25.054371,121.547354",1,"937 ",
公寓,WXA00942,13568.0,中正里,臺北市松山區長春路510號,"25.054362,121.547723",1,"824 ",
大樓,WXA00965,13569.0,中正里,臺北市松山區南京東路三段305號,"25.051981,121.546806",1,"494 ",
大樓,WXA00965,13570.0,中正里,臺北市松山區南京東路三段311號,"25.05198,121.547122",1,"814 ",
公寓,WXA00967,13571.0,中正里,臺北市松山區南京東路三段333號,"25.051974,121.547432",1,"368 ",
公寓,WXA00996,13572.0,中正里,臺北市松山區南京東路三段303巷14弄10號,"25.053578,121.547223",1,"629 ",
公寓,WXA00997,13573.0,中正里,臺北市松山區南京東路三段303巷18號,"25.053542,121.546819",1,"1592 ",
大樓,WXA00998,13574.0,中正里,臺北市松山區南京東路三段303巷18號之1,"25.053647,121.546828",1,"145 ",
大樓,WXA00999,13575.0,中正里,臺北市松山區南京東路三段303巷22號,"25.053794,121.546815",1,"97 ",
公寓,WXA01000,13576.0,中正里,臺北市松山區南京東路三段303巷8號之1,"25.052714,121.546847",1,"289 ",
公寓,WXA01002,13577.0,中正里,臺北市松山區南京東路三段303巷14弄6號,"25.053272,121.547336",2,"774 ",
公寓,WXA01001,13578.0,中正里,臺北市松山區南京東路三段303巷14弄15號,"25.053415,121.547321",1,"180 ",
公寓,WXA01005,13579.0,中正里,臺北市松山區南京東路三段303巷6弄1號,"25.052506,121.546862",1,"322 ",
大樓,WXA01006,13580.0,中正里,臺北市松山區南京東路三段303巷6弄10號,"25.052341,121.547477",1,"105 ",
大樓,WXA01007,13581.0,中正里,臺北市松山區南京東路三段303巷6弄5號,"25.052506,121.547021",1,"638 ",
大樓,WXA01011,13582.0,中正里,臺北市松山區南京東路三段303巷8弄1號,"25.052989,121.546822",1,"920 ",
公寓,WXA01012,13583.0,中正里,臺北市松山區南京東路三段303巷8弄4號,"25.052783,121.547027",1,"317 ",
公寓,WXA01016,13584.0,中正里,臺北市松山區南京東路三段335巷21號,"25.053464,121.547568",2,"998 ",
公寓,WXA01368,13585.0,中正里,臺北市松山區敦化北路102號,"25.053343,121.548441",3,"950 ",
大樓,WXA01369,13586.0,中正里,臺北市松山區敦化北路112號,"25.053576,121.548571",1,"661 ",
大樓,WXA01370,13587.0,中正里,臺北市松山區敦化北路122號,"25.054182,121.548501",2,"1762 ",
大樓,WXA01404,13588.0,中正里,臺北市松山區敦化北路120巷16號,"25.054022,121.547558",1,"473 ",
公寓,WXA01405,13589.0,中正里,臺北市松山區敦化北路120巷50號,"25.054037,121.546881",1,"438 ",
公寓,WXA01759,13590.0,中正里,臺北市松山區南京東路三段331號,"25.051988,121.547286",3,"586 ",
公寓,WXA01857,13591.0,中正里,臺北市松山區南京東路三段303巷6弄8號,"25.052351,121.547391",1,"286 ",
大樓,WXA01867,13592.0,中正里,臺北市松山區敦化北路120巷28號,"25.054023,121.547184",1,"808 ",
大樓,WXA00063,13593.0,中正里,臺北市松山區八德路二段437巷10弄20號,"25.04973,121.546496",1,"154 ",
大樓,WXA00066,13594.0,中正里,臺北市松山區八德路二段437巷10弄7號,"25.049613,121.547021",1,"182 ",
公寓,WXA00975,13595.0,中正里,臺北市松山區南京東路三段344號,"25.051562,121.548019",1,"1418 ",
公寓," WXA01018",13596.0,中正里,臺北市松山區南京東路三段338號,"25.051963,121.547995",1,"440 ",
