編號,村里別,地址,建築物名稱,類別,地下樓層數,可容納人數,電腦編號,緯經度,備註,placemark_address
1.0,和東里,彰化縣和美鎮和東里仁安路206號,農田水利會,地下室,1.0,310.0,JPA00203,24.110971340675242，120.49921087971187,,彰化縣和美鎮和東里仁安路206號
2.0,和東里,彰化縣和美鎮和東里彰美路5段210號,和東國小,地下室,1.0,100.0,JPA00048,24.108935422800524，120.50158038122524,,彰化縣和美鎮和東里彰美路5段210號
3.0,和東里,彰化縣和美鎮和東里彰美路5段210號,和東國小,地下室,1.0,113.0,JPA00100,24.108935422800524，120.50158038122524,,彰化縣和美鎮和東里彰美路5段210號
4.0,和東里,彰化縣和美鎮和東里彰美路5段210號,和東國小,地下室,1.0,42.0,JPA00059,24.108935422800524，120.50158038122524,,彰化縣和美鎮和東里彰美路5段210號
5.0,和東里,彰化縣和美鎮和東里彰美路5段210號,和東國小,地下室,1.0,878.0,JPA00209,24.108935422800524，120.50158038122524,,彰化縣和美鎮和東里彰美路5段210號
6.0,和東里,彰化縣和美鎮和東里彰美路5段210號,和東國小,地下室,1.0,502.0,JPA00070,24.108935422800524，120.50158038122524,,彰化縣和美鎮和東里彰美路5段210號
7.0,和東里,彰化縣和美鎮和東里彰美路4段438號,新光人壽,地下室,1.0,249.0,JPA00182,24.106026780367742，120.50555708122509,,彰化縣和美鎮和東里彰美路4段438號
8.0,和西里,彰化縣和美鎮和西里西園路31號,和美國中,地下室,1.0,180.0,JPA00032,24.113477807441424，120.49370218307351,,彰化縣和美鎮和西里西園路31號
9.0,和西里,彰化縣和美鎮和西里西園路31號,和美國中,地下室,1.0,42.0,JPA00037,24.113477807441424，120.49370218307351,,彰化縣和美鎮和西里西園路31號
10.0,和西里,彰化縣和美鎮和西里西園路31號,和美國中,地下室,1.0,357.0,JPA00236,24.113477807441424，120.49370218307351,,彰化縣和美鎮和西里西園路31號
11.0,和西里,彰化縣和美鎮和西里西園路31號,和美國中,地下室,1.0,308.0,JPA00254,24.113477807441424，120.49370218307351,,彰化縣和美鎮和西里西園路31號
12.0,和西里,彰化縣和美鎮和西里西園路31號,和美國中,地下室,1.0,441.0,JPA00297,24.113477807441424，120.49370218307351,,彰化縣和美鎮和西里西園路31號
13.0,和西里,彰化縣和美鎮和西里和線路77號,民宅,地下室,1.0,346.0,JPA00242,24.11462749042596，120.49266846773169,,彰化縣和美鎮和西里和線路77號
14.0,四張里,彰化縣和美鎮德美路766號,耀億織造廠,地下室,1.0,365.0,JPA00051,24.119166128199407，120.49382831190914,,彰化縣和美鎮德美路766號
15.0,四張里,彰化縣和美鎮德美路616巷65弄15號,民宅,地下室,1.0,50.0,JPA00064,24.119944511284274，120.49731202355457,,彰化縣和美鎮德美路616巷65弄15號
16.0,四張里,彰化縣和美鎮四張里平原路63號,民宅,地下室,1.0,125.0,JPA00080,24.115568203602198，120.4903435388964,,彰化縣和美鎮四張里平原路63號
17.0,竹營里,彰化縣和美鎮竹營里忠善路57號,農田水利會,地下室,1.0,1573.0,JPA00225,24.11453403528986，120.50437995423817,,彰化縣和美鎮竹營里忠善路57號
18.0,面前里,彰化縣和美鎮面前里和光路180號,道周醫院,地下室,1.0,978.0,JPA00246,24.11084643376751，120.49194311190895,,彰化縣和美鎮面前里和光路180號
19.0,鎮平里,彰化縣和美鎮鎮平里嘉佃路296號,大榮國小,地下室,1.0,38.0,JPA00007,24.088397953478413，120.50179549656646,,彰化縣和美鎮鎮平里嘉佃路296號
22.0,鎮平里,彰化縣和美鎮鎮平里輝南路108號,能吉公司,地下室,1.0,136.0,JPA00099,24.083463752391882，120.50289011005994,,彰化縣和美鎮鎮平里輝南路108號
23.0,鎮平里,彰化縣和美鎮鎮平里鎮南路20號,能吉公司,地下室,1.0,706.0,JPA00149,24.08119141777217，120.50834914074366,,彰化縣和美鎮鎮平里鎮南路20號
24.0,鎮平里,彰化縣和美鎮鎮平里嘉佃路296號,大榮國小,地下室,1.0,313.0,JPA00178,24.08840774801299，120.50179549656646,,彰化縣和美鎮鎮平里嘉佃路296號
25.0,南佃里,彰化縣和美鎮鎮平里嘉佃路296號,大榮國小,地下室,1.0,44.0,JPA00283,24.08196256032921，120.49180488122454,,彰化縣和美鎮鎮平里嘉佃路296號
26.0,南佃里,彰化縣和美鎮南佃里彰草路3段271號,貿鴻工業,地下室,1.0,44.0,JPA00035,24.08196256032921，120.49180488122454,,彰化縣和美鎮南佃里彰草路3段271號
27.0,南佃里,彰化縣和美鎮南佃里彰草路3段271號,貿鴻工業,地下室,1.0,278.0,JPA00060,24.081751580491996，120.49616186957918,,彰化縣和美鎮南佃里彰草路3段271號
28.0,南佃里,彰化縣和美鎮南佃里彰草路3段271號,貿鴻工業,地下室,1.0,88.0,JPA00082,24.08196256032921，120.49180488122454,,彰化縣和美鎮南佃里彰草路3段271號
29.0,仁愛里,彰化縣和美鎮仁愛里鹿和路6段115號,和美實驗學校,地下室,1.0,198.0,JPA00142,24.1050627161725，120.49227732540234,,彰化縣和美鎮仁愛里鹿和路6段115號
30.0,仁愛里,彰化縣和美鎮仁愛里鹿和路6段115號,和美實驗學校,地下室,1.0,928.0,JPA00044,24.1050627161725，120.49227732540234,,彰化縣和美鎮仁愛里鹿和路6段115號
31.0,仁愛里,彰化縣和美鎮仁愛里和順路163號,富美麗公司,地下室,1.0,1546.0,JPA00251,24.1090013086398，120.49097891190887,,彰化縣和美鎮仁愛里和順路163號
32.0,仁愛里,彰化縣和美鎮仁愛里和順路164號,富美麗公司,地下室,1.0,1702.0,JPA00185,24.1090013086398，120.49097891190887,,彰化縣和美鎮仁愛里和順路164號
33.0,仁愛里,彰化縣和美鎮仁愛里道周路532號,"富美麗公司 ",地下室,1.0,1437.0,JPA00194,24.11011862782723，120.4932497235543,,彰化縣和美鎮仁愛里道周路532號
34.0,仁愛里,彰化縣和美鎮仁愛里鹿和路6段115號,和美實驗學校,地下室,1.0,310.0,JPA00239,24.105092095951864，120.49233096957964,,彰化縣和美鎮仁愛里鹿和路6段115號
35.0,山犁里,彰化縣和美鎮山犁里道周路346號,和美鎮立圖書館,地下室,1.0,1056.0,JPA00069,24.108114845113747，120.49670306773157,,彰化縣和美鎮山犁里道周路346號
36.0,山犁里,彰化縣和美鎮山犁里大佃路848號,民宅,地下室,1.0,14.0,JPA00092,24.103319559041907，120.50079861006047,,彰化縣和美鎮山犁里大佃路848號
37.0,山犁里,彰化縣和美鎮山犁里道周路407號,四季百貨,地下室,1.0,2904.0,JPA00142,24.107807703350872，120.49665219656713,,彰化縣和美鎮山犁里道周路407號
38.0,山犁里,彰化縣和美鎮山犁里仁愛路279號,和仁國小,地下室,1.0,1396.0,JPA00287,24.104564337175837，120.49542545423795,,彰化縣和美鎮山犁里仁愛路279號
39.0,嘉犁里,彰化縣和美鎮嘉犁里彰和路3段50號,大嘉國小,地下室,1.0,145.0,JPA00196,24.09683285018535，120.51274113889582,,彰化縣和美鎮嘉犁里彰和路3段50號
40.0,嘉犁里,彰化縣和美鎮嘉犁里彰和路3段50號,大嘉國小,地下室,1.0,196.0,JPA00084,24.09683285018535，120.51274113889582,,彰化縣和美鎮嘉犁里彰和路3段50號
41.0,鐵山里,彰化縣和美鎮鐵山里彰美路3段73號,立祥公司,地下室,1.0,430.0,JPA00223,24.099546933018644，120.523931481225,,彰化縣和美鎮鐵山里彰美路3段73號
42.0,詔安里,彰化縣和美鎮詔安里彰美路2段6號,正長生公司,地下室,1.0,880.0,JPA00094,24.092954656709612，120.53352993889568,,彰化縣和美鎮詔安里彰美路2段6號
43.0,詔安里,彰化縣和美鎮詔安里彰和路2段378號,友貿公司,地下室,1.0,252.0,JPA00207,24.091740824540583，120.52378239656666,,彰化縣和美鎮詔安里彰和路2段378號
44.0,柑井里,彰化縣和美鎮柑井里美寮路1段390號,和群國中,地下室,1.0,298.0,JPA00050,24.112420072103344，120.51966130344839,,彰化縣和美鎮柑井里美寮路1段390號
45.0,柑井里,彰化縣和美鎮柑井里美寮路1段390號,和群國中,地下室,1.0,238.0,JPA00245,24.112420072103344，120.51966130344839,,彰化縣和美鎮柑井里美寮路1段390號
46.0,柑井里,彰化縣和美鎮柑井里美寮路1段390號,和群國中,地下室,1.0,310.0,JPA00045,24.112420072103344，120.51966130344839,,彰化縣和美鎮柑井里美寮路1段390號
47.0,柑井里,彰化縣和美鎮柑井里美寮路1段390號,和群國中,地下室,1.0,888.0,JPA00046,24.112420072103344，120.51966130344839,,彰化縣和美鎮柑井里美寮路1段390號
48.0,柑井里,彰化縣和美鎮柑井里彰美路4段89巷22號,富山精機,地下室,1.0,980.0,JPA00053,24.102902087537988，120.51352938122515,,彰化縣和美鎮柑井里彰美路4段89巷22號
