類別,電腦編號,村里別,地址,地下樓層數,可容納人數,備註,placemark_address
公寓,TMA0001,大新里,宜蘭市光復路4號,1.0,379.0,,"TMA0001 宜蘭市光復路4號"
公寓,TMA0002,新民里,宜蘭市昇平街12巷6號,1.0,148.0,,"TMA0002 宜蘭市昇平街12巷6號"
公寓,TMA0003,新民里,宜蘭市昇平街38號,1.0,190.0,,"TMA0003 宜蘭市昇平街38號"
公寓,TMA0004,新民里,宜蘭市舊城東路3之1號,1.0,79.0,,"TMA0004 宜蘭市舊城東路3之1號"
大樓,TMA0005,新民里,宜蘭市康樂路103號,1.0,1101.0,,"TMA0005 宜蘭市康樂路103號"
公家機關,TMA0006,新民里,宜蘭市光復路50號,1.0,521.0,,"TMA0006 宜蘭市光復路50號"
銀行,TMA0007,新民里,宜蘭市中山路三段30號,1.0,101.0,,"TMA0007 宜蘭市中山路三段30號"
公寓,TMA0008,新民里,宜蘭市中山路三段24號,1.0,96.0,,"TMA0008 宜蘭市中山路三段24號"
大樓,TMA0010,大新里,宜蘭市光復路48號,1.0,815.0,,"TMA0010 宜蘭市光復路48號"
大樓,TMA0011,大新里,宜蘭市和睦路92號,1.0,312.0,,"TMA0011 宜蘭市和睦路92號"
大樓,TMA0012,大新里,宜蘭市和睦路107號,1.0,582.0,,"TMA0012 宜蘭市和睦路107號"
大樓,TMA0013,民權里,宜蘭市女中路二段309號,1.0,963.0,,"TMA0013 宜蘭市女中路二段309號"
旅館,TMA0014,大新里,宜蘭市和睦路32號,1.0,292.0,,"TMA0014 宜蘭市和睦路32號"
旅館,TMA0015,大新里,宜蘭市康樂路30號,1.0,262.0,,"TMA0015 宜蘭市康樂路30號"
旅館,TMA0016,大新里,宜蘭市新民路19號,1.0,55.0,,"TMA0016 宜蘭市新民路19號"
旅館,TMA0017,大新里,宜蘭市新民路31號,1.0,236.0,,"TMA0017 宜蘭市新民路31號"
公寓,TMA0018,大新里,宜蘭市新民路23號,1.0,268.0,,"TMA0018 宜蘭市新民路23號"
公寓,TMA0020,神農里,宜蘭市中山路二段512號,1.0,102.0,,"TMA0020 宜蘭市中山路二段512號"
學校,TMA0021,神農里,宜蘭市崇聖街2號,1.0,562.0,,"TMA0021 宜蘭市崇聖街2號"
大樓,TMA0022,民權里,宜蘭市神農路二段76號,1.0,139.0,,"TMA0022 宜蘭市神農路二段76號"
