類別,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,備註
公寓,WYA01050,大有里,臺北市大同區涼州街116號,"25.060459,121.509074",1,"88 ",
公寓,WYA01051,大有里,臺北市大同區環河北路一段313號,"25.059529,121.508618",1,"96 ",
大樓,WYA01052,大有里,臺北市大同區環河北路一段343號,"25.060258,121.508605",1,"480 ",
大樓,WYA01053,大有里,臺北市大同區迪化街一段238號,"25.060023,121.509328",1,"384 ",
大樓,WYA01054,大有里,臺北市大同區安西街54號,"25.059522,121.510019",1,"204 ",
大樓,WYA01527,大有里,臺北市大同區環河北路一段313號,"25.059529,121.508618",1,"420 ",
公寓,WYA01056,大有里,臺北市大同區民樂街136號,"25.059979,121.510436",1,"47 ",
大樓,WYA01060,大有里,臺北市大同區安西街43號,"25.060268,121.510018",1,"676 ",
大樓,WYA01064,大有里,臺北市大同區涼州街90號,"25.060535,121.510319",3,"749 ",
大樓,WYA01059,大有里,臺北市大同區延平北路二段210巷9弄6號,"25.05969,121.510785",1,"132 ",
大樓,WYA01063,大有里,臺北市大同區延平北路二段242號,"25.059996,121.511298",1,"449 ",
大樓,WYA01064,大有里,臺北市大同區延平北路二段238號,"25.059902,121.511304",1,"471 ",
公寓,WYA01065,大有里,臺北市大同區延平北路二段250巷9號,"25.060196,121.510858",1,"24 ",
公寓,WYA01066,大有里,臺北市大同區延平北路二段220號,"25.059512,121.511326",1,"88 ",
大樓,WYA01067,大有里,臺北市大同區民樂街177號,"25.059449,121.510594",1,"425 ",
大樓,WYA01068,大有里,臺北市大同區涼州街66號,"25.060572,121.510959",1,"195 ",
大樓,WYA01069,大有里,臺北市大同區延平北路二段250巷258號,"25.060196,121.510858",1,"312 ",
大樓,WYA01070,大有里,臺北市大同區延平北路二段232號,"25.059773,121.511311",1,"319 ",
大樓,WYA01072,大有里,臺北市大同區延平北路二段228號,"25.059684,121.511315",1,"252 ",
大樓,WYA01074,大有里,臺北市大同區延平北路二段260號,"25.060504,121.511259",1,"257 ",
公寓,WYA01075,大有里,臺北市大同區涼州街64號,"25.060576,121.511011",1,"92 ",
大樓,WYA01403,大有里,臺北市大同區延平北路二段210巷1號,"25.059325,121.511169",1,"199 ",
大樓,WYA01404,大有里,臺北市大同區延平北路二段210巷9弄7號,"25.059757,121.510915",1,"384 ",
大樓,WYA01488,大有里,臺北市大同區延平北路二段210巷9弄6號,"25.05969,121.510785",1,"1033 ",
公寓,WYA01076,大有里,臺北市大同區安西街20號,"25.058814,121.510105",1,"69 ",
大樓,WYA01077,大有里,臺北市大同區安西街26號,"25.058968,121.510095",1,"209 ",
大樓,WYA01078,大有里,臺北市大同區歸綏街301號,"25.058198,121.508874",1,"492 ",
大樓,WYA01079,大有里,臺北市大同區迪化街一段214號,"25.059291,121.509395",1,"163 ",
大樓,WYA01080,大有里,臺北市大同區環河北路一段269號,"25.058365,121.508565",2,"532 ",
大樓,WYA01081,大有里,臺北市大同區環河北路一段281號,"25.058886,121.508579",1,"228 ",
大樓,WYA01082,大有里,臺北市大同區環河北路一段295號,"25.059079,121.508594",1,"1111 ",
大樓,WYA01565,大有里,臺北市大同區安西街42號,"25.059394,121.510051",1,"344 ",
公寓,WYA01055,大有里,臺北市大同區安西街9巷11號,"25.059559,121.51035",1,"41 ",
公寓,WYA01057,大有里,臺北市大同區民樂街122號,"25.0596,121.510458",1,"43 ",
大樓,WYA01084,大有里,臺北市大同區延平北路二段202號,"25.059035,121.511296",2,"2384 ",
大樓,WYA01085,大有里,臺北市大同區歸綏街233號,"25.058342,121.510965",1,"892 ",
大樓,WYA01086,大有里,臺北市大同區民樂街155號,"25.05863,121.510675",1,"337 ",
大樓,WYA01409,大有里,臺北市大同區歸綏街227號,"25.058353,121.511115",2,"277 ",
大樓,WYA01562,大有里,臺北市大同區民樂街157號,"25.058675,121.510668",1,"345 ",
