類別,建築物名稱,電腦編號,村里別,地址,地下樓層數,可容納人數,派出所,備註,經度,緯度
大樓,,D401000001,中興里,新北市三重區中興里中興北街133號,1.0,447.0,二重派出所,,121.469406,25.050535
大樓,,D401000003,中興里,新北市三重區中興里重新路5段609巷10號,3.0,21123.0,二重派出所,,121.468503,25.045901
大樓,,D401000004,中興里,新北市三重區中興里重新路5段609巷2號,3.0,11362.0,二重派出所,,121.467951,25.046786
大樓,,D401000005,中興里,新北市三重區中興里光復路1段70號,2.0,416.0,二重派出所,,121.471903,25.049436
大樓,,D401000006,中興里,新北市三重區中興里中興北街51號,1.0,475.0,二重派出所,,121.469663,25.047271
公寓,,D401000007,谷王里,新北市三重區谷王里光復路2段35號,1.0,580.0,二重派出所,,121.472218,25.055111
大樓,,D401000008,頂崁里,新北市三重區頂崁里光華路69號,1.0,531.0,二重派出所,,121.466604,25.059947
二重派出所,二重派出所,D401000009,五谷里,新北市三重區五谷里重新路5段406號,1.0,68.0,二重派出所,,,
大樓,,D401000010,中興里,新北市三重區中興里中興北街52號,1.0,588.0,二重派出所,,121.468319,25.050774
公寓,,D401000016,中興里,新北市三重區中興里重新路5段656號,1.0,235.0,二重派出所,,121.4664,25.042508
公寓,,D401000017,谷王里,新北市三重區谷王里五谷王北街5254號,1.0,9.0,二重派出所,,121.473826,25.05165
公寓,,D401000018,中興里,新北市三重區中興里重新路5段656號,1.0,136.0,二重派出所,,121.4664,25.042508
公寓,,D401000019,五谷里,新北市三重區五谷里光復路1段99巷8號,1.0,103.0,二重派出所,,121.472488,25.050846
公寓,,D401000020,五谷里,新北市三重區五谷里光復路1段99巷4號,1.0,103.0,二重派出所,,121.472488,25.050846
公寓,,D401000021,頂崁里,新北市三重區頂崁里光復路2段210號,1.0,1354.0,二重派出所,,121.473912,25.05821
大樓,,D401000022,中興里,新北市三重區中興里重新路5段519號,1.0,234.0,二重派出所,,121.471408,25.04645
大樓,,D401000023,中興里,新北市三重區中興里中興北街136巷15-29號,1.0,70.0,二重派出所,,121.470518,25.046399
公寓,,D401000024,頂崁里,新北市三重區頂崁里光復路2段102巷55號,1.0,70.0,二重派出所,,121.469318,25.058187
大樓,,D401000025,中興里,新北市三重區中興里光復路2段266號,3.0,2812.0,二重派出所,,121.471183,25.0504
大樓,,D401000026,中興里,新北市三重區中興里光復路1段138號,2.0,787.0,二重派出所,,121.471493,25.052897
公寓,,D401000027,中興里,新北市三重區中興里光復路2段42巷39號,1.0,442.0,二重派出所,,121.469332,25.054613
公寓,,D401000028,中興里,新北市三重區中興里中興北街17巷18號,1.0,297.0,二重派出所,,121.470281,25.051085
公寓,,D401000029,五谷里,新北市三重區五谷里五谷王北街46號,1.0,773.0,二重派出所,,121.475471,25.050165
公寓,,D401000030,中興里,新北市三重區中興里中興北街119號,1.0,773.0,二重派出所,,121.469822,25.0489
公寓,,D401000031,中興里,新北市三重區中興里興德路111號,1.0,6500.0,二重派出所,,121.471427,25.053249
大樓,,D401000032,頂崁里,新北市三重區頂崁里光復路2段80號,2.0,1720.0,二重派出所,,121.471945,25.056961
大樓,,D401000033,中興里,新北市三重區中興里重新路5段572號,1.0,477.0,二重派出所,,121.469722,25.045571
大樓,,D401000034,中興里,新北市三重區中興里中興北街44號,1.0,1238.0,二重派出所,,121.469504,25.049675
大樓,,D401000035,中興里,新北市三重區中興里光復路1段78號,1.0,5987.0,二重派出所,,121.471902,25.050119
大樓,,D401000036,頂崁里,新北市三重區頂崁里中興北街177號,1.0,473.0,二重派出所,,121.469093,25.056103
大樓,,D401000037,頂崁里,新北市三重區頂崁里新北大道二段252號,1.0,959.0,二重派出所,,121.466757,25.061685
大樓,,D401000038,頂崁里,新北市三重區頂崁里新北大道二段260號,1.0,1499.0,二重派出所,,121.466037,25.061721
大樓,,D401000039,谷王里,新北市三重區谷王里興德路82號,3.0,3397.0,二重派出所,,121.474034,25.053404
大樓,,D401000040,中興里,新北市三重區中興里重新路5段656號,1.0,525.0,二重派出所,,121.4664,25.042508
公寓,,D401000041,頂崁里,新北市三重區頂崁里光復路2段88巷22弄4號,1.0,146.0,二重派出所,,121.471136,25.057204
公寓,,D401000042,頂崁里,新北市三重區頂崁里光復路2段5658號,1.0,280.0,二重派出所,,121.469704,25.058776
大樓,,D401000043,中興里,新北市三重區中興里重新路5段639號,1.0,1085.0,二重派出所,,121.466793,25.043408
大樓,,D401000044,中興里,新北市三重區中興里重新路5段656號,1.0,238.0,二重派出所,,121.4664,25.042508
公寓,,D401000045,中興里,新北市三重區中興里重新路5段654號,1.0,4463.0,二重派出所,,121.467123,25.04307
大樓,,D401000046,中興里,新北市三重區中興里重新路5段646號,1.0,4680.0,二重派出所,,121.468543,25.044137
大樓,,D401000047,谷王里,新北市三重區谷王里光復路2段9號,1.0,936.0,二重派出所,,121.472411,25.054182
公寓,,D401000048,中興里,新北市三重區中興里中興北街153號,1.0,281.0,二重派出所,,121.469144,25.05316
大樓,,D401000049,五谷里,新北市三重區五谷里光復路1段61巷24弄63號,1.0,978.0,二重派出所,,121.473746,25.050751
公寓,,D401000050,中興里,新北市三重區中興里光復路2段42巷15號,1.0,464.0,二重派出所,,121.470937,25.054918
大樓,,D401000051,中興里,新北市三重區中興里重新路5段656號,1.0,1695.0,二重派出所,,121.4664,25.042508
公寓,,D401000052,頂崁里,新北市三重區頂崁里光復路2段133號,1.0,1000.0,二重派出所,,121.472232,25.059149
大樓,,D401000053,中興里,新北市三重區中興里重新路5段509號,1.0,913.0,二重派出所,,121.47187,25.046668
大樓,,D401001362,中興里,新北市三重區中興里中興北街42巷17弄10號,3.0,2168.0,二重派出所,,121.468848,25.050327
公寓,,D401001363,頂崁里,新北市三重區頂崁里光華路39號,1.0,254.0,二重派出所,,121.46774,25.059947
大樓,,D401001364,五谷里,新北市三重區五谷里重新路5段489號,1.0,361.0,二重派出所,,121.472808,25.046913
大樓,,D401001365,頂崁里,新北市三重區頂崁里重化街2號,1.0,414.0,二重派出所,,121.46791,25.063769
大樓,,D401001366,五谷里,新北市三重區五谷里五谷王北街58巷26號,1.0,230.0,二重派出所,,121.474844,25.051701
大樓,,D401001367,五谷里,新北市三重區五谷里五谷王北街45巷1號,1.0,172.0,二重派出所,,121.475885,25.049167
公寓,,D401001382,中興里,新北市三重區中興里中興北街136巷18弄18號,1.0,513.0,二重派出所,,121.467995,25.055195
大樓,,D401001381,頂崁里,新北市三重區頂崁里新北大道2段88號,1.0,2640.0,二重派出所,,121.46927,25.061725
大樓,,D401001369,谷王里,新北市三重區興德路55號,1.0,189.0,二重派出所,,121.475648,25.054196
大樓,,D401001380,頂崁里,新北市三重區頂崁里光復路2段69號,1.0,699.0,二重派出所,,121.47225,25.056943
大樓,,D401001370,頂崁里,新北市三重區頂崁里光復路2段81號,1.0,676.0,二重派出所,,121.47223,25.057307
大樓,,D401001371,五谷里,新北市三重區五谷里五谷王北街36號,1.0,784.0,二重派出所,,121.4754838,25.04903048
公寓,,D401001372,頂崁里,新北市三重區頂崁里重化街38號,1.0,582.0,二重派出所,,121.4667927,25.06393769
大樓,水丰景,D401001373,頂崁里,新北市三重區頂崁里神農街481號,1.0,2066.0,二重派出所,,121.4745414,25.05850228
大樓,立瑾醞,D401001374,頂崁里,新北市三重區頂崁里神農街435號,1.0,1536.0,二重派出所,,121.4741011,25.05576776
大樓,三民大廈重陽區,D401001375,谷王里,新北市三重區谷王里神農街256號,1.0,453.0,二重派出所,,121.4741661,25.05131279
大樓,,D401001376,谷王里,新北市三重區谷王里頂文路1號,1.0,699.0,二重派出所,,121.4747504,25.05630074
大樓,,D401001377,德厚里,新北市三重區德厚里2鄰重新路5段353號,1.0,1259.0,二重派出所,,121.4767425,25.04844782
大樓,,D401001378,中興里,新北市三重區中興里29鄰中興北街50號,1.0,1482.0,二重派出所,,121.4688372,25.05098281
公寓,,D402000001,光明里,新北市三重區光明里光明路60號,1.0,2682.0,中興橋派出所,,121.491882,25.057295
大樓,,D402000002,福民里,新北市三重區福民里成功路73巷40號,1.0,704.0,中興橋派出所,,121.489774,25.052537
大樓,,D402000003,福民里,新北市三重區福民里環河南路254巷43號,1.0,547.0,中興橋派出所,,121.489514,25.051523
公寓,,D402000004,福民里,新北市三重區福民里集美街123號,1.0,270.0,中興橋派出所,,121.490396,25.052927
公寓,,D402000005,福民里,新北市三重區福民里成功路41巷25弄10號,1.0,70.0,中興橋派出所,,121.490953,25.051816
公寓,,D402000006,福民里,新北市三重區福民里昌隆街17號,1.0,176.0,中興橋派出所,,121.491982,25.052563
大樓,,D402000007,福民里,新北市三重區福民里環河南路254巷53號,1.0,173.0,中興橋派出所,,121.489818,25.051349
大樓,,D402000008,福民里,新北市三重區福民里新興路30號,3.0,318.0,中興橋派出所,,121.491908,25.053362
大樓,,D402000009,福民里,新北市三重區福民里集美街115號,1.0,318.0,中興橋派出所,,121.489812,25.052825
