類別,村里別,地址,地下樓層數,可容納人數,轄管分局,備註
公寓,香山里,新竹市香山區香山里03鄰大庄路120號,1.0,34.0,第三分局,
公寓,香山里,新竹市香山區香山里03鄰大庄路116巷31-39號,1.0,145.0,第三分局,
公寓,大庄里,新竹市香山區大庄里11鄰遊樂街29巷50號,1.0,709.0,第三分局,
公寓,大庄里,新竹市香山區大庄里02鄰大庄路260-262號,1.0,162.0,第三分局,
大樓,東香里,新竹市香山區東香里古車路5號之1,1.0,300.0,第三分局,
公寓,大庄里,新竹市香山區大庄里03鄰大庄路228巷39號,1.0,1217.0,第三分局,
大樓,東香里,新竹市香山區東香里新香路344號 ,1.0,1104.0,第三分局,
大樓,東香里,新竹市香山區東香里10鄰富群街2號,1.0,3105.0,第三分局,
公寓,香山里,新竹市香山區香山里01鄰中華路5段90號,1.0,594.0,第三分局,
大樓,香山里,新竹市香山區香山里12鄰中華路5段3號,1.0,1069.0,第三分局,
大庄國小,香山里,新竹市香山區香山里1鄰大庄路48號,1.0,1761.0,第三分局,
大樓,香山里,新竹市香山區香山里12鄰元培街8號,1.0,397.0,第三分局,
大樓,香山里,新竹市香山區香山里13鄰大庄路70號,1.0,768.0,第三分局,
香山國中,香山里,新竹市香山區香山里12鄰元培街124號,1.0,228.0,第三分局,
大庄國小,香山里,新竹市香山區香山里10鄰大庄路48號,1.0,380.0,第三分局,
大庄國小,香山里,新竹市香山區香山里10鄰大庄路49號,1.0,148.0,第三分局,
大樓,海山里,新竹市香山區海山里01鄰中華路5段491號,1.0,212.0,第三分局,
內湖國小,內湖里,新竹市香山區內湖里08鄰內湖路109號,1.0,580.0,第三分局,
公寓,鹽水里,新竹市香山區鹽水里03鄰中華路6段47號,1.0,177.0,第三分局,
公寓,鹽水里,新竹市香山區鹽水里03鄰中華路6段67巷3弄1號,1.0,48.0,第三分局,
公寓,朝山里,新竹市香山區朝山里03鄰大湖路9號,1.0,54.0,第三分局,
公寓,中隘里,新竹市香山區中隘里07鄰中華路6段823號,1.0,80.0,第三分局,
公寓,南隘里,新竹市香山區南隘里柳仔湳46號,1.0,57.0,第三分局,
公寓,中隘里,新竹市香山區中隘里05鄰中華路6段668號,1.0,160.0,第三分局,
公寓,中隘里,新竹市香山區中隘里05鄰中華路6段799號,1.0,268.0,第三分局,
公寓,關帝里,新竹市東區關帝里14鄰西大路364號,1.0,113.0,第三分局,
公寓,關帝里,新竹市東區關帝里09鄰南門街147號,1.0,37.0,第三分局,
公寓,關帝里,新竹市東區關帝里01鄰武昌街51號,1.0,300.0,第三分局,
公寓,關帝里,新竹市東區關帝里02鄰中南街14號,1.0,89.0,第三分局,
公寓,關帝里,新竹市東區關帝里05鄰南門街71號,1.0,45.0,第三分局,
公寓,關帝里,新竹市東區關帝里03鄰南門街80號,1.0,34.0,第三分局,
公寓,關帝里,新竹市東區關帝里04鄰南門街82號,1.0,32.0,第三分局,
公寓,關帝里,新竹市東區關帝里06鄰文昌街93號,1.0,30.0,第三分局,
公寓,關帝里,新竹市東區關帝里04鄰南門街88號,1.0,41.0,第三分局,
公寓,關帝里,新竹市東區關帝里02鄰中南街12號,1.0,85.0,第三分局,
新竹郵局,關帝里,新竹市東區關帝里01鄰武昌街81號,1.0,948.0,第三分局,
公寓,關帝里,新竹市東區關帝里14鄰西大路380號,1.0,29.0,第三分局,
公寓,關帝里,新竹市東區關帝里14鄰西大路370號,1.0,38.0,第三分局,
公寓,關帝里,新竹市東區關帝里14鄰西大路374號,1.0,24.0,第三分局,
公寓,關帝里,新竹市東區關帝里14鄰西大路376號,1.0,26.0,第三分局,
公寓,關帝里,新竹市東區關帝里14鄰西大路378號,1.0,62.0,第三分局,
公寓,關帝里,新竹市東區關帝里01鄰武昌街77號,1.0,38.0,第三分局,
公寓,關帝里,新竹市東區關帝里02鄰中南街14號,1.0,24.0,第三分局,
公寓,關帝里,新竹市東區關帝里04鄰南門街98號,1.0,34.0,第三分局,
公寓,關帝里,新竹市東區關帝里04鄰南門街96號,1.0,34.0,第三分局,
公寓,關帝里,新竹市東區關帝里02鄰中南街18號,1.0,30.0,第三分局,
公寓,關帝里,新竹市東區關帝里01鄰武昌街63號,1.0,45.0,第三分局,
公寓,關帝里,新竹市東區關帝里03鄰南門街66號,1.0,40.0,第三分局,
公寓,關帝里,新竹市東區關帝里15鄰西門街21號,1.0,20.0,第三分局,
公寓,關帝里,新竹市東區關帝里15鄰西門街17號,1.0,22.0,第三分局,
