電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備駐
QPA00185,光華里,屏東縣潮州鎮光華里福星路331號,"22.545063516149387, 120.54446102111838",1.0,4993.0,潮州分局,
QQA00003,光華里,屏東縣潮州鎮光華里南京路161-1號,"22.545599209566685, 120.5418225803042",1.0,300.0,潮州分局,
QQA00004,光華里,屏東縣潮州鎮光華里中山路11號,"22.549388167668887, 120.54509707383265",1.0,1629.0,潮州分局,共有5處、總計可容納人數2944人
QQA00005,光華里,屏東縣潮州鎮光華里中山路11號,"22.549491501640794, 120.54574457163395",1.0,97.0,潮州分局,共有5處、總計可容納人數2944人
QQA00006,光華里,屏東縣潮州鎮光華里中山路11號,"22.549540957041025, 120.545293841557",1.0,201.0,潮州分局,共有5處、總計可容納人數2944人
QQA00007,光華里,屏東縣潮州鎮光華里中山路11號,"22.549483693756876, 120.54468779412977",1.0,252.0,潮州分局,共有5處、總計可容納人數2944人
QQA00191,光華里,屏東縣潮州鎮光華里中山路11號,"22.549257264931413, 120.54507034758629",1.0,765.0,潮州分局,共有5處、總計可容納人數2944人
QQA00011,光華里,屏東縣潮州鎮光華里中山路12號,"22.550111306377545, 120.54527493763321",1.0,585.0,潮州分局,
QQA00008,光華里,屏東縣潮州鎮光華里中山路35號,"22.54960080451906, 120.54293865669365",1.0,28.0,潮州分局,
QQA00031,光華里,屏東縣潮州鎮光華里中山路60號,"22.54976033998443, 120.5420208723667",1.0,21.0,潮州分局,
QQA00013,光華里,屏東縣潮州鎮光華里中山路62號,"22.549759101411627, 120.541999414696",1.0,21.0,潮州分局,
QQA00012,光華里,屏東縣潮州鎮光華里育英路27號,"22.548758341616214, 120.54208570836504",1.0,52.0,潮州分局,
QPA00067,光華里,屏東縣潮州鎮光華里南進路2號,"22.54760349067605, 120.54306536766816",1.0,108.0,潮州分局,共有4處、總計可容納人數1742人
QPA00058,光華里,屏東縣潮州鎮光華里南進路2號,"22.547547991856735, 120.54311136414813",1.0,378.0,潮州分局,共有4處、總計可容納人數1742人
QPA00033,光華里,屏東縣潮州鎮光華里南進路2號,"22.54768845178829, 120.5431017197249",1.0,444.0,潮州分局,共有4處、總計可容納人數1742人
QPA00022,光華里,屏東縣潮州鎮光華里南進路2號,"22.547606231357907, 120.54319445456353",1.0,812.0,潮州分局,共有4處、總計可容納人數1742人
QPA00001,光華里,屏東縣潮州鎮光華里南進路2巷18號,"22.549242724144392, 120.54313591021865",1.0,80.0,潮州分局,
QPA00006,光華里,屏東縣潮州鎮光華里永安路32號,"22.54840341091655, 120.54739815078449",1.0,54.0,潮州分局,
QQA00001,光華里,屏東縣潮州鎮光華里福康街29號,"22.544501776510156, 120.54516763749749",1.0,2036.0,潮州分局,
QQA00002,光華里,屏東縣潮州鎮光華里華安街4號,"22.54482504755426, 120.5462234957131",1.0,481.0,潮州分局,
QPA00196,光華里,屏東縣潮州鎮光華里永康街66號,"22.54616048570374, 120.54472455687755",1.0,1016.0,潮州分局,
QQA00010,光華里,屏東縣潮州鎮光華里三華巷16號,"22.5509446331525, 120.54543517567878",1.0,208.0,潮州分局,
QQA00034,潮州里,屏東縣潮州鎮潮州里建基路93號,"22.550342263099658, 120.54188473655036",1.0,12.0,潮州分局,
QPA00073,潮州里,屏東縣潮州鎮潮州里建基路138號,"22.550873171631384, 120.54115436703073",1.0,42.0,潮州分局,
QPA00028,潮州里,屏東縣潮州鎮潮州里延平路30號,"22.552149442793244, 120.54042464539829",1.0,249.0,潮州分局,
QQA00035,潮州里,屏東縣潮州鎮潮州里南進路43號,"22.54995180935006, 120.54261140958135",1.0,36.0,潮州分局,
QQA00028,潮州里,屏東縣潮州鎮潮州里南進路45號,"22.550044995900745, 120.54254984249356",1.0,20.0,潮州分局,
QQA00033,潮州里,屏東縣潮州鎮潮州里南進路49號,"22.55010419166815, 120.54266884090103",1.0,20.0,潮州分局,
QPA00001,潮州里,屏東縣潮州鎮潮州里南進路51號,"22.55014066876119, 120.54263285134478",1.0,26.0,潮州分局,
QPA00074,潮州里,屏東縣潮州鎮潮州里長興路60號,"22.551545822522304, 120.54066124190642",1.0,134.0,潮州分局,
QQA00014,三星里,屏東縣潮州鎮三星里潮州路1148號,"22.55518474301606, 120.55754894314093",1.0,872.0,潮州分局,
QPA00106,三星里,屏東縣潮州鎮三星里潮州路1152號,"22.55761339753792, 120.55642917039881",1.0,481.0,潮州分局,
QQA00024,三星里,屏東縣潮州鎮三星里潮州路1153號,"22.55754051458337, 120.55606878200547",1.0,129.0,潮州分局,
QPA00075,三星里,屏東縣潮州鎮三星里四維路162號,"22.553979246967952, 120.54706567293714",1.0,261.0,潮州分局,
QPA00072,三星里,屏東縣潮州鎮三星里四維路354號,"22.556806588437677, 120.54952137735364",1.0,80.0,潮州分局,
QQA00015,三星里,屏東縣潮州鎮三星里四維路356號,"22.556828452386892, 120.54954567931829",1.0,80.0,潮州分局,
QQA00105,三星里,屏東縣潮州鎮三星里四維路358號,"22.556870430128416, 120.5495733175878",1.0,80.0,潮州分局,
QPA00059,三星里,屏東縣潮州鎮三星里四維路360號,"22.55689175310959, 120.54960716419826",1.0,80.0,潮州分局,
QPA00071,三星里,屏東縣潮州鎮三星里三德路25號,"22.555363031237444, 120.55113311105274",1.0,4576.0,潮州分局,
QPA00184,三星里,屏東縣潮州鎮三星里壽星路8號,"22.55350709778914, 120.55181913396683",1.0,2458.0,潮州分局,
QPA00072,三星里,屏東縣潮州鎮三星里三林路21巷11號,"22.55357149943597, 120.55179470984044",1.0,929.0,潮州分局,
QQA00029,三星里,屏東縣潮州鎮三星里朝昇東路93號,"22.551546646491737, 120.54892186748089",1.0,202.0,潮州分局,
QPA00199,三星里,屏東縣潮州鎮三星里朝昇東路131號,"22.55056127442872, 120.54896280587653",1.0,1386.0,潮州分局,
QPA00007,三星里,屏東縣潮州鎮三星里三星路2之14號,"22.54371755164254, 120.55684174801517",1.0,188.0,潮州分局,
QPA00005,三星里,屏東縣潮州鎮三星里三星路20號,"22.54468842072653, 120.55184133174079",1.0,1010.0,潮州分局,
QPA00030,三星里,屏東縣潮州鎮三星里三星路39號,"22.546680666361127, 120.54911533758859",1.0,161.0,潮州分局,
QPA00016,三星里,屏東縣潮州鎮三星里三城路302號,"22.545056684011442, 120.54930569304214",1.0,22.0,潮州分局,
QPA00026,三星里,屏東縣潮州鎮三星里三城路314號,"22.54505371930752, 120.54935558833448",1.0,74.0,潮州分局,
QPA00062,三星里,屏東縣潮州鎮三星里吉星路102巷1號,"22.546303180680184, 120.55231252887658",1.0,1990.0,潮州分局,
QPA00004,彭城里,屏東縣潮州鎮彭城里三城路111號,"22.541746694584234, 120.54965130248749",1.0,3841.0,潮州分局,
QPA00005,九塊里,屏東縣潮州鎮九塊里復興路94號,"22.523532255628645, 120.55982382490937",1.0,257.0,潮州分局,
QPA00019,同榮里,屏東縣潮州鎮同榮里中山路92號,"22.54978131474086, 120.5408353621606",1.0,34.0,潮州分局,
QPA00056,同榮里,屏東縣潮州鎮同榮里中山路94號,"22.5497939180118, 120.5408111516262",1.0,50.0,潮州分局,
QQA00003,同榮里,屏東縣潮州鎮同榮里中山路109號,"22.5494572888614, 120.53988520979917",1.0,46.0,潮州分局,
QPA00021,同榮里,屏東縣潮州鎮同榮里中山路112號,"22.549732083882507, 120.54042446223231",1.0,30.0,潮州分局,
QPA00017,同榮里,屏東縣潮州鎮同榮里中山路114號,"22.549681748962904, 120.54033919180138",1.0,34.0,潮州分局,
QQA00022,同榮里,屏東縣潮州鎮同榮里民生路3號,"22.54906495353795, 120.54165134430127",1.0,30.0,潮州分局,
QQA00002,同榮里,屏東縣潮州鎮同榮里民生路15號,"22.549353423288327, 120.54160577311613",1.0,36.0,潮州分局,
QPA00003,同榮里,屏東縣潮州鎮同榮里民生路17號,"22.54936799249775, 120.54165041654836",1.0,54.0,潮州分局,
QPA00006,同榮里,屏東縣潮州鎮同榮里民生路19號,"22.549420523805864, 120.54162675235268",1.0,52.0,潮州分局,
QPA00009,同榮里,屏東縣潮州鎮同榮里育英路31號,"22.548124274753917, 120.54133135938713",1.0,109.0,潮州分局,共有2處、總計可容納人數1378人
QPA00064,同榮里,屏東縣潮州鎮同榮里育英路31號,"22.548743624544166, 120.54115736134682",1.0,1269.0,潮州分局,共有2處、總計可容納人數1378人
QPA00069,同榮里,屏東縣潮州鎮同榮里西市路2號,"22.54917438861793, 120.54126425928663",1.0,42.0,潮州分局,
QPA00061,同榮里,屏東縣潮州鎮同榮里西市路2-1號,"22.549139752281015, 120.54128699186735",1.0,30.0,潮州分局,
QPA00007,同榮里,屏東縣潮州鎮同榮里西市路2-2號,"22.549188164616176, 120.54136621943836",1.0,30.0,潮州分局,
QQA00021,同榮里,屏東縣潮州鎮同榮里西市路2-3號,"22.549210378258003, 120.54140566543244",1.0,30.0,潮州分局,
QQA00023,同榮里,屏東縣潮州鎮同榮里西市路2-4號,"22.5492517049738, 120.54140972600948",1.0,30.0,潮州分局,
QPA00033,同榮里,屏東縣潮州鎮同榮里西市路4號,"22.549415684462453, 120.54121790343339",1.0,42.0,潮州分局,
QPA00102,同榮里,屏東縣潮州鎮同榮里清水路25號,"22.551034044909727, 120.53987388978253",1.0,133.0,潮州分局,
QPA00003,三和里,屏東縣潮州鎮三和里自強路7號,"22.55381498117613, 120.53885959220214",1.0,72.0,潮州分局,
QPA00011,三和里,屏東縣潮州鎮三和里延平路51號,"22.552783939375335, 120.54008035588907",1.0,93.0,潮州分局,
QPA00010,三和里,屏東縣潮州鎮三和里延平路115號,"22.55450925954825, 120.54021733458697",1.0,1342.0,潮州分局,
QPA00032,三和里,屏東縣潮州鎮三和里龍巖路31號,"22.556608036577913, 120.53902842751343",1.0,164.0,潮州分局,
QPA00031,三和里,屏東縣潮州鎮三和里朝昇路322號,"22.556212783074056, 120.53926511142691",1.0,188.0,潮州分局,
