電腦編號,村里別,地址,緯度,經度,地下樓層數,可容納人數,轄管分局,備註
C7,雙溪村,新竹科學園區園區三路121號,24.77403,120.99779,1.0,5255.0,保安警察第二總隊三大一中,竹科
C8,雙溪村,新竹科學園區創新一路11號,24.77532,120.99816,3.0,1770.0,保安警察第二總隊三大一中,竹科
C9,雙溪村,新竹科學園區創新一路3號,24.77372,121.0008,1.0,1178.0,保安警察第二總隊三大一中,竹科
C10,雙溪村,新竹科學園區創新一路5號,24.77421,120.9999,1.0,2979.0,保安警察第二總隊三大一中,竹科
C11,雙溪村,新竹科學園區工業東九路3-7號,24.77222,121.00857,1.0,2040.0,保安警察第二總隊三大一中,竹科
C12,雙溪村,新竹科學園區創新一路19-1號,24.77836,120.99482,2.0,5036.0,保安警察第二總隊三大一中,竹科
C13,雙溪村,新竹科學園區研發一路1號,24.77644,121.00202,2.0,4504.0,保安警察第二總隊三大一中,竹科
C14,雙溪村,新竹科學園區創新一路5-1號,24.77393,121.00041,2.0,1944.0,保安警察第二總隊三大一中,竹科
C15,雙溪村,新竹科學園區研發一路8號,24.77538,121.00247,2.0,2972.0,保安警察第二總隊三大一中,竹科
C16,雙溪村,新竹科學園區研發二路2號,24.77518,121.00024,3.0,3498.0,保安警察第二總隊三大一中,竹科
C17,雙溪村,新竹科學園區創新一路17號,24.77729,120.99566,1.0,309.0,保安警察第二總隊三大一中,竹科
C18,雙溪村,新竹科學園區研發一路8號,24.77533,121.00249,1.0,521.0,保安警察第二總隊三大一中,竹科
C19,雙溪村,新竹科學園區研發二路1號,24.77584,121.00002,1.0,752.0,保安警察第二總隊三大一中,竹科
C20,雙溪村,新竹科學園區創新一路6號,24.77552,120.99945,1.0,190.0,保安警察第二總隊三大一中,竹科
C21,雙溪村,新竹科學園區研發二路2號,24.7752,121.00025,1.0,2648.0,保安警察第二總隊三大一中,竹科
C22,雙溪村,新竹科學園區創新一路12號,24.77733,120.99643,1.0,4048.0,保安警察第二總隊三大一中,竹科
C23,雙溪村,新竹科學園區創新一路3號,24.77366,121.0008,1.0,1178.0,保安警察第二總隊三大一中,竹科
C25,雙溪村,新竹科學園區園區三路101號,24.7723,121.00145,1.0,405.0,保安警察第二總隊三大一中,竹科
C26,雙溪村,新竹科學園區創新一路9號,24.77486,120.99874,2.0,889.0,保安警察第二總隊三大一中,竹科
