類別,電腦編號,村里別,地址,地下樓層數,可容納人數,備註,placemark_address
基隆市政府,八斗001,八斗里,基隆市中正區漁港三街21號,1.0,595,,"基隆市政府 八斗001 八斗里 基隆市中正區漁港三街21號 595 第二分局"
基隆市政府,八斗002,八斗里,基隆市中正區漁港三街168號,1.0,1497,,"基隆市政府 八斗002 八斗里 基隆市中正區漁港三街168號 1497 第二分局"
公寓,砂子001,砂子里,基隆市中正區調和街2之101號,1.0,2654,,"公寓 砂子001 砂子里 基隆市中正區調和街2之101號 2654 第二分局"
公寓,砂子002,砂子里,基隆市中正區調和街1巷9號,1.0,238,,"公寓 砂子002 砂子里 基隆市中正區調和街1巷9號 238 第二分局"
公寓,砂子005,砂子里,基隆市中正區北寧路390號,1.0,956,,"公寓 砂子005 砂子里 基隆市中正區北寧路390號 956 第二分局"
大樓,砂子006,砂子里,基隆市中正區觀海街92號,4.0,25375,,"大樓 砂子006 砂子里 基隆市中正區觀海街92號 25375 第二分局"
公寓,砂子007,砂子里,基隆市中正區觀海街203號,3.0,20632,,"公寓 砂子007 砂子里 基隆市中正區觀海街203號 20632 第二分局"
基隆市政府,砂子008,砂子里,基隆市中正區北寧路396巷52號,1.0,755,,"基隆市政府 砂子008 砂子里 基隆市中正區北寧路396巷52號 755 第二分局"
公寓,砂子009,砂子里,基隆市中正區調和街210號,1.0,1349,,"公寓 砂子009 砂子里 基隆市中正區調和街210號 1349 第二分局"
八斗國小,砂子010,砂子里,基隆市中正區北寧路396巷52號,1.0,435,,"八斗國小 砂子010 砂子里 基隆市中正區北寧路396巷52號 435 第二分局"
公寓,砂子011,砂子里,基隆市中正區調和街298號,3.0,6870,,"公寓 砂子011 砂子里 基隆市中正區調和街298號 6870 第二分局"
公寓,新富001,新富里,基隆市中正區新豐街303巷11弄21號,1.0,2690,,"公寓 新富001 新富里 基隆市中正區新豐街303巷11弄21號 2690 第二分局"
公寓,新富002,新富里,基隆市中正區新豐街343之1號,2.0,4574,,"公寓 新富002 新富里 基隆市中正區新豐街343之1號 4574 第二分局"
公寓,新富003,新富里,基隆市中正區新豐街161巷98號,1.0,1210,,"公寓 新富003 新富里 基隆市中正區新豐街161巷98號 1210 第二分局"
公寓,新富004,新富里,基隆市中正區新豐街205巷9號,1.0,445,,"公寓 新富004 新富里 基隆市中正區新豐街205巷9號 445 第二分局"
公寓,新富005,新富里,基隆市中正區新豐街161巷53號,1.0,785,,"公寓 新富005 新富里 基隆市中正區新豐街161巷53號 785 第二分局"
公寓,新豐001,新豐里,基隆市中正區新豐街106號,1.0,324,,"公寓 新豐001 新豐里 基隆市中正區新豐街106號 324 第二分局"
公寓,新豐002,新豐里,基隆市中正區新豐街333巷8號,2.0,4478,,"公寓 新豐002 新豐里 基隆市中正區新豐街333巷8號 4478 第二分局"
公寓,新豐003,新豐里,基隆市中正區新豐街333巷30號,2.0,3350,,"公寓 新豐003 新豐里 基隆市中正區新豐街333巷30號 3350 第二分局"
公寓,新豐004,新豐里,基隆市中正區新豐街344號,2.0,12755,,"公寓 新豐004 新豐里 基隆市中正區新豐街344號 12755 第二分局"
公寓,新豐005,新豐里,基隆市中正區新豐街136號,1.0,667,,"公寓 新豐005 新豐里 基隆市中正區新豐街136號 667 第二分局"
大樓,新豐006,新豐里,基隆市中正區新豐街290號,4.0,14001,,"大樓 新豐006 新豐里 基隆市中正區新豐街290號 14001 第二分局"
大樓,新豐007,新豐里,基隆市中正區新豐街466號,2.0,34910,,"大樓 新豐007 新豐里 基隆市中正區新豐街466號 34910 第二分局"
公寓,新豐008,新豐里,基隆市中正區新豐街162巷3號,1.0,1295,,"公寓 新豐008 新豐里 基隆市中正區新豐街162巷3號 1295 第二分局"
公寓,新豐009,新豐里,基隆市中正區新豐街162巷31號,2.0,577,,"公寓 新豐009 新豐里 基隆市中正區新豐街162巷31號 577 第二分局"
公寓,新豐010,新豐里,基隆市中正區新豐街162巷13號,3.0,2195,,"公寓 新豐010 新豐里 基隆市中正區新豐街162巷13號 2195 第二分局"
公寓,新豐011,新豐里,基隆市中正區新豐街162巷65號,2.0,2256,,"公寓 新豐011 新豐里 基隆市中正區新豐街162巷65號 2256 第二分局"
公寓,新豐012,新豐里,基隆市中正區新豐街162巷73號,2.0,2286,,"公寓 新豐012 新豐里 基隆市中正區新豐街162巷73號 2286 第二分局"
公寓,新豐013,新豐里,基隆市中正區新豐街162巷125號,3.0,4913,,"公寓 新豐013 新豐里 基隆市中正區新豐街162巷125號 4913 第二分局"
公寓,新豐014,新豐里,基隆市中正區新豐街162巷2至166號,4.0,8924,,"公寓 新豐014 新豐里 基隆市中正區新豐街162巷2至166號 8924 第二分局"
公寓,碧砂001,碧砂里,基隆市中正區北寧路237號,1.0,704,,"公寓 碧砂001 碧砂里 基隆市中正區北寧路237號 704 第二分局"
公寓,碧砂002,碧砂里,基隆市中正區北寧路364號,1.0,205,,"公寓 碧砂002 碧砂里 基隆市中正區北寧路364號 205 第二分局"
基隆市政府,碧砂004,碧砂里,基隆市中正區環港街84號,1.0,375,,"基隆市政府 碧砂004 碧砂里 基隆市中正區環港街84號 375 第二分局"
基隆市漁會,碧砂005,碧砂里,基隆市中正區環港街5號,1.0,1849,,"基隆市漁會 碧砂005 碧砂里 基隆市中正區環港街5號 1849 第二分局"
公寓,碧砂006,碧砂里,基隆市中正區新豐街251巷9弄1號,1.0,1022,,"公寓 碧砂006 碧砂里 基隆市中正區新豐街251巷9弄1號 1022 第二分局"
公寓,碧砂007,碧砂里,基隆市中正區北寧路284號,1.0,933,,"公寓 碧砂007 碧砂里 基隆市中正區北寧路284號 933 第二分局"
公寓,碧砂008,碧砂里,基隆市中正區北寧路296號,1.0,507,,"公寓 碧砂008 碧砂里 基隆市中正區北寧路296號 507 第二分局"
公寓,碧砂010,碧砂里,基隆市中正區北寧路250之6號,1.0,146,,"公寓 碧砂010 碧砂里 基隆市中正區北寧路250之6號 146 第二分局"
國立海科館,長潭001,長潭里,基隆市中正區北寧路367號,2.0,19380,,"國立海科館 長潭001 長潭里 基隆市中正區北寧路367號 19380 第二分局"
忠孝國小,中正001,中正里,基隆市中正區中正路656巷150號,1.0,165,,"忠孝國小 中正001 中正里 基隆市中正區中正路656巷150號 165 第二分局"
公寓,中正002,中正里,基隆市中正區中正路672號,1.0,245,,"公寓 中正002 中正里 基隆市中正區中正路672號 245 第二分局"
基隆市政府,中正003,中正里,基隆市中正區中正路674號,1.0,370,,"基隆市政府 中正003 中正里 基隆市中正區中正路674號 370 第二分局"
公寓,中濱001,中濱里,基隆市中正區中正路510號,1.0,210,,"公寓 中濱001 中濱里 基隆市中正區中正路510號 210 第二分局"
公寓,正濱001,正濱里,基隆市中正區中正路742號,1.0,215,,"公寓 正濱001 正濱里 基隆市中正區中正路742號 215 第二分局"
原住民會館,正濱002,正濱里,基隆市中正區正濱路116巷75號,1.0,628,,"原住民會館 正濱002 正濱里 基隆市中正區正濱路116巷75號 628 第二分局"
公寓,正濱003,正濱里,基隆市中正區中正路607號,1.0,990,,"公寓 正濱003 正濱里 基隆市中正區中正路607號 990 第二分局"
國立台灣海洋大學,海濱001,海濱里,基隆市中正區北寧路2號,1.0,1476,,"國立台灣海洋大學 海濱001 海濱里 基隆市中正區北寧路2號 1476 第二分局"
國立台灣海洋大學,海濱002,海濱里,基隆市中正區北寧路2號,1.0,905,,"國立台灣海洋大學 海濱002 海濱里 基隆市中正區北寧路2號 905 第二分局"
國立台灣海洋大學,海濱003,海濱里,基隆市中正區北寧路2號,1.0,615,,"國立台灣海洋大學 海濱003 海濱里 基隆市中正區北寧路2號 615 第二分局"
國立台灣海洋大學,海濱004,海濱里,基隆市中正區北寧路2號,1.0,669,,"國立台灣海洋大學 海濱004 海濱里 基隆市中正區北寧路2號 669 第二分局"
國立台灣海洋大學,海濱005,海濱里,基隆市中正區北寧路2號,1.0,1004,,"國立台灣海洋大學 海濱005 海濱里 基隆市中正區北寧路2號 1004 第二分局"
國立台灣海洋大學,海濱006,海濱里,基隆市中正區北寧路2號,1.0,174,,"國立台灣海洋大學 海濱006 海濱里 基隆市中正區北寧路2號 174 第二分局"
國立台灣海洋大學,海濱007,海濱里,基隆市中正區北寧路2號,1.0,4112,,"國立台灣海洋大學 海濱007 海濱里 基隆市中正區北寧路2號 4112 第二分局"
國立台灣海洋大學,海濱008,海濱里,基隆市中正區北寧路2號,1.0,1357,,"國立台灣海洋大學 海濱008 海濱里 基隆市中正區北寧路2號 1357 第二分局"
國立台灣海洋大學,海濱009,海濱里,基隆市中正區北寧路2號,1.0,638,,"國立台灣海洋大學 海濱009 海濱里 基隆市中正區北寧路2號 638 第二分局"
工廠,海濱010,海濱里,基隆市中正區北寧路67號,1.0,1710,,"工廠 海濱010 海濱里 基隆市中正區北寧路67號 1710 第二分局"
公寓,中砂001,中砂里,基隆市中正區豐稔街132號之1,2.0,555,,"公寓 中砂001 中砂里 基隆市中正區豐稔街132號之1 555 第二分局"
公寓,中砂002,中砂里,基隆市中正區正豐街36之1號,1.0,698,,"公寓 中砂002 中砂里 基隆市中正區正豐街36之1號 698 第二分局"
公寓,中砂003,中砂里,基隆市中正區豐稔街104號,1.0,199,,"公寓 中砂003 中砂里 基隆市中正區豐稔街104號 199 第二分局"
公寓,中砂004,中砂里,基隆市中正區豐稔街118號,3.0,1547,,"公寓 中砂004 中砂里 基隆市中正區豐稔街118號 1547 第二分局"
基隆市中正區公所,中砂005,中砂里,基隆市中正區中正路236號,2.0,2533,,"基隆市中正區公所 中砂005 中砂里 基隆市中正區中正路236號 2533 第二分局"
公寓,正砂001,正砂里,基隆市中正區正榮街77巷53號,4.0,338,,"公寓 正砂001 正砂里 基隆市中正區正榮街77巷53號 338 第二分局"
公寓,正砂004,正砂里,基隆市中正區正榮街28之4號,2.0,470,,"公寓 正砂004 正砂里 基隆市中正區正榮街28之4號 470 第二分局"
公寓,正砂005,正砂里,基隆市中正區正榮街28之1號,2.0,427,,"公寓 正砂005 正砂里 基隆市中正區正榮街28之1號 427 第二分局"
大樓,正砂006,正砂里,基隆市中正區中正路213號,1.0,572,,"大樓 正砂006 正砂里 基隆市中正區中正路213號 572 第二分局"
公寓,正砂007,正砂里,基隆市中正區正榮街59號,1.0,313,,"公寓 正砂007 正砂里 基隆市中正區正榮街59號 313 第二分局"
公寓,正砂008,正砂里,基隆市中正區中正路400之3號,1.0,1886,,"公寓 正砂008 正砂里 基隆市中正區中正路400之3號 1886 第二分局"
公寓,正砂009,正砂里,基隆市中正區中正路97號,2.0,611,,"公寓 正砂009 正砂里 基隆市中正區中正路97號 611 第二分局"
日盛國際商業銀行股份有限公司,正砂010,正砂里,基隆市中正區中正路335號,3.0,940,,"日盛國際商業銀行股份有限公司 正砂010 正砂里 基隆市中正區中正路335號 940 第二分局"
