電腦編號,村里別,地址,緯度,經度,地下樓層數,可容納人數,轄管分局,備註
3,白雲村,宜蘭縣礁溪鄉渭水路1號,24.8312454798367,121.791407892127,1,212.0,國道公路警察局第九公路警察大隊,
B-6,蘇東里,宜蘭縣蘇澳鎮蘇東里8鄰港區1號,24.59690235,121.8571975,1,655.0,基隆港務警察總隊蘇澳中隊,
B-5,蘇東里,宜蘭縣蘇澳鎮蘇東里8鄰港區7號,24.5962305,121.85774319,1,215.0,基隆港務警察總隊蘇澳中隊,
