建築物名稱,村里別,地址,地下樓層數,可容納人數,轄管分局,編號,備註,經度,緯度,placemark_address
吳厝國小,九隆里,雲林縣西螺鎮九隆里九隆44號,1.0,106.0,西螺分局,583.0,,23.74972,120.43686,雲林縣西螺鎮九隆里九隆44號
長照管理顧問有限公司,大有村,"雲林縣崙背鄉大有村大有路286號  ",1.0,471.0,西螺分局,584.0,,23.75869,120.30321,雲林縣崙背鄉大有村大有路286號
國泰人壽保險公司,大園里,"雲林縣西螺鎮大園里大同路58號  ",1.0,253.0,西螺分局,585.0,,23.79952,120.46595,雲林縣西螺鎮大園里大同路58號
鴻屹建設有限公司,大園里,"西螺鎮大園里光復東路53號 ",1.0,859.0,西螺分局,586.0,,23.798566,120.469385,西螺鎮大園里光復東路53號
西螺農工,大園里,"雲林縣西螺鎮大園里大同路4號  ",1.0,3424.0,西螺分局,587.0,西螺農工691人、格致大樓1558人、力行館607人、畜保館171人、生機館206人、實習工廠117人、進修74人,23.79451,120.46832,雲林縣西螺鎮大園里大同路4號
新光人壽保險公司,大園里,"雲林縣西螺鎮大園里光復東路1號  ",1.0,291.0,西螺分局,588.0,,23.79792,120.46665,雲林縣西螺鎮大園里光復東路1號
巨洲建設有限公司,大園里,"雲林縣西螺鎮大園里光復東路63巷35號  ",1.0,794.0,西螺分局,589.0,,23.799242,120.470435,雲林縣西螺鎮大園里光復東路63巷35號
西螺地政所,中和里,"雲林縣西螺鎮中和里中山路66號  ",1.0,132.0,西螺分局,590.0,,23.80024,120.46242,雲林縣西螺鎮中和里中山路66號
福善寺,中和里,雲林縣西螺鎮中和里大橋路5號,1.0,334.0,西螺分局,591.0,,23.803601,120.462675,雲林縣西螺鎮中和里大橋路5號
國光客運西螺站,中和里,雲林縣西螺鎮中和里中山路70號,1.0,221.0,西螺分局,592.0,,23.80012,120.46221,雲林縣西螺鎮中和里中山路70號
中山傳奇,中興里,"雲林縣西螺鎮中興里西興南路23號  ",1.0,687.0,西螺分局,593.0,,23.8001,120.45544,雲林縣西螺鎮中興里西興南路23號
東南國中,中興里,"雲林縣西螺鎮中興里東南路326號  ",1.0,3034.0,西螺分局,594.0,東南國中290人、中興樓1412人、大仁樓290人、大智樓150人、治寰樓398人、餐廳26人、光華樓468人,23.80278,120.45182,雲林縣西螺鎮中興里東南路326號
文昌國小,中興里,"雲林縣西螺鎮中興里延平路504號  ",1.0,89.0,西螺分局,595.0,,23.80023,120.45208,雲林縣西螺鎮中興里延平路504號
報恩寺,中興里,"雲林縣西螺鎮中興里光復西路432號  ",1.0,305.0,西螺分局,596.0,,23.79576,120.45212,雲林縣西螺鎮中興里光復西路432號
,正興里,雲林縣西螺鎮中正路119巷8號,1.0,408.0,西螺分局,597.0,,23.796992,120.460137,雲林縣西螺鎮中正路119巷8號
西螺國中,正興里,"雲林縣西螺鎮正興里興農西路217號  ",1.0,745.0,西螺分局,598.0,,23.7923,120.46054,雲林縣西螺鎮正興里興農西路217號
西螺京站大樓,光華里,西螺鎮光華里9鄰修文路173號,1.0,649.0,西螺分局,599.0,,23.80166,120.45721,西螺鎮光華里9鄰修文路173號
,光華里,"雲林縣西螺鎮光華里延平路209號  ",1.0,142.0,西螺分局,600.0,,23.80084,120.45851,雲林縣西螺鎮光華里延平路209號
和心農會倉庫,安定里,雲林縣西螺鎮安定里雲24鄉道堤防路2號,1.0,86.0,西螺分局,601.0,本避難位於和心農會倉庫(雲林縣西螺鎮安定里堤防路2號),23.812308,120.440549
富國大旅社,東明村,"雲林縣崙背鄉東明村正義路179號 ",1.0,32.0,西螺分局,602.0,,23.76113,120.35738,雲林縣崙背鄉東明村正義路179號
安定國小,河南里,雲林縣西螺鎮河南里埔心路210號,1.0,79.0,西螺分局,603.0,,23.80127,120.44057,雲林縣西螺鎮河南里埔心路210號
崙背國中,南陽村,"雲林縣崙背鄉南陽村大城路91號  ",1.0,1827.0,西螺分局,604.0,,23.75793,120.3491,雲林縣崙背鄉南陽村大城路91號
二崙鄉公所,崙西村,"雲林縣二崙鄉崙西村中興路5號 ",1.0,222.0,西螺分局,605.0,,23.77152,120.41292,雲林縣二崙鄉崙西村中興路5號
二崙鄉圖書館,崙西村,"雲林縣二崙鄉崙西村中興路5號之1  ",1.0,150.0,西螺分局,606.0,,23.77113,120.41298,雲林縣二崙鄉崙西村中興路5號之1
匯豐糧食加工廠,崙西村,"雲林縣二崙鄉崙西村中山路392號  ",1.0,106.0,西螺分局,607.0,,23.76679,120.40507,雲林縣二崙鄉崙西村中山路392號
