電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註
1.0,下寮村,元長鄉下寮村經建街8號,"23.60951, 120.33104",1.0,60.0,虎尾分局,
2.0,下寮村,元長鄉下寮村興工街2號,"23.6141,  120.33211",1.0,250.0,虎尾分局,
3.0,下寮村,元長鄉下寮村經建街1號,"23.61099, 120.33223",1.0,120.0,虎尾分局,
4.0,下寮村,元長鄉下寮村經建街10號,"23.60951, 120.33104",1.0,101.0,虎尾分局,
5.0,下寮村,元長鄉下寮村經建街1號,"23.61099, 120.33223",1.0,80.0,虎尾分局,
6.0,下寮村,元長鄉下寮村18鄰興工街3號,"23.61382, 120.33271",1.0,82.0,虎尾分局,
7.0,中山里,虎尾鎮中山里中正路94號,"23.70877, 120.43454",1.0,28.0,虎尾分局,
8.0,中山里,虎尾鎮中山里中正路100號,"23.70876, 120.43453",1.0,212.0,虎尾分局,
9.0,中山里,虎尾鎮中山里仁愛路60號,"23.70837, 120.43477",1.0,27.0,虎尾分局,
10.0,中山里,虎尾鎮中山里中正路106號,"23.70865, 120.43425",1.0,77.0,虎尾分局,
11.0,中山里,虎尾鎮中山里中正路108號,"23.70862, 120.43425",1.0,82.0,虎尾分局,
12.0,中山里,虎尾鎮中山里中正路110號,"23.70868, 120.43414",1.0,89.0,虎尾分局,
13.0,中山里,虎尾鎮中山里中正路116號,"23.70852, 120.43415",1.0,22.0,虎尾分局,
14.0,中山里,虎尾鎮中山里中正路121號,"23.70819, 120.43367",1.0,64.0,虎尾分局,
15.0,中山里,虎尾鎮中山里中正路143號,"23.7079,  120.43316",1.0,22.0,虎尾分局,
16.0,中山里,虎尾鎮中山里仁愛路1號,"23.70716, 120.43509",1.0,128.0,虎尾分局,
17.0,中山里,虎尾鎮中山里中正路140號,"23.70825, 120.43344",1.0,46.0,虎尾分局,
18.0,中山里,虎尾鎮中山里中正路140號,"23.70825, 120.43344",1.0,152.0,虎尾分局,
19.0,中山里,虎尾鎮中山里中正路146號,"23.70821, 120.43329",1.0,26.0,虎尾分局,
20.0,中山里,虎尾鎮中山里公安路115號,"23.70873, 120.43319",1.0,110.0,虎尾分局,
21.0,中山里,虎尾鎮中山里新生路157號,"23.70704, 120.43578",1.0,2709.0,虎尾分局,
22.0,中山里,虎尾鎮中山里新興路63號,"23.70904, 120.43465",1.0,152.0,虎尾分局,
23.0,中山里,虎尾鎮中山里中山路82號,"23.70823, 120.43424",1.0,251.0,虎尾分局,
24.0,中山里,虎尾鎮中山里德興路16號,"23.70832, 120.43218",1.0,880.0,虎尾分局,
