類別,電腦編號,村里別,地址,緯經度,可容納人數,轄管分局,備註
一般住宅,FMA00001,崇禮里,新竹市北區崇禮里12鄰集和街5號,"24.8035307,120.9609441",20.0,第一分局,
供公眾使用建築物,FMA00002,崇禮里,新竹市北區崇禮里10鄰中山路306號,"24.8019076,120.9610694",13.0,第一分局,
一般住宅,FMA00003,崇禮里,新竹市北區崇禮里10鄰中山路308號,"24.8018852,120.9610282",13.0,第一分局,
一般住宅,FMA00004,崇禮里,新竹市北區崇禮里10鄰中山路310號,"24.8019976,120.9608657",14.0,第一分局,
一般住宅,FMA00005,崇禮里,新竹市北區崇禮里11鄰集賢街30號,"24.8039281,120.9620371",9.0,第一分局,
一般住宅,FMA00006,崇禮里,新竹市北區崇禮里10鄰中山路312巷2號,"24.8020965,120.9608881",21.0,第一分局,
一般住宅,FMA00007,崇禮里,新竹市北區崇禮里3鄰集賢街74號,"24.8031677,120.9627822",14.0,第一分局,
一般住宅,FMA00008,崇禮里,新竹市北區崇禮里10鄰中山路304號,"24.8019343,120.9611125",40.0,第一分局,
一般住宅,FMA00009,崇禮里,新竹市北區崇禮里中山路302號,"24.802126,120.961016",37.0,第一分局,
一般住宅,FMA00010,崇禮里,新竹市北區崇禮里中山路258號,"24.8025648,120.9619901",14.0,第一分局,
一般住宅,FMA00011,崇禮里,新竹市北區崇禮里10鄰中山路312巷20號,"24.8024921,120.960674",22.0,第一分局,
一般住宅,FMA00012,崇禮里,新竹市北區崇禮里10鄰中山路312巷18號,"24.802459,120.960705",22.0,第一分局,
一般住宅,FMA00013,崇禮里,新竹市北區崇禮里10鄰中山路310號,"24.8019976,120.9608657",145.0,第一分局,
供公眾使用建築物,FMA00014,崇禮里,新竹市北區崇禮里10鄰中山路312巷22號,"24.802525,120.9606312",32.0,第一分局,
供公眾使用建築物,FMA00015,崇禮里,新竹市北區崇禮里9鄰中山路296巷1號,"24.8022375,120.9610473",124.0,第一分局,
一般住宅,FMA00016,崇禮里,新竹市北區崇禮里中山路40號,"24.8057184,120.9670394",426.0,第一分局,
公有建築物,FMA00017,崇禮里,新竹市北區崇禮里10鄰中山路300號,"24.8019935,120.9612074",333.0,第一分局,
一般住宅,FMA00018,崇禮里,新竹市北區崇禮里10鄰中山路312巷12號,"24.8021948,120.9607312",58.0,第一分局,
供公眾使用建築物,FMA00019,崇禮里,新竹市北區崇禮里14鄰北大路457號,"24.8020044,120.9601581",638.0,第一分局,
一般住宅,FMA00020,崇禮里,新竹市北區崇禮里10鄰中山路312巷4號,"24.8022289,120.9609687",22.0,第一分局,
一般住宅,FMA00021,崇禮里,新竹市北區崇禮里14鄰北大路427號,"24.8026846,120.96032",64.0,第一分局,
一般住宅,FMA00022,崇禮里,新竹市北區崇禮里6鄰中山路252號,"24.802684,120.9621669",280.0,第一分局,
供公眾使用建築物,FMA00023,崇禮里,新竹市北區崇禮里14鄰北大路471號,"24.8017471,120.960466",228.0,第一分局,
一般住宅,FMA00024,崇禮里,新竹市北區崇禮里10鄰中山路310號,"24.8019976,120.9608657",98.0,第一分局,
一般住宅,FMA00025,潛園里,新竹市北區潛園里1鄰西大路417號,"24.8038964,120.9640286",41.0,第一分局,
