行政區,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註,placemark_address
文山區,WRA00361,木柵里,臺北市文山區秀明路一段110號,"24.99107,121.567543",2,"330 ",文山第一分局,,臺北市文山區秀明路一段110號
文山區,WRA00362,木柵里,臺北市文山區秀明路一段134號,"24.991271,121.568145",1,"149 ",文山第一分局,,臺北市文山區秀明路一段134號
文山區,WRA00363,木柵里,臺北市文山區秀明路一段68號,"24.990006,121.565728",2,"656 ",文山第一分局,,臺北市文山區秀明路一段68號
文山區,WRA00364,木柵里,臺北市文山區秀明路一段74號,"24.990148,121.565957",1,"512 ",文山第一分局,,臺北市文山區秀明路一段74號
文山區,WRA00365,木柵里,臺北市文山區秀明路一段103巷7號,"24.991223,121.565945",1,"93 ",文山第一分局,,臺北市文山區秀明路一段103巷7號
文山區,WRA00366,木柵里,臺北市文山區秀明路一段103巷9弄3號,"24.991228,121.565668",1,"313 ",文山第一分局,,臺北市文山區秀明路一段103巷9弄3號
文山區,WRA00367,木柵里,臺北市文山區秀明路一段129巷3號,"24.991261,121.566841",1,"357 ",文山第一分局,,臺北市文山區秀明路一段129巷3號
文山區,WRA00371,木柵里,臺北市文山區秀明路一段79巷3弄21號,"24.990402,121.565105",1,"530 ",文山第一分局,,臺北市文山區秀明路一段79巷3弄21號
文山區,WRA01069,木柵里,臺北市文山區秀明路一段79巷5弄19號,"24.990714,121.565029",1,"318 ",文山第一分局,,臺北市文山區秀明路一段79巷5弄19號
文山區,WRA01243,木柵里,臺北市文山區秀明路一段126號,"24.991123,121.56779",2,"1701 ",文山第一分局,,臺北市文山區秀明路一段126號
文山區,WRA01265,木柵里,臺北市文山區秀明路一段199號,"24.99184,121.56953",2,"1085 ",文山第一分局,,臺北市文山區秀明路一段199號
文山區,WRA01266,木柵里,臺北市文山區秀明路一段138號,"24.991337,121.568323",1,"398 ",文山第一分局,,臺北市文山區秀明路一段138號
文山區,WRA01285,木柵里,臺北市文山區秀明路一段31號,"24.98974,121.564432",3,"690 ",文山第一分局,,臺北市文山區秀明路一段31號
文山區,WRA01287,木柵里,臺北市文山區秀明路一段197號,"24.991834,121.569325",3,"377 ",文山第一分局,,臺北市文山區秀明路一段197號
文山區,WRA01103,木柵里,臺北市文山區久康街8號,"24.988792,121.564735",2,"354 ",文山第一分局,,臺北市文山區久康街8號
文山區,WRA01129,木柵里,臺北市文山區木柵路三段53號,"24.988659,121.566314",2,"1474 ",文山第一分局,,臺北市文山區木柵路三段53號
文山區,WRA01132,木柵里,臺北市文山區木柵路三段77號,"24.988758,121.56717",2,"1136 ",文山第一分局,,臺北市文山區木柵路三段77號
文山區,WRA01141,木柵里,臺北市文山區木柵路三段77巷7號,"24.989127,121.566874",1,"606 ",文山第一分局,,臺北市文山區木柵路三段77巷7號
文山區,WRA01143,木柵里,臺北市文山區木柵路三段85巷24號,"24.990272,121.56752",2,"242 ",文山第一分局,,臺北市文山區木柵路三段85巷24號
文山區,WRA01144,木柵里,臺北市文山區木柵路三段85巷26號,"24.990369,121.567448",1,"317 ",文山第一分局,,臺北市文山區木柵路三段85巷26號
文山區,WRA01145,木柵里,臺北市文山區木柵路三段85巷27號,"24.989934,121.567704",1,"177 ",文山第一分局,,臺北市文山區木柵路三段85巷27號
文山區,WRA01151,木柵里,臺北市文山區木柵路三段85巷8弄2號,"24.98939,121.567374",1,"698 ",文山第一分局,,臺北市文山區木柵路三段85巷8弄2號
文山區,WRA01152,木柵里,臺北市文山區木柵路三段85巷8弄5號,"24.989553,121.567071",1,"544 ",文山第一分局,,臺北市文山區木柵路三段85巷8弄5號
文山區,WRA01181,木柵里,臺北市文山區木柵路三段85巷10號,"24.989591,121.567544",1,"552 ",文山第一分局,,臺北市文山區木柵路三段85巷10號
文山區,WRA01199,木柵里,臺北市文山區木柵路三段59號,"24.988676,121.566576",2,"1865 ",文山第一分局,,臺北市文山區木柵路三段59號
文山區,WRA01208,木柵里,臺北市文山區木柵路三段25巷5號,"24.988802,121.565122",1,"265 ",文山第一分局,,臺北市文山區木柵路三段25巷5號
文山區,WRA01273,木柵里,臺北市文山區久康街24巷8號,"24.989077,121.565527",4,"2784 ",文山第一分局,,臺北市文山區久康街24巷8號
文山區,WRA01276,木柵里,臺北市文山區木柵路三段85巷16號,"24.989906,121.56755",1,"190 ",文山第一分局,,臺北市文山區木柵路三段85巷16號
文山區,WRA01289,木柵里,臺北市文山區久康街26號,"24.989334,121.565501",1,"333 ",文山第一分局,,臺北市文山區久康街26號
文山區,WRA01387,木柵里,臺北市文山區久康街24巷36號,"24.989229,121.566323",1,"1670 ",文山第一分局,,臺北市文山區久康街24巷36號
文山區,WRA00499,木柵里,臺北市文山區保儀路12號,"24.988536,121.568498",3,"1249 ",文山第一分局,,臺北市文山區保儀路12號
文山區,WRA00510,木柵里,臺北市文山區保儀路26巷3號,"24.988323,121.568088",1,"1237 ",文山第一分局,,臺北市文山區保儀路26巷3號
文山區,WRA01119,木柵里,臺北市文山區木柵路二段204巷15號,"24.988126,121.56392",1,"369 ",文山第一分局,,臺北市文山區木柵路二段204巷15號
文山區,WRA01125,木柵里,臺北市文山區木柵路三段92-96號,"24.988558,121.56711",4,"1256 ",文山第一分局,,臺北市文山區木柵路三段92-96號
文山區,WRA01127,木柵里,臺北市文山區木柵路三段42號,"24.988263,121.565073",1,"4264 ",文山第一分局,,臺北市文山區木柵路三段42號
文山區,WRA01134,木柵里,臺北市文山區木柵路三段80號,"24.988536,121.566765",1,"89 ",文山第一分局,,臺北市文山區木柵路三段80號
文山區,WRA01140,木柵里,臺北市文山區木柵路三段48巷1弄1號,"24.987739,121.565465",2,"6145 ",文山第一分局,,臺北市文山區木柵路三段48巷1弄1號
文山區,WRA01352,木柵里,臺北市文山區保儀路58號,"24.987629,121.568445",1,"2470 ",文山第一分局,,臺北市文山區保儀路58號
文山區,WRA01339,木柵里,臺北市文山區興隆路四段109巷125號,"24.987148,121.565123",1,"3413 ",文山第一分局,,臺北市文山區興隆路四段109巷125號
文山區,WRA00101,木柵里,臺北市文山區木柵路二段169號,"24.989,121.563517",1,"156 ",文山第一分局,,臺北市文山區木柵路二段169號
文山區,WRA01099,木柵里,臺北市文山區久康街123號,"24.990048,121.566221",1,"380 ",文山第一分局,,臺北市文山區久康街123號
文山區,WRA01100,木柵里,臺北市文山區久康街137號,"24.99039,121.566736",1,"380 ",文山第一分局,,臺北市文山區久康街137號
文山區,WRA01104,木柵里,臺北市文山區久康街88號,"24.990147,121.567072",1,"2016 ",文山第一分局,,臺北市文山區久康街88號
文山區,WRA01105,木柵里,臺北市文山區久康街89號,"24.98939,121.565252",2,"689 ",文山第一分局,,臺北市文山區久康街89號
文山區,WRA01107,木柵里,臺北市文山區久康街96號,"24.990511,121.567352",1,"110 ",文山第一分局,,臺北市文山區久康街96號
文山區,WRA01108,木柵里,臺北市文山區久康街97號,"24.989598,121.565574",1,"138 ",文山第一分局,,臺北市文山區久康街97號
文山區,WRA01114,木柵里,臺北市文山區久康街60巷1號,"24.989687,121.566308",1,"477 ",文山第一分局,,臺北市文山區久康街60巷1號
文山區,WRA01115,木柵里,臺北市文山區久康街72巷1號,"24.990079,121.566658",1,"98 ",文山第一分局,,臺北市文山區久康街72巷1號
文山區,WRA01234,木柵里,臺北市文山區久康街50號,"24.989498,121.56577",3,"1453 ",文山第一分局,,臺北市文山區久康街50號
文山區,WRA01247,木柵里,臺北市文山區久康街24巷7號,"24.989352,121.565956",1,"449 ",文山第一分局,,臺北市文山區久康街24巷7號
文山區,WRA01261,木柵里,臺北市文山區久康街24巷9號,"24.989404,121.566203",1,"408 ",文山第一分局,,臺北市文山區久康街24巷9號
文山區,WRA01085,木柵里,臺北市文山區久康街165號,"24.990752,121.568276",1,"237 ",文山第一分局,,臺北市文山區久康街165號
文山區,WRA01097,木柵里,臺北市文山區久康街100號,"24.990545,121.567927",1,"172 ",文山第一分局,,臺北市文山區久康街100號
