類別,村里別,地址,地下樓層數,可容納人數,轄管分局,備註
大樓,錦華里,新竹市東區錦華里15鄰錦華街29號,1,136.0,第二分局,
大樓,文華里,新竹市東區文華里北大路24號,1,170.0,第二分局,
大樓,復興里,新竹市東區復興里15鄰2鄰中華路一段384巷2弄2號  ,2,206.0,第二分局,
大樓,東山里,新竹市東區東山里東山街39巷9號,1,900.0,第二分局,
大樓,東山里,新竹市東區東山里東山街77號,2,267.0,第二分局,
大樓,綠水里,新竹市東區綠水里園後街25號,1,850.0,第二分局,
公寓,水源里,新竹市東區水源里中華路1段119號,1,13.0,第二分局,
公寓,水源里,新竹市東區水源里中華路一段125號,1,121.0,第二分局,
公寓,水源里,新竹市東區水源里中華路一段135號,1,74.0,第二分局,
大樓,綠水里,新竹市東區綠水里光復路2段231號,1,14.0,第二分局,
公寓,錦華里,新竹市東區錦華里15鄰錦華街40號,1,77.0,第二分局,
公寓,錦華里,新竹市東區錦華里17鄰北大路39巷5之2號,1,57.0,第二分局,
公寓,復中里,新竹市東區復中里民生路198號,1,36.0,第二分局,
三民國小,復興里,新竹市東區復興里10鄰自由路66號,1,117.0,第二分局,
公寓,錦華里,新竹市東區錦華里17鄰北大路39巷9弄11號,1,85.0,第二分局,
公寓,錦華里,新竹市東區錦華里18鄰北大路23號,1,29.0,第二分局,
大樓,錦華里,新竹市東區錦華里18鄰北大路57號,1,237.0,第二分局,
曙光女中,錦華里,新竹市東區錦華里18鄰北大路61號,1,276.0,第二分局,
公寓,文華里,新竹市東區文華里國華街53號,1,97.0,第二分局,
大樓,文華里,新竹市東區文華里田美三街38號,1,565.0,第二分局,
公寓,復中里,新竹市東區復中里民生路222巷5號,1,29.0,第二分局,
公寓,文華里,新竹市東區文華里北大路72巷9-11號,1,88.0,第二分局,
公寓,文華里,新竹市東區文華里北大路60巷41號,1,38.0,第二分局,
公寓,復中里,新竹市東區復中里民生路140號,1,34.0,第二分局,
公寓,文華里,新竹市東區文華里北大路14號,1,85.0,第二分局,
大樓,復中里,新竹市東區復中里民權路151號,1,193.0,第二分局,
公寓,復興里,新竹市東區復興里10鄰自由路94號,1,44.0,第二分局,
大樓,復興里,新竹市東區復興里10鄰經國路一段355巷2號,1,236.0,第二分局,
公寓,復興里,新竹市東區復興里11鄰經國路一段307號,1,33.0,第二分局,
公寓,復中里,新竹市東區復中里中央路264號,1,62.0,第二分局,
公寓,文華里,新竹市東區文華里北大路88號,1,62.0,第二分局,
公寓,文華里,新竹市東區文華里北大路70巷11號,1,52.0,第二分局,
公寓,文華里,新竹市東區文華里經國路一段704號,1,68.0,第二分局,
公寓,復興里,新竹市東區復興里11鄰經國路一段331號,1,922.0,第二分局,
大樓,文華里,新竹市東區文華里經國路一段654號,1,126.0,第二分局,
大樓,文華里,新竹市東區文華里經國路一段392號,1,185.0,第二分局,
公寓,文華里,新竹市東區文華里北大路90號,1,82.0,第二分局,
公寓,文華里,新竹市東區文華里北大路32號,1,78.0,第二分局,
大樓,錦華里,新竹市東區錦華里19鄰北大路21號,1,778.0,第二分局,
