類別,村里別,地址,地下樓層數,可容納人數,轄管分局,備註
大樓,錦華里,新竹市東區錦華里1鄰中央路181號,1,246.0,第二分局,
大樓,復中里,新竹市東區復中里民生路258號,1,101.0,第二分局,
公寓,復中里,新竹市東區復中里民生路219號,1,69.0,第二分局,
公寓,文華里,新竹市東區文華里經國路一段452號,1,41.0,第二分局,
公寓,復興里,新竹市東區復興里11鄰經國路一段333號,1,49.0,第二分局,
大樓,復興里,新竹市東區復興里11鄰經國路一段339號,1,50.0,第二分局,
公寓,復興里,新竹市東區復興里12鄰經國路一段315巷4弄19號,1,49.0,第二分局,
公寓,文華里,新竹市東區文華里北大路92巷8號,1,52.0,第二分局,
公寓,文華里,新竹市東區文華里北大路92巷12號,1,48.0,第二分局,
大樓,復興里,新竹市東區復興里15鄰中華路一段384巷2號,1,53.0,第二分局,
公寓,復中里,新竹市東區復中里民生路265號,1,29.0,第二分局,
公寓,錦華里,新竹市東區錦華里20鄰北大路11號,1,77.0,第二分局,
大樓,復興里,新竹市東區復興里15鄰中華路一段384巷6弄14號,1,190.0,第二分局,
大樓,文華里,新竹市東區文華里北大路92巷43弄2號,1,182.0,第二分局,
公寓,復興里,新竹市東區復興里15鄰中華路1段384巷6弄21號,1,22.0,第二分局,
大樓,文華里,新竹市東區文華里北大路92巷31弄33號,1,328.0,第二分局,
公寓,復中里,新竹市東區復中里民生路167號,1,41.0,第二分局,
公寓,復中里,新竹市東區復中里民權路220號,1,37.0,第二分局,
大樓,文華里,新竹市東區文華里民權路248號,1,100.0,第二分局,
公寓,復中里,新竹市東區復中里中央路188號,1,34.0,第二分局,
公寓,復中里,新竹市東區復中里民權路94號,1,44.0,第二分局,
公寓,文華里,新竹市東區文華里北大路32號,1,48.0,第二分局,
大樓,前溪里,新竹市東區前溪里中華路一段16號,1,133.0,第二分局,
公寓,復興里,新竹市東區復興里17鄰經國路一段390號,1,133.0,第二分局,
大樓,復興里,新竹市東區復興里17鄰經國路一段392號,1,133.0,第二分局,
公寓,復中里,新竹市東區復中里中央路186號,1,37.0,第二分局,
公寓,前溪里,新竹市東區前溪里經國路一段307號,1,74.0,第二分局,
曙光女中,錦華里,新竹市東區錦華里18鄰北大路61號,1,276.0,第二分局,
曙光國小,文華里,新竹市東區文華里5鄰北大路70號,1,668.0,第二分局,
公寓,文華里,新竹市東區文華里北大路84巷2號,1,57.0,第二分局,
公寓,文華里,新竹市東區文華里光華街21號,1,64.0,第二分局,
公寓,文華里,新竹市東區文華里民權路262號,1,29.0,第二分局,
大樓,文華里,新竹市東區文華里北大路40號,1,70.0,第二分局,
公寓,文華里,新竹市東區文華里民權路252號,1,149.0,第二分局,
公寓,文華里,新竹市東區文華里民權路258號,1,29.0,第二分局,
大樓,復中里,新竹市東區復中里民生路268號,1,345.0,第二分局,
大樓,錦華里,新竹市東區錦華里20鄰北大路7巷11號,1,59.0,第二分局,
公寓,復興里,新竹市東區復興里17鄰經國路一段412號,1,264.0,第二分局,
大樓,復興里,新竹市東區復興里17鄰經國路一段442巷9號,1,273.0,第二分局,
公寓,復興里,新竹市東區復興里17鄰經國路一段452號,1,486.0,第二分局,
公寓,復中里,新竹市東區復中里民生路239巷2弄7號,1,50.0,第二分局,
大樓,復中里,新竹市東區復中里中央路281巷19號,1,365.0,第二分局,
大樓,文華里,新竹市東區文華里北大路54巷20號,1,58.0,第二分局,
公寓,復中里,新竹市東區復中里民生路231號,1,57.0,第二分局,
公寓,復中里,新竹市東區復中里經國路一段521號 ,1,48.0,第二分局,
大樓,文華里,新竹市東區文華里田美三街22巷6弄28號,1,173.0,第二分局,
大樓,復興里,新竹市東區復興里17鄰經國路一段452號,1,133.0,第二分局,
公寓,復興里,新竹市東區復興里17鄰經國路一段466號,1,410.0,第二分局,
公寓,復興里,新竹市東區復興里17鄰經國路一段482號,1,164.0,第二分局,
大樓,文華里,新竹市東區文華里田美三街2號,1,673.0,第二分局,
大樓,復中里,新竹市東區復中里民權路99號,1,102.0,第二分局,
大樓,復興里,新竹市東區復興里1鄰三民路121號,1,46.0,第二分局,
大樓,復興里,新竹市東區復興里1鄰中央路342號,1,46.0,第二分局,
公寓,錦華里,新竹市東區錦華里20鄰民生路286號,1,59.0,第二分局,
大樓,錦華里,新竹市東區錦華里20鄰民生路279號,1,348.0,第二分局,
大樓,復興里,新竹市東區復興里1鄰中央路356號,1,85.0,第二分局,
公寓,錦華里,新竹市東區錦華里民生路288號,1,53.0,第二分局,
大樓,復興里,新竹市東區復興里2鄰中央路323號,1,85.0,第二分局,
公寓,復興里,新竹市東區復興里2鄰中央路329號,1,93.0,第二分局,
公寓,復興里,新竹市東區復興里2鄰中央路331巷3號,1,93.0,第二分局,
公寓,文華里,新竹市東區文華里光華街10號  ,1,97.0,第二分局,
公寓,文華里,新竹市東區文華里光華街36號,1,62.0,第二分局,
大樓,文華里,新竹市東區文華里經國路一段355巷2號,1,177.0,第二分局,
大樓,復興里,新竹市東區復興里5鄰中央路331巷68號,1,84.0,第二分局,
公寓,復興里,新竹市東區復興里5鄰民主路193號,1,5.0,第二分局,
大樓,復興里,新竹市東區復興里5鄰民主路211號,1,173.0,第二分局,
大樓,復興里,新竹市東區復興里5鄰民主路253號,1,18.0,第二分局,
大樓,復興里,新竹市東區復興里6鄰經國路一段479巷11弄8號,1,126.0,第二分局,
大樓,復興里,新竹市東區復興里7鄰民主路154號,1,385.0,第二分局,
大樓,文華里,新竹市東區文華里田美三街13號,1,102.0,第二分局,
公寓,文華里,新竹市東區文華里北大路28-2號,1,26.0,第二分局,
大樓,錦華里,新竹市東區錦華里20鄰民生路287號,1,260.0,第二分局,
公寓,復興里,新竹市東區復興里7鄰民主路176號,1,65.0,第二分局,
大樓,文華里,新竹市東區文華里北大路92巷28號,1,340.0,第二分局,
公寓,復中里,新竹市東區復中里民生路70巷16號,1,89.0,第二分局,
公寓,復興里,新竹市東區復興里7鄰民主路178號,1,52.0,第二分局,
公寓,文華里,新竹市東區文華里光華街5號,1,69.0,第二分局,
公寓,復中里,新竹市東區復中里中央路172號,1,65.0,第二分局,
公寓,復興里,新竹市東區復興里7鄰民主路184號,1,58.0,第二分局,
三民國中,復興里,新竹市東區復興里7鄰自由路95巷15號,1,58.0,第二分局,
公寓,復興里,新竹市東區復興里7鄰自由路95巷18弄10號,1,58.0,第二分局,
大樓,復興里,新竹市東區復興里7鄰自由路95巷18弄19號,1,57.0,第二分局,
公寓,文華里,新竹市東區文華里北大路22號,1,192.0,第二分局,
大樓,復中里,新竹市東區復中里民生路260巷1弄7-1號,1,177.0,第二分局,
大樓,復興里,新竹市東區復興里7鄰自由路95巷18弄5號,1,58.0,第二分局,
公寓,文華里,新竹市東區文華里北大路24號,1,78.0,第二分局,
公寓,文華里,新竹市東區文華里北大路24之2號,1,36.0,第二分局,
公寓,錦華里,新竹市東區錦華里北大路19號,1,121.0,第二分局,
公寓,復中里,新竹市東區復中里民生路199號,1,74.0,第二分局,
公寓,文華里,新竹市東區文華里光華街9號,1,85.0,第二分局,
大樓,復興里,新竹市東區復興里7鄰自由路95巷38弄29號,1,337.0,第二分局,
公寓,復興里,新竹市東區復興里7鄰經國路一段379巷10弄27號,1,273.0,第二分局,
公寓,錦華里,新竹市東區錦華里20鄰民生路290號,1,50.0,第二分局,
公寓,復中里,新竹市東區復中里民生路223號,1,82.0,第二分局,
公寓,復中里,新竹市東區復中里民生路221號,1,74.0,第二分局,
大樓,復興里,新竹市東區復興里7鄰經國路一段379巷10弄29號,1,220.0,第二分局,
公寓,復中里,新竹市東區復中里民生路225號,1,54.0,第二分局,
大樓,復中里,新竹市東區復中里民權路204號,1,708.0,第二分局,
大樓,文華里,新竹市東區文華里北大路54巷4號,1,180.0,第二分局,
公寓,文華里,新竹市東區文華里田美三街22巷6弄20號,1,40.0,第二分局,
大樓,文華里,新竹市東區文華里北大路70巷6號,1,157.0,第二分局,
公寓,文華里,新竹市東區文華里田美三街22巷2弄5號,1,53.0,第二分局,
大樓,復興里,新竹市東區復興里7鄰經國路一段379巷10弄29號,1,50.0,第二分局,
公寓,復興里,新竹市東區復興里8鄰自由路95巷38弄22號,1,121.0,第二分局,
公寓,復興里,新竹市東區復興里8鄰自由路95巷38弄24號,1,142.0,第二分局,
公寓,復興里,新竹市東區復興里8鄰自由路95巷38弄26號,1,78.0,第二分局,
公寓,復興里,新竹市東區復興里8鄰自由路95巷38弄28號,1,109.0,第二分局,
公寓,復興里,新竹市東區復興里8鄰自由路95巷38弄28號,1,313.0,第二分局,
大樓,復中里,新竹市東區復中里中央路189號,1,846.0,第二分局,
公寓,復中里,新竹市東區復中里7鄰中央路239號,1,31299.0,第二分局,
大樓,復中里,新竹市東區復中里民生路115號,1,330.0,第二分局,
公寓,新莊里,新竹市東區新莊里11鄰關新路29號三樓之6 ,1,68.0,第二分局,
公寓,錦華里,新竹市東區錦華里2鄰世界街20號,1,48.0,第二分局,
大樓,文華里,新竹市東區文華里北大路94號,1,257.0,第二分局,
公寓,文華里,新竹市東區文華里光華街27巷1號,1,61.0,第二分局,
公寓,文華里,新竹市東區文華里田美二街27號,1,41.0,第二分局,
公寓,文華里,新竹市東區文華里田美三街5巷90號,1,98.0,第二分局,
大樓,復中里,新竹市東區復中里中央路162巷1號,1,449.0,第二分局,
大樓,復中里,新竹市東區復中里中央路210號,1,193.0,第二分局,
公寓,復興里,新竹市東區復興里8鄰自由路95巷38弄30號,1,117.0,第二分局,
大樓,文華里,新竹市東區文華里田美三街38號,1,565.0,第二分局,
大樓,復興里,新竹市東區復興里8鄰自由路95巷38弄32號,1,458.0,第二分局,
大樓,復中里,新竹市東區復中里民生路150號,1,258.0,第二分局,
公寓,復中里,新竹市東區復中里民生路203、205號,1,37.0,第二分局,
大樓,復中里,新竹市東區復中里民生路104號,1,281.0,第二分局,
大樓,錦華里,新竹市東區錦華里3鄰北大路87號,1,1766.0,第二分局,
大樓,復中里,新竹市東區復中里民生路170巷13、15號,1,484.0,第二分局,
公寓,復中里,新竹市東區復中里民生路220號,1,64.0,第二分局,
大樓,復中里,新竹市東區復中里民生路268號,1,197.0,第二分局,
大樓,復中里,新竹市東區復中里民生路211巷1-15號 ,1,170.0,第二分局,
大樓,復興里,新竹市東區復興里8鄰自由路95巷38弄34號,1,26.0,第二分局,
大樓,文華里,新竹市東區文華里經國路一段517號 ,1,232.0,第二分局,
公寓,復中里,新竹市東區復中里錦華街18巷4號,1,34.0,第二分局,
大樓,錦華里,新竹市東區錦華里3鄰北大路91號,1,2649.0,第二分局,
大樓,復興里,新竹市東區復興里8鄰經國路一段379巷10弄20號,1,113.0,第二分局,
大樓,復興里,新竹市東區復興里8鄰經國路一段379巷10弄28號,1,33.0,第二分局,
大樓,復中里,新竹市東區復中里民生路33、35號,1,110.0,第二分局,
公寓,文華里,新竹市東區文華里北大路70巷21號,1,62.0,第二分局,
公寓,文華里,新竹市東區文華里北大路72巷15號,1,81.0,第二分局,
公寓,文華里,新竹市東區文華里北大路70巷15號,1,37.0,第二分局,
大樓,復中里,新竹市東區復中里民生路170巷22-32號,1,261.0,第二分局,
大樓,復中里,新竹市東區復中里民權路167號,1,352.0,第二分局,
公寓,復中里,新竹市東區復中里錦華街18巷19號,1,24.0,第二分局,
公寓,綠水里,新竹市東區綠水里光復路2段321號,1,24.0,第二分局,
公寓,復中里,新竹市東區復中里民生路105號,1,48.0,第二分局,
公寓,文華里,新竹市東區文華里北大路40巷1號,1,36.0,第二分局,
公寓,復興里,新竹市東區復興里8鄰經國路一段379巷10弄5號,1,68.0,第二分局,
大樓,復中里,新竹市東區復中里民生路170巷39、41號,1,218.0,第二分局,
公寓,復中里,新竹市東區復中里民生路155、157、159號,1,40.0,第二分局,
公寓,復中里,新竹市東區復中里錦華街40號,1,77.0,第二分局,
公寓,復中里,新竹市東區復中里民生路18巷135號,1,29.0,第二分局,
大樓,文華里,新竹市東區文華里光華街27巷2、4號,1,116.0,第二分局,
大樓,復中里,新竹市東區復中里民生路194號,1,328.0,第二分局,
大樓,文華里,新竹市東區文華里北大路90號,1,449.0,第二分局,
大樓,復中里,新竹市東區復中里中央路323號,1,129.0,第二分局,
公寓,復興里,新竹市東區復興里8鄰經國路一段379巷12號,1,276.0,第二分局,
大樓,文華里,新竹市東區文華里田美三街32號,1,542.0,第二分局,
大樓,文華里,新竹市東區文華里光華街16號,1,222.0,第二分局,
大樓,復興里,新竹市東區復興里8鄰經國路一段379巷16號,1,330.0,第二分局,
大樓,復中里,新竹市東區復中里中央路181號,1,246.0,第二分局,
大樓,錦華里,新竹市東區錦華里3鄰北大路95號,3,1491.0,第二分局,
大樓,復興里,新竹市東區復興里8鄰經國路一段379巷42號,1,261.0,第二分局,
大樓,復中里,新竹市東區復中里民權路216巷11弄7號,1,740.0,第二分局,
大樓,文華里,新竹市東區文華里北大路92巷20號,1,364.0,第二分局,
大樓,復中里,新竹市東區復中里錦華街6號,1,360.0,第二分局,
大樓,錦華里,新竹市東區錦華里北大路5號,1,702.0,第二分局,
大樓,復中里,新竹市東區復中里民生路160號,1,284.0,第二分局,
大樓,復中里,新竹市東區復中里中央路318號,1,352.0,第二分局,
大樓,復中里,新竹市東區復中里民權路229號,1,162.0,第二分局,
大樓,復興里,新竹市東區復興里8鄰經國路一段409巷11號,1,206.0,第二分局,
大樓,復興里,新竹市東區復興里8鄰經國路一段409巷9弄1號,1,120.0,第二分局,
大樓,復興里,新竹市東區復興里9鄰中央路355巷2之8號,1,473.0,第二分局,
大樓,復中里,新竹市東區復中里中央路281巷28號,1,2502.0,第二分局,
大樓,文華里,新竹市東區文華里北大路57號,1,237.0,第二分局,
大樓,復興里,新竹市東區復興里9鄰自由路101號,1,1210.0,第二分局,
大樓,復中里,新竹市東區復中里民生路233號,1,1408.0,第二分局,
大樓,文華里,新竹市東區文華里經國路一段688號0,1,148.0,第二分局,
大樓,文華里,新竹市東區文華里光華南街8號,1,250.0,第二分局,
大樓,復中里,新竹市東區復中里民生路11號,1,237.0,第二分局,
大樓,復中里,新竹市東區復中里中央路174號,1,348.0,第二分局,
大樓,復興里,新竹市東區復興里9鄰自由路105號,1,361.0,第二分局,
大樓,復興里,新竹市東區復興里9鄰自由路109號,1,724.0,第二分局,
大樓,復中里,新竹市東區復中里中央路172號,1,162.0,第二分局,
大樓,復中里,新竹市東區復中里民權路136號,1,284.0,第二分局,
大樓,復中里,新竹市東區復中里民生路126號,1,749.0,第二分局,
大樓,復興里,新竹市東區復興里9鄰自由路67號,1,638.0,第二分局,
大樓,復中里,新竹市東區復中里民生路168號,1,229.0,第二分局,
大樓,復中里,新竹市東區復中里民權路227號,1,129.0,第二分局,
大樓,文華里,新竹市東區文華里經國路一段680號,1,201.0,第二分局,
大樓,復中里,新竹市東區復中里民生路154號,1,146.0,第二分局,
大樓,文華里,新竹市東區文華里北大路40巷18號,1,125.0,第二分局,
大樓,復中里,新竹市東區復中里民生路247號,2,1706.0,第二分局,
大樓,文華里,新竹市東區文華里北大路22號,1,922.0,第二分局,
大樓,文華里,新竹市東區文華里經國路一段526號,2,5040.0,第二分局,
大樓,文華里,新竹市東區文華里經國路一段682號,1,262.0,第二分局,
大樓,文華里,新竹市東區文華里經國路一段678號,1,397.0,第二分局,
三民國中,復興里,新竹市東區復興里7鄰自由路95巷15號,1,880.0,第二分局,
大樓,復中里,新竹市東區復中里民生路202號,1,636.0,第二分局,
大樓,復中里,新竹市東區復中里民生路253號,2,1142.0,第二分局,
大樓,復中里,新竹市東區復中里民生路106號,1,550.0,第二分局,
大樓,文華里,新竹市東區文華里北大路38號,2,828.0,第二分局,
公寓,復興里,新竹市東區復興里9鄰經國路一段379巷21號,1,246.0,第二分局,
大樓,光復里,新竹市東區光復里東勢街111號,1,42.0,第二分局,
公寓,東園里,新竹市東區東園里公園路103,1,36.0,第二分局,
大樓,東山里,新竹市東區東山里東山街6號-3,1,81.0,第二分局,
公寓,東園里,新竹市東區東園里公園路40號,1,557.0,第二分局,
公寓,東園里,新竹市東區東園里公園路67號,1,166.0,第二分局,
公寓,東勢里,新竹市東區東勢里東明街10巷1號,1,106.0,第二分局,
公寓,東園里,新竹市東區東園里公園路81號,1,74.0,第二分局,
公寓,東園里,新竹市東區東園里東園街17號,1,37.0,第二分局,
公寓,光復里,新竹市東區光復里光復路2段748號,1,28.0,第二分局,
公寓,光復里,新竹市東區光復里水源街75號,1,73.0,第二分局,
大樓,光復里,新竹市東區光復里水源街77巷10號,2,109.0,第二分局,
大樓,光復里,新竹市東區光復里水源街81號,1,138.0,第二分局,
大樓,文華里,新竹市東區文華里7鄰北大路10號,1,560.0,第二分局,
大樓,東山里,新竹市東區東山里學府路20號,1,36.0,第二分局,
公寓,光復里,新竹市東區光復里水源街77號,1,106.0,第二分局,
公寓,東園里,新竹市東區東園里公園路,1,34.0,第二分局,
公寓,東園里,新竹市東區東園里公園路34號,1,21.0,第二分局,
大樓,東園里,新竹市東區東園里公園路20號,1,32.0,第二分局,
公寓,東園里,新竹市東區東園里公園路38號,1,13.0,第二分局,
公寓,東園里,新竹市東區東園里公園路51號,1,33.0,第二分局,
公寓,東園里,新竹市東區東園里東園街65號,1,93.0,第二分局,
大樓,東山里,新竹市東區東山里東山街11號,1,93.0,第二分局,
公寓,東園里,新竹市東區東園里東園街81號,1,64.0,第二分局,
公寓,水源里,新竹市東區水源里中華路一段119號,2,13.0,第二分局,
大樓,水源里,新竹市東區水源里中華路一段125號,1,121.0,第二分局,
公寓,水源里,新竹市東區水源里中華路一段135號,1,74.0,第二分局,
公寓,水源里,新竹市東區水源里中華路一段164號,1,10.0,第二分局,
大樓,水源里,新竹市東區水源里中華路1段251號,1,20.0,第二分局,
大樓,綠水里,新竹市東區綠水里東光路17號,2,40.0,第二分局,
大樓,光復里,新竹市東區光復里東勢街81號,1,88.0,第二分局,
大樓,光復里,新竹市東區光復里東勢街81號,1,817.0,第二分局,
大樓,光復里,新竹市東區光復里東勢街82號,2,1365.0,第二分局,
大樓,東山里,新竹市東區東山里學府路20號,1,317.0,第二分局,
公寓,東園里,新竹市東區東園里公園路3號-62,1,256.0,第二分局,
大樓,東山里,新竹市東區東山里東山街25號,1,54.0,第二分局,
大樓,建華里,新竹市東區建華里學府路4號,1,120.0,第二分局,
大樓,東山里,新竹市東區東山里學府路105號,1,30.0,第二分局,
大樓,東山里,新竹市東區東山里學府路101號,1,30.0,第二分局,
大樓,建華里,新竹市東區建華里學府路61巷17號,2,92.0,第二分局,
大樓,東山里,新竹市東區東山里東山街235號,1,217.0,第二分局,
大樓,東山里,新竹市東區東山里東山街69-71號,1,125.0,第二分局,
大樓,錦華里,新竹市東區錦華里5鄰世界街31號,1,136.0,第二分局,
公寓,武功里,新竹市東區武功里1鄰建中一路10號,1,44223.0,第二分局,
大樓,東山里,新竹市東區東山里學府路20號,1,872.0,第二分局,
大樓,東山里,新竹市東區東山里學府路153號,1,34.0,第二分局,
大樓,東山里,新竹市東區東山里東山街61.63號,1,317.0,第二分局,
大樓,東山里,新竹市東區東山里東山街34號,1,54.0,第二分局,
大樓,東山里,新竹市東區東山里東山街65-67號,1,97.0,第二分局,
公寓,建華里,新竹市東區建華里學府路4號,1,173.0,第二分局,
大樓,東山里,新竹市東區東山里東山街135號,1,421.0,第二分局,
大樓,武功里,新竹市東區武功里建中路30號,1,27274.0,第二分局,
大樓,綠水里,新竹市東區綠水里東光路23號,1,28.0,第二分局,
公寓,東園里,新竹市東區東園里東園街79號,1,36.0,第二分局,
大樓,東園里,新竹市東區東園里公園路113號,1,24.0,第二分局,
大樓,東園里,新竹市東區東園里東明街10弄2號,1,28.0,第二分局,
公寓,東園里,新竹市東區東園里東明街102號,1,85.0,第二分局,
大樓,綠水里,新竹市東區綠水里園後街21-24號,1,308.0,第二分局,
大樓,東山里,新竹市東區東山里東山街15號,1,89.0,第二分局,
大樓,東山里,新竹市東區東山里東山街97號,1,41.0,第二分局,
公寓,綠水里,新竹市東區綠水里園後街43號,1,82.0,第二分局,
大樓,東山里,新竹市東區東山里東山街1-11號,1,278.0,第二分局,
大樓,光復里,新竹市東區光復里東勢街81號,1,140.0,第二分局,
公寓,光復里,新竹市東區光復里忠孝路55號,1,72.0,第二分局,
大樓,東園里,新竹市東區東園里光復路2段637-641號,1,98.0,第二分局,
公寓,東園里,新竹市東區東園里東園街107-109號,1,54.0,第二分局,
大樓,東山里,新竹市東區東山里學府路26號,1,130.0,第二分局,
大樓,東山里,新竹市東區東山里東山街19號,1,54.0,第二分局,
大樓,東山里,新竹市東區東山里學府路20號,1,258.0,第二分局,
大樓,東山里,新竹市東區東山里東山街17-27號,1,52.0,第二分局,
大樓,水源里,新竹市東區水源里中華路一段164號,1,32.0,第二分局,
大樓,綠水里,新竹市東區綠水里東光路2號,1,720.0,第二分局,
大樓,東園里,新竹市東區東園里公園路111弄1號,1,37.0,第二分局,
大樓,東園里,新竹市東區東園里公園路8號,1,186.0,第二分局,
公寓,綠水里,新竹市東區綠水里水源街43號,1,197.0,第二分局,
大樓,東山里,新竹市東區東山里東山街3號,1,110.0,第二分局,
大樓,東山里,新竹市東區東山里食品路155巷31號,1,65.0,第二分局,
大樓,東山里,新竹市東區東山里食品路155巷6弄1-3號,1,104.0,第二分局,
公寓,光復里,新竹市東區光復里忠孝路25號,1,70.0,第二分局,
大樓,東山里,新竹市東區東山里東山街17-27號,1,52.0,第二分局,
大樓,東山里,新竹市東區東山里東山街15號之2,2,53.0,第二分局,
大樓,光復里,新竹市東區光復里忠孝路73號,2,38.0,第二分局,
大樓,東山里,新竹市東區東山里食品路2.3.4.5號,1,61.0,第二分局,
公寓,水源里,新竹市東區水源里中華路一段179號,1,44.0,第二分局,
公寓,東園里,新竹市東區東園里光復路2段932號,1,226.0,第二分局,
公寓,光復里,新竹市東區光復里東明街103號,1,29.0,第二分局,
大樓,綠水里,新竹市東區綠水里東光路42巷21號,1,80.0,第二分局,
大樓,東勢里,新竹市東區東勢里東勢街81號,1,69.0,第二分局,
大樓,東山里,新竹市東區東山里食品路115巷3-3號,1,104.0,第二分局,
大樓,建華里,新竹市東區建華里學府路61巷2弄13.15號,1,170.0,第二分局,
公寓,建華里,新竹市東區建華里學府路83-91號,1,352.0,第二分局,
大樓,東山里,新竹市東區東山里東山街16巷13號,1,94.0,第二分局,
大樓,綠水里,新竹市東區綠水東光路60號,1,665.0,第二分局,
公寓,水源里,新竹市東區水源里中華路一段157-159號,2,122.0,第二分局,
公寓,光復里,新竹市東區光復里水源街151號,1,70.0,第二分局,
公寓,東園里,新竹市東區東園里東園街85.87號,1,41.0,第二分局,
公寓,東園里,新竹市東區東園里東園街65號,1,149.0,第二分局,
公寓,水源里,新竹市東區水源里中華路一段159號,1,22.0,第二分局,
大樓,東山里,新竹市東區東山里東山街84.86號,1,62.0,第二分局,
大樓,光復里,新竹市東區光復里水源街143號,1,34.0,第二分局,
大樓,光復里,新竹市東區光復里水源街51-3號,1,32.0,第二分局,
大樓,建華里,新竹市東區建華學府路2號,1,585.0,第二分局,
大樓,光復里,新竹市東區光復里水源街20-1號,1,132.0,第二分局,
大樓,光復里,新竹市東區光復里水源街77巷18號,1,136.0,第二分局,
大樓,光復里,新竹市東區光復里水源街77巷16號,2,125.0,第二分局,
大樓,光復里,新竹市東區光復里忠孝路8號,1,33.0,第二分局,
公寓,東園里,新竹市東區東園里自由路16巷1號,1,162.0,第二分局,
大樓,東山里,新竹市東區東山里東山街51號,1,180.0,第二分局,
公寓,水源里,新竹市東區水源里中華路一段74號,1,62.0,第二分局,
大樓,東山里,新竹市東區東山里東山街17號-1,1,37.0,第二分局,
大樓,東山里,新竹市東區東山里東山街18-1號,1,44.0,第二分局,
大樓,綠水里,新竹市東區綠水里東光路15號之1,1,74.0,第二分局,
大樓,綠水里,新竹市東區綠水里園後街18-24號,1,183.0,第二分局,
大樓,東山里,新竹市東區東山里學府路36號,1,260.0,第二分局,
公寓,東園里,新竹市東區東園里自由路16巷19弄19-23號,1,164.0,第二分局,
大樓,光復里,新竹市東區光復里水源街47號-1,1,42.0,第二分局,
公寓,東勢里,新竹市東區東勢里忠孝路292號之1,1,212.0,第二分局,
大樓,東山里,新竹市東區東山里學府路20號,1,580.0,第二分局,
公寓,水源里,新竹市東區水源里中華路一段342巷4號,1,42.0,第二分局,
公寓,東園里,新竹市東區東園里自由路44號,1,69.0,第二分局,
公寓,東園里,新竹市東區東園里八德路78號,1,78.0,第二分局,
大樓,光復里,新竹市東區光復里東明街97號之1,1,40.0,第二分局,
大樓,建華里,新竹市東區建華里學府路61巷2弄7.9號,1,73.0,第二分局,
大樓,東山里,新竹市東區東山里食品路139號,1,36.0,第二分局,
大樓,東山里,新竹市東區東山里東山街3號,1,74.0,第二分局,
