電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備駐
QOA00003,枋寮村,屏東縣枋寮鄉枋寮村儲運路2號,"22.368019001456517, 120.59510180922433",1.0,160.0,枋寮分局,
QOA00009,枋寮村,屏東縣枋寮鄉枋寮村德興路32號,"22.367509108386606, 120.5912655153501",1.0,240.0,枋寮分局,
QOA00001,枋寮村,屏東縣枋寮鄉枋寮村德興路36號,"22.365507327038767, 120.59348826869875",1.0,133.0,枋寮分局,
QOA00078,枋寮村,屏東縣枋寮鄉枋寮村德興路197號,"22.36764000711419, 120.59112848928686",1.0,214.0,枋寮分局,共有2處、總計可容納人數338人
QOA00079,枋寮村,屏東縣枋寮鄉枋寮村德興路197號,"22.36783758427285, 120.59105861054155",1.0,124.0,枋寮分局,共有2處、總計可容納人數338人
QOA00011,枋寮村,屏東縣枋寮鄉枋寮村中山路194號,"22.366431070821733, 120.59512061192915",1.0,200.0,枋寮分局,
QOA00077,枋寮村,屏東縣枋寮鄉枋寮村中山路240號,"22.367880591686436, 120.59392130740078",1.0,180.0,枋寮分局,
QOA00072,枋寮村,屏東縣枋寮鄉枋寮村中興路22-19號,"22.36767028294613, 120.5931672638968",1.0,754.0,枋寮分局,
QOA00002,枋寮村,屏東縣枋寮鄉枋寮村中興路46號,"22.366734453260538, 120.5930593161603",1.0,50.0,枋寮分局,
QOA00013,枋寮村,屏東縣枋寮鄉枋寮村沿海路9號,"22.366063983360043, 120.59187677725909",1.0,1148.0,枋寮分局,
QOA00010,新龍村,屏東縣枋寮鄉新龍村中山路303號,"22.370319818312772, 120.59211692451532",1.0,106.0,枋寮分局,
QOA00013,新龍村,屏東縣枋寮鄉新龍村中山路327號,"22.371099658262114, 120.59248396534413",1.0,133.0,枋寮分局,
QOA00063,新龍村,屏東縣枋寮鄉新龍村義民路3號,"22.370617807067458, 120.5903570662742",1.0,546.0,枋寮分局,共有3處、總計可容納人數2750人
