建築物名稱,里別,地址,緯度,經度,避難樓層,可容納人數,轄管分局,備註
天主教會,田心里,桃園市大園區田心里5鄰大觀路53號,"25.064938 ","121.194746 ",B01,518,大園分局,
透天住宅,田心里,桃園市大園區田心里5鄰大觀路33號,"25.064940 ","121.195329 ",B01,110,大園分局,
透天住宅,田心里,桃園市大園區田心里7鄰新興路46號,"25.063831 ","121.194429 ",B01,83,大園分局,
中華電信,田心里,桃園市大園區田心里7鄰新興路42號,"25.064018 ","121.194334 ",B01,93,大園分局,
大園分局,田心里,桃園市大園區田心里9鄰中正西路13號,,,B01,44,大園分局,
惠翔幼稚園,田心里,桃園市大園區田心里6鄰華興路40號,"25.063694 ","121.193347 ",B01,52,大園分局,
透天住宅,田心里,桃園市大園區田心里7鄰中正西路36號,"25.063490 ","121.194762 ",B01,117,大園分局,
大興高中,田心里,桃園市大園區田心里18鄰永興路142號,"25.062014 ","121.192761 ",B01,274,大園分局,
大興社區,田心里,桃園市大園區田心里新興路132號,"25.061702 ","121.195100 ",B01,1336,大園分局,
瑞美食品公司,田心里,桃園市大園區田心里4鄰大觀路255號,"25.065480 ","121.188367 ",B01,43,大園分局,
大園國小,橫峰里,桃園市大園區橫峰里12鄰中山南路351號,"25.059077 ","121.202679 ",B01,380,大園分局,
大園國小,橫峰里,桃園市大園區橫峰里12鄰中山南路351號,"25.059077 ","121.202679 ",B01,653,大園分局,
大園農會,橫峰里,桃園市大園區橫峰里10鄰中正東路103號,"25.063048 ","121.201684 ",B01,713,大園分局,
陽昇應用材料公司,橫峰里,桃園市大園區橫峰里23鄰中山南路二段156號,"25.032188 ","121.212016 ",B01,26,大園分局,
大園消防隊,橫峰里,桃園市大園區橫峰里11鄰和平二街18號,"25.061551 ","121.201116 ",B01,94,大園分局,
久明科技股份有限公司,橫峰里,桃園市大園區橫峰里23鄰中山南路二段206號,"25.031076 ","121.212170 ",B01,203,大園分局,
百利達物流公司,橫峰里,桃園市大園區橫峰里30鄰中山南路二段586號,"25.021745 ","121.212703 ",B01,101,大園分局,
昇明紡織股份有限公司,溪海里,桃園市大園區溪海里8鄰聖德北路52巷43號,"25.047720 ","121.189880 ",B01,71,大園分局,
陽程科技股份有限公司,溪海里,桃園市大園區溪海里8鄰聖德北路68號,"25.047659 ","121.190408 ",B01,165,大園分局,
科德寶有限公司,溪海里,桃園市大園區溪海里11鄰崙頂38號,"25.046512 ","121.190796 ",B01,194,大園分局,
佳格股份有限公司,溪海里,桃園市大園區溪海里11鄰和平西路一段369號,"25.046254 ","121.188713 ",B01,267,大園分局,
星宇牙醫診所,大園里,桃園市大園區大園里11鄰中山北路44號,"25.064904 ","121.197110 ",B01,91,大園分局,
大園區戶政事務所,大園里,桃園市大園區大園里18鄰中山北路162號,"25.067869 ","121.195848 ",B01,158,大園分局,
大園衛生所,田心里,桃園市大園區田心里9鄰中正西路19號,"25.063470 ","121.195371 ",B01,403,大園分局,
尊南起重工程行,大園里,桃園市大園區大園里33鄰和平二街114巷6號,"25.062810 ","121.198893 ",B01,287,大園分局,
康閣幸福居B棟大樓,橫峰里,桃園市大園區橫峰里12鄰中山南路310號,"25.059305 ","121.201216 ",B01,680,大園分局,
康閣幸福居A棟大樓,橫峰里,桃園市大園區橫峰里12鄰水源路11號,"25.058937 ","121.201234 ",B01,1576,大園分局,
園霖澄匯大樓,田心里,桃園市大園區田心里20鄰長興街50號,"25.059165 ","121.195198 ",B01,2589,大園分局,
中法興物流股份有限公司,溪海里,桃園市大園區溪海里17鄰聖德北路1076巷1號,"25.027279 ","121.194684 ",B01,1436,大園分局,
透天住宅,和平里,桃園市大園區和平里1鄰開和路128號,"25.047931 ","121.177960 ",B01,195,大園分局,
海川逸靜大樓,田心里,桃園市大園區田心里15鄰新園街60號,"25.061243 ","121.193896 ",B01,1876,大園分局,
私人住宅大樓,溪海里,桃園市大園區溪海里22鄰柴梳崙路338號,"25.029121 ","121.188050 ",B01,750,大園分局,
杏一藥局,橫峰里,桃園市大園區橫峰里中正東路200號,"25.061586 ","121.203043 ",B01,220,大園分局,
大園區公所,田心里,桃園市大園區田心里7鄰中正西路12號,"25.063909 ","121.195457 ",B01,850,大園分局,
德鄉W1社區大樓,田心里,桃園市大園區田心里12鄰大興路107-1號,25.062099,121.193305,B01B02,3906,大園分局,
宜雄馥玉大樓,田心里,桃園市大園區田心里23鄰和平西路112號,"25.057545 ","121.196956 ",B01B02,3641,大園分局,
宜雄玉潤大樓,田心里,桃園市大園區田心里21鄰新興路268巷9號,"25.057780 ","121.195528 ",B01,617,大園分局,
科德寶遠東股份有限公司,溪海里,桃園市大園區溪海里11鄰崙頂38號,"25.046512 ","121.190796 ",B01,124,大園分局,
僑馥建築經理股份有限公司,橫峰里,桃園市大園區橫峰里永園路二段87號,"25.018195 ","121.209972 ",B01,684,大園分局,
中華郵政大園郵局,大園里,桃園市大園區大園里中華路2號,"25.066003 ","121.197509 ",B01B02,792,大園分局,
新家坡建設大樓,青山里,桃園市大園區青山里2鄰永園路二段183巷85-6號,"25.019746 ","121.210140 ",B01B02B03,3616,大園分局,
建康國際食品有限公司,田心里,桃園市大園區田心里2鄰國際路一段17號,"25.067499 ","121.184718 ",B01,16,大園分局,
宜雄玉澗大樓,田心里,桃園市大園區田心里21鄰新興路268巷16號,"25.058255 ","121.195591 ",B01,885,大園分局,
臺億建築大樓,溪海里,桃園市大園區溪海里16鄰聖德北路712巷88號四樓,"25.035736 ","121.195083 ",B01,459,大園分局,
億邦營造大樓,溪海里,桃園市大園區溪海里13鄰功學路38-2號,"25.045278 ","121.183569 ",B01,502,大園分局,
東煒建設大樓,田心里,桃園市大園區田心里2鄰國際路一段66號,"25.066497 ","121.186669 ",B01,422,大園分局,
日森建設大樓,溪海里,桃園市大園區溪海里12鄰溪州路415巷40號2樓,"25.052079 ","121.183404 ",B01B02,"1,432",大園分局,
世大建設股份有限公司,溪海里,桃園市大園區溪海里1鄰大觀路529巷37號,"25.065111 ","121.182537 ",B01,718,大園分局,
沙崙油庫,沙崙里,桃園市大園區沙崙里6鄰桃25鄉道118-1號,"25.100322 ","121.212678 ",B01,47,大園分局,
沙崙油庫,沙崙里,桃園市大園區沙崙里6鄰桃25鄉道118-1號,"25.100322 ","121.212678 ",B01,81,大園分局,
東隆凱悅社區大樓,海口里,桃園市大園區海口里7鄰三民路一段122巷12號,"25.104449 ","121.246295 ",B01,1171,大園分局,
遠雄航空自由貿易港A區,竹圍里,桃園市大園區竹圍里19鄰航翔路99號,25.096862,121.255410,B01,5405,大園分局,
遠雄航空自由貿易港B區,竹圍里,桃園市大園區竹圍里19鄰航翔路117號,"25.096217 ","121.253347 ",B01,11966,大園分局,
遠雄航空自由貿易港C區,竹圍里,桃園市大園區竹圍里19鄰航翔路9號,"25.093237 ","121.253569 ",B01,22950,大園分局,
遠雄航空自由貿易港區股份有限公司代表人:葉鈞耀,竹圍里,桃園市大園區竹圍里19鄰航翔路85號6樓之1,25.09328,121.256111,B01B02B03,6080,大園分局,
城市商旅飯店,埔心里,桃園市大園區埔心里中正東路444巷21號,"25.058713 ","121.211456 ",B01,1287,大園分局,
宜誠園鄉大樓,埔心里,桃園市大園區埔心里18鄰海豐坡23之10號,"25.051255 ","121.219708 ",B01,1003,大園分局,
一品鑽石工業股份有限公司,埔心里,桃園市大園區埔心里中正東路一段840巷119號,"25.033632 ","121.233528 ",B01,150,大園分局,
昇捷家園,埔心里,桃園市大園區埔心里中正東路一段700巷29-1號,"25.038350 ","121.228145 ",B01,3578,大園分局,
富泰公司,五權里,桃園市大園區五權里12鄰中正東路三段61巷123號,"25.017093 ","121.231809 ",B01,568,大園分局,
明尼蘇達礦業股份有限公司,五權里,桃園市大園區五權里五青路143號,"25.020554 ","121.236632 ",B01,140,大園分局,
五鼎生物技術股份有限公司,五權里,桃園市大園區五權里五青路70巷180號,"25.025789 ","121.236285 ",B01,3185,大園分局,
山富紙器有限公司,五權里,桃園市大園區五權里中正東路二段511巷36之1號,"25.025048 ","121.232726 ",B01,122,大園分局,
正隆股份有限公司,五權里,桃園市大園區五權里中正東路二段511巷36號,"25.025056 ","121.232750 ",B01,268,大園分局,
翔陽建設有限公司,五權里,桃園市大園區五權里4鄰五青路515號,"25.020400 ","121.226414 ",B01,671,大園分局,
富邦媒體科技股份有限公司,五權里,桃園市大園區五權里8鄰高鐵站前西路三段77號,"25.006609 ","121.226237 ",B01,6755,大園分局,
勝宏股份有限公司,五權里,桃園市大園區五權里9鄰中正東路三段429號,"25.007411 ","121.228202 ",B01,350,大園分局,
傳福企業股份有限公司,五權里,桃園市大園區五權里9鄰中正東路三段245巷30弄71號,"25.010675 ","121.229094 ",B01,233,大園分局,
錦宏企業股份有限公司A棟,五權里,桃園市大園區五權里8鄰高鐵站前西路三段66號,"25.006049 ","121.225962 ",B01B02,6160,大園分局,
錦宏企業股份有限公司B棟,五權里,桃園市大園區五權里8鄰高鐵站前西路三段68號,"25.006465 ","121.225819 ",B01B02,5762,大園分局,
寶震國際開發有限公司,五權里,桃園市大園區五權里中正東路三段336巷83號,"25.012059 ","121.225746 ",B01,160,大園分局,
中興大道大樓,五權里,桃園市大園區五權里中興路二段371巷19號,"25.013696 ","121.232742 ",B01B02,712,大園分局,
青城之戀大樓,五權里,桃園市大園區五權里青昇路一段132巷338-1號,"25.007642 ","121.226102 ",B01,879,大園分局,
饗賓餐旅事業股份有限公司,五權里,桃園市大園區五權里五青路183巷168號,"25.016188 ","121.235948 ",B01,397,大園分局,
廣大通信科技股份有限公司,五權里,桃園市大園區五權里9鄰中正東路三段131巷88號,"25.014939 ","121.229881 ",B01,288,大園分局,
君臨開發建設大樓,五權里,桃園市大園區五權里11鄰五青路151巷325號,"25.012056 ","121.236800 ",B01B02,1034,大園分局,
埔心國小,埔心里,桃園市大園區埔心里中正東路一段189巷35號,"25.049012 ","121.225669 ",B01,112,大園分局,
星宇航空股份有限公司,埔心里,桃園市大園區埔心里16鄰航勤北路8-6號,"25.091103 ","121.248425 ",B01,545,大園分局,
星宇航空股份有限公司,埔心里,桃園市大園區埔心里16鄰航勤北路8-8號,25.092047,121.247759,B01,2886,大園分局,
國灝建設大樓,五權里,桃園市大園區五權里8鄰青昇路一段48巷250號二樓之1,"25.009811 ","121.224390 ",B01B02,933,大園分局,
尊龍建設大樓,五權里,桃園市大園區五權里11鄰中興路二段367號,"25.014280 ","121.231740 ",B01B02,713,大園分局,
駿玥開發建設大樓,五權里,桃園市大園區五權里9鄰中興路二段429巷176弄18號,"25.010865 ","121.230132 ",B01B02,825,大園分局,
岡崎城/巨京11大樓,五權里,桃園市大園區五權里18鄰中正東路三段389號,"25.010206 ","121.227858 ",B01B02,710,大園分局,
僑馥建築大樓,五權里,桃園市大園區五權里10鄰五青路63巷601號,"25.011019 ","121.241183 ",B01B02,1101,大園分局,
玖都建設開發股份有限公司負責人：何岳湖,五權里,桃園市大園區五權里8鄰中正東路三段508號,"25.007523 ","121.227834 ",B01B02,1790,大園分局,
新東陽食品股份有限公司,北港里,桃園市大園區北港里大工路11號,"25.077120 ","121.175700 ",B01,75,大園分局,
瑞輝食品股份有限公司,北港里,桃園市大園區北港里大工路13號,"25.067200 ","121.179690 ",B01B02,103,大園分局,
