建築物名稱,里別,地址,緯度,經度,避難樓層,可容納人數,轄管分局,備註
集盛實業股份有限公司,北港里,桃園市大園區北港里大工路17號,"25.068470 ","121.179080 ",B01B02,5601,大園分局,
集盛實業股份有限公司,北港里,桃園市大園區北港里大工路17號,"25.068470 ","121.179080 ",B01,1248,大園分局,
新力美特殊化工股份有限公司,北港里,桃園市大園區北港里大工路31號,"25.073550 ","121.176540 ",B01,93,大園分局,
新力美科技股份有限公司,北港里,桃園市大園區北港里大工路31號,"25.073550 ","121.176540 ",B01,391,大園分局,
新力美科技股份有限公司,北港里,桃園市大園區北港里大工路31號,"25.073550 ","121.176540 ",B01,391,大園分局,
強盛染整股份有限公司,北港里,桃園市大園區北港里大工路126號,"25.074010 ","121.176720 ",B01,130,大園分局,
大恭化學工業股份有限公司,北港里,桃園市大園區北港里大工路132號,"25.074640 ","121.176810 ",B01,196,大園分局,
巨竹企業股份有限公司,北港里,桃園市大園區北港里大工路138-1號,"25.077750 ","121.175960 ",B01,761,大園分局,
全巨工業股份有限公司,北港里,桃園市大園區北港里工四路15號,"25.072600 ","121.178430 ",B01,83,大園分局,
馥凱國際股份有限公司,北港里,桃園市大園區北港里工五路11號,"25.073110 ","121.174390 ",B01B02,1040,大園分局,
桃園航空城聯合服務中心,圳頭里,桃園市大園區圳頭里中華路298號,"25.070880 ","121.204850 ",B01,824,大園分局,
瑋璿科技股份有限公司,南港里,桃園市大園區南港里6鄰環區西路278號,"25.053160 ","121.165590 ",B01,218,大園分局,
昭元化成股份有限公司,內海里,桃園市大園區內海里中山北路252號,25.072707,121.190709,B01B02,1103,大園分局,
台灣史谷脫紙業股份有限公司,內海里,桃園市大園區內海里中山北路262號,"25.073910 ","121.189200 ",B01,527,大園分局,
台灣永光化學工業股份有限公司,內海里,桃園市大園區內海里中山北路271號,"25.074001 ","121.189125 ",B01,133,大園分局,
台灣永光化學工業股份有限公司,內海里,桃園市大園區內海里中山北路271號,"25.074001 ","121.189125 ",B01,269,大園分局,
華通電腦,內海里,桃園市大園區內海里中山北路275號,"25.076900 ","121.184740 ",B02B02,3261,大園分局,
成隆實業股份有限公司,內海里,桃園市大園區內海里中山北路277號,"25.076720 ","121.185680 ",B01,247,大園分局,
台鵬化學有限公司,內海里,桃園市大園區內海里中山北路278號,"25.077370 ","121.186000 ",B01B02,982,大園分局,
和進工業股份有限公司,內海里,桃園市大園區內海里中山北路280巷2號,"25.080970 ","121.183850 ",B01,251,大園分局,
宏塑工業股份有限公司,內海里,桃園市大園區內海里民權路7-1號,"25.076630 ","121.183570 ",B01,111,大園分局,
國聯矽業化學股份有限公司,內海里,桃園市大園區內海里民權路12號,"25.075930 ","121.183350 ",B01,421,大園分局,
悅得科技股份有限公司,內海里,桃園市大園區內海里民生路119號,"25.077940 ","121.188420 ",B01,728,大園分局,
友大工業有限公司,內海里,桃園市大園區內海里民生路123-1號,"25.077988 ","121.188442 ",B01,263,大園分局,
達宸太豐實業有限公司,內海里,桃園市大園區內海里民族街5號,"25.073581 ","121.191010 ",B01,152,大園分局,
吉發染整股份有限公司,內海里,桃園市大園區內海里民族街8號,"25.073765 ","121.191913 ",B01,178,大園分局,
富榮食品公司,南港里,桃園市大園區南港里長發一路216號,"25.057120 ","121.180660 ",B01,61,大園分局,
透天住宅,南港里,桃園市大園區南港里6鄰環區西路198號,"25.057900 ","121.168170 ",B01,30,大園分局,
宏金工業公司,南港里,桃園市大園區南港里6鄰環區西路218號,"25.053160 ","121.165590 ",B01,148,大園分局,
誼鴻建設股份有公司,南港里,桃園市大園區南港里11鄰園航路391-13號,"25.053230 ","121.166970 ",B01B02,3478,大園分局,
智耀建設股份有公司,南港里,桃園市大園區南港里園一街1-6號,25.061844,121.177371,B01,1325,大園分局,
誼鴻建設股份有公司,南港里,桃園市大園區南港里環區東路450-2號,"25.044696 ","121.170844 ",B01,1174,大園分局,
誼鴻建設股份有公司,南港里,桃園市大園區南港里南和路185-28號,"25.045997 ","121.171694 ",B01B02B03,5501,大園分局,
潮音國小,南港里,桃園市大園區南港里潮音一路188號,25.065304,121.172726,B01,376,大園分局,
尚茂電子材料股份有限公司,圳頭里,桃園市大園區圳頭里濱海路二段208號,"25.092450 ","121.203400 ",B01B02,4703,大園分局,
長欣造紙股份有限公司,圳頭里,桃園市大園區圳頭里濱海路二段198號,"25.092640 ","121.203660 ",B01,100,大園分局,
日源紙業股份有限公司,圳頭里,桃園市大園區圳頭里濱海路三段151號,25.084147,121.187957,B01,93,大園分局,
日源紙業股份有限公司,圳頭里,桃園市大園區圳頭里濱海路三段151號,25.0934,121.196716,B01,82,大園分局,
大園生命紀念館,圳頭里,桃園市大園區圳頭里中華路259號,"25.071250 ","121.203580 ",B01,885,大園分局,
大園國中,南港里,桃園市大園區南港里園科路400號,"25.062870 ","121.168150 ",B01,1753,大園分局,
健策精密工業股份有限公司,內海里,桃園市大園區內海里13鄰中山北路259號,"25.056460 ","121.217080 ",B01,1769,大園分局,
旺坤建設股份有限公司,南港里,桃園市大園區南港里學十一街91號,25.045200,121.166980,B01B02,4361,大園分局,
合眾建築經理股份有限公司,南港里,桃園市大園區南港里學六街9號,25.050234,121.166145,B01B02,1440,大園分局,
宜誠建設股份有限公司,南港里,桃園市大園區南港里園航路393號,"25.053280 ","121.171470 ",B01B02,3601,大園分局,
高誠建設有限公司,南港里,桃園市大園區南港里29鄰園學路173號,"25.052390 ","121.166520 ",B01B02,1665,大園分局,
僑馥建築大樓,南港里,桃園市大園區南港里30鄰文興街15號二樓之1,"25.050810 ","121.174810 ",B01B02,1556,大園分局,
永源化工原料股份有限公司,內海里,桃園市大園區內海里13鄰民權路3-2號,"25.078748 ","121.185392 ",B01,1727,大園分局,
高華建設有限公司,南港里,桃園市大園區南港里7鄰科一街165號,"25.055540 ","121.170690 ",B01B02,1531,大園分局,
合康工程顧問股份有限公司,南港里,桃園市大園區南港里29鄰南和路177-7號9樓,"25.045960 ","121.171630 ",B01B02,3229,大園分局,
三商餐飲股份有限公司公司,北港里,桃園市大園區北港里16鄰工一路9號,"25.064880 ","121.178570 ",B01,71,大園分局,
信都建設股份有限公司,南港里,桃園市大園區南港里27鄰環區西路569號九樓,25.046460,121.164895,B01B02,1341,大園分局,
福綱開發建設有限公司,內海里,桃園市大園區內海里15鄰中山北路220號,"25.069988 ","121.193732 ",B01,520,大園分局,
信都建設股份有限公司,南港里,桃園市大園區南港里10鄰環區北路146號,"25.059073 ","121.179323 ",B01B02B03,1811,大園分局,
尊騰建設大樓,南港里,桃園市大園區南港里7鄰科一街26號,"25.058273 ","121.169255 ",B01B02,1600,大園分局,
臺億建築經理股份有限公司負責人：陳長琪,南港里,桃園市大園區南港里7鄰環區西路85號二樓,"25.056857 ","121.169064 ",B01B02,2974,大園分局,
富昇台北國際部,菓林里,桃園市大園區菓林里3鄰菓林路47號,"25.073200 ","121.257160 ",B01B02,5022,大園分局,
私人住宅大樓,菓林里,桃園市大園區菓林里6鄰菓林路172號,25.076588,121.258067,B01,253,大園分局,
私人住宅大樓,菓林里,桃園市大園區菓林里6鄰菓林路160號,25.076419,121.258216,B01,334,大園分局,
朝榮電機公司,菓林里,桃園市大園區菓林里16鄰三和路27巷4弄8號,"25.071770 ","121.256930 ",B01,796,大園分局,
臻鼎科技公司,三石里,桃園市大園區三石里16鄰三和路28巷6號,25.071120,121.257908,B01,1370,大園分局,
永同電子公司,三石里,桃園市大園區三石里16鄰三和路28巷11號,"25.070590 ","121.257590 ",B01,418,大園分局,
佑迪股份有限公司,三石里,桃園市大園區三石里16鄰三和路27巷10號,"25.072000 ","121.257330 ",B01,95,大園分局,
菓林國小,菓林里,桃園市大園區菓林里桃5線12鄰41號,25.079664,121.260287,B01,788,大園分局,
兒十四兒童遊樂中心曁管理中心,菓林里,桃園市大園區菓林里福德路68巷45號,25.075449,121.257666,B01B02,1473,大園分局,
僑崴國際物業股份有限公司,菓林里,桃園市大園區菓林里30鄰拔子林三路53巷17弄51號,"25.077430 ","121.262570 ",B01,2022,大園分局,
僑馥建築經理股份有限公司,菓林里,桃園市大園區菓林里31鄰拔子林一路139號,"25.071770 ","121.256930 ",B01,1298,大園分局,
春誠開發建設有限公司,菓林里,桃園市大園區菓林里32鄰拔子林一路226號,"25.076008 ","121.262959 ",B01,1173,大園分局,
僑馥建築經理股份有限公司,菓林里,桃園市大園區菓林里三民路二段595巷22號,"25.075554 ","121.261049 ",B01,1953,大園分局,
泩泉建設有限公司,菓林里,桃園市大園區菓林里拔子林一路93巷21號,25.077819,121.261955,B01,1210,大園分局,
僑馥建築經理股份有限公司,菓林里,桃園市大園區菓林里拔子林二路17巷18-1號,"25.075980 ","121.258010 ",B01,1417,大園分局,
透天住宅,菓林里,桃園市大園區菓林里33鄰拔子林三路88巷40號,"25.046696 ","121.164672 ",B01,320,大園分局,
航亞建設股份有限公司,菓林里,桃園市大園區菓林里38鄰三民路二段472號,"25.078883 ","121.258825 ",B01,288,大園分局,
東衛塑膠股份有限公司,觀音里,桃園市觀音區觀音里5鄰光明路47號,"25.038060 ","121.077010 ",B01,327,大園分局,
皇堡營造有限公司,觀音里,桃園市觀音區觀音里7鄰中正路252號,"25.027950 ","121.083080 ",B01,55,大園分局,
豪建電纜,廣興里,桃園市觀音區廣興里2鄰廣興一路30巷55號,25.032733 ,121.086834,B01,92,大園分局,
觀音零售市場,觀音里,桃園市觀音區觀音里6鄰仁愛路31號,"25.036550 ","121.082090 ",B01,710,大園分局,
中華郵政觀音郵局,觀音里,桃園市觀音區觀音里11鄰中山路40號,"25.035223 ","121.084441 ",B01,170,大園分局,
中華電信觀音服務中心,觀音里,桃園市觀音區觀音里11鄰中山路38號,"25.035381 ","121.084172 ",B01,662,大園分局,
嘉德創資源股份有限公司,大潭里,桃園市觀音區大潭里1鄰環科路231號,"25.035860 ","121.058070 ",B01,208,大園分局,
勸奉堂製藥股份有限公司,廣興里,桃園市觀音區廣興里1鄰保興路一段220號,"25.011780 ","121.137510 ",B01,82,大園分局,
建華機械股份有限公司,廣興里,桃園市觀音區廣興里1鄰廣興一路205巷36號,"25.035260 ","121.105150 ",B01,350,大園分局,
昇元窯業,廣興里,桃園市觀音區廣興里1鄰廣興一路137號,"25.031350 ","121.098000 ",B01,148,大園分局,
聯一紡織廠,廣興里,桃園市觀音區廣興里溝尾路31之3號,"25.036270 ","121.092500 ",B01,295,大園分局,
可頌食品有限公司,廣興里,桃園市觀音區廣興里1鄰廣興一路163號,"25.031700 ","121.086830 ",B01,97,大園分局,
岱德橡膠工業股份有限公司,坑尾里,桃園市觀音區坑尾里濱海路廣興段187號,"25.033790 ","121.097360 ",B01,127,大園分局,
錸德股份有限公司,廣興里,桃園市觀音區廣興里8鄰中山路一段280巷96號,"25.032210 ","121.088950 ",B01,188,大園分局,
鉅成工業公司,廣興里,桃園市觀音區廣興里2鄰廣興一路100號,"25.031570 ","121.086980 ",B01,157,大園分局,
華城電機公司觀音三廠,廣興里,桃園市觀音區廣興里2鄰中正路55號,"25.030550 ","121.088510 ",B01,377,大園分局,
全虹企業公司,廣興里,桃園市觀音區廣興里8鄰中山路一段280巷90號,"25.031140 ","121.087200 ",B01,735,大園分局,
美的世界社區,坑尾里,桃園市觀音區坑尾里13鄰坑尾二路382巷170號,"25.030080 ","121.094920 ",B01,2698,大園分局,
台灣電力公司大潭電廠,大潭里,桃園市觀音區大潭里9鄰電廠路1號,"25.030960 ","121.051960 ",B01,750,大園分局,
台灣電力公司大潭電廠,大潭里,桃園市觀音區大潭里9鄰電廠路1-3號,"25.030960 ","121.051960 ",B01,1160,大園分局,
台灣電力公司大潭電廠,大潭里,桃園市觀音區大潭里9鄰電廠路1-5號,"25.030960 ","121.051960 ",B01,203,大園分局,
台灣電力公司大潭電廠,大潭里,桃園市觀音區大潭里9鄰電廠路1號,"25.030960 ","121.051960 ",B01,873,大園分局,
台灣電力公司大潭電廠,大潭里,桃園市觀音區大潭里9鄰電廠路1號,"25.030960 ","121.051960 ",B01,161,大園分局,
台灣電力公司大潭電廠,大潭里,桃園市觀音區大潭里9鄰電廠路1號,"25.030960 ","121.051960 ",B01,1095,大園分局,
大潭工業園區聯合服務中心,大潭里,桃園市觀音區大潭里大潭三路12巷2號,"25.024930 ","121.057780 ",B01,1933,大園分局,
台灣電力公司大潭電廠,大潭里,桃園市觀音區大潭里9鄰電廠路1號,25.031008,121.051903,B01,71,大園分局,
"嘉里大榮物流股份有限公司 ",大潭里,桃園市觀音區大潭里1鄰桃科二路288號,"25.025060 ","121.057980 ",B01,176,大園分局,
永成環科股份有限公司,大潭里,桃園市觀音區大潭里環科路218號,"25.035570 ","121.058280 ",B01,2191,大園分局,
江華投資股份有限公司,白玉里,桃園市觀音區白玉里玉林路一段521號,"25.045880 ","121.091170 ",B01,173,大園分局,
達紡企業股份有限公司,觀音里,桃園市觀音區觀音里信義路156巷68號,"25.036740 ","121.075340 ",B01,390,大園分局,
紐約幸運星社區,坑尾里,桃園市觀音區坑尾里14鄰中山路一段739巷5號,"25.032040 ","121.100150 ",B01B02,1050,大園分局,
鴻大開發事業股份有限公司,白玉里,桃園市觀音區白玉里桃科九路58號,"25.049850 ","121.088480 ",B01,520,大園分局,
綠威環保科技股份有限公司,大潭里,桃園市觀音區大潭里環科路259號,"25.036470 ","121.059030 ",B01,108,大園分局,
桃園市環保科技園區,大潭里,桃園市觀音區大潭里1鄰環科路331號,"25.037590 ","121.062660 ",B01,1933,大園分局,
觀音區公所,大潭里,桃園市觀音區大潭里觀興路56號,"25.028138 ","121.083542 ",B01,2200,大園分局,
台灣電力公司大潭電廠,大潭里,桃園市觀音區大潭里9鄰電廠路1號,"25.030960 ","121.051960 ",B01,3172,大園分局,
世紀鋼鐵結構股份有限公司,廣興里,桃園市觀音區廣興里桃園市觀音區廣興里11鄰大觀路四段115號2樓,"25.034390 ","121.099300 ",B01,376,大園分局,
伸泰國際股份有限公司,白玉里,桃園市觀音區白玉里1鄰桃科十路100號,"25.050765 ","121.091804 ",B01,3966,大園分局,
榮鼎綠能股份有限公司,大潭里,桃園市觀音區大潭里1鄰環西路128號,"25.032730 ","121.056020 ",B01,96,大園分局,
僑馥建築經理股份有限公司,白玉里,桃園市觀音區白玉里18鄰寶倉街108號,"25.041644 ","121.081285 ",B01,421,大園分局,
三信倉儲股份有限公司,大潭里,桃園市觀音區大潭里6鄰快速路九段2282號,"25.030742 ","121.058157 ",B01,1441,大園分局,
長松建設大樓,觀音里,桃園市觀音區觀音里6鄰三民路22巷1號,"25.036109 ","121.081438 ",B01B02,1299,大園分局,
三和機電工業股份有限公司負責人：張正忠,白玉里,桃園市觀音區白玉里3鄰白玉三路819號,25.053836,121.095035,B01,375,大園分局,
東元電機股份有限公司觀音廠,金湖里,桃園市觀音區金湖里中山路一段1568之1號,"25.021460 ","121.118810 ",B01,1208,大園分局,
台一國際股份有限公司,富源里,桃園市觀音區富源里新富路606號,"24.993140 ","121.131010 ",B01,40,大園分局,
台灣電力公司新坡服務所,新坡里,桃園市觀音區新坡里新生路110號,"25.014740 ","121.132770 ",B01,52,大園分局,
東元電機股份有限公司觀音廠,金湖里,桃園市觀音區金湖里中山路一段1568之1號,"25.021460 ","121.118810 ",B01,411,大園分局,
(懷得染化公司,富源里,桃園市觀音區富源里新富路1786號,"24.971860 ","121.142630 ",B01,240,大園分局,
和友股份有限公司,富源里,桃園市觀音區富源里新富路161號,"24.985230 ","121.130070 ",B01,133,大園分局,
大展電線電纜有限公司,富源里,桃園市觀音區富源里3鄰新富路855號,"24.971860 ","121.142630 ",B01,758,大園分局,
臺灣電力公司一次變電所,富源里,桃園市觀音區富源里7鄰富源三路66號,"25.012610 ","121.136280 ",B01,1323,大園分局,
臺一國際股份有限公司,富源里,桃園市觀音區富源里新富路606號,"24.973690 ","121.140170 ",B01,45,大園分局,
和巧電子有限公司,上大里,桃園市觀音區上大里中觀路一段767號,"24.974060 ","121.159670 ",B01,37,大園分局,
國凌工業社,崙坪里,桃園市觀音區崙坪里忠愛路123巷9弄2號,"24.995130 ","121.162460 ",B01,863,大園分局,
萬大工業社,崙坪里,桃園市觀音區崙坪里忠愛路123巷9弄7號,"24.995130 ","121.162460 ",B01,768,大園分局,
長吉工業社,崙坪里,桃園市觀音區崙坪里忠愛路123巷9弄6號,"24.994390 ","121.162790 ",B01,928,大園分局,
宏國工業社,崙坪里,桃園市觀音區崙坪里忠愛路123巷10弄2號,"24.994670 ","121.162340 ",B01,731,大園分局,
