電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,管轄分局,備註
674.0,三盛村,麥寮鄉三盛村工業園區路8號,"23.80118, 120.21301",1.0,132.0,臺西分局,
675.0,三盛村,麥寮鄉三盛村工業園區路8號,"23.80118, 120.21301",1.0,3856.0,臺西分局,
676.0,三盛村,麥寮鄉三盛村工業園區路15號,"23.78826, 120.26005",1.0,558.0,臺西分局,
677.0,三盛村,麥寮鄉三盛村工業園區路10,"23.79846, 120.21764",1.0,1156.0,臺西分局,
678.0,三盛村,麥寮鄉三盛村工業園區路1號,"23.79846, 120.21764",1.0,849.0,臺西分局,
679.0,三盛村,麥寮鄉三盛村工業園區號8號,"23.80258, 120.22138",1.0,1140.0,臺西分局,
680.0,三盛村,麥寮鄉三盛村工業園區號8號,"23.80258, 120.22138",1.0,53.0,臺西分局,
681.0,三盛村,麥寮鄉三盛村工業園區路8號,"23.80118, 120.21301",1.0,106.0,臺西分局,
682.0,三盛村,麥寮鄉三盛村工業園區路8號,"23.80118, 120.21301",1.0,45.0,臺西分局,
683.0,三盛村,麥寮鄉三盛村工業園區路2號,"23.78984, 120.26827",1.0,254.0,臺西分局,
684.0,三盛村,麥寮鄉三盛村工業園區號2號,"23.80527, 120.20751",1.0,206.0,臺西分局,
685.0,三盛村,麥寮鄉三盛村工業園區路8號,"23.80118, 120.21301",1.0,833.0,臺西分局,
686.0,三盛村,麥寮鄉三盛村工業園區路22號,"23.79846, 120.21764",1.0,557.0,臺西分局,
687.0,三盛村,麥寮鄉三盛村工業園區路17號,"23.7912,  120.25252",1.0,1822.0,臺西分局,
688.0,三盛村,麥寮鄉三盛村工業園區路13號,"23.79631, 120.23238",1.0,353.0,臺西分局,
689.0,三盛村,麥寮鄉三盛村工業園區路17號,"23.7912,  120.25252",1.0,1822.0,臺西分局,
690.0,三盛村,麥寮鄉三盛村工業園區路17號,"23.7912,  120.25252",1.0,495.0,臺西分局,
691.0,三盛村,麥寮鄉橋頭村仁德路236巷20號,"23.79806, 120.27489",1.0,133.0,臺西分局,
692.0,三盛村,麥寮鄉三盛村工業園區路1號,"23.79846, 120.21764",1.0,1728.0,臺西分局,
693.0,三盛村,麥寮鄉三盛村工業園區號七號,"23.797,  120.26525",1.0,9500.0,臺西分局,
694.0,三盛村,麥寮鄉三盛村工業園區路7號,"23.797,  120.26525",1.0,170.0,臺西分局,
695.0,三盛村,麥寮鄉三盛村工業園區路7號,"23.797,  120.26525",1.0,2433.0,臺西分局,
696.0,三盛村,麥寮鄉三盛村工業園區路7號,"23.797,  120.26525",1.0,477.0,臺西分局,
697.0,三盛村,麥寮鄉三盛村工業園區路1號,"23.79846, 120.21764",1.0,829.0,臺西分局,
698.0,三盛村,麥寮鄉三盛村工業園區路1號,"23.79846, 120.21764",1.0,325.0,臺西分局,
699.0,三盛村,麥寮鄉三盛村工業園區路2號,"23.78984, 120.26827",1.0,231.0,臺西分局,
700.0,三盛村,麥寮鄉三盛村工業園區路2號,"23.78984, 120.26827",1.0,309.0,臺西分局,
701.0,三盛村,麥寮鄉三盛村工業園區路2號,"23.78984, 120.26827",1.0,304.0,臺西分局,
702.0,三盛村,麥寮鄉三盛村工業園區路7號,"23.797, 120.26525",1.0,478.0,臺西分局,
703.0,三盛村,麥寮鄉三盛村工業園區路7號,"23.797, 120.26525",1.0,478.0,臺西分局,
704.0,三盛村,麥寮鄉三盛村工業園區路7號,"23.797, 120.26525",1.0,478.0,臺西分局,
705.0,三盛村,麥寮鄉三盛村工業園區路7號,"23.797, 120.26525",1.0,478.0,臺西分局,
706.0,三盛村,麥寮鄉三盛村工業園區路1號,"23.79846, 120.21764",1.0,445.0,臺西分局,
707.0,三盛村,麥寮鄉三盛村許厝村31之205號,"23.79928, 120.24457",1.0,1120.0,臺西分局,
