電腦編號,村里別,地址,緯度,經度,避難樓層,容量,轄管分局,備註,placemark_address
SPA00001,中城里,花蓮縣玉里鎮大同路228號,23.332865,121.31267,B1,133.0,玉里分局,,花蓮縣玉里鎮大同路228號
SPA00002,中城里,花蓮縣玉里鎮大同路228號,23.332865,121.31267,B1,71.0,玉里分局,,花蓮縣玉里鎮大同路228號
SPA00003,中城里,花蓮縣玉里鎮和平路51號,23.332224,121.314424,B1,224.0,玉里分局,,花蓮縣玉里鎮和平路51號
SPA00004,中城里,花蓮縣玉里鎮光復路104號,23.331551,121.314572,B1,294.0,玉里分局,,花蓮縣玉里鎮光復路104號
SPA00005,中城里,花蓮縣玉里鎮大同路214號,23.331614,121.31249,B1,76.0,玉里分局,,花蓮縣玉里鎮大同路214號
SPA00006,泰昌里,花蓮縣玉里鎮新興街91號,23.339213,121.312031,B1,1208.0,玉里分局,,花蓮縣玉里鎮新興街91號
SPA00007,泰昌里,花蓮縣玉里鎮新興街95號,23.338398,121.31191,B1,426.0,玉里分局,,花蓮縣玉里鎮新興街95號
SPA00008,泰昌里,花蓮縣玉里鎮新興街91號,23.339213,121.312031,B1,637.0,玉里分局,,花蓮縣玉里鎮新興街91號
SPA00009,泰昌里,花蓮縣玉里鎮新興街91號,23.339213,121.312031,B1,242.0,玉里分局,,花蓮縣玉里鎮新興街91號
SPA00010,泰昌里,花蓮縣玉里鎮新興街91號,23.339213,121.312031,B1,990.0,玉里分局,,花蓮縣玉里鎮新興街91號
SPA00011,泰昌里,花蓮縣玉里鎮博愛路200號,23.336739,121.3137,B1,201.0,玉里分局,,花蓮縣玉里鎮博愛路200號
SPA00012,泰昌里,花蓮縣玉里鎮新興街91號,23.339213,121.312031,B1,562.0,玉里分局,,花蓮縣玉里鎮新興街91號
SPA00013,泰昌里,花蓮縣玉里鎮新興街91號,23.339213,121.312031,B1,111.0,玉里分局,,花蓮縣玉里鎮新興街91號
SPA00014,泰昌里,花蓮縣玉里鎮新興街91號,23.339213,121.312031,B1,365.0,玉里分局,,花蓮縣玉里鎮新興街91號
