電腦編號,類別,村里別,地址,地下樓層數,可容納人數,備註,placemark_address
SPA00001,新新旅社,中城里,花蓮縣玉里鎮大同路228號,1.0,160人,,花蓮縣玉里鎮大同路228號
SPA00002,玉麒麟旅社,中城里,花蓮縣玉里鎮大同路228號,1.0,85人,,花蓮縣玉里鎮大同路228號
SPA00003,和平旅社,中城里,花蓮縣玉里鎮和平路51號,1.0,270人,,花蓮縣玉里鎮和平路51號
SPA00004,臺電玉里服務處,中城里,花蓮縣玉里鎮光復路104號,1.0,354人,,花蓮縣玉里鎮光復路104號
SPA00005,瓦拉米客棧,中城里,花蓮縣玉里鎮大同路214號,1.0,92人,,花蓮縣玉里鎮大同路214號
SPA00006,玉里榮民醫院精神研究大樓,泰昌里,花蓮縣玉里鎮新興街91號,1.0,1514人,,花蓮縣玉里鎮新興街91號
SPA00007,玉里醫院禮堂,泰昌里,花蓮縣玉里鎮新興街95號,1.0,512人,,花蓮縣玉里鎮新興街95號
SPA00008,玉里榮民醫院18病房,泰昌里,花蓮縣玉里鎮新興街91號,1.0,750人,,花蓮縣玉里鎮新興街91號
SPA00009,玉里榮民醫院復建科,泰昌里,花蓮縣玉里鎮新興街91號,1.0,290人,,花蓮縣玉里鎮新興街91號
SPA00010,玉里榮民醫院4病房,泰昌里,花蓮縣玉里鎮新興街91號,1.0,1100人,,花蓮縣玉里鎮新興街91號
SPA00011,玉里警察分局,泰昌里,花蓮縣玉里鎮博愛路200號,1.0,240人,,花蓮縣玉里鎮博愛路200號
SPA00012,玉里榮民醫院2病房,泰昌里,花蓮縣玉里鎮新興街91號,1.0,670人,,花蓮縣玉里鎮新興街91號
SPA00013,玉里榮民醫院1病房,泰昌里,花蓮縣玉里鎮新興街91號,1.0,130人,,花蓮縣玉里鎮新興街91號
SPA00014,玉里榮民醫院3病房,泰昌里,花蓮縣玉里鎮新興街91號,1.0,430人,,花蓮縣玉里鎮新興街91號
SPA00015,玉里榮民醫院綜合大樓,泰昌里,花蓮縣玉里鎮新興街91號,1.0,2390人,,花蓮縣玉里鎮新興街91號
SPA00016,玉里榮民醫院5病房,泰昌里,花蓮縣玉里鎮新興街91號,1.0,500人,,花蓮縣玉里鎮新興街91號
SPA00017,中華電信公司玉里營業處,泰昌里,花蓮縣玉里鎮中山路二段137號,1.0,400人,,花蓮縣玉里鎮中山路二段137號
SPA00018,安德啟智中心,泰昌里,花蓮縣玉里鎮博愛路37之1號,1.0,75人,,花蓮縣玉里鎮博愛路37之1號
SPA00019,玉里鎮公所,泰昌里,花蓮縣玉里鎮中正路122號,1.0,482人,,花蓮縣玉里鎮中正路122號
SPA00020,好樂迪KTV,泰昌里,花蓮縣玉里鎮中山路二段135號,1.0,550人,,花蓮縣玉里鎮中山路二段135號
SPA00021,國稅局玉里稅捐處,國武里,花蓮縣玉里鎮光復路52號,1.0,200人,,花蓮縣玉里鎮光復路52號
SPA00022,玉里國泰人壽保險公司,中城里,花蓮縣玉里鎮仁愛路一段78號,1.0,443人,,花蓮縣玉里鎮仁愛路一段78號
SPA00023,土地銀行玉里分行,國武里,花蓮縣玉里鎮中山路二段51號,1.0,120人,,花蓮縣玉里鎮中山路二段51號
SPA00024,慈濟玉里分院,國武里,花蓮縣玉里鎮民權街1之1號,1.0,2299人,,花蓮縣玉里鎮民權街1之1號
SPA00025,福錦旅社,國武里,花蓮縣玉里鎮中正路91號,1.0,160人,,花蓮縣玉里鎮中正路91號
SPA00026,玉里溪農會信用部,國武里,花蓮縣玉里鎮中山路二段49號,1.0,100人,,花蓮縣玉里鎮中山路二段49號
SPA00027,中華電信公司玉里工務段,永昌里,花蓮縣玉里鎮民國路二段63號,1.0,640人,,花蓮縣玉里鎮民國路二段63號
SPA00028,玉里地政事務所,永昌里,花蓮縣玉里鎮莊敬路18號,1.0,265人,,花蓮縣玉里鎮莊敬路18號
SPA00029,中華電信公司玉里無線股,永昌里,花蓮縣玉里鎮中華路354號,1.0,130人,,花蓮縣玉里鎮中華路354號
SPA00030,玉里高中美工科工廠,永昌里,花蓮縣玉里鎮中華路424號,1.0,134人,,花蓮縣玉里鎮中華路424號
SPA00031,玉里高中合作社,永昌里,花蓮縣玉里鎮中華路424號,1.0,160人,,花蓮縣玉里鎮中華路424號
SPA00032,玉里高中,永昌里,花蓮縣玉里鎮中華路424號,1.0,176人,,花蓮縣玉里鎮中華路424號
SPA00033,玉里高中體育館,永昌里,花蓮縣玉里鎮中華路424號,1.0,425人,,花蓮縣玉里鎮中華路424號
SPA00034,玉里高中圖書館,永昌里,花蓮縣玉里鎮中華路424號,1.0,186人,,花蓮縣玉里鎮中華路424號
SPA00035,玉里鎮老人館,中城里,花蓮縣玉里鎮忠智路72號,1.0,330人,,花蓮縣玉里鎮忠智路72號
SPA00036,玉里新光人壽保險公司,中城里,花蓮縣玉里鎮中山路一段96號,1.0,358人,,花蓮縣玉里鎮中山路一段96號
SPA00037,玉里醫院長良分院,長良里,花蓮縣玉里鎮忠義33號,1.0,750人,,花蓮縣玉里鎮忠義33號
SPA00038,安通溫泉旅社,樂合里,花蓮縣玉里鎮溫泉36號,1.0,96人,,花蓮縣玉里鎮溫泉36號
SPA00039,玉東國中體育館,松浦里,花蓮縣玉里鎮松浦39號,1.0,440人,,花蓮縣玉里鎮松浦39號
SPA00040,富里郵局,富里村,花蓮縣富里鄉中山路169號,1.0,125人,,花蓮縣富里鄉中山路169號
SPA00041,臺電富里服務處,富里村,花蓮縣富里鄉和平街22號,1.0,180人,,花蓮縣富里鄉和平街22號
SPA00042,富里鄉公所綜合市場,富里村,花蓮縣富里鄉中山路37號,1.0,294人,,花蓮縣富里鄉中山路37號
SPA00043,富里火車站,富里村,花蓮縣富里鄉車站街56號,1.0,100人,,花蓮縣富里鄉車站街56號
SPA00044,富里鄉公所,富里村,花蓮縣富里鄉中山路376號,1.0,357人,,花蓮縣富里鄉中山路376號
SPA00045,富里國中體育館,富里村,花蓮縣富里鄉永安街173號,1.0,435人,,花蓮縣富里鄉永安街173號
SPA00046,中華電信公司富里服務中心,富里村,花蓮縣富里鄉中山路308號,1.0,740人,,花蓮縣富里鄉中山路308號
SPA00047,富里鄉公所圖書館,富里村,花蓮縣富里鄉永安街123之2號,1.0,125人,,花蓮縣富里鄉永安街123之2號
SPA00048,玉里醫院萬寧分院,萬寧村,花蓮縣富里鄉鎮寧141號,1.0,250人,,花蓮縣富里鄉鎮寧141號
SPA00049,玉里醫院萬寧分院,萬寧村,花蓮縣富里鄉鎮寧141號,1.0,950人,,花蓮縣富里鄉鎮寧141號
