電腦編號,建築物名稱,里別,地址,經度,避難樓層,防空避難設備面積,可容納人數,轄管分局,備註,placemark_address
B01-01-001,私人住宅大樓,迴龍里,桃園市龜山區萬壽路一段1號,"121.398129 ",B01,1081.0,1201.0,龜山分局,,桃園市龜山區萬壽路一段1號
B02-01-002,透天,龍華里,桃園市龜山區萬壽路一段267號,"121.403805 ",B01,189.0,210.0,龜山分局,,桃園市龜山區萬壽路一段267號
B02-02-003,私人住宅大樓,龍華里,桃園市龜山區萬壽路一段381號,"121.400493 ",B01B02,520.0,361.0,龜山分局,,桃園市龜山區萬壽路一段381號
B03-01-004,工廠,龍壽里,桃園市龜山區萬壽路一段540號,"121.396276 ",B01,31.0,34.0,龜山分局,,桃園市龜山區萬壽路一段540號
B03-02-005,私人住宅大樓,龍壽里,桃園市龜山區萬壽路一段542號,"121.396023 ",B01,45.0,50.0,龜山分局,,桃園市龜山區萬壽路一段542號
B03-05-008,工廠,龍壽里,桃園市龜山區萬壽路一段543號,"121.395575 ",B01,21.0,23.0,龜山分局,,桃園市龜山區萬壽路一段543號
B03-06-009,客惟您食品工廠,龍壽里,桃園市龜山區萬壽路一段551巷4號,"121.396843 ",B01,401.0,445.0,龜山分局,,桃園市龜山區萬壽路一段551巷4號
B03-08-011,透天,龍壽里,桃園市龜山區萬壽路一段531巷3號,"121.407235 ",B01,87.0,96.0,龜山分局,,桃園市龜山區萬壽路一段531巷3號
B03-10-013,創業家社區大樓,龍壽里,桃園市龜山區萬壽路一段529號,"121.395966 ",B01,179.0,198.0,龜山分局,,桃園市龜山區萬壽路一段529號
B03-11-014,工廠,龍壽里,桃園市龜山區萬壽路一段607號,"121.393580 ",B01B02B03,5026.0,3490.0,龜山分局,,桃園市龜山區萬壽路一段607號
B04-02-016,工廠(永金鑄造廠地下室),龍壽里,桃園市龜山區龍校街91巷20弄3號(同住址),"121.389741 ",B01,27.0,30.0,龜山分局,,桃園市龜山區龍校街91巷20弄3號(同住址)
B04-03-017,工廠(永金鑄造廠停車場),龍壽里,桃園市龜山區龍校街91巷20弄3號(同住址),"121.389979 ",B01,180.0,200.0,龜山分局,,桃園市龜山區龍校街91巷20弄3號(同住址)
B04-04-018,工廠,龍壽里,桃園市龜山區萬壽路一段1247巷7號,"121.401238 ",B01,148.0,164.0,龜山分局,,桃園市龜山區萬壽路一段1247巷7號
B04-05-019,工廠,龍壽里,桃園市龜山區萬壽路一段1247巷9號,"121.401188 ",B01,202.0,224.0,龜山分局,
B04-06-020,証瓏企業大樓,龍壽里,桃園市龜山區東萬壽路642巷66號,"121.378942 ",B01,67.0,74.0,龜山分局,,桃園市龜山區東萬壽路642巷66號
B04-07-021,私人住宅大樓,龍壽里,桃園市龜山區東萬壽路627號,"121.375440 ",B01B02B03B04,712.0,494.0,龜山分局,,桃園市龜山區東萬壽路627號
B04-08-022,私人住宅大樓,龍壽里,桃園市龜山區東萬壽路642巷91號,"121.378986 ",B01,97.87,108.0,龜山分局,,桃園市龜山區東萬壽路642巷91號
B05-01-023,工廠,龍壽里,桃園市龜山區東萬壽路672-1號,"121.399524 ",B01,141.0,156.0,龜山分局,,桃園市龜山區東萬壽路672-1號
B06-01-024,工廠,迴龍里,桃園市龜山區龍新街28號,"121.406051 ",B01,503.0,349.0,龜山分局,,桃園市龜山區龍新街28號
B06-02-025,21世紀社區大樓,迴龍里,桃園市龜山區龍祥街1號,"121.406535 ",B01,915.0,1016.0,龜山分局,,桃園市龜山區龍祥街1號
B06-03-026,21世紀社區大樓,迴龍里,桃園市龜山區萬壽路一段118號,"121.406874 ",B01,1181.0,820.0,龜山分局,,桃園市龜山區萬壽路一段118號
B06-04-027,私人住宅大樓,迴龍里,桃園市龜山區龍祥街16號,"121.390330 ",B01,3242.0,3602.0,龜山分局,,桃園市龜山區龍祥街16號
B06-06-029,私人住宅大樓,迴龍里,桃園市龜山區龍泉街16號,"121.407910 ",B01,2559.0,1777.0,龜山分局,,桃園市龜山區龍泉街16號
B06-07-030,私人住宅大樓,迴龍里,桃園市龜山區龍江街3號,"121.407154 ",B01B02B03,844.0,586.0,龜山分局,,桃園市龜山區龍江街3號
B08-01-031,龍華天下大樓,龍華里,桃園市龜山區萬壽路一段312號,"121.402497 ",B01,649.0,721.0,龜山分局,,桃園市龜山區萬壽路一段312號
B08-02-032,龍華科技大學大樓(語言中心),龍華里,桃園市龜山區萬壽路一段300號(同住址),"121.401555 ",B01,431.0,299.0,龜山分局,,桃園市龜山區萬壽路一段300號(同住址)
B08-03-033,金元寶社區大樓,龍華里,桃園市龜山區龍華街20巷1之9號,"121.397188 ",B01,408.0,453.0,龜山分局,,桃園市龜山區龍華街20巷1之9號
B08-04-034,龍華科技大學大樓(第一教學大樓),龍華里,桃園市龜山區萬壽路一段300號(同住址),"121.402952 ",B01,1005.0,1116.0,龜山分局,,桃園市龜山區萬壽路一段300號(同住址)
B08-05-035,龍華科技大學大樓(創新育成中心),龍華里,桃園市龜山區萬壽路一段300號(同住址),"121.401197 ",B01,1005.0,1116.0,龜山分局,,桃園市龜山區萬壽路一段300號(同住址)
B08-06-036,龍華科技大學大樓(法民大樓),龍華里,桃園市龜山區萬壽路一段300號(同住址),"121.402234 ",B01,983.0,1092.0,龜山分局,,桃園市龜山區萬壽路一段300號(同住址)
B09-03-039,透天,龍華里,桃園市龜山區萬壽路一段358號,"121.401494 ",B01,122.0,135.0,龜山分局,,桃園市龜山區萬壽路一段358號
B09-05-041,私人住宅大樓,龍華里,桃園市龜山區萬壽路一段352號,"121.401594 ",B01B02,615.0,683.0,龜山分局,,桃園市龜山區萬壽路一段352號
B10-01-042,私人住宅大樓,龍華里,桃園市龜山區萬壽路一段490號,"121.398165 ",B01,7872.0,5466.0,龜山分局,,桃園市龜山區萬壽路一段490號
B11-03-045,透天,迴龍里,桃園市龜山區萬壽路一段50巷20弄1之13號,"121.405570 ",B01,37.0,41.0,龜山分局,,桃園市龜山區萬壽路一段50巷20弄1之13號
B12-01-047,私人住宅大樓,迴龍里,桃園市龜山區萬壽路一段155號,"121.407542 ",B01,464.0,515.0,龜山分局,,桃園市龜山區萬壽路一段155號
B12-02-048,私立南華幼兒園,迴龍里,桃園市龜山區萬壽路一段157號,"121.407472 ",B01B02B03,183.0,127.0,龜山分局,,桃園市龜山區萬壽路一段157號
B12-03-049,私人住宅大樓,迴龍里,桃園市龜山區萬壽路一段241巷3弄15號,"121.405639 ",B01,1906.0,2117.0,龜山分局,,桃園市龜山區萬壽路一段241巷3弄15號
B12-04-050,育全迴龍幼兒園,迴龍里,桃園市龜山區萬壽路一段199巷2號,"121.406030 ",B01B02B03,70.0,48.0,龜山分局,,桃園市龜山區萬壽路一段199巷2號
B13-02-052,法國臻品社區(A棟),迴龍里,桃園市龜山區萬壽路一段136號(同住址),"121.406685 ",B01,57.0,63.0,龜山分局,,桃園市龜山區萬壽路一段136號(同住址)
B13-03-053,迴龍國民中小學,迴龍里,桃園市龜山區萬壽路一段168號,"121.405760 ",B01B02B03,2277.38,2530.0,龜山分局,,桃園市龜山區萬壽路一段168號
B13-04-054,透天,迴龍里,桃園市龜山區自由街10巷18號,"121.404008 ",B01,317.0,220.0,龜山分局,,桃園市龜山區自由街10巷18號
B13-05-055,私人住宅大樓,迴龍里,桃園市龜山區萬壽路一段241巷2弄2號,"121.409920 ",B01,1028.0,713.0,龜山分局,,桃園市龜山區萬壽路一段241巷2弄2號
B13-06-056,私立光啟高中,迴龍里,桃園市龜山區自由街40號,"121.403212 ",B01,1509.0,1047.0,龜山分局,,桃園市龜山區自由街40號
B13-07-057,法國臻品社區(B棟),迴龍里,桃園市龜山區萬壽路一段136號(同住址),"121.406255 ",B01B02B03,1242.0,1380.0,龜山分局,,桃園市龜山區萬壽路一段136號(同住址)
B07-01-058,私人住宅大樓,迴龍里,桃園市龜山區宏慶街34巷2號,"121.409316 ",B01,206.0,143.0,龜山分局,,桃園市龜山區宏慶街34巷2號
B04-09-059,工廠,龍壽里,桃園市龜山區東萬壽路642巷85號,"121.379356 ",B01,455.94,316.0,龜山分局,,桃園市龜山區東萬壽路642巷85號
B14-01-060,龍鳳學院社區,迴龍里,桃園市龜山區龍新街60號,"121.405469 ",B01,1363.1,946.0,龜山分局,,桃園市龜山區龍新街60號
B01-02-061,"桃園市政府警察局
龜山分局迴龍派出所",迴龍里,桃園市龜山區萬壽路一段117號,,B01,330.69,229.0,龜山分局,不對外開放,桃園市龜山區萬壽路一段117號
B01-02-062,私人住宅大樓,龍華里,桃園市龜山區萬壽路一段425號,"121.399399 ",B01,196.17,136.0,龜山分局,,桃園市龜山區萬壽路一段425號
B01-02-063,新世紀工廠,龍壽里,桃園市龜山區東萬壽路645號,"121.378520 ",B01,668.49,464.0,龜山分局,,桃園市龜山區東萬壽路645號
A01-15-048,私人住宅大樓,迴龍里,桃園市龜山區自由街10巷28號,"121.404063 ",B01B02,470.95,327.0,龜山分局,,桃園市龜山區自由街10巷28號
A02-13-141,私人住宅大樓,龍華里,桃園市龜山區萬壽路一段369巷1號2樓之2,"121.401318 ",B01B02,1499.48,1041.0,龜山分局,,桃園市龜山區萬壽路一段369巷1號2樓之2
B01-10-110,新東電子工廠,龍華里,桃園市龜山區萬壽路一段458號,"121.398857 ",B01B02,586.89,407.0,龜山分局,,桃園市龜山區萬壽路一段458號
B03-10-055,工廠,龍華里,桃園市龜山區萬壽路一段422巷32弄6號,"121.399704 ",B01,347.3,385.0,龜山分局,,桃園市龜山區萬壽路一段422巷32弄6號
B03-10-056,佳佑上境社區大樓,迴龍里,桃園市龜山區萬壽路一段120巷6號二樓,"121.406436 ",B01B02,375.9,417.0,龜山分局,,桃園市龜山區萬壽路一段120巷6號二樓
B03-10-057,私人住宅大樓,龍壽里,桃園市龜山區東萬壽路668號,"121.379332 ",B01,642.67,446.0,龜山分局,,桃園市龜山區東萬壽路668號
A01-03-003,"桃園市政府警察局
龜山分局龜山派出所",龜山里,桃園市龜山區萬壽路二段931號,,B01,437.0,303.0,龜山分局,不對外開放,桃園市龜山區萬壽路二段931號
