類別,電腦編號,村里別,地址,地下層數,可容納數人,備註
金門縣警察局,700.0,東門里,金門縣金城鎮金山路15號,1.0,1111人,
西門里公所,701.0,西門里,"24.432972, 118.314309",1.0,50人,金門縣金城鎮民權路90-6號
金門高中藝文中心,702.0,西門里,金門縣金城鎮光前路94號,1.0,229人,,金門縣金城鎮光前路94號
金門高中人事樓,703.0,西門里,金門縣金城鎮光前路94號,1.0,471人,,金門縣金城鎮光前路94號
金門高中科學大樓,704.0,西門里,金門縣金城鎮光前路94號,1.0,741人,,金門縣金城鎮光前路94號
金門高中生活科技館,705.0,西門里,金門縣金城鎮光前路94號,1.0,246人,,金門縣金城鎮光前路94號
中正國小行政樓,706.0,西門里,"24.434578278154014, 118.31654979625029",1.0,777人,金門縣金城鎮珠浦北路38號,"24.434578278154014, 118.31654979625029"
中正國小1年級教室,707.0,西門里,"24.434578278154014, 118.31654979625029",1.0,666人,金門縣金城鎮珠浦北路38號
金門縣文化局,708.0,西門里,金門縣金城鎮環島北路66號,1.0,88人,,金門縣金城鎮環島北路66號
金城衛生所,709.0,西門里,金門縣金城鎮民權路147號,1.0,25人,,金門縣金城鎮民權路147號
金門地方法院,710.0,西門里,金門縣金城鎮民權路178號,1.0,44人,,金門縣金城鎮民權路178號
金門縣稅捐稽徵處,712.0,南門里,金門縣金城鎮民族路328號,1.0,5人,,金門縣金城鎮民族路328號
莒光樓,713.0,南門里,金門縣金城鎮賢城路1號,1.0,66人,
金城國中,714.0,南門里,"24.431502376147872, 118.31290709142623",1.0,741人,金門縣金城鎮民權路32號,"24.431502376147872, 118.31290709142623"
行政院金馬聯合服務中心,715.0,南門里,金門縣金城鎮民權路34號,1.0,222人,
金城鎮公所,716.0,北門里,"24.432807917854394, 118.32061339497653",1.0,173人,金門縣金城鎮北門里民生路2號,"24.432807917854394, 118.32061339497653"
金城車站,717.0,北門里,金門縣金城鎮北門里民生路7號,1.0,861人,,金門縣金城鎮北門里民生路7號
"金城幼稚園 ",718.0,北門里,金門縣金城鎮北門里民生路38號,1.0,166人,,金門縣金城鎮北門里民生路38號
金城分局,719.0,北門里,金門縣金城鎮民生路54巷1號,1.0,694人,,金門縣金城鎮民生路54巷1號
賢庵國小,720.0,賢庵里,金門縣金城鎮賢庵里庵前18-2號,1.0,148人,,金門縣金城鎮賢庵里庵前18-2號
"官裡社區發展協會 ",721.0,賢庵里,金門縣金城鎮賢庵里官裡1號,1.0,157人,,金門縣金城鎮賢庵里官裡1號
"金門縣港務處 ",722.0,金水里,金門縣金城鎮金水里西海路一段5號,1.0,2248人,,金門縣金城鎮金水里西海路一段5號
古城國民小學,723.0,古城里,金門縣金城鎮古城里大古崗100號,1.0,22人,,金門縣金城鎮古城里大古崗100號
"古城辦公處所 ",724.0,古城里,金門縣金城鎮古城里小古崗40號,1.0,22人,,金門縣金城鎮古城里小古崗40號
金門酒廠,725.0,古城里,金門縣金城鎮古城里金門城68號,1.0,177人,,金門縣金城鎮古城里金門城68號
金門酒廠,726.0,榜林村,金門縣金寧鄉榜林村13鄰桃園路1號,1.0,55人,,金門縣金寧鄉榜林村13鄰桃園路1號
金鼎國小,727.0,盤山村,金門縣金寧鄉盤山村下堡123號,1.0,222人,
垵湖分校,728.0,湖埔村,金門縣金寧鄉榜林村后湖87號,1.0,111人,,金門縣金寧鄉榜林村后湖87號
金寧中小學,730.0,安美村,金門縣金寧鄉安美村安岐1號,1.0,1000人,,金門縣金寧鄉安美村安岐1號
金門大學,733.0,盤山村,金門縣金寧鄉盤山村23鄰大學路1號,1.0,2222人,,金門縣金寧鄉盤山村23鄰大學路1號
