電腦編號,里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註
鐵中002,頂湳里,臺中市清水區頂湳里11鄰甲南路2號,"24.30452,120.60251",1.0,66.0,臺中分局,
D1,橫山里,臺中市大雅區橫山里科雅西路2號,"24.216063,120.61849",1.0,1210.0,保二三大二中,中科
D2,秀山里,臺中市大雅區科雅路28號,"24.216680,120.62065",1.0,9097.0,保二三大二中,中科
D3,秀山里,臺中市大雅區科雅五路22號,"24.223406,120.62845",1.0,9561.0,保二三大二中,中科
D4,橫山里,臺中市大雅區中科路2號,"24.205418,120.62970",1.0,6867.0,保二三大二中,中科
D6,秀山里,臺中市大雅區平和路227號,"24.229723,120.62612",1.0,2319.0,保二三大二中,中科
E1,草湳里,臺中市梧棲區草湳里大觀路6號,"24.23716,120.51557",1.0,6675.0,保二三大三中,中港
E2,草湳里,臺中市梧棲區草湳里緯六路8號,"24.24572,120.51482",1.0,741.0,保二三大三中,中港
E3,草湳里,臺中市梧棲區草湳里經一路32號,"24.24115,120.51309",1.0,595.0,保二三大三中,中港
E4,草湳里,臺中市梧棲區草湳里經一路12號,"24.23563,120.51053",1.0,551.0,保二三大三中,中港
E5,草湳里,臺中市梧棲區草湳里大觀路37號,"24.23891,120.51720",1.0,11816.0,保二三大三中,中港
E6,草湳里,臺中市梧棲區草湳里建八路2號,"24.24220,120.51752",1.0,2088.0,保二三大三中,中港
E7,潭秀里,臺中市潭子區南二路5號,"24.21751,120.70514",1.0,3315.0,保二三大三中,潭子
E8,潭秀里,臺中市潭子區建國路15號,"24.21856,120.70008",1.0,593.0,保二三大三中,潭子
E9,潭秀里,臺中市潭子區建國路17號,"24.21791,120.70277",1.0,598.0,保二三大三中,潭子
E10,潭秀里,臺中市潭子區建國路12號,"24.21857,120.70353",1.0,233.0,保二三大三中,潭子
E11,潭秀里,臺中市潭子區北環路23號,"24.21969,120.69891",1.0,1487.0,保二三大三中,潭子
E12,潭秀里,臺中市潭子區南二路17號,"24.21738,120.70111",2.0,1247.0,保二三大三中,潭子
E13,潭秀里,臺中市潭子區建國路7號,"24.21822,120.70379",1.0,774.0,保二三大三中,潭子
1,安仁里,臺中市梧棲區南堤路三段298號,"24.281864538012844, 120.50790138505634",1.0,73.0,西碼頭中隊,
2,安仁里,臺中市梧棲區9鄰南堤路三段297號,"24.27859539448725, 120.5081825726447",1.0,228.0,西碼頭中隊,
3,安仁里,臺中市梧棲區9鄰南堤路三段301號,"24.281640343158276, 120.51089472174796",1.0,78.0,西碼頭中隊,
4,安仁里,臺中市梧棲區南堤路三段300號,"24.282371223945518, 120.50896377382225",1.0,54.0,西碼頭中隊,
5,安仁里,臺中市梧棲區南堤路三段303號,"24.28092447715408, 120.51042878061799",1.0,54.0,西碼頭中隊,
6,安仁里,臺中市梧棲區9鄰南堤路三段299號,"24.280545528225808, 120.50901400104138",1.0,68.0,西碼頭中隊,
7,麗水里,臺中市龍井區9鄰南堤路2號,"24.22722595134913, 120.47937778859863",1.0,337.0,西碼頭中隊,
8,麗水里,臺中市龍井區9鄰龍昌路100號,"24.230555738973553, 120.50042782737303",1.0,12431.0,南突堤中隊,
9,麗水里,臺中市龍井區9鄰中南一路9號,"24.23073890293882, 120.501669329831",1.0,1306.0,南突堤中隊,
10,麗水里,臺中市龍井區9鄰中南一路7號,"24.2308476155196, 120.50145806873056",1.0,1786.0,南突堤中隊,
11,麗水里,臺中市龍井區9鄰龍昌路100號,"24.230555738973553, 120.50042782737303",1.0,1017.0,南突堤中隊,
12,安仁里,臺中港中突堤管制站內(23號碼頭後線),"24.26920454868937, 120.5194346264198",1.0,374.0,中突堤中隊,
13,安仁里,臺中港中突堤管制站內(24號碼頭後線),"24.271558704169884, 120.52028144942886",1.0,672.0,中突堤中隊,
14,安仁里,臺中港中突堤管制站內(26號碼頭後線),"24.273465323068507, 120.52058476954666",1.0,672.0,中突堤中隊,
15,安仁里,臺中市梧棲區9鄰臺灣大道10段2號,"24.256300902219206, 120.52359790313528",1.0,5278.0,中突堤中隊,
16,安仁里,臺中市梧棲區9鄰中南一路二段809號,"24.268489446412406, 120.51864222867125",1.0,524.0,中突堤中隊,
17,安仁里,臺中市梧棲區9鄰中二路一段9號,"24.26080215061607, 120.52148581814959",1.0,3256.0,濱海中隊,
18,頂寮里,臺中港十路口管制站內(14號碼頭後線),"24.269924659736642, 120.52674899035715",1.0,672.0,濱海中隊,
19,頂寮里,臺中市梧棲區10鄰中橫十路2號,"24.270276283786284, 120.52922764033616",1.0,1147.0,北突堤中隊,
20,海濱里,臺中市清水區14鄰北橫三路底層8號(5B),"24.2830659304654, 120.5297598211111",1.0,683.0,北突堤中隊,
21,海濱里,臺中市清水區14鄰北橫四路底層7號(7B),"24.282800757838377, 120.5273379791959",1.0,770.0,北突堤中隊,
22,海濱里,臺中市清水區14鄰北五路109號,"24.288745510214287, 120.52044303920513",1.0,317.0,北堤中隊,
23,海濱里,臺中市清水區14鄰北堤路9號,"24.29288594837135, 120.52426561327677",1.0,670.0,漁港中隊,
24,下寮里,臺中市梧棲區下寮里002鄰中橫十路100號,"24.267275346411285, 120.52597041901436",1.0,298.0,濱海中隊,
