編號,村里別,地址,可容納人數,地下樓層數,類別,備註,placemark_address
1.0,中正里,彰化縣員林市中正里中正路226號之1,"27 ","1 ",大樓,,彰化縣員林市中正里中正路226號之1
2.0,中正里,彰化縣員林市中正里三民街18號,"33 ","1 ",大樓,,彰化縣員林市中正里三民街18號
3.0,中正里,彰化縣員林市中正里三民街38號,"20 ","1 ",大樓,,彰化縣員林市中正里三民街38號
4.0,中正里,彰化縣員林市中正里三民街20號,"267 ","1 ",大樓,,彰化縣員林市中正里三民街20號
5.0,中正里,彰化縣員林市中正里三民街2號,"425 ","1 ",大樓,,彰化縣員林市中正里三民街2號
6.0,中正里,彰化縣員林市中正里三民街38號,"168 ","1 ",大樓,,彰化縣員林市中正里三民街38號
7.0,中正里,彰化縣員林市中正里東勢巷61號,"120 ","1 ",大樓,,彰化縣員林市中正里東勢巷61號
8.0,中正里,彰化縣員林市中正里東勢巷8之9號,"20 ","1 ",大樓,,彰化縣員林市中正里東勢巷8之9號
9.0,中正里,彰化縣員林市中正里育英路實中巷30號,"36 ","1 ",大樓,,彰化縣員林市中正里育英路實中巷30號
10.0,中正里,彰化縣員林市中正里三民街42號,"27 ","1 ",大樓,,彰化縣員林市中正里三民街42號
11.0,中正里,彰化縣員林市中正里三民街39之3號,"151 ","1 ",大樓,,彰化縣員林市中正里三民街39之3號
12.0,中正里,彰化縣員林市中正里三民街39之2號,"71 ","1 ",大樓,,彰化縣員林市中正里三民街39之2號
13.0,中正里,彰化縣員林市中正里育英路37巷15之2號,"52 ","1 ",大樓,,彰化縣員林市中正里育英路37巷15之2號
14.0,中正里,彰化縣員林市中正里育英路63號,"36 ","1 ",大樓,,彰化縣員林市中正里育英路63號
15.0,中正里,彰化縣員林市中正里育英路63之1號,"36 ","1 ",大樓,,彰化縣員林市中正里育英路63之1號
16.0,中正里,彰化縣員林市中正里育英路63之2號,"36 ","1 ",大樓,,彰化縣員林市中正里育英路63之2號
17.0,中正里,彰化縣員林市中正里育英路63之5號,"125 ","1 ",大樓,,彰化縣員林市中正里育英路63之5號
18.0,中正里,彰化縣員林市中正里三民街38之1號,"579 ","1 ",大樓,,彰化縣員林市中正里三民街38之1號
19.0,中正里,彰化縣員林市中正里育英路38號,"35 ","1 ",大樓,,彰化縣員林市中正里育英路38號
20.0,中正里,彰化縣員林市中正里中正路484巷63號,"31 ","1 ",大樓,,彰化縣員林市中正里中正路484巷63號
21.0,中正里,彰化縣員林市中正里三民東街49號,"29 ","1 ",大樓,,彰化縣員林市中正里三民東街49號
22.0,中正里,彰化縣員林市中正里三民東街63號,"176 ","1 ",大樓,,彰化縣員林市中正里三民東街63號
23.0,中正里,彰化縣員林市中正里三民東街61號,"77 ","1 ",大樓,,彰化縣員林市中正里三民東街61號
24.0,中正里,彰化縣員林市中正里三民東街70號,"73 ","1 ",大樓,,彰化縣員林市中正里三民東街70號
25.0,中正里,彰化縣員林市中正里三民東街55號,"127 ","1 ",大樓,,彰化縣員林市中正里三民東街55號
26.0,中正里,彰化縣員林市中正里三民東街48號,"31 ","1 ",大樓,,彰化縣員林市中正里三民東街48號
27.0,中正里,彰化縣員林市中正里育英路37巷12.3.4號,"40 ","1 ",大樓,,彰化縣員林市中正里育英路37巷12.3.4號
28.0,中正里,彰化縣員林市中正里三民東街15號,"273 ","1 ",大樓,,彰化縣員林市中正里三民東街15號
29.0,中正里,彰化縣員林市中正里育英路37巷41之1號,"39 ","1 ",大樓,,彰化縣員林市中正里育英路37巷41之1號
30.0,中正里,彰化縣員林市中正里中正路418號,"145 ","1 ",大樓,,彰化縣員林市中正里中正路418號
31.0,中正里,彰化縣員林市中正里中正路416號,"101 ","1 ",大樓,,彰化縣員林市中正里中正路416號
32.0,中正里,彰化縣員林市中正里中正路462號,"783 ","1 ",大樓,,彰化縣員林市中正里中正路462號
33.0,中正里,彰化縣員林市中正里育英路實中巷34號,"76 ","1 ",大樓,,彰化縣員林市中正里育英路實中巷34號
34.0,中正里,彰化縣員林市中正里三民街35-5.37號,"384 ","1 ",大樓,,彰化縣員林市中正里三民街35-5.37號
35.0,中正里,彰化縣員林市中正里三民街804.806.808號,"283 ","1 ",大樓,,彰化縣員林市中正里三民街804.806.808號
36.0,中正里,彰化縣員林市中正里中正路500號,"3,305 ","1 ",大樓,,彰化縣員林市中正里中正路500號
