類別,檔案卡電腦編號,里別,防空疏散避難設施地址,地下層數位址,可容納人數
公寓,WXA00374,安平里,臺北市松山區南京東路五段389巷5弄5號,2,66
大樓,WXA01063,安平里,臺北市松山區南京東路五段387號,2,445
公寓,WXA01064,安平里,臺北市松山區南京東路五段393號,1,262
公寓,WXA01598,安平里,臺北市松山區南京東路五段389巷5弄3號,1,42
大樓,WXA01065,安平里,臺北市松山區南京東路五段399號,3,552
公寓,WXA01599,安平里,臺北市松山區南京東路五段389巷5弄1號,1,40
公寓,WXA01600,安平里,臺北市松山區南京東路五段389巷8號,1,261
公寓,WXA01601,安平里,臺北市松山區南京東路五段389巷6弄9號,1,44
公寓,WXA01602,安平里,臺北市松山區南京東路五段389巷5弄13號,1,104
公寓,WXA01603,安平里,臺北市松山區南京東路五段389巷6弄13號,1,90
公寓,WXA01604,安平里,臺北市松山區南京東路五段389巷6弄19號,1,77
公寓,WXA01605,安平里,臺北市松山區南京東路五段389巷5弄18號,1,84
公寓,WXA01606,安平里,臺北市松山區南京東路五段389巷5弄9號,1,104
公寓,WXA01607,安平里,臺北市松山區南京東路五段389巷13號,1,229
公寓,WXA01608,安平里,臺北市松山區南京東路五段389巷9號,1,238
公寓,WXA01630,安平里,臺北市松山區寶清街73號,1,53
公寓,WXA01631,安平里,臺北市松山區寶清街85號,1,17
公寓,WXA01643,安平里,臺北市松山區寶清街89巷28號,1,41
公寓,WXA01644,安平里,臺北市松山區寶清街89巷33號,1,273
公寓,WXA01645,安平里,臺北市松山區寶清街89巷36號,1,36
公寓,WXA01646,安平里,臺北市松山區寶清街89巷46號,1,44
公寓,WXA01647,安平里,臺北市松山區寶清街89巷47號,1,89
大樓,WXA01731,安平里,臺北市松山區南京東路五段411號,5,861
公寓,WXA01781,安平里,臺北市松山區寶清街85號,1,210
大樓,WXA01809,安平里,臺北市松山區南京東路五段405號,1,480
公寓,WXA01863,安平里,臺北市松山區南京東路五段389巷6弄9號,1,148
公寓,WXA01263,安平里,臺北市松山區健康路434號,1,274
公寓,WXA01620,安平里,臺北市松山區寶清街101號之1,1,40
公寓,WXA01632,安平里,臺北市松山區寶清街95號,1,136
公寓,WXA01633,安平里,臺北市松山區寶清街99號,1,246
公寓,WXA01634,安平里,臺北市松山區寶清街101巷30號,1,137
公寓,WXA01635,安平里,臺北市松山區寶清街101巷50號,1,18
公寓,WXA01636,安平里,臺北市松山區寶清街101巷7號,1,129
公寓,WXA01637,安平里,臺北市松山區寶清街103巷26號,1,50
公寓,WXA01638,安平里,臺北市松山區寶清街103巷41號,1,28
公寓,WXA01639,安平里,臺北市松山區寶清街105巷15號,1,669
公寓,WXA01640,安平里,臺北市松山區寶清街105巷50號,1,96
公寓,WXA01641,安平里,臺北市松山區寶清街111巷19號,1,28
公寓,WXA01642,安平里,臺北市松山區寶清街111巷31號,1,126
公寓,WXA01732,安平里,臺北市松山區寶清街101巷28號,1,118
公寓,WXA01896,安平里,臺北市松山區寶清街111巷18號,1,134
公寓,WXA01902,安平里,臺北市松山區寶清街103巷29號,2,296
大樓,WXA01904,安平里,臺北市松山區寶清街103之5號,1,2602
大樓,WXA01621,安平里,臺北市松山區寶清街103號,1,1136
大樓,WXA00784,安平里,臺北市松山區南京東路五段315號,2,450
大廈,WXA01056,安平里,臺北市松山區南京東路五段341號,1,97
公寓,WXA01059,安平里,臺北市松山區南京東路五段359號,1,66
公寓,WXA01125,安平里,臺北市松山區南京東路五段291巷19弄1號,1,310
公寓,WXA01126,安平里,臺北市松山區南京東路五段291巷19弄10號,1,260
公寓,WXA01127,安平里,臺北市松山區南京東路五段291巷19弄16號,1,380
公寓,WXA01128,安平里,臺北市松山區南京東路五段291巷19弄2號,1,97
公寓,WXA01129,安平里,臺北市松山區南京東路五段291巷19弄24號,1,258
公寓,WXA01130,安平里,臺北市松山區南京東路五段291巷19弄27號,1,465
公寓,WXA01131,安平里,臺北市松山區南京東路五段291巷19弄51號,1,165
公寓,WXA01132,安平里,臺北市松山區南京東路五段291巷19弄7號,1,456
公寓,WXA01135,安平里,臺北市松山區南京東路五段291巷29弄14號,1,302
公寓,WXA01136,安平里,臺北市松山區南京東路五段291巷29弄15號,1,225
公寓,WXA01138,安平里,臺北市松山區南京東路五段291巷29弄7號,1,73
公寓,WXA01139,安平里,臺北市松山區南京東路五段291巷29弄8號,1,153
公寓,WXA01144,安平里,臺北市松山區南京東路五段291巷5弄1號,1,268
公寓,WXA01145,安平里,臺北市松山區南京東路五段291巷5弄10號,1,101
公寓,WXA01146,安平里,臺北市松山區南京東路五段291巷5弄13號,1,164
公寓,WXA01147,安平里,臺北市松山區南京東路五段291巷5弄2號,1,98
公寓,WXA01148,安平里,臺北市松山區南京東路五段291巷5弄24號,1,109
公寓,WXA01625,安平里,臺北市松山區寶清街34號,1,252
大樓,WXA01769,安平里,臺北市松山區南京東路五段343號,2,1120
公寓,WXA01886,安平里,臺北市松山區南京東路五段291巷29弄6號,2,254
公寓,WXA01124,安平里,臺北市松山區南京東路五段291巷51號,1,40
公寓,WXA01137,安平里,臺北市松山區南京東路五段291巷29弄35號,1,438
公寓,WXA01143,安平里,臺北市松山區南京東路五段291巷47弄39號,1,290
公寓,WXA01626,安平里,臺北市松山區寶清街38號,1,233
公寓,WXA01628,安平里,臺北市松山區寶清街46號,1,74
大樓,WXA01861,安平里,臺北市松山區健康路406號,4,4000
公寓,WXA01878,安平里,臺北市松山區南京東路五段291巷29弄29號,1,130
大樓,WXA00876,安平里,臺北市松山區健康路290號,1,441
公寓,WXA01098,安平里,臺北市松山區南京東路五段251巷21號,1,62
公寓,WXA01099,安平里,臺北市松山區南京東路五段251巷33號,1,173
公寓,WXA01121,安平里,臺北市松山區南京東路五段291巷36號,1,54
公寓,WXA01122,安平里,臺北市松山區南京東路五段291巷46號,1,89
公寓,WXA01123,安平里,臺北市松山區南京東路五段291巷50號,1,100
公寓,WXA01133,安平里,臺北市松山區南京東路五段291巷20弄19號,1,318
公寓,WXA01134,安平里,臺北市松山區南京東路五段291巷20弄27號,1,106
公寓,WXA01141,安平里,臺北市松山區南京東路五段291巷44弄25號,1,236
公寓,WXA01149,安平里,臺北市松山區南京東路五段291巷6弄6號,1,298
公寓,WXA01749,安平里,臺北市松山區南京東路五段291巷44弄23號,1,109
公寓,WXA01760,安平里,臺北市松山區南京東路五段291巷20弄8-14號,1,544
大樓,WXA01836,安平里,臺北市松山區南京東路五段291巷34弄2號,1,352
公寓,WXA01860,安平里,臺北市松山區南京東路五段251巷37號,1,250
公寓,WXA01873,安平里,臺北市松山區南京東路五段291巷20弄4號,1,152
公寓,WXA00028,安平里,臺北市松山區南京東路五段251巷46弄2號,1,114
大樓,WXA00350,安平里,臺北市松山區三民路8號之1,1,2666
公寓,WXA00875,安平里,臺北市松山區南京東路五段251巷32弄2號,1,28
公寓,WXA00880,安平里,臺北市松山區三民路6號,1,94
大廈,WXA01043,安平里,臺北市松山區南京東路五段213號,3,396
公寓,WXA01100,安平里,臺北市松山區南京東路五段251巷34號,1,61
公寓,WXA01101,安平里,臺北市松山區南京東路五段251巷38號,1,114
公寓,WXA01102,安平里,臺北市松山區南京東路五段251巷22弄14號,1,136
公寓,WXA01103,安平里,臺北市松山區南京東路五段251巷22弄20號,1,125
公寓,WXA01104,安平里,臺北市松山區南京東路五段251巷22弄24號,1,141
公寓,WXA01105,安平里,臺北市松山區南京東路五段251巷22弄32號,1,253
公寓,WXA01106,安平里,臺北市松山區南京東路五段251巷22弄4號,1,165
公寓,WXA01107,安平里,臺北市松山區南京東路五段251巷24弄12號,1,428
公寓,WXA01108,安平里,臺北市松山區南京東路五段251巷24弄18號,1,401
公寓,WXA01109,安平里,臺北市松山區南京東路五段251巷24弄2號,1,624
公寓,WXA01110,安平里,臺北市松山區南京東路五段251巷24弄22號,1,549
公寓,WXA01111,安平里,臺北市松山區南京東路五段251巷24弄23號,1,440
公寓,WXA01112,安平里,臺北市松山區南京東路五段251巷24弄3號,1,344
公寓,WXA01113,安平里,臺北市松山區南京東路五段251巷24弄33號,1,257
