編號,地址,可容納人數,經度,緯度,里別,避難所在之地下樓層數,轄管分局
1.0,臺中市大甲區幸福里5鄰長安路福祥巷58號,16.0,120.660261,24.382278,幸福里,B01,大甲分局
2.0,臺中市大甲區日南里19鄰幼獅路33號,70.0,120.650531,24.406554,日南里,B01,大甲分局
3.0,臺中市大甲區日南里19鄰工一路24號,520.0,120.646408,24.408821,日南里,B01,大甲分局
4.0,臺中市大甲區日南里19鄰幼獅路69號,43.0,120.656469,24.402747,日南里,B01,大甲分局
5.0,臺中市大甲區日南里19鄰幼獅路7號,21.0,120.645411,24.408579,日南里,B01,大甲分局
6.0,臺中市大甲區日南里19鄰幼獅路59號,21.0,120.654637,24.403381,日南里,B01,大甲分局
7.0,臺中市大甲區日南里19鄰工九路27號,36.0,120.654642,24.404731,日南里,B01,大甲分局
8.0,臺中市大甲區日南里19鄰幼一路6號,52.0,120.646767,24.409173,日南里,B01,大甲分局
9.0,臺中市大甲區日南里19鄰幼獅路17號,96.0,120.647066,24.407687,日南里,B01,大甲分局
10.0,臺中市大甲區日南里19鄰幼獅路3號,57.0,120.644205,24.409141,日南里,B01,大甲分局
11.0,臺中市大甲區日南里19鄰工十路33號,62.0,120.655266,24.395076,日南里,B01,大甲分局
12.0,臺中市大甲區日南里19鄰工五路3號,23.0,120.645973,24.411902,日南里,B01,大甲分局
13.0,臺中市大甲區日南里19鄰幼獅路36號,266.0,120.651708,24.404743,日南里,B01,大甲分局
14.0,臺中市大甲區日南里19鄰幼獅路15號,63.0,120.646681,24.407839,日南里,B01,大甲分局
15.0,臺中市大甲區日南里19鄰幼三路03號,183.0,120.649395,24.408661,日南里,B01,大甲分局
16.0,臺中市大甲區日南里19鄰幼五路05號,68.0,120.653682,24.406748,日南里,B01,大甲分局
17.0,臺中市大甲區日南里19鄰幼獅路29號,22.0,120.649247,24.406574,日南里,B01,大甲分局
18.0,臺中市大甲區日南里19鄰幼獅路65號,27.0,120.655472,24.402507,日南里,B01,大甲分局
