類別,電腦編號,村里別,地址,緯經度,避難樓層,可容納人數,轄管分局,備註
公有,OMA00001,民權里,臺南市新營區民權里14鄰信義街73號,"23.310099,120.313441",B01,105.0,新營分局,
公有,OMA00006,民權里,臺南市新營區民權里14鄰信義街73號,"23.310099,120.313441",B01,200.0,新營分局,
公有,OMA00007,民權里,臺南市新營區民權里14鄰信義街73號,"23.310099,120.313441",B01,871.0,新營分局,
公有,OMA00010,民權里,臺南市新營區民權里17鄰民治路53巷11號,"23.30908, 120.312276",B01,2180.0,新營分局,
一般住宅,OMA00011,忠政里,臺南市新營區忠政里10鄰中正路53之2號,"23.316407,120.316227",B01,283.0,新營分局,
一般住宅,OMA00012,永平里,臺南市新營區永平里15鄰復興路85號,"23.303265,120.311301",B01,537.0,新營分局,
一般住宅,OMA00013,南興里,臺南市新營區南興里1鄰延平路140巷8號,"23.298069,120.312513",B01,355.0,新營分局,
一般住宅,OMA00014,民榮里,臺南市新營區民榮里12鄰興農街38號,"23.30224,120.308352",B01,723.0,新營分局,
供公眾使用,OMA00016,民生里,臺南市新營區民生里6鄰民生路20號,"23.304738,120.309582",B01,114.0,新營分局,
供公眾使用,OMA00017,三仙里,臺南市新營區三仙里11鄰民權路25之3號,"23.304469,120.312876",B01,66.0,新營分局,
一般住宅,OMA00018,民權里,臺南市新營區民權里11鄰信義街53巷3之4號,"23.305519,120.314424",B01,77.0,新營分局,
公有,OMA00023,民生里,臺南市新營區民生里18鄰公園路一段136號,"23.30545,120.306223",B01,220.0,新營分局,
供公眾使用,OMA00025,三仙里,臺南市新營區三仙里4鄰三興街52號,"23.310922, 120.310188",B01,417.0,新營分局,
供公眾使用,OMA00026,民榮里,臺南市新營區民榮里14鄰復興路161巷42號,"23.30188,120.305722",B01,461.0,新營分局,
供公眾使用,OMA00027,民榮里,臺南市新營區民榮里18鄰新進路二段316號,"23.300909,120.303624",B01,868.0,新營分局,
一般住宅,OMA00028,民榮里,臺南市新營區民榮里20鄰裕民路16巷2之4號,"23.3022542, 120.3068104",B01,105.0,新營分局,
一般住宅,OMA00029,民榮里,臺南市新營區民榮里3鄰新進路二段502之2號,"23.303477,120.302772",B01,138.0,新營分局,
一般住宅,OMA00030,忠政里,臺南市新營區忠政里3鄰府西路47巷11號,"23.312176,120.313237",B01,532.0,新營分局,
一般住宅,OMA00031,三仙里,臺南市新營區三仙里7鄰健康路109號,"23.313649,120.312062",B01,173.0,新營分局,
