電腦編號(強制),建築物名稱(強制),類別(強制),村里別(強制),地址(強制),經緯度(強制),地下層樓數(強制),通知列管文號(非強制),建築執照文號(非強制),使用執照文號(非強制),建築層數(強制),基層面積(非強制),附建面積(非強制),容量(強制),自用(強制),活動人口(強制),兼作停車場(強制),分局別(強制),所別(強制)
HQA00001,公寓,公寓,,苗栗縣頭份市東庄里18鄰自強路248號,"24.686233340513855, 120.90408181220427",1.0,86年7月29日86建都字第09634號,,,7.0,143.0,155.0,206.0,144.0,62.0,無,頭份分局,頭份派出所
HQA00002,公寓,公寓,,苗栗縣頭份市民族里3鄰自強路241號,"24.686183143945915, 120.90475375453222",1.0,77年9月3日建管字第82565號,,,3.0,150.0,236.0,314.0,219.0,95.0,無,頭份分局,頭份派出所
HQA00005,公寓,公寓,,苗栗縣頭份市民族里12鄰東興路176號,"24.68380291312329, 120.90365364104025",1.0,77年3月15日苗份警字第20048號,,,13.0,18.0,16.0,21.0,14.0,7.0,無,頭份分局,頭份派出所
HQA00006,公寓,公寓,,苗栗縣頭份市民族里6鄰錦華街56號,"24.685445848547733, 120.90543666802431",1.0,70年11月26日建都字第10329號,,,4.0,67.0,64.0,85.0,59.0,26.0,無,頭份分局,頭份派出所
HQA00007,公寓,公寓,,苗栗縣頭份市民族里6鄰錦華街46號,"24.685335226064634, 120.90549808892426",1.0,70年11月26日建都字第10329號,,,4.0,66.0,63.0,84.0,58.0,26.0,無,頭份分局,頭份派出所
HQA00008,公寓,公寓,,苗栗縣頭份市民族里6鄰錦華街50號,"24.685485048480306, 120.90524705268027",1.0,70年11月26日建都字第10329號,,,4.0,67.0,64.0,85.0,59.0,26.0,無,頭份分局,頭份派出所
HQA00009,公寓,公寓,,苗栗縣頭份市民族里2鄰自強路26號,查無地址,1.0,71年3月13日建都字第17341號,,,4.0,315.0,300.0,400.0,280.0,120.0,無,頭份分局,頭份派出所
HQA00010,公寓,公寓,,苗栗縣頭份市民族里3鄰自強路245號,"24.686151395669132, 120.90468793918835",1.0,71年3月13日建都字第17361號,,,4.0,145.0,400.0,533.0,373.0,160.0,無,頭份分局,頭份派出所
HQA00011,公寓,公寓,,苗栗縣頭份市民族里8鄰民族路128號,"24.684917594755422, 120.90471151035226",1.0,72年2月23日建都字第15101號,,,3.0,18.0,16.0,21.0,14.0,7.0,無,頭份分局,頭份派出所
HQA00012,公寓,公寓,,苗栗縣頭份市民族里12鄰東民路81號,"24.684197453721644, 120.90287129686033",1.0,71年11月24日建都字第92225號,,,4.0,25.0,24.0,32.0,22.0,10.0,無,頭份分局,頭份派出所
HQA00013,公寓,公寓,,苗栗縣頭份市民族里2鄰錦華街51號,"24.68568419325628, 120.90514839686021",1.0,75年12月3日建管字第96894號,,,3.0,22.0,19.0,25.0,17.0,8.0,無,頭份分局,頭份派出所
HQA00014,公寓,公寓,,苗栗縣頭份市民族里6鄰錦華街28號,"24.685579145079874, 120.90484568336824",1.0,75年8月23日建管字第72233號,,,4.0,35.0,33.0,44.0,30.0,14.0,無,頭份分局,頭份派出所
HQA00015,公寓,公寓,,苗栗縣頭份市民族里3鄰自強路245號,"24.686151395669132, 120.90467721035238",1.0,78年11月12日建管字第102758號,,,4.0,30.0,27.0,36.0,25.0,11.0,無,頭份分局,頭份派出所
HQA00016,公寓,公寓,,苗栗縣頭份市民族里12鄰民族路179號,"24.684873601097912, 120.90282992569627",1.0,76年5月5日建管字第40476號,,,3.0,24.0,22.0,29.0,20.0,9.0,無,頭份分局,頭份派出所
HQA00017,頭份郵局,中華郵政,,苗栗縣頭份市民族里1鄰和平路102號,"24.686251737138765, 120.90613462384428",1.0,80年8月30日建管字第89191號,,,2.0,250.0,265.0,353.0,247.0,106.0,無,頭份分局,頭份派出所
HQA00018,公寓,公寓,,苗栗縣頭份市民族里12鄰東民路83號,"24.68432209591994, 120.90283993918824",1.0,78年8月4日建管字第12916號,,,4.0,165.0,159.0,212.0,148.0,64.0,無,頭份分局,頭份派出所
HQA00019,公寓,公寓,,苗栗縣頭份市民族里10鄰二份街3號,"24.683900285964402, 120.90498196412821",1.0,78年12月4日建管字第120824號,,,5.0,210.0,204.0,272.0,190.0,82.0,無,頭份分局,頭份派出所
HQA00020,公寓,公寓,,苗栗縣頭份市民權里12鄰民族路200號,"24.685341784344445, 120.90283984104022",1.0,84年10月23日建管字第116052號,,,9.0,235.0,242.0,322.0,225.0,97.0,無,頭份分局,頭份派出所
HQA00021,百家村華夏,大樓,,苗栗縣頭份市民族里13鄰東興路182號,"24.68415224173699, 120.90201411035225",1.0,82年12月30日建管字第14417號,,,5.0,2000.0,2315.0,3086.0,2160.0,926.0,有,頭份分局,頭份派出所
HQA00022,公寓,公寓,,苗栗縣頭份市民族里4鄰錦華街31號,"24.68570769972759, 120.90477859686031",1.0,83年2月5日建管字第7885號,,,6.0,500.0,526.0,701.0,490.0,211.0,無,頭份分局,頭份派出所
HQA00023,豪旺大夏,大樓,,苗栗縣頭份市民族里7鄰中華路951號,"24.684489, 120.905937",1.0,84年4月6日建管字第27638號,,,13.0,4800.0,4808.0,6410.0,4487.0,1923.0,有,頭份分局,頭份派出所
HQA00024,豪旺大夏,大樓,,苗栗縣頭份市民族里7鄰中華路951號,"24.684873997967426, 120.90592301220427",1.0,79年4月13日建管字第22064號,,,4.0,20.0,21.0,28.0,19.0,9.0,無,頭份分局,頭份派出所
HQA00026,公寓,公寓,,苗栗縣頭份市忠孝里8鄰信東路246號,"24.692454327859874, 120.90781422569637",1.0,83年8月17日建管字第75060號,,,4.0,400.0,387.0,516.0,361.0,155.0,無,頭份分局,頭份派出所
HQA00027,公寓,公寓,,苗栗縣頭份市忠孝里8鄰信東路268號,"24.692865292350653, 120.90748618151639",1.0,78年10月13日建管字第75060號,,,5.0,20.0,23.0,30.0,21.0,9.0,無,頭份分局,頭份派出所
HQA00028,公寓,公寓,,苗栗縣頭份市自強里12鄰信東路152號,"24.690222848264984, 120.90928081220434",1.0,76年5月5日建管字第40476號,,,4.0,40.0,41.0,54.0,37.0,17.0,無,頭份分局,頭份派出所
HQA00029,公寓,公寓,,苗栗縣頭份市自強里12鄰忠孝一路132號,"24.690648131534164, 120.90955016987644",1.0,71年1月20日建管字第1946號,,,4.0,25.0,23.0,30.0,21.0,9.0,無,頭份分局,頭份派出所
HQA00030,公寓,公寓,,苗栗縣頭份市忠孝里2鄰信東路256號,"24.692665627430074, 120.9077023833684",1.0,84年8月22日建管字第100115號,,,4.0,300.0,310.0,413.0,289.0,124.0,無,頭份分局,頭份派出所
HQA00031,華隆公司,公司,,苗栗縣頭份市忠孝里23鄰忠孝一路69號,查無地址,1.0,93年10月15日建管字第112229號,,,5.0,350.0,376.0,501.0,350.0,151.0,無,頭份分局,頭份派出所
HQA00032,華隆公司,公司,,苗栗縣頭份市忠孝里23鄰忠孝一路69號,查無地址,1.0,77年9月21日建管字第89346號,,,5.0,350.0,376.0,501.0,350.0,151.0,無,頭份分局,頭份派出所
