建築物名稱,縣(市),鄉鎮市區,村里別,地址,避難樓層,"防空避難 設備面積 (平方公尺)",是否兼作停車空間,"容量 （自動計算）",轄管分局,"建檔日期 （西元年/月/日）","最後修正日期 （西元年/月/日）",緯經度,備註
sunny住宅大樓,苗栗縣,竹南鎮,竹南里,苗栗縣竹南鎮和平街79號,1.0,405.0,,450.0,竹南分局,2020/12/15,2020/12/15,"24.686681360093367, 120.87762558425827",
照南國中,苗栗縣,竹南鎮,佳興里,苗栗縣竹南鎮公教路2號,1.0,305.0,,338.0,竹南分局,2020/12/15,2020/12/15,"24.694257333378776, 120.87604599775278",
竹南高中,苗栗縣,竹南鎮,正南里,苗栗縣竹南鎮中正路98號,1.0,650.0,,722.0,竹南分局,2020/12/15,2020/12/15,"24.684408592697526, 120.87465939775271",
住宅大樓,苗栗縣,竹南鎮,山佳里,苗栗縣竹南鎮龍山路三段142號,1.0,3040.0,,3377.0,竹南分局,2020/12/15,2020/12/15,"24.70250312507067, 120.87992958425842",
恩德科技公司,苗栗縣,後龍鎮,埔頂里,苗栗縣後龍鎮中華路1498之2號,1.0,26.0,,28.0,竹南分局,1998/6/23,1998/6/23,"24.62593907741062, 120.81719895501972",
鼎元光電公司,苗栗縣,竹南鎮,崎頂里,苗栗縣竹南鎮仁愛路1387號,1.0,1042.0,,1157.0,竹南分局,2020/12/15,2020/12/15,"24.708853161685898, 120.88616802474188",
儒鴻企業,苗栗縣,後龍鎮,溪洲里,苗栗縣後龍鎮三好路39號,1.0,422.0,,468.0,竹南分局,1998/8/15,1998/8/15,"24.623017535285484, 120.77884069775196",
超豐電子,苗栗縣,竹南鎮,崎頂里,苗栗縣竹南鎮和興路358號,1.0,5743.0,,6381.0,竹南分局,2020/12/15,2020/12/15,"24.712603648049825, 120.8772024112475",
廣瀚開發,苗栗縣,竹南鎮,新南里,苗栗縣竹南鎮勝利街36號,1.0,202.0,,224.0,竹南分局,2020/12/15,2020/12/15,"24.69361002999827, 120.88416912658802",
民景企業,苗栗縣,竹南鎮,山佳里,苗栗縣竹南鎮公義路230巷6號,1.0,501.0,,556.0,竹南分局,2020/12/15,2020/12/15,"24.699591866049165, 120.88380038425834",
仁德醫校,苗栗縣,後龍鎮,溪洲里,苗栗縣後龍鎮溪洲79之3號,1.0,555.0,,616.0,竹南分局,1999/7/29,1999/7/29,"24.6218104855099,120.7812593969667",
仁德醫校,苗栗縣,後龍鎮,溪洲里,苗栗縣後龍鎮溪洲79之3號,1.0,671.0,,745.0,竹南分局,1999/9/23,1999/9/23,"24.6218104855099,120.7812593969667",
年興紡織公司,苗栗縣,後龍鎮,東明里,苗栗縣後龍鎮東明里8鄰下浮尾119之3號,1.0,499.0,,554.0,竹南分局,1999/10/1,1999/10/1,"24.626412749801116, 120.79907317843359",
育達科技大學,苗栗縣,造橋鄉,談文村,苗栗縣造橋鄉學府路168號,2.0,5498.0,,6108.0,竹南分局,6/3/2022,6/3/2022,"24.651105899035674, 120.84221343823562",
彰化銀行,苗栗縣,竹南鎮,中華里,苗栗縣竹南鎮環市路2段110號,1.0,529.0,,587.0,竹南分局,1/1/2018,1/1/2018,"24.68663104991179, 120.86955672658786",
友旺科技公司陳來毅,苗栗縣,竹南鎮,公義里,苗栗縣竹南鎮友義路77號,1.0,673.5,,748.0,竹南分局,11/24/2021,11/24/2021,"24.72393518225871, 120.90798826891782",
秦億浪板公司,苗栗縣,竹南鎮,佳興里,苗栗縣竹南鎮公義路178巷12號,1.0,323.0,,358.0,竹南分局,12/15/2020,12/15/2020,"24.69786702200326, 120.88348371309355",
竹興國小,苗栗縣,竹南鎮,竹興里,苗栗縣竹南鎮竹圍街27號,1.0,5600.0,,6222.0,竹南分局,1/1/2022,1/1/2022,"24.687344193520644, 120.86495778241188",
正裕啟動公司,苗栗縣,竹南鎮,公館里,苗栗縣竹南鎮公館仔74號,1.0,46.0,,51.0,竹南分局,6/3/2022,6/3/2022,"24.663574, 120.874311",
惠普實業公司,苗栗縣,竹南鎮,公館里,苗栗縣竹南鎮公館仔68號,1.0,75.0,,83.0,竹南分局,6/3/2022,6/3/2022,"24.66447300085625, 120.87503838249143",
連泰紙業公司,苗栗縣,造橋鄉,朝陽村,苗栗縣造橋鄉朝陽路107號,1.0,405.0,,450.0,竹南分局,6/3/2022,6/3/2022,"24.654440, 120.867122",
勝文百貨,苗栗縣,竹南鎮,照南里,苗栗縣竹南鎮博愛街42號,1.0,876.0,,973.0,竹南分局,12/15/2020,12/15/2020,"24.687092587028992, 120.87878838610453",
新光明大旅社,苗栗縣,竹南鎮,照南里,苗栗縣竹南鎮博愛街44號,1.0,50.0,,55.0,竹南分局,12/15/2020,12/15/2020,"24.68711034916179, 120.8786277670711",
電子遊藝場,苗栗縣,竹南鎮,照南里,苗栗縣竹南鎮民族街97號,1.0,48.0,,53.0,竹南分局,12/15/2020,12/15/2020,"24.687401682860123, 120.87827855357676",
伯樂手作活力早點,苗栗縣,竹南鎮,照南里,苗栗縣竹南鎮博愛街128號,1.0,15.0,,16.0,竹南分局,12/15/2020,12/15/2020,"24.68717025256171, 120.87604999959909",
金典文化廣場,苗栗縣,竹南鎮,照南里,苗栗縣竹南鎮照南里12鄰博愛街56號,1.0,60.0,,66.0,竹南分局,12/15/2020,12/15/2020,"24.687209186782678, 120.87814265357663",
民宅公寓,苗栗縣,竹南鎮,照南里,苗栗縣竹南鎮照南里12鄰博愛街52號,1.0,42.0,,46.0,竹南分局,12/15/2020,12/15/2020,"24.68717709033437, 120.8782707400824",
民宅公寓,苗栗縣,竹南鎮,照南里,苗栗縣竹南鎮照南里12鄰博愛街54號,1.0,51.0,,56.0,竹南分局,12/15/2020,12/15/2020,"24.687047500997124, 120.87818428241194",
民宅公寓,苗栗縣,竹南鎮,照南里,苗栗縣竹南鎮民族街95號,1.0,80.0,,88.0,竹南分局,12/15/2020,12/15/2020,"24.687296990099814, 120.87832832658782",
民宅公寓,苗栗縣,竹南鎮,照南里,苗栗縣竹南鎮照南里15鄰自由街157號,1.0,102.0,,113.0,竹南分局,12/15/2020,12/15/2020,"24.68791775150907, 120.87412557076375",
民宅公寓,苗栗縣,竹南鎮,照南里,苗栗縣竹南鎮照南里15鄰博愛街106之1號,1.0,92.0,,102.0,竹南分局,12/15/2020,12/15/2020,"24.687141849112617, 120.8765036265879",
悠雅美學館,苗栗縣,竹南鎮,竹南里,苗栗縣竹南鎮竹南里17鄰敦化街1號,1.0,41.0,,45.0,竹南分局,12/15/2020,12/15/2020,"24.686989101083775, 120.87540774008232",
南光醫院,苗栗縣,竹南鎮,竹南里,苗栗縣竹南鎮竹南里16鄰延平路11號,1.0,20.0,,22.0,竹南分局,12/15/2020,12/15/2020,"24.686383181817032, 120.87659889590645",
全國電子,苗栗縣,竹南鎮,竹南里,苗栗縣竹南鎮竹南里17鄰博愛街133號,1.0,112.0,,124.0,竹南分局,12/15/2020,12/15/2020,"24.68686644610062, 120.87528799775278",
民宅公寓,苗栗縣,竹南鎮,竹南里,苗栗縣竹南鎮竹南里20鄰大營路166之3號,1.0,90.0,,100.0,竹南分局,12/15/2020,12/15/2020,"24.68627274712248, 120.87301515357665",
民宅公寓,苗栗縣,竹南鎮,竹南里,苗栗縣竹南鎮竹南里20鄰大營路164號,1.0,20.0,,22.0,竹南分局,12/15/2020,12/15/2020,"24.68616590898639, 120.87307179775273",
民宅公寓,苗栗縣,竹南鎮,竹南里,苗栗縣竹南鎮竹南里20鄰大營路160號,1.0,33.0,,36.0,竹南分局,12/15/2020,12/15/2020,"24.6864213468667, 120.87296934008235",
