類別,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註,placemark_address
婦幼館,三民里,基隆市安樂區麥金路482之1號,"25.12598, 121.71949",1.0,1104,第四分局,,"婦幼館 三民001 三民里 基隆市安樂區麥金路482之1號 1104 第四分局"
民宅,干城里,基隆市安樂區安一路348之22號,"25.13379, 121.72933",1.0,95,第四分局,
民宅,干城里,基隆市安樂區安一路348之22號,"25.13379, 121.72927",2.0,95,第四分局,
民宅,干城里,基隆市安樂區安一路313號,"25.13389, 121.72878",1.0,96,第四分局,
民宅,干城里,基隆市安樂區安一路370巷22號,"25.13487, 121.72806",1.0,376,第四分局,
民宅,干城里,基隆市安樂區安一路360號,"25.13432, 121.72939",1.0,57,第四分局,
民宅,干城里,基隆市安樂區安一路329號,"25.13415, 121.72851",2.0,220,第四分局,,"民宅 干城018 干城里 基隆市安樂區安一路329號 220 第四分局"
民宅,干城里,基隆市安樂區安一路370巷1之5號,"25.13427, 121.72745",1.0,1862,第四分局,
民宅,中山里,基隆市中山區中山一路207號,"25.13421, 121.73937",1.0,59,第四分局,
民宅,中山里,基隆市中山區中山一路155號,"25.13321, 121.73874",1.0,57,第四分局,
民宅,中山里,基隆市中山區中山一路113巷10號,"25.13259, 121.73803",1.0,221,第四分局,,"民宅 中山006 中山里 基隆市中山區中山一路113巷10號 221 第四分局"
愛米爾幼兒園,中和里,基隆市中山區中和路70巷1號,"25.14728, 121.7194",1.0,261,第四分局,
中和國小,中和里,基隆市中山區中和路64號,"25.14662, 121.72021",1.0,209,第四分局,,"中和國小 中和003 中和里 基隆市中山區中和路64號 209 第四分局"
中和國小,中和里,基隆市中山區中和路64號,"25.14659, 121.72016",1.0,137,第四分局,,"中和國小 中和004 中和里 基隆市中山區中和路64號 137 第四分局"
兩承菸酒行,中和里,基隆市中山區中和路10號,"25.14391, 121.72463",1.0,131,第四分局,
工廠,中崙里,基隆市安樂區武訓街20號,"25.14331, 121.70053",1.0,66,第四分局,
工廠,中崙里,基隆市安樂區武訓街16號,"25.14294, 121.69999",1.0,31,第四分局,
工廠,中崙里,基隆市安樂區武訓街28號,"25.142, 121.70184",1.0,578,第四分局,
工廠,中崙里,基隆市安樂區武訓街47號,"25.14684, 121.69976",1.0,34,第四分局,
工廠,中崙里,基隆市安樂區武訓街35號,"25.14464, 121.70088",1.0,30,第四分局,
工廠,中崙里,基隆市安樂區武訓街15號,"25.14316, 121.69847",1.0,40,第四分局,
