類別,編號,里別,防空疏散避難設施地址,地下層數位址,可容納人數,placemark_address
公寓,52.0,民族里,臺東縣臺東市民族里4鄰南京路39號之B1,1.0,2585.0,臺東縣臺東市民族里4鄰南京路39號之B1
公寓,53.0,民族里,臺東縣臺東市民族里20鄰杭州街82號,1.0,589.0,臺東縣臺東市民族里20鄰杭州街82號
公寓,54.0,東海里,臺東市東海里5鄰長沙街208號,1.0,1474.0,臺東市東海里5鄰長沙街208號
公寓,55.0,東海里,臺東市東海里2鄰長沙街172號,1.0,812.0,臺東市東海里2鄰長沙街172號
公寓,56.0,東海里,臺東市東海里7鄰長沙街396號1樓,1.0,349.0,臺東市東海里7鄰長沙街396號1樓
公寓,57.0,新興里,臺東市新興里5鄰長沙街91號,1.0,54.0,臺東市新興里5鄰長沙街91號
公寓,58.0,新興里,臺東縣臺東市新興里2鄰中華路一段857號,1.0,313.0,臺東縣臺東市新興里2鄰中華路一段857號
公寓,59.0,豐年里,臺東縣臺東市豐年里3鄰中興路三段579巷101弄7號,1.0,2428.0,臺東縣臺東市豐年里3鄰中興路三段579巷101弄7號
公寓,60.0,豐樂里,"臺東市豐樂里8鄰正氣北路 406號",1.0,50.0,"臺東市豐樂里8鄰正氣北路 406號"
公寓,61.0,豐樂里,臺東市豐樂里5鄰大勇路2號,1.0,56.0,臺東市豐樂里5鄰大勇路2號
公寓,62.0,豐樂里,臺東市豐樂里5鄰大業路112號,1.0,640.0,臺東市豐樂里5鄰大業路112號
公寓,63.0,豐樂里,臺東市豐樂里9鄰大正路6號,1.0,65.0,臺東市豐樂里9鄰大正路6號
公寓,64.0,豐樂里,臺東市豐樂里9鄰大正路1巷2號,1.0,40.0,臺東市豐樂里9鄰大正路1巷2號
公寓,65.0,豐樂里,臺東市豐樂里9鄰大正路1號,1.0,61.0,臺東市豐樂里9鄰大正路1號
公寓,66.0,豐樂里,臺東市豐樂里10鄰大德路30號,1.0,48.0,臺東市豐樂里10鄰大德路30號
公寓,67.0,豐樂里,臺東市豐樂里10鄰大德路24號,1.0,46.0,臺東市豐樂里10鄰大德路24號
公寓,68.0,豐樂里,臺東市豐樂里10鄰大德路18號,1.0,432.0,臺東市豐樂里10鄰大德路18號
公寓,69.0,豐樂里,臺東市豐樂里10鄰大德路8號,1.0,40.0,臺東市豐樂里10鄰大德路8號
公寓,70.0,豐樂里,臺東市豐樂里9鄰大道路12號(空屋),1.0,108.0,臺東市豐樂里9鄰大道路12號(空屋)
公寓,71.0,豐樂里,臺東市豐樂里9鄰大道路10號,1.0,153.0,臺東市豐樂里9鄰大道路10號
公寓,72.0,豐樂里,臺東市豐樂里9鄰大道路2號(已封除),1.0,36.0,臺東市豐樂里9鄰大道路2號(已封除)
公寓,73.0,豐樂里,臺東市豐樂里9鄰大忠路24號同194),1.0,678.0,臺東市豐樂里9鄰大忠路24號同194)
公寓,74.0,豐樂里,臺東市豐樂里9鄰大忠路22號,1.0,754.0,臺東市豐樂里9鄰大忠路22號
公寓,75.0,豐樂里,臺東市豐樂里9鄰大忠路20號,1.0,660.0,臺東市豐樂里9鄰大忠路20號
公寓,76.0,豐樂里,臺東市豐樂里9鄰大忠路10號,1.0,28.0,臺東市豐樂里9鄰大忠路10號
公寓,77.0,豐樂里,臺東市豐樂里9鄰大忠路8號,1.0,25.0,臺東市豐樂里9鄰大忠路8號
公寓,78.0,豐樂里,臺東市豐樂里9鄰大孝路88號,1.0,70.0,臺東市豐樂里9鄰大孝路88號
公寓,79.0,豐樂里,臺東市豐樂里9鄰大孝路81號,1.0,324.0,臺東市豐樂里9鄰大孝路81號
公寓,80.0,豐樂里,臺東市豐樂里8鄰正氣北路490號,1.0,74.0,臺東市豐樂里8鄰正氣北路490號
公寓,81.0,豐樂里,臺東市豐樂里8鄰正氣北路416號,1.0,17.0,臺東市豐樂里8鄰正氣北路416號
公寓,82.0,豐樂里,臺東市豐樂里8鄰正氣北路412號,1.0,28.0,臺東市豐樂里8鄰正氣北路412號
公寓,83.0,豐樂里,臺東市豐樂里8鄰正氣北路410號,1.0,16.0,臺東市豐樂里8鄰正氣北路410號
公寓,84.0,豐樂里,臺東市豐樂里8鄰正氣北路408號,1.0,18.0,臺東市豐樂里8鄰正氣北路408號
公寓,85.0,豐田里,台東市豐田里7鄰中興路4段197號,1.0,50.0,台東市豐田里7鄰中興路4段197號
公寓,86.0,卑南里,臺東縣臺東市卑南里5鄰更生北路113巷7弄2號,1.0,313.0,臺東縣臺東市卑南里5鄰更生北路113巷7弄2號
公寓,87.0,中心里,臺東市中心里6鄰長安街183號,1.0,517.0,臺東市中心里6鄰長安街183號
公寓,88.0,中心里,臺東市中心里18鄰更生路337號,1.0,368.0,臺東市中心里18鄰更生路337號
公寓,89.0,中心里,臺東市中心里6鄰長安街183號,1.0,517.0,臺東市中心里6鄰長安街183號
公寓,90.0,仁和里,臺東市仁和里22鄰更生路784號,1.0,446.0,臺東市仁和里22鄰更生路784號
公寓,91.0,仁和里,臺東市仁和里22鄰中興路一段398號,1.0,100.0,臺東市仁和里22鄰中興路一段398號
公寓,92.0,仁和里,臺東市仁和里22鄰中興路一段398號,1.0,383.0,臺東市仁和里22鄰中興路一段398號
公寓,93.0,民生里,臺東市民生里24鄰徐州街415號,1.0,304.0,臺東市民生里24鄰徐州街415號
公寓,94.0,自強里,臺東市自強里11鄰正氣北路230巷56弄1號,1.0,433.0,臺東市自強里11鄰正氣北路230巷56弄1號
公寓,95.0,自強里,臺東市自強里27鄰漢中街263號,1.0,93.0,臺東市自強里27鄰漢中街263號
公寓,96.0,自強里,臺東市自強里28鄰漢中街268號,1.0,82.0,臺東市自強里28鄰漢中街268號
公寓,97.0,新生里,臺東市新生里16鄰仁二街282號,1.0,705.0,臺東市新生里16鄰仁二街282號
公寓,98.0,新生里,臺東市新生里16鄰仁二街280號,1.0,705.0,臺東市新生里16鄰仁二街280號
公寓,99.0,新生里,臺東市新生里21鄰更生路560號,1.0,638.0,臺東市新生里21鄰更生路560號
公寓,100.0,新生里,臺東縣臺東市新生里14鄰四維路三段62號,1.0,379.0,臺東縣臺東市新生里14鄰四維路三段62號
公寓,101.0,新生里,臺東縣臺東市新生里11鄰傳廣路492號,1.0,533.0,臺東縣臺東市新生里11鄰傳廣路492號
公寓,102.0,新生里,臺東市新生里2鄰開封街413號,1.0,526.0,臺東市新生里2鄰開封街413號
公寓,103.0,豐榮里,臺東市豐榮里1鄰中華路2段12號,1.0,20.0,臺東市豐榮里1鄰中華路2段12號
公寓,104.0,豐榮里,臺東市豐榮里1鄰中華路2段14號,1.0,20.0,臺東市豐榮里1鄰中華路2段14號
公寓,105.0,豐榮里,臺東市豐榮里1鄰中華路2段16號,1.0,20.0,臺東市豐榮里1鄰中華路2段16號
公寓,106.0,豐榮里,臺東市豐榮里1鄰中華路2段18號,1.0,20.0,臺東市豐榮里1鄰中華路2段18號
公寓,107.0,豐榮里,臺東市豐榮里22鄰柳州街258號,1.0,20.0,臺東市豐榮里22鄰柳州街258號
公寓,108.0,豐榮里,臺東市豐榮里22鄰柳州街256號,1.0,20.0,臺東市豐榮里22鄰柳州街256號
公寓,109.0,豐榮里,臺東市豐榮里2鄰柳州街254號,1.0,20.0,臺東市豐榮里2鄰柳州街254號
公寓,110.0,豐榮里,臺東市豐榮里1鄰中華路二段10號,1.0,20.0,臺東市豐榮里1鄰中華路二段10號
公寓,111.0,豐榮里,臺東市豐榮里1鄰中華路二段8號,1.0,20.0,臺東市豐榮里1鄰中華路二段8號
公寓,112.0,豐榮里,臺東市豐榮里5鄰中華路二段232號,1.0,20.0,臺東市豐榮里5鄰中華路二段232號
公寓,113.0,豐榮里,臺東市豐榮里5鄰中華路二段230號,1.0,20.0,臺東市豐榮里5鄰中華路二段230號
公寓,114.0,豐榮里,臺東市豐榮里5鄰中華路二段228號,1.0,20.0,臺東市豐榮里5鄰中華路二段228號
公寓,115.0,豐榮里,臺東市豐榮里5鄰中華路二段234號,1.0,20.0,臺東市豐榮里5鄰中華路二段234號
