電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註
WNA00908,大學里,臺北市大安區辛亥路一段40號,"25.020029,121.530175",1,157.0,大安分局,
WNA04051,大學里,臺北市大安區羅斯福路三段241號,"25.019379,121.529895",1,234.0,大安分局,
WNA04116,大學里,臺北市大安區羅斯福路三段269巷4號,"25.019121,121.530658",1,348.0,大安分局,
WNA04053,大學里,臺北市大安區羅斯福路三段251-1號,"25.019143,121.530141",1,753.0,大安分局,
WNA04111,大學里,臺北市大安區羅斯福路三段269巷10號,"25.019479,121.53031",1,29.0,大安分局,
WNA04052,大學里,臺北市大安區羅斯福路三段245號,"25.019303,121.529976",1,660.0,大安分局,
WNA00907,大學里,臺北市大安區辛亥路一段32號,"25.019825,121.529946",1,872.0,大安分局,
WNA04050,大學里,臺北市大安區羅斯福路三段235號,"25.019466,121.529803",1,445.0,大安分局,
WNA04112,大學里,臺北市大安區羅斯福路三段269巷12號,"25.019523,121.53028",1,62.0,大安分局,
WNA04119,大學里,臺北市大安區羅斯福路三段269巷6號,"25.019241,121.530523",1,169.0,大安分局,
WNA04122,大學里,臺北市大安區羅斯福路三段269巷8號,"25.019348,121.53039",1,384.0,大安分局,
WNA04113,大學里,臺北市大安區羅斯福路三段269巷22號,"25.019853,121.530421",1,1136.0,大安分局,
WNA04736,大學里,臺北市大安區羅斯福路三段261之1號,"25.018903,121.530368",1,246.0,大安分局,
WNA04054,大學里,臺北市大安區羅斯福路三段271號,"25.018587,121.530703",1,736.0,大安分局,
WNA04056,大學里,臺北市大安區羅斯福路三段273號,"25.018543,121.530747",1,680.0,大安分局,
WNA04057,大學里,臺北市大安區羅斯福路三段273號,"25.018543,121.530747",2,680.0,大安分局,
WNA04058,大學里,臺北市大安區羅斯福路三段281號,"25.01797,121.53133",1,442.0,大安分局,
WNA04110,大學里,臺北市大安區羅斯福路三段269巷1號,"25.018894,121.530884",1,61.0,大安分局,
WNA04114,大學里,臺北市大安區羅斯福路三段283巷19弄1號,"25.019293,121.531465",2,1114.0,大安分局,
WNA04115,大學里,臺北市大安區羅斯福路三段269巷9號,"25.019411,121.530575",1,58.0,大安分局,
WNA04117,大學里,臺北市大安區羅斯福路三段269巷5號,"25.019172,121.530817",1,633.0,大安分局,
WNA04125,大學里,臺北市大安區羅斯福路三段283巷21號,"25.019852,121.531662",1,397.0,大安分局,
WNA04131,大學里,臺北市大安區羅斯福路三段283巷19弄14號,"25.019622,121.531026",1,61.0,大安分局,
WNA04132,大學里,臺北市大安區羅斯福路三段283巷19弄22號,"25.019821,121.530775",1,42.0,大安分局,
WNA04133,大學里,臺北市大安區羅斯福路三段283巷19弄6號,"25.019463,121.531431",1,285.0,大安分局,
WNA04655,大學里,臺北市大安區羅斯福路三段283巷7弄8號,"25.018621,121.531268",1,148.0,大安分局,
WNA04682,大學里,臺北市大安區羅斯福路三段275號,"25.018343,121.530956",1、2、3、4,2512.0,大安分局,
WNA04974,大學里,臺北市大安區羅斯福路三段275號,"25.018343,121.530956",1、2、3、4,77.0,大安分局,
WNA03608,大學里,臺北市大安區溫州街52巷9號,"25.021117,121.532386",1,880.0,大安分局,
WNA03611,大學里,臺北市大安區溫州街58巷2號,"25.0206,121.532918",1,264.0,大安分局,
WNA03610,大學里,臺北市大安區溫州街58巷14號,"25.020671,121.532152",1,685.0,大安分局,
WNA03609,大學里,臺北市大安區溫州街58巷1號,"25.020461,121.53249",1,2185.0,大安分局,
WNA03607,大學里,臺北市大安區溫州街52巷10號,"25.02091,121.5324",1,900.0,大安分局,
WNA03602,大學里,臺北市大安區溫州街48巷14號,"25.021393,121.53234",1,318.0,大安分局,
WNA03603,大學里,臺北市大安區溫州街48巷4號,"25.02136,121.532889",1,44.0,大安分局,
WNA03604,大學里,臺北市大安區溫州街48巷6號,"25.02136,121.532829",1,58.0,大安分局,
WNA03578,大學里,臺北市大安區溫州街66號,"25.020244,121.532854",1,582.0,大安分局,
WNA04620,大學里,臺北市大安區溫州街46巷2號,"25.021712,121.532957",1,412.0,大安分局,
WNA04759,大學里,臺北市大安區溫州街46巷11號,"25.021744,121.532573",1,105.0,大安分局,
WNA03612,大學里,臺北市大安區溫州街68巷1號,"25.020043,121.53227",1,66.0,大安分局,
WNA00909,大學里,臺北市大安區辛亥路一段74號,"25.020852,121.531139",1,181.0,大安分局,
WNA00910,大學里,臺北市大安區辛亥路一段98號,"25.021415,121.531801",1,234.0,大安分局,
WNA04118,大學里,臺北市大安區羅斯福路三段269巷52號,"25.020409,121.531116",1,118.0,大安分局,
WNA04138,大學里,臺北市大安區羅斯福路三段333巷2號,"25.01715,121.532538",1,38.0,大安分局,
WNA04137,大學里,臺北市大安區羅斯福路三段333巷18號,"25.017603,121.53258",1,300.0,大安分局,
WNA04126,大學里,臺北市大安區羅斯福路三段283巷14弄14-1號,"25.018297,121.532657",1,2613.0,大安分局,
WNA04066,大學里,臺北市大安區羅斯福路三段325號,"25.017077,121.532236",3,526.0,大安分局,
WNA04127,大學里,臺北市大安區羅斯福路三段283巷14弄18號,"25.018073,121.532826",1,3673.0,大安分局,
WNA03569,大學里,臺北市大安區新生南路三段86巷23號,"25.018799,121.531953",1,310.0,大安分局,
WNA04059,大學里,臺北市大安區羅斯福路三段285號,"25.017835,121.531453",2,598.0,大安分局,
WNA04140,大學里,臺北市大安區羅斯福路三段333巷6號,"25.01722,121.532546",1,33.0,大安分局,
WNA04128,大學里,臺北市大安區羅斯福路三段283巷14弄2號,"25.018359,121.531847",1,236.0,大安分局,
WNA04064,大學里,臺北市大安區羅斯福路三段301號,"25.017447,121.531859",1,616.0,大安分局,
WNA04135,大學里,臺北市大安區羅斯福路三段283巷4弄7號,"25.01809,121.532234",2,2244.0,大安分局,
WNA04062,大學里,臺北市大安區羅斯福路三段297號,"25.017633,121.531671",1,325.0,大安分局,
WNA04136,大學里,臺北市大安區羅斯福路三段307巷11號,"25.017484,121.532044",1,50.0,大安分局,
WNA04061,大學里,臺北市大安區羅斯福路三段293號,"25.017704,121.531597",1,264.0,大安分局,
WNA04063,大學里,臺北市大安區羅斯福路三段297之5號,"25.017516,121.53179",1,33.0,大安分局,
WNA04745,大學里,臺北市大安區羅斯福路三段283巷14弄2之1號,"25.018338,121.531951",1,218.0,大安分局,
WNA04819,大學里,臺北市大安區新生南路三段86巷21號,"25.018782,121.532116",2,546.0,大安分局,
WNA04866,大學里,臺北市大安區羅斯福路三段309號,"25.017372,121.531931",1,1842.0,大安分局,
WNA03571,大學里,臺北市大安區新生南路三段94巷8號,"25.017354,121.532917",1,37.0,大安分局,
WNA03508,大學里,臺北市大安區新生南路三段106之1號,"25.016743,121.532784",1,210.0,大安分局,
WNA04067,大學里,臺北市大安區羅斯福路三段335號,"25.016881,121.532436",1,1000.0,大安分局,
WNA04130,大學里,臺北市大安區羅斯福路三段333巷5號,"25.017225,121.532709",1,226.0,大安分局,
