電腦編號,建築物名稱,地址,緯度,經度,避難樓層,可容納人數,轄管分局,備註
B015,透天,桃園市龍潭區中正里龍華路403號,"24.857654 ","121.217589 ",B01,79.0,龍潭分局,
B016,龍潭高中,桃園市龍潭區中正里神龍路155號,"24.861501 ","121.213145 ",B01,247.0,龍潭分局,
B017,龍潭高中,桃園市龍潭區中正里神龍路155號,"24.861501 ","121.213145 ",B01,55.0,龍潭分局,
B018,龍潭高中,桃園市龍潭區中正里神龍路155號,"24.861501 ","121.213145 ",B01,103.0,龍潭分局,
B019,國泰人壽保險公司,(機敏單位)桃園市龍潭區中正里中正路471號,,,B01,746.0,龍潭分局,
B020,私人住宅大樓,桃園市龍潭區中正里富華街315巷6號之1,"24.848969 ","121.223704 ",B01,1190.0,龍潭分局,
B022,龍潭農會,(機敏單位)桃園市龍潭區中正里東龍路112號,,,B01,568.0,龍潭分局,
B024,透天,桃園市龍潭區中山里中豐路中山段9號,"24.868947 ","121.213429 ",B01,25.0,龍潭分局,
B025,透天,桃園市龍潭區中山里中豐路中山段209號,"24.865911 ","121.210306 ",B01,414.0,龍潭分局,
B026,透天,桃園市龍潭區中山里東龍路350號,"24.867629 ","121.213816 ",B01,32.0,龍潭分局,
B027,透天,桃園市龍潭區中山里東龍路356號,"24.867749 ","121.213857 ",B01,40.0,龍潭分局,
B028,透天,桃園市龍潭區中山里北龍路15巷26號,"24.865552 ","121.210707 ",B01,186.0,龍潭分局,
B029,透天,桃園市龍潭區中山里北龍路15巷36號,"24.865787 ","121.210719 ",B01,158.0,龍潭分局,
B030,透天,桃園市龍潭區中山里北龍路39號,"24.865681 ","121.211925 ",B01,35.0,龍潭分局,
B031,透天,桃園市龍潭區中山里北龍路59巷13弄8號,"24.866555 ","121.212414 ",B01,35.0,龍潭分局,
B032,透天,桃園市龍潭區中山里北龍路283號,"24.868166 ","121.217614 ",B01,19.0,龍潭分局,
B033,透天,桃園市龍潭區中山里北龍路299號,"24.868435 ","121.218072 ",B01,19.0,龍潭分局,
B034,透天,桃園市龍潭區中山里中正路83號,"24.868327 ","121.215414 ",B01,27.0,龍潭分局,
B035,透天,桃園市龍潭區中山里中正路85號,"24.868257 ","121.215407 ",B01,56.0,龍潭分局,
B036,透天,桃園市龍潭區中山里中正路87號,"24.868144 ","121.215538 ",B01,32.0,龍潭分局,
B037,龍潭郵局,(機敏單位)桃園市龍潭區中山里中正路151號,,,B01,756.0,龍潭分局,
B038,透天,桃園市龍潭區中山里中正路169號,"24.866129 ","121.217037 ",B01,36.0,龍潭分局,
B039,透天,桃園市龍潭區中山里中正路215號,"24.864413 ","121.217273 ",B01,27.0,龍潭分局,
B040,透天,桃園市龍潭區中山里中正路221號,"24.864121 ","121.217188 ",B01,64.0,龍潭分局,
B041,龍星國小,桃園市龍潭區中山里中正路269號,"24.862684 ","121.217660 ",B01,997.0,龍潭分局,
B042,透天,桃園市龍潭區中山里華南路一段43號,"24.869373 ","121.216249 ",B01,76.0,龍潭分局,
B043,真愛台灣社區大樓,桃園市龍潭區中山里神龍路403巷2弄1號,"24.857258 ","121.216644 ",B01,1412.0,龍潭分局,
B044,凌雲國中,桃園市龍潭區上林里中豐路上林段418號,"24.858689 ","121.202078 ",B01,509.0,龍潭分局,
B045,透天,桃園市龍潭區中正里龍華路111號,"24.864091 ","121.215869 ",B01,45.0,龍潭分局,
B046,透天,桃園市龍潭區中山里中正路106號,"24.867444 ","121.215773 ",B01,200.0,龍潭分局,
B047,親水大街社區,桃園市龍潭區中山里五福街68號,"24.865131 ","121.219002 ",B01,3029.0,龍潭分局,
B048,私人住宅大樓,桃園市龍潭區中山里華南路一段63巷12弄1號,"24.869931 ","121.216768 ",B01,887.0,龍潭分局,
B049,龍潭農會,(機敏單位)桃園市龍潭區中正里東龍路100號,,,B01,535.0,龍潭分局,
B050,透天,桃園市龍潭區龍潭里龍華路64號,"24.865026 ","121.215119 ",B01,289.0,龍潭分局,
B051,地中海水花園大樓,桃園市龍潭區龍星里大同路213巷15號,"24.862407 ","121.219289 ",B01,1800.0,龍潭分局,
B052,透天,桃園市龍潭區上林里金龍路476巷66號,"24.847915 ","121.215404 ",B01,282.0,龍潭分局,
B053,透天,桃園市龍潭區中正里中正路398號,"24.859389 ","121.218359 ",B01,549.0,龍潭分局,
B054,宜誠歐鄉大樓,桃園市龍潭區中山里大昌路一段78號,24.870608,121.215995,B01,2481.0,龍潭分局,
B055,私人住宅大樓,桃園市龍潭區龍星里中正路261巷85弄16號,"24.863668 ","121.218621 ",B01,1211.0,龍潭分局,
B056,私人住宅大樓,桃園市龍潭區中正里神龍路379號,"24.857238 ","121.215908 ",B01,623.0,龍潭分局,
B057,私人住宅大樓,桃園市龍潭區中正里神龍路415號,"24.857324 ","121.216824 ",B01,1450.0,龍潭分局,
B058,透天,桃園市龍潭區中山里中正路6號,"24.869262 ","121.213959 ",B01,292.0,龍潭分局,
B059,私人住宅大樓,桃園市龍潭區中正里龍華路347巷38號,"24.858061 ","121.218522 ",B01,2736.0,龍潭分局,
B060,透天,桃園市龍潭區中山里公園路58巷30號,"24.867001 ","121.218276 ",B01,313.0,龍潭分局,
B061,龍潭國小,桃園市龍潭區龍潭里南龍路13號,"24.864151 ","121.213582 ",B01,1786.0,龍潭分局,
B062,彰化銀行商辦大樓,桃園市龍潭區龍星里中正路242-1號,"24.863047 ","121.217083 ",B01,483.0,龍潭分局,
B063,透天,桃園市龍潭區中山里東龍路390號,"24.868655 ","121.214063 ",B01,302.0,龍潭分局,
B064,一品苑大樓,桃園市龍潭區龍星里光明路43號,"24.861456 ","121.219409 ",B01,1038.0,龍潭分局,
B065,紀凡希大樓,桃園市龍潭區中山里公園路68號,"24.866792 ","121.218706 ",B01,696.0,龍潭分局,
B066,國美苑大樓,桃園市龍潭區中正里東龍路47號,"24.859334 ","121.216266 ",B01,2095.0,龍潭分局,
B067,宜富居大樓,桃園市龍潭區中正里新龍路219巷10號,"24.857813 ","121.213045 ",B01,2081.0,龍潭分局,
B068,富弘富寓大樓,桃園市龍潭區上華里中正路上華段112巷36弄22號,"24.851669 ","121.222282 ",B01,610.0,龍潭分局,
B069,愛吾家大廈大樓,桃園市龍潭區大同路191巷12號,"24.861772 ","121.219198 ",B01,619.0,龍潭分局,
B070,慶賀綠都心大樓,桃園市龍潭區中正里新龍路207號,"24.858429 ","121.213415 ",B01,619.0,龍潭分局,
B071,冠勤高峰匯大樓,桃園市龍潭區中山里華南路1段80號,"24.869733 ","121.216850 ",B01,531.0,龍潭分局,
B072,大清境朗大樓,桃園市龍潭區中山里大昌路一段75巷133弄29號,"24.873273 ","121.217015 ",B01,1122.0,龍潭分局,
B073,龍潭區公所,桃園市龍潭區中山里中興路690號,"24.870514 ","121.222404 ",B01,2969.0,龍潭分局,
B074,透天,桃園市龍潭區龍星里新龍路28號,"24.860690 ","121.217224 ",B01,118.0,龍潭分局,
B075,透天,桃園市龍潭區龍星里大同路193號5樓,24.8619727,121.219582,B01,111.0,龍潭分局,
B076,春秋行館大樓,桃園市龍潭區中山里中豐路中山段97-1號,"24.867942 ","121.212019 ",B01,905.0,龍潭分局,
B077,華東建設大樓,桃園市龍潭區中山里東龍路341巷21號2樓,"24.868281 ","121.213560 ",B01,676.0,龍潭分局,
B078,夏都行館大樓,桃園市龍潭區中山里百福街108號,"24.869411 ","121.215369 ",B01,1473.0,龍潭分局,
B079,合睦建設大樓,桃園市龍潭區中正里龍華路479巷37號,"24.856105 ","121.218155 ",B01,623.0,龍潭分局,
B080,龍心悅大樓,桃園市龍潭區中山里福龍路3段216號,"24.875121 ","121.218067 ",B01,1042.0,龍潭分局,
B081,御松園大樓,桃園市龍潭區中山里中正路261巷83號2樓,"24.863368 ","121.218045 ",B01,2901.0,龍潭分局,
B082,水天一色大樓,桃園市龍潭區上林里神龍路130巷31號,"24.861733 ","121.212434 ",B01,302.0,龍潭分局,
B083,透天,桃園市龍潭區中正里30鄰大同路168號,"24.861403 ","121.219897 ",B01,103.0,龍潭分局,
B084,透天,桃園市龍潭區中山里41鄰中豐路中山段195號,"24.866175 ","121.210449 ",B01,126.0,龍潭分局,
B085,雙龍國小,桃園市龍潭區神龍路346號,"24.857232 ","121.215147 ",B01,1233.0,龍潭分局,
B086,渣打銀行商辦大樓,桃園市龍潭區中山里東龍路353號,"24.868679 ","121.213613 ",B01,1140.0,龍潭分局,
B087,華曜大謙大樓,桃園市龍潭區中山里大昌路一段10號,"24.869847 ","121.214738 ",B01,2424.0,龍潭分局,
B088,城成開發大樓,桃園市龍潭區中正里中正路443號,"24.858977 ","121.218889 ",B01,960.0,龍潭分局,
B089,鴻築囍苑大樓,桃園市龍潭區中正里大同路130巷29號,"24.859854 ","121.220929 ",B01,1186.0,龍潭分局,
C001,武漢國小,桃園市龍潭區武漢路100號,"24.871208 ","121.234395 ",B01,392.0,龍潭分局,
C002,工廠,桃園市龍潭區中興路九龍段66-1號,"24.880707 ","121.249107 ",B01,763.0,龍潭分局,
C003,工廠,桃園市龍潭區中興路317巷74弄7號,"24.871739 ","121.233524 ",B01,385.0,龍潭分局,
C004,工廠,桃園市龍潭區中興路九龍段50巷79號,"24.881744 ","121.249924 ",B01,1621.0,龍潭分局,
C005,私人住宅大樓,桃園市龍潭區中興路392巷9弄29衖17號,"24.873405 ","121.230198 ",B01,547.0,龍潭分局,
C006,私人住宅大樓,桃園市龍潭區成功路283巷12弄9號,"24.877481 ","121.228427 ",B01,390.0,龍潭分局,
C007,私人住宅大樓,桃園市龍潭區中興路461巷2弄31號,"24.871204 ","121.228662 ",B01,212.0,龍潭分局,
C008,觀景樓社區,桃園市龍潭區九龍里中興路九龍段129巷135弄觀景樓社區,"24.878144 ","121.245959 ",B01,638.0,龍潭分局,
C009,私人住宅大樓,桃園市龍潭區龍平路563巷,"24.885931 ","121.225986 ",B01,784.0,龍潭分局,
C010,大龍潭花園國宅,桃園市龍潭區九龍里健行路345巷59弄1號,"24.867338 ","121.230415 ",B01,650.0,龍潭分局,
C011,天龍社區大樓,桃園市龍潭區中興里天龍四巷11號,"24.876301 ","121.231393 ",B01,1420.0,龍潭分局,
C012,桃園龍城豪景大樓,桃園市龍潭區中興路211巷22弄1-12號,"24.873774 ","121.235730 ",B01,822.0,龍潭分局,
C014,工廠,桃園市龍潭區九龍里中興路九龍段129巷91號,"24.878168 ","121.245797 ",B01,443.0,龍潭分局,
C015,私人住宅大樓,桃園市龍潭區中興路211巷70弄1號,"24.872602 ","121.236644 ",B01,2594.0,龍潭分局,
C016,桃園高爾夫球場,桃園市龍潭區九龍里悅華路100號,"24.870008 ","121.247979 ",B01,474.0,龍潭分局,
C017,透天,桃園市龍潭區中興路433-1號,"24.872586 ","121.229803 ",B01,46.0,龍潭分局,
C020,市中興社區大樓,桃園市龍潭區中興路513巷16號,"24.870609 ","121.226040 ",B01,297.0,龍潭分局,
C023,九龍臻社區,桃園市龍潭區中興路288巷45號,"24.875569 ","121.233877 ",B01,527.0,龍潭分局,
C024,工廠,桃園市龍潭區九龍里中興路九龍段3巷13號,"24.879732 ","121.249753 ",B01,751.0,龍潭分局,
C025,工廠,桃園市龍潭區九龍里中興路九龍段129巷91號,"24.878508 ","121.245658 ",B01,240.0,龍潭分局,
C026,工廠,桃園市龍潭區九龍里中興路九龍段11號,"24.880157 ","121.249002 ",B01,98.0,龍潭分局,
C027,工廠,桃園市龍潭區北興里中興路18巷20號,"24.877518 ","121.241831 ",B01,706.0,龍潭分局,
C028,大清城邑大樓,桃園市龍潭區龍平路1107巷55弄26號,"24.885733 ","121.239217 ",B01,1688.0,龍潭分局,
C029,工廠,桃園市龍潭區九龍里中興路九龍段129巷91號,"24.878465 ","121.245551 ",B01,63.0,龍潭分局,
C030,龍潭新都匯大樓,桃園市龍潭區黃唐里武中路20號,"24.875587 ","121.228082 ",B01,776.0,龍潭分局,
C031,君品社區大樓,桃園市龍潭區九龍里五福街317號2樓,"24.864616 ","121.225435 ",B01,486.0,龍潭分局,
C032,吉賀新富林大樓,桃園市龍潭區九龍里雙連街280號二樓,"24.857886 ","121.225708 ",B01,266.0,龍潭分局,
C033,手信霧隱城,桃園市龍潭區北興里民豐一街99號,"24.880253 ","121.242531 ",B01,2675.0,龍潭分局,
C034,月光樺樺大樓,桃園市龍潭區黃唐里龍平路820巷8-12號,"24.884854 ","121.231609 ",B01,611.0,龍潭分局,
C035,私人住宅大樓,桃園市龍潭區祥和里武中路628巷67號,"24.886292 ","121.237512 ",B01,1472.0,龍潭分局,
C036,私人住宅大樓,桃園市龍潭區黃唐里福龍路二段68巷27號,"24.890639 ","121.223631 ",B01,425.0,龍潭分局,
D001,核能研究所,(機敏單位)桃園市龍潭區佳安里文化路1000號,,,B01,2443.0,龍潭分局,
D006,私人住宅大樓,桃園市龍潭區建林里建國路75巷12弄11號,"24.857356 ","121.251636 ",B01,880.0,龍潭分局,
D007,桃園市客文館,桃園市龍潭區建林里中正路三林段500號,"24.845441 ","121.234533 ",B01,2820.0,龍潭分局,
D008,龍潭女子監獄,(機敏單位)桃園市龍潭區富林里中正路三林段617號,,,B01,4412.0,龍潭分局,
D010,三坑國小,桃園市龍潭區三坑里永昌路51巷85號,"24.844722 ","121.237144 ",B01,525.0,龍潭分局,
D011,芝麻酒店大樓,桃園市龍潭區大平里芝麻1號,"24.818241 ","121.242401 ",B01,396.0,龍潭分局,
D012,私人住宅大樓,桃園市龍潭區大平里二坪36號,"24.824073 ","121.236724 ",B01,33.0,龍潭分局,
D013,太平洋水鄉國際渡假村社區,桃園市龍潭區大平里民強街1號,"24.817711 ","121.242840 ",B01,3258.0,龍潭分局,
D014,觀景大廈社區大樓,桃園市龍潭區大平里民治18街45號,"24.819856 ","121.235649 ",B01,445.0,龍潭分局,
D015,天堂鳥森遊館大樓,桃園市龍潭區大平里民有路257號,24.8209495,121.2395936,B01,2376.0,龍潭分局,
D016,超越名門社區大樓,桃園市龍潭區建林里民族路278巷88弄3衖1號,"24.840932 ","121.233326 ",B01,1797.0,龍潭分局,
D017,透天,桃園市龍潭區建林里民族路370巷74號,"24.838505 ","121.233009 ",B01,339.0,龍潭分局,
D018,私人住宅大樓,桃園市龍潭區三林里民族路416巷16號,"24.836291 ","121.233427 ",B01,456.0,龍潭分局,
D020,石門國中,桃園市龍潭區佳安里文化路137號,"24.840714 ","121.240421 ",B01,553.0,龍潭分局,
D022,台北教會,桃園市龍潭區佳安里佳安西路4巷101號,"24.838046 ","121.237217 ",B01,807.0,龍潭分局,
D023,石門湯苑二期大樓,桃園市龍潭區大平里龍源路大平段278之1號,"24.825492 ","121.237283 ",B01,1205.0,龍潭分局,
D024,上林苑好宅大樓,桃園市龍潭區三坑里19鄰永昌路24巷1號,"24.834476 ","121.247357 ",B01,632.0,龍潭分局,
D025,圓桌教育基金會大樓,桃園市龍潭區大平里民治路300號,"24.818153 ","121.237981 ",B01,6111.0,龍潭分局,
D026,卯盛邑境大樓,桃園市龍潭區三林里1民族路372號,"24.836774 ","121.233873 ",B01,975.0,龍潭分局,
D027,雲上青大樓,桃園市龍潭區民族路434巷20號,"24.835405 ","121.232459 ",B01,2236.0,龍潭分局,
D028,勤樸雲天大樓,桃園市龍潭區三林里三角林街9號,"24.830753 ","121.233549 ",B01,573.0,龍潭分局,
D029,名人堂花園大飯店,"桃園市龍潭區富林里民生路141巷150號 ","24.845093 ","121.228083 ",B01,6114.0,龍潭分局,
D030,工廠,桃園市龍潭區三林里三角林街56號,"24.830492 ","121.232844 ",B01,212.0,龍潭分局,
