類別,電腦編號,村里別,緯經度,地下層數位址,可容納人數,轄管分局,備註
工廠,A0002,湧豐里,"24.901126,121.205205",1,1346.0,平鎮分局," "
工廠,A0003,湧豐里,"24.901580,121.204442",1,478.0,平鎮分局," "
工廠,A0004,湧豐里,"24.902369,121.204513",1,180.0,平鎮分局," "
工廠,A0005,湧豐里,"24.902739,121.204089",1,2000.0,平鎮分局," "
工廠,A0011,湧豐里,"24.904820,121.204197",1,88.0,平鎮分局,
工廠,A0012,湧豐里,"24.904734,121.203845",1,64.0,平鎮分局,
工廠,A0013,湧豐里,"24.905623,121.203777",1,1362.0,平鎮分局,
工廠,A0014,湧豐里,"24.905912,121.203858",1,154.0,平鎮分局,
工廠,A0015,湧豐里,"24.905779,121.203410",1,229.0,平鎮分局,
工廠,A0016,湧豐里,"24.905783,121.203006",1,3464.0,平鎮分局,
工廠,A0017,湧豐里,"24.905360,121.202308",1,1778.0,平鎮分局,
工廠,A0022,湧豐里,"24.901494,121.200012",1,2521.0,平鎮分局,
工廠,A0023,湧豐里,"24.902276,121.200574",1,252.0,平鎮分局,
工廠,A0026,湧豐里,"24.904990,121.199430",1,109.0,平鎮分局,
工廠,A0028,湧豐里,"24.900231,121.197757",1,244.0,平鎮分局,
工廠,A0030,湧豐里,"24.900694,121.198167",1,1976.0,平鎮分局,
工廠,A0031,湧豐里,"24.901452,121.198042",1,1578.0,平鎮分局,
工廠,A0032,湧豐里,"24.902294,121.198164",1,3864.0,平鎮分局,
工廠,A0033,湧豐里,"24.902405,121.197701",1,2869.0,平鎮分局,
工廠,A0034,湧豐里,"24.903574,121.198044",1,2597.0,平鎮分局,
工廠,A0035,湧豐里,"24.904888,121.197944",2,4493.0,平鎮分局,
工廠,A0037,湧豐里,"24.903207,121.197556",1,354.0,平鎮分局,
工廠,A0038,湧豐里,"24.904359,121.197390",1,129.0,平鎮分局,
工廠,A0039,湧豐里,"24.905190,121.197199",1,344.0,平鎮分局,
工廠,A0040,湧安里,"24.898377,121.199208",1,109.0,平鎮分局,
工廠,A0042,湧安里,"24.897894,121.199273",1,244.0,平鎮分局,
工廠,A0045,湧安里,"24.898562,121.204913",1,288.0,平鎮分局,
工廠,A0046,湧安里,"24.898562,121.204913",1,206.0,平鎮分局,
工廠,A0049,湧光里,"24.898562,121.204913",1,108.0,平鎮分局,
工廠,A0050,湧光里,"24.897583,121.200854",1,66.0,平鎮分局,
