電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註
WZA01240,仁德里,臺北市萬華區廣州街21號,"25.036529,121.501897",1,86.0,萬華分局,
WZA01241,仁德里,臺北市萬華區廣州街23號,"25.036252,121.506107",1,86.0,萬華分局,
WZA01242,仁德里,臺北市萬華區廣州街59號,"25.036259,121.506079",1,260.0,萬華分局,
WZA00988,仁德里,臺北市萬華區貴陽街二段42號,"25.039514,121.505152",1,116.0,萬華分局,
WZA00773,仁德里,臺北市萬華區桂林路39號,"25.038777,121.50408",1,370.0,萬華分局,
WZA00801,仁德里,臺北市萬華區桂林路52號,"25.038008,121.504504",1,424.0,萬華分局,
WZA01422,仁德里,臺北市萬華區中華路一段196號,"25.039268,121.502022",1,238.0,萬華分局,
WZA01423,仁德里,臺北市萬華區中華路一段196-1號,"25.038644,121.506849",1,277.0,萬華分局,
WZA00168,仁德里,臺北市萬華區永福街40號,"25.038609,121.50684",1,1325.0,萬華分局,
WZA01429,仁德里,臺北市萬華區中華路一段202號,"25.038298,121.504728",1,684.0,萬華分局,
WZA00163,仁德里,臺北市萬華區永福街11號,"25.038066,121.506692",1,580.0,萬華分局,
WZA00166,仁德里,臺北市萬華區永福街29號,"25.038892,121.50214",1,37.0,萬華分局,
WZA00167,仁德里,臺北市萬華區永福街33號,"25.038345,121.505067",1,209.0,萬華分局,
WZA00169,仁德里,臺北市萬華區永福街5號,"25.038364,121.504982",1,194.0,萬華分局,
WZA01361,仁德里,臺北市萬華區西寧南路188號,"25.03816,121.506057",1,305.0,萬華分局,
WZA01365,仁德里,臺北市萬華區西寧南路192號,"25.039287,121.506144",1,154.0,萬華分局,
WZA01468,仁德里,臺北市萬華區西寧南路295號,"25.039203,121.506154",1,41.0,萬華分局,
WZA00558,仁德里,臺北市萬華區昆明街179號,"25.038647,121.506392",1,117.0,萬華分局,
WZA00555,仁德里,臺北市萬華區昆明街245號,"25.039539,121.504223",1,262.0,萬華分局,
WZA00565,仁德里,臺北市萬華區昆明街201巷12-2號,"25.038944,121.504562",1,177.0,萬華分局,
WZA00567,仁德里,臺北市萬華區昆明街201巷1弄18號,"25.038882,121.505022",1,122.0,萬華分局,
WZA00568,仁德里,臺北市萬華區昆明街201巷1弄22號,"25.039124,121.504732",1,70.0,萬華分局,
WZA00586,仁德里,臺北市萬華區昆明街201巷20弄2號,"25.039202,121.50483",1,100.0,萬華分局,
WZA00587,仁德里,臺北市萬華區昆明街221巷1號,"25.038817,121.505097",1,80.0,萬華分局,
WZA00752,仁德里,臺北市萬華區南寧路6號,"25.037358,121.504424",1,201.0,萬華分局,
WZA00749,仁德里,臺北市萬華區南寧路9號,"25.036832,121.506189",1,189.0,萬華分局,
WZA00757,仁德里,臺北市萬華區南寧路17巷1號,"25.03713,121.505927",1,38.0,萬華分局,
WZA00754,仁德里,臺北市萬華區柳州街1號,"25.037077,121.50564",1,254.0,萬華分局,
WZA00759,仁德里,臺北市萬華區柳州街14號,"25.039251,121.505534",1,170.0,萬華分局,
WZA02399,仁德里,臺北市萬華區柳州街31號,"25.039107,121.505348",1,368.0,萬華分局,
WZA00760,仁德里,臺北市萬華區柳州街38號,"25.038637,121.505418",1,252.0,萬華分局,
WZA00763,仁德里,臺北市萬華區柳州街65號,"25.038422,121.505208",1,162.0,萬華分局,
WZA00766,仁德里,臺北市萬華區柳州街66號,"25.038049,121.505125",1,61.0,萬華分局,
WZA00770,仁德里,臺北市萬華區柳州街68號,"25.037523,121.505022",1,85.0,萬華分局,
WZA00771,仁德里,臺北市萬華區柳州街69號,"25.037503,121.505019",1,178.0,萬華分局,
WZA00767,仁德里,臺北市萬華區柳州街7號,"25.037393,121.505177",1,260.0,萬華分局,
WZA00768,仁德里,臺北市萬華區柳州街81號,"25.039346,121.505394",1,257.0,萬華分局,
WZA00770,仁德里,臺北市萬華區柳州街42巷1號,"25.036874,121.504904",1,80.0,萬華分局,
WZA00776,仁德里,臺北市萬華區柳州街74號,"25.038627,121.505033",1,544.0,萬華分局,
WZA00804,仁德里,臺北市萬華區柳州街86巷4號,"25.037058,121.504279",1,258.0,萬華分局,
WZA00805,仁德里,臺北市萬華區桂林路24號,"25.036946,121.504681",1,105.0,萬華分局,
WZA00806,仁德里,臺北市萬華區桂林路30-1號,"25.0376,121.5055",1,429.0,萬華分局,
WZA00772,仁德里,臺北市萬華區桂林路31號,"25.037706,121.504943",1,309.0,萬華分局,
WZA00773,仁德里,臺北市萬華區桂林路39號,"25.037989,121.504615",1,196.0,萬華分局,
WZA00801,仁德里,臺北市萬華區桂林路52號,"25.038008,121.504504",1,652.0,萬華分局,
WZA00802,仁德里,臺北市萬華區桂林路52號,"25.037804,121.504416",1,1156.0,萬華分局,
WZA00820,仁德里,臺北市萬華區桂林路71號,"25.038063,121.502762",1,253.0,萬華分局,
WZA02347,仁德里,臺北市萬華區桂林路4巷6弄11號,"25.038421,121.502287",1,284.0,萬華分局,
WZA00979,仁德里,臺北市萬華區康定路103號,"25.037251,121.505484",1,849.0,萬華分局,
WZA00990,仁德里,臺北市萬華區康定路151號,"25.041084,121.502069",1,88.0,萬華分局,
WZA01472,仁德里,臺北市萬華區中華路一段200號,"25.038971,121.506654",1,37.0,萬華分局,
WZA01480,仁德里,臺北市萬華區中華路一段216號,"25.038107,121.506703",1,304.0,萬華分局,
WZA01474,仁德里,臺北市萬華區中華路一段204號,"25.037336,121.506299",1,224.0,萬華分局,
WZA02349,仁德里,臺北市萬華區中華路一段180號,"25.037966,121.506666",1,253.0,萬華分局,
WZA02350,仁德里,臺北市萬華區中華路一段182號,"25.039031,121.506963",1,242.0,萬華分局,
WZA02445,仁德里,臺北市萬華區昆明街235號,"25.038416,121.504015",1,685.0,萬華分局,
WZA02446,仁德里,臺北市萬華區永福街53號,"25.038588,121.504448",1、2、3,1319.0,萬華分局,
WZA02447,仁德里,臺北市萬華區桂林路6號,"25.03755,121.505861",1、2、3、4,1874.0,萬華分局,
WZA02448,仁德里,臺北市萬華區中華路一段186號,"25.038971,121.506654",1,1793.0,萬華分局,
