電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註,placemark_address
,民權里,臺北市大同區民權西路72號,"25.062602,121.519474",1、2、3,30228.0,大同分局,,臺北市大同區民權西路72號
,雙連里,臺北市大同區民生西路47號,"25.05777,121.520568",1、2,21544.0,大同分局,,臺北市大同區民生西路47號
,玉泉里,臺北市大同區塔城街10號,"25.049109,121.509922",1、2、3,29858.0,大同分局,,臺北市大同區塔城街10號
,隆和里,臺北市大同區民權西路223號,"25.063196,121.513129",1、2,11421.0,大同分局,,臺北市大同區民權西路223號
,民安里,臺北市中山區南京西路16號,"25.0527,121.52038",1、2、3、4,37952.0,中山分局,,臺北市中山區南京西路16號
,中吉里,臺北市中山區松江路126號,"25.052709,121.532765",1、2、3、4,35690.0,中山分局,,臺北市中山區松江路126號
,新生里,臺北市中山區松江路316號,"25.060482,121.532841",1、2、3,19086.0,中山分局,,臺北市中山區松江路316號
,恆安里,臺北市中山區民權東路一段71號,"25.062819,121.526855",1、2,9037.0,中山分局,,臺北市中山區民權東路一段71號
,永安里,臺北市中山區北安路534之1號,"25.079446,121.547078",1、2,10153.0,中山分局,,臺北市中山區北安路534之1號
