"建築物名稱the names of the buildings","電腦編號 serial number",村里別village,"地址 address","緯經度 latitude and longitude","地下樓層數number of basement levels",可容納人數capacity,轄管分局jurisdiction,"備駐 notes"
恆春鎮衛生所,QNA00083,城南里,屏東縣恆春鎮城南里14鄰文化路78號,"22.003142709309966, 120.74689167829773",1,198.0,恆春分局,
恆春國中/體育館,QNA00001,城南里,屏東縣恆春鎮城南里14鄰文化路79號,"22.001956942871217, 120.74808554988188",1,802.0,恆春分局,共有3處、總計可容納人數1099人
恆春國中/含真樓,QNA00003,城南里,屏東縣恆春鎮城南里14鄰文化路79號,"22.00226933453693, 120.74712016101998",1,150.0,恆春分局,共有3處、總計可容納人數1099人
恆春鎮公所,QNA00004,城南里,屏東縣恆春鎮城南里02鄰天文路1號,"22.003738197516125, 120.74725472393712",1,626.0,恆春分局,
恆春鎮立圖書館,QNA00005,城南里,屏東縣恆春鎮城南里02鄰天文路3號,"22.003817776222892, 120.74698449139647",1,268.0,恆春分局,
恆春氣象站,QNF00002,城南里,屏東縣恆春鎮城南里02鄰天文路50號,"22.00380080411696, 120.74607857358352",1,125.0,恆春分局,
第一銀行/恆春分行,QNA00007,城南里,屏東縣恆春鎮城南里01鄰中正路17號,"22.002089288098595, 120.74528576732183",1,222.0,恆春分局,
名人飯店,QNA00008,城南里,屏東縣恆春鎮城南里13鄰新興路68號,"22.004693784924765, 120.74478969424125",1,238.0,恆春分局,
隆德旅客之家,QNA00009,城北里,屏東縣恆春鎮城北里10鄰中正路143號,"22.0046579660286, 120.74394744185149",1,41.0,恆春分局,
縣城旅遊之家,QNA00011,城北里,屏東縣恆春鎮城北里06鄰中正路152號,"22.004803020827264, 120.74416311777367",1,182.0,恆春分局,
僑勇國小,QNA00010,城北里,屏東縣恆春鎮城北里16鄰西門路146號,"22.008782611014972, 120.74382237451502",1,500.0,恆春分局,
恆春國小,QNA00012,城北里,屏東縣恆春鎮城北里04鄰北門路39巷26號,"22.00584853035364, 120.74650581500113",1,458.0,恆春分局,
鎮公所停車場,QNA00080,城北里,屏東縣恆春鎮城北里04鄰北門路39巷28號,"22.00564958795618, 120.74605212966873",1,1209.0,恆春分局,
恆春鎮公所公有市場,QNA00013,城北里,屏東縣恆春鎮城北里05鄰新興路36巷35號,"22.00468404282902, 120.74613971142985",1,66.0,恆春分局,
屏東監理站/恆春分站,QNA00084,城西里,屏東縣恆春鎮城西里13鄰草埔路11號,"22.008323275972216, 120.7395948071925",1,481.0,恆春分局,
恆春鎮老人活動中心,QNA00043,山腳里,屏東縣恆春鎮山腳里01鄰恆南路1巷60號,"21.99773840659466, 120.74316053040674",1,66.0,恆春分局,
凱撒飯店/員工宿舍大樓,QNA00074,山腳里,屏東縣恆春鎮山腳里23鄰恆南路4巷3-1號,"21.99937891302961, 120.74690284721012",1,250.0,恆春分局,
恆春農會大樓,QNA00062,山腳里,屏東縣恆春鎮山腳里01鄰恆南路11巷2弄2號,"22.000866986690767, 120.74382276770687",1,1259.0,恆春分局,
恆春工商/學生實習旅館,QNA00017,山腳里,屏東縣恆春鎮山腳里27鄰恆南路38號,"21.991951736957073, 120.74722861333896",1,364.0,恆春分局,共有3處、總計可容納人數1427人
恆春工商/明德樓,QNA00019,山腳里,屏東縣恆春鎮山腳里27鄰恆南路38號,"21.99297646075326, 120.74750259982699",1,253.0,恆春分局,共有3處、總計可容納人數1427人
恆春工商/忠誠樓,QNA00040,山腳里,屏東縣恆春鎮山腳里27鄰恆南路38號,"21.993185382598625, 120.74771272828467",1,810.0,恆春分局,共有3處、總計可容納人數1427人
富麗敦飯店,QNA00014,山腳里,屏東縣恆春鎮山腳里34鄰恆南路117巷18號,"21.996493414759705, 120.74442678235832",1,781.0,恆春分局,
河堤時尚旅店,QNA00015,山腳里,屏東縣恆春鎮山腳里34鄰恆南路123號,"21.997209342956808, 120.74485647348358",1,254.0,恆春分局,
墾丁小築大樓,QNA00073,山腳里,屏東縣恆春鎮山腳里34鄰恆南路125巷32號,"21.9967834819118, 120.74352120952206",1,350.0,恆春分局,
