電腦編號,鄉鎮市區,村里別,地址,經緯度,地下樓層數,可容納人數,轄管分局
27,鼓山區,明誠里,高雄市鼓山區明誠里昌盛路332號,"22.664054,120.297882",1,538.0,鼓山分局
28,鼓山區,明誠里,高雄市鼓山區明誠里明華路335號,"22.663295,120.301755",1,1670.0,鼓山分局
29,鼓山區,明誠里,高雄市鼓山區明誠里明華路305號,"22.663325,120.300514",2,1822.0,鼓山分局
30,鼓山區,明誠里,高雄市鼓山區明誠里裕誠路1602號,"22.662853,120.294041",2,2462.0,鼓山分局
31,鼓山區,明誠里,高雄市鼓山區明誠里裕誠路1599號,"22.662313,120.294396",1,2237.0,鼓山分局
32,鼓山區,明誠里,高雄市鼓山區明誠里裕誠路1509號,"22.665123,120.295858",2,4406.0,鼓山分局
33,鼓山區,明誠里,高雄市鼓山區明誠里明華路229號,"22.66343,120.297515",1,2294.0,鼓山分局
34,鼓山區,明誠里,高雄市鼓山區明誠里文忠路163號,"22.66504,120.296385",1,622.0,鼓山分局
35,鼓山區,明誠里,高雄市鼓山區明誠里南屏路532號,"22.665417,120.299923",1.2,1973.0,鼓山分局
36,鼓山區,明誠里,高雄市鼓山區明誠里明華路323號,"22.663302,120.301462",1,2111.0,鼓山分局
37,鼓山區,明誠里,高雄市鼓山區明誠里裕誠路1155號,"22.665668,120.297268",1,435.0,鼓山分局
38,鼓山區,明誠里,高雄市鼓山區明誠里昌盛路6號,"22.663955,120.302088",1,2839.0,鼓山分局
39,鼓山區,明誠里,高雄市鼓山區明誠里文信路209號,"22.664318,120.301772",1,527.0,鼓山分局
40,鼓山區,明誠里,高雄市鼓山區明誠里文信路189號,"22.6644,120.302617",1,730.0,鼓山分局
41,鼓山區,明誠里,高雄市鼓山區明誠里裕誠路1639號,"22.661601,120.294375",1,150.0,鼓山分局
42,鼓山區,明誠里,高雄市鼓山區明誠里文信路222號,"22.664726,120.300841",1,793.0,鼓山分局
43,鼓山區,明誠里,高雄市鼓山區明誠里明華路303號,"22.663333,120.300349",3,767.0,鼓山分局
44,鼓山區,明誠里,高雄市鼓山區明誠里裕誠路1166號,"22.666022,120.297766",2,5224.0,鼓山分局
45,鼓山區,明誠里,高雄市鼓山區明誠里裕誠路1503之10號,"22.665617,120.296077",1,2148.0,鼓山分局
46,鼓山區,明誠里,高雄市鼓山區明誠里明華路271號,"22.663315,120.29947",1,458.0,鼓山分局
47,鼓山區,明誠里,高雄市鼓山區明誠里文忠路76之5號,"22.665323,120.298767",2,956.0,鼓山分局
48,鼓山區,明誠里,高雄市鼓山區明誠里文信路331號,"22.664406,120.297796",3,924.0,鼓山分局
49,鼓山區,明誠里,高雄市鼓山區明誠里文信路262號,"22.664743,120.298579",2,2520.0,鼓山分局
50,鼓山區,明誠里,高雄市鼓山區明誠里昌盛路391號,"22.663723,120.296576",2,3339.0,鼓山分局
51,鼓山區,明誠里,高雄市鼓山區明誠里南屏路501號,"22.665429,120.30031",1,1626.0,鼓山分局
52,鼓山區,明誠里,高雄市鼓山區明誠里昌盛路22號,"22.663954,120.301637",1,1664.0,鼓山分局
53,鼓山區,明誠里,高雄市鼓山區明誠里南屏路538號,"22.664774,120.299981",4,844.0,鼓山分局
54,鼓山區,明誠里,高雄市鼓山區明誠里文信路216號,"22.664861,120.301214",1,2206.0,鼓山分局
55,鼓山區,明誠里,高雄市鼓山區明誠里裕誠路1141號,"22.665693,120.297756",1,887.0,鼓山分局
56,鼓山區,明誠里,高雄市鼓山區明誠里文忠路121號,"22.665066,120.298862",2,628.0,鼓山分局
57,鼓山區,明誠里,高雄市鼓山區明誠里裕誠路1930號,"22.659358,120.293931",2,1686.0,鼓山分局
58,鼓山區,明誠里,高雄市鼓山區明誠里篤敬路65號,"22.665379,120.302364",3,1235.0,鼓山分局
59,鼓山區,明誠里,高雄市鼓山區明誠里裕誠路1912號,"22.659749,120.293982",2,1600.0,鼓山分局
60,鼓山區,明誠里,高雄市鼓山區明誠里文信路257號,"22.664407,120.30049",2,3474.0,鼓山分局
61,鼓山區,明誠里,高雄市鼓山區明誠里裕誠路1101號,"22.665661,120.29866",1,1435.0,鼓山分局
62,鼓山區,明誠里,高雄市鼓山區明誠里裕誠路2126號,"22.655322,120.293615",1,1797.0,鼓山分局
63,鼓山區,明誠里,高雄市鼓山區明誠里南屏路509號,"22.665057,120.30031",3,2093.0,鼓山分局
