電腦編號,鄉鎮市區,村里別,地址,經緯度,地下樓層數,可容納人數,轄管分局
418,鼓山區,新民里,高雄市鼓山區臨海二路50號,"22.623701485549148, 120.2714513545427",1,1377.0,鼓山分局
419,鼓山區,山下里,高雄市鼓山區鼓山一路161巷64弄1號,"22.63073751823457, 120.27935011681949",1.2,3065.0,鼓山分局
420,鼓山區,南汕里,高雄市旗津區北汕巷50-72號,"22.59272983941513, 120.28587488713822",1,1925.0,鼓山分局
421,鼓山區,南汕里,高雄市旗津區旗港路33號,"22.59018220903426, 120.28506374492035",1,1290.0,鼓山分局
422,鼓山區,上竹里,高雄市旗津區中洲二路203號,"22.58764157889897, 120.28840895966441",1,840.0,鼓山分局
423,鼓山區,上竹里,高雄市旗津區旗津二路435號,"22.577149166267496, 120.29505626758",1,1874.0,鼓山分局
424,鼓山區,中興里,高雄市旗津區中港街10號,"22.574158099678453, 120.29704882966347",1,1248.0,鼓山分局
425,鼓山區,南汕里,高雄市旗津區旗津二路455號,"22.58625551632053, 120.28754426062687",1,570.0,鼓山分局
426,鼓山區,南汕里,高雄市旗津區旗津二路455號,"22.586105048802533, 120.28722154390995",1,929.0,鼓山分局
427,鼓山區,中興里,高雄市旗津區旗津一路40號,"22.56289751799445, 120.30674300542996",1,475.0,鼓山分局
428,鼓山區,中興里,高雄市旗津區旗津一路50號,"22.56623896953666, 120.30355001355595",1,730.0,鼓山分局
429,鼓山區,中興里,高雄市旗津區旗津一路66號,"22.56897990628032, 120.30115260399339",1,691.0,鼓山分局
430,鼓山區,中華里,高雄市旗津區旗津三路896號,"22.60533459999849, 120.27260199608293",1,957.0,鼓山分局
431,鼓山區,復興里,旗津區旗津三路900巷25號,"22.60556644629615, 120.27299789854032",1,764.0,鼓山分局
432,鼓山區,慈愛里,高雄市旗津區中洲三路623號,"22.608511434430532, 120.27192688917417",1,724.0,鼓山分局
433,鼓山區,慈愛里,高雄市旗津區中洲三路623號,"22.608040680145617, 120.27199548022386",1,552.0,鼓山分局
434,鼓山區,慈愛里,高雄市旗津區中洲三路623號,"22.60826572555862, 120.2711601626709",1,877.0,鼓山分局
435,鼓山區,南汕里,高雄市旗津區中洲二路207號,"22.58944419034525, 120.28662645463709",1,1743.0,鼓山分局
436,鼓山區,南汕里,高雄市旗津區中洲二路207號,"22.58944419034525, 120.28590800297293",1,1291.0,鼓山分局
437,鼓山區,龍子里,高雄市鼓山區大順一路115號,"22.656506040041137, 120.30644765319789",3.4.5.6,39992.0,鼓山分局
438,高雄市,鼓山區,高雄市鼓山區青海路338號,"22.6514666793499, 120.2856920097366",1、2、3、4、5,3859.0,鼓山分局
439,高雄市,鼓山區,高雄市鼓山區美術東六街173號,"22.66029387871734, 120.29137256740816",1、2、3、4、5,8255.0,鼓山分局
440,高雄市,鼓山區,高雄市鼓山區明誠四路158號,"22.661620879342603, 120.28916679624396",1.2.3.4.5.6,5706.0,鼓山分局
441,高雄市,鼓山區,高雄市鼓山區馬卡道路79號,"22.649451479351264, 120.2819889385722",1.2.3.4.5,19386.0,鼓山分局
442,高雄市,鼓山區,高雄市鼓山區美術東四路690號,"22.6646592784088, 120.29062976740826",1,1939.0,鼓山分局
CA001,左營區,尾北里,高雄市左營區環潭路450號,"22.687287,120.300668",1,891.0,左營分局
CA002,左營區,尾北里,高雄市左營區洲仔北街77號二樓,"22.687176,120.300856",1、2,1680.0,左營分局
CA003,左營區,尾北里,高雄市左營區大中二路750號,"22.686264,120.304629",1,822.0,左營分局
CA004,左營區,尾北里,高雄市左營區大中二路757號,"22.685856,120.303828",2,1622.0,左營分局
CA005,左營區,尾北里,高雄市左營區大中二路816號,"22.68644,120.303577",1、2、3,1922.0,左營分局
CA006,左營區,尾西里,高雄市左營區實踐路45號,"22.690134,120.293317",2,805.0,左營分局
CA007,左營區,進學里,高雄市左營區左營大路479號,"22.689882,120.295109",1、2,3801.0,左營分局
CA008,左營區,尾北里,高雄市左營區尾北里18鄰環潭路426巷60號,"22.686005,120.301339",1、2、3,1581.0,左營分局
CH001,左營區,明建里,高雄市左營區海明街71號,"22.68891,120.28744",2,2583.0,左營分局
CH002,左營區,合群里,高雄市左營區海景街321號,"22.696469,120.287462",1,2264.0,左營分局
CH003,左營區,合群里,高雄市左營區海景街395號,"22.697075,120.28746",1,2447.0,左營分局
CH004,左營區,明建里,高雄市左營區海平路101號,"22.68785268,120.290770467348",1,763.0,左營分局
CH005,左營區,光煇里,高雄市左營區光輝里後昌路637號,"22.708029,120.298563",1,324.0,左營分局
CH006,左營區,合群里,高雄市左營區合群里2鄰海景街507號,"22.698881,120.287462",1,2394.0,左營分局
CH007,左營區,合群里,高雄市左營區緯六路183號,"22.697209,120.2883",1,2328.0,左營分局
CH008,左營區,合群里,高雄市左營區合群里2鄰海景街310號,"22.696472,120.287763",1,1755.0,左營分局
CH009,左營區,合群里,高雄市左營區緯九路213號,"22.695388,120.287239",1,2474.0,左營分局
CH010,左營區,合群里,高雄市左營區緯六路250號,"22.697592,120.2874",1,4630.0,左營分局
CH011,左營區,明建里,高雄市左營區明建里23鄰海富路59號,"22.689678379154916, 120.28917316889344",1、2、3,4716.0,左營分局
CH012,左營區,合群里,高雄市左營區海景街509巷42號,"22.698890778645612, 120.28765056889347",1,4865.0,左營分局
CB001,左營區,埤西里,高雄市左營區左營大路22號,"22.680783,120.28789",1,447.0,左營分局
CB002,左營區,埤西里,高雄市左營區左營大路103號,"22.683109,120.288534",1,286.0,左營分局
CB003,左營區,埤東里,高雄市左營區翠華路889號,"22.675554,120.294085",1,2263.0,左營分局
CB004,左營區,聖西里,高雄市左營區左營下路1號,"22.683274,120.291169",2,1017.0,左營分局
CB005,左營區,聖西里,高雄市左營區蓮潭路47號,"22.68319668,120.292992967348",1,936.0,左營分局
CD001,左營區,海勝里,高雄市左營區翠峰路66號,"22.672927,120.288212",1,8088.0,左營分局
CD002,左營區,海勝里,高雄市左營區翠華路601巷3號,"22.672149,120.290625",1、2,6446.0,左營分局
CD003,左營區,海勝里,高雄市左營區翠華路601巷36號,"22.672972,120.290888",2,5105.0,左營分局
CD004,左營區,海勝里,高雄市左營區翠華路601巷109號,"22.673228,120.289417",1、2,11933.0,左營分局
CD005,左營區,海勝里,高雄市左營區翠華路601巷70號,"22.673604,120.290552",2,7930.0,左營分局
CD006,左營區,果貿里,高雄市左營區翠峰路55號,"22.672038,120.288447",1,7091.0,左營分局
CD007,左營區,自助里,高雄市左營區左營大路1號,"22.67517,120.285633",1、2,1663.0,左營分局
CD008,左營區,崇實里,高雄市左營區介壽路217號,"22.681141,120.281907",1,1637.0,左營分局
CD009,左營區,崇實里,高雄市左營區介壽路245號,"22.681138,120.281129",1,4758.0,左營分局
CD010,左營區,崇實里,高雄市左營區介壽路261號,"22.681148,120.28042",1,5647.0,左營分局
CD011,左營區,崇實里,高雄市左營區自勉路128號,"22.680236,120.280702",2,4158.0,左營分局
CD012,左營區,崇實里,高雄市左營區崇實里30鄰先鋒路351號,"22.679677,120.282538",1,6877.0,左營分局
CD013,左營區,自助里,高雄市左營區先鋒路36號,"22.67223745140897, 120.28298645820401",1,10246.0,左營分局
CD014,左營區,自助里,"高雄市左營區鼓山三路383 號","22.671500970835645, 120.28535601100317",1,2542.0,左營分局
CD015,左營區,自助里,高雄市左營區自助里19鄰先鋒路112號,"22.677635082639707, 120.28269789772848",1、2,11418.0,左營分局
CD016,左營區,自助里,高雄市左營區自助里19鄰勵志中街20號,"22.672580785136148, 120.28465896889328",2,15052.0,左營分局
CE001,左營區,新下里,高雄市左營區華欣路102號,"22.669978,120.295664",2,916.0,左營分局
CE002,左營區,新上里,高雄市左營區立文路60號,"22.664584,120.305683",1、2、3,533.0,左營分局
CE003,左營區,新中里,高雄市左營區文德路24號,"22.669369,120.311312",1,482.0,左營分局
CE004,左營區,新中里,高雄市左營區文德路39號,"22.669865,120.311222",1,752.0,左營分局
CE005,左營區,新中里,高雄市左營區重清路168號,"22.668904,120.312449",1,714.0,左營分局
CE006,左營區,新中里,高雄市左營區重清路143號,"22.669519,120.31264",1,971.0,左營分局
CE007,左營區,新中里,高雄市左營區文德路193號,"22.670497,120.311493",1,23.0,左營分局
CE008,左營區,新中里,高雄市左營區重清路49號,"22.66908,120.311398",1,449.0,左營分局
CE009,左營區,新中里,高雄市左營區重偉街97號,"22.66972,120.31084",1、2,1962.0,左營分局
CE010,左營區,新下里,高雄市左營區明倫路81號,"22.667171,120.297847",1,2178.0,左營分局
CE011,左營區,新上里,高雄市左營區立文路100號,"22.664652,120.304272",1、2,817.0,左營分局
CE012,左營區,新下里,高雄市左營區文智路122號,"22.676625,120.298272",1,2925.0,左營分局
CE013,左營區,新上里,高雄市左營區裕誠路280號,"22.665023,120.308985",1,265.0,左營分局
CE014,左營區,新上里,高雄市左營區自由二路96號,"22.659768,120.309046",2,76.0,左營分局
CE015,左營區,新上里,高雄市左營區自由二路98號,"22.659831,120.309045",2、3,149.0,左營分局
CE016,左營區,新上里,高雄市左營區至聖路120號,"22.659706,120.309271",1,172.0,左營分局
CE017,左營區,新上里,高雄市左營區至聖路122號,"22.659714,120.309213",1,88.0,左營分局
CE018,左營區,新上里,高雄市左營區至聖路124號,"22.659704,120.309173",1、2,88.0,左營分局
CE019,左營區,新上里,高雄市左營區保靖街11號,"22.663571,120.30717",1,409.0,左營分局
CE020,左營區,新上里,高雄市左營區富民路397號,"22.666388,120.305201",2,682.0,左營分局
CE021,左營區,新上里,高雄市左營區明華一路350號,"22.663125,120.304222",1,263.0,左營分局
CE022,左營區,新上里,高雄市左營區至聖路46號,"22.6597,120.31031",3,171.0,左營分局
CE023,左營區,新上里,高雄市左營區至聖路36號,"22.659693,120.310553",1,406.0,左營分局
CE024,左營區,新上里,高雄市左營區博愛二路100號,"22.658131,120.303372",1,1019.0,左營分局
CE025,左營區,新上里,高雄市左營區明誠二路226號,"22.661213,120.309155",1,1201.0,左營分局
CE026,左營區,新上里,高雄市左營區光興街177巷46號,"22.663035,120.310682",1,1586.0,左營分局
CE027,左營區,新上里,高雄市左營區辛亥路294巷1號,"22.666492,120.310559",1,846.0,左營分局
CE028,左營區,新上里,高雄市左營區明誠二路439號,"22.660948,120.306236",2,1432.0,左營分局
CE029,左營區,新上里,高雄市左營區富國路150號,"22.660281,120.306704",1、2,169.0,左營分局
CE030,左營區,新上里,高雄市左營區大順一路328號,"22.657008,120.305655",1,1203.0,左營分局
CE031,左營區,新上里,高雄市左營區辛亥路300號,"22.66662,120.310535",1,114.0,左營分局
CE032,左營區,新上里,高雄市左營區安吉街405號,"22.664877,120.306447",1、2、3,2131.0,左營分局
CE033,左營區,新上里,高雄市左營區自由二路6巷19號,"22.659102,120.309538",1,439.0,左營分局
CE034,左營區,新上里,高雄市左營區德威街65號,"22.66222,120.305927",1、2、3、4,858.0,左營分局
CE035,左營區,新上里,高雄市左營區德威街179號,"22.662212,120.304132",1,571.0,左營分局
CE036,左營區,新上里,高雄市左營區富民路387巷24號,"22.66626,120.304576",1,511.0,左營分局
CE037,左營區,新上里,高雄市左營區新庄仔路740號,"22.668371,120.310267",1,168.0,左營分局
CE038,左營區,新上里,高雄市左營區忠言路189號,"22.658169,120.304636",1,1587.0,左營分局
CE039,左營區,新上里,高雄市左營區明誠二路354號,"22.661251,120.307402",1,2693.0,左營分局
CE040,左營區,新上里,高雄市左營區富民路18號,"22.657205,120.305318",1,871.0,左營分局
CE041,左營區,新上里,高雄市左營區自由二路325號,"22.663606,120.308075",1,524.0,左營分局
CE042,左營區,新上里,高雄市左營區富國路185號,"22.663577,120.30649",2,696.0,左營分局
CE043,左營區,新上里,高雄市左營區至聖路243號,"22.659483,120.305564",1,1129.0,左營分局
CE044,左營區,新上里,高雄市左營區裕誠路394號,"22.665707,120.306312",1,1529.0,左營分局
CE045,左營區,新上里,高雄市左營區富民路120號,"22.660691,120.305364",1,637.0,左營分局
CE046,左營區,新上里,高雄市左營區自由二路6巷57號,"22.659098,120.310709",1,931.0,左營分局
CE047,左營區,新上里,高雄市左營區富國路51號,"22.657996,120.306498",1,303.0,左營分局
CE048,左營區,新下里,高雄市左營區立信路194號,"22.66681,120.304531",1,462.0,左營分局
CE049,左營區,新上里,高雄市左營區裕誠路472巷32號,"22.666474,120.304231",1,410.0,左營分局
CE050,左營區,新上里,高雄市左營區新庄仔路810號,"22.668499,120.312833",1,1137.0,左營分局
CE051,左營區,新上里,高雄市左營區新庄仔路788巷17號,"22.667719,120.312293",1,182.0,左營分局
CE052,左營區,新上里,高雄市左營區自由二路411號,"22.665614,120.308505",1,522.0,左營分局
CE053,左營區,新上里,高雄市左營區明誠二路218號二樓,"22.661249,120.309287",1,1385.0,左營分局
CE054,左營區,新上里,高雄市左營區自由二路202號,"22.663567,120.308453",1,314.0,左營分局
CE055,左營區,新上里,高雄市左營區安吉街152號,"22.661639,120.307447",1,411.0,左營分局
CE056,左營區,新上里,高雄市左營區明華一路166號,"22.663028,120.306899",1,765.0,左營分局
CE057,左營區,新上里,高雄市左營區維新街24號二樓,"22.660302,120.307247",1,812.0,左營分局
CE058,左營區,新上里,高雄市左營區新上里12鄰群英街40號,"22.666692,120.306584",1,222.0,左營分局
CE059,左營區,新上里,高雄市左營區裕誠路190號,"22.664515,120.310683",1,2429.0,左營分局
CE060,左營區,新上里,高雄市左營區保靖街75號,"22.663661,120.304959",1,216.0,左營分局
CE061,左營區,新上里,高雄市左營區新上里富民路13巷38號,"22.657155,120.304216",2,438.0,左營分局
CE062,左營區,新上里,高雄市左營區修明街17號,"22.656963,120.303819",1,246.0,左營分局
CE063,左營區,新上里,高雄市左營區新上里裕誠路429號,"22.665454,120.306207",1,97.0,左營分局
CE064,左營區,新上里,高雄市左營區修明街79號,"22.65887,120.303858",1,520.0,左營分局
CE065,左營區,新上里,高雄市左營區德威街15號二樓之2,"22.662226,120.307306",1,452.0,左營分局
CE066,左營區,新下里,高雄市左營區立信路209號,"22.666907,120.304055",1,323.0,左營分局
CE067,左營區,新上里,高雄市左營區安吉街163號二樓之2,"22.661781,120.307095",1,427.0,左營分局
CE068,左營區,新中里,高雄市左營區新上街155號,"22.66813,120.309078",1,72.0,左營分局
CE069,左營區,新上里,高雄市左營區立信路177號,"22.666577,120.304756",1,141.0,左營分局
CE070,左營區,新上里,高雄市左營區明華一路220號,"22.663184,120.305499",1,676.0,左營分局
CE071,左營區,新上里,高雄市左營區自由二路120號B1樓,"22.660571,120.30904",1、2,1843.0,左營分局
CE072,左營區,新上里,高雄市左營區光興街58巷6號二樓,"22.660081,120.310576",1,1394.0,左營分局
CE073,左營區,新上里,高雄市左營區至聖路146號,"22.659765,120.308336",1、2,365.0,左營分局
CE074,左營區,新上里,高雄市左營區太華街183號,"22.65748,120.306227",1、2,2011.0,左營分局
CE075,左營區,新上里,高雄市左營區安吉街378號,"22.664926,120.307231",1、2,257.0,左營分局
CE076,左營區,新上里,高雄市左營區至聖路39號,"22.65958579,120.31045152502",1,584.0,左營分局
CE077,左營區,新上里,高雄市左營區自由二路170號,"22.662602,120.308681",1,1237.0,左營分局
CE078,左營區,新上里,高雄市左營區明誠二路482號,"22.661287,120.305411",1,73.0,左營分局
CE079,左營區,新上里,高雄市左營區明誠二路480號,"22.661287,120.305457",1,73.0,左營分局
CE080,左營區,新上里,"高雄市左營區新吉街93號
","22.667147585138878, 120.30957679772838",1,70.0,左營分局
CE081,左營區,新上里,高雄市左營區保靖街28號,"22.663813,120.306147",1,821.0,左營分局
CE082,左營區,新上里,高雄市左營區安吉街401號,"22.664869,120.306578",1、2,374.0,左營分局
CE083,左營區,新上里,高雄市左營區裕誠路398號,"22.665759,120.305978",2,981.0,左營分局
CE084,左營區,新上里,高雄市左營區新下街94號,"22.666996,120.309943",1,264.0,左營分局
CE085,左營區,新上里,高雄市左營區富國路345號,"22.666533,120.307162",1,688.0,左營分局
CE086,左營區,新上里,高雄市左營區明誠二路491號B1樓之1,"22.660962,120.305552",2,975.0,左營分局
CE087,左營區,新上里,高雄市左營區正心街6號,"22.663412,120.304146",1,252.0,左營分局
CE088,左營區,新上里,高雄市左營區大順一路91號,"22.655998,120.311396",1,2105.0,左營分局
CE089,左營區,新上里,高雄市左營區明誠二路419號地下層之2,"22.660924,120.307045",3,1045.0,左營分局
CE090,左營區,新上里,高雄市左營區自由二路158號,"22.66234,120.30874",1,230.0,左營分局
CE091,左營區,新上里,高雄市左營區自由二路282號,"22.663955,120.308421",1,466.0,左營分局
CE092,左營區,新下里,高雄市左營區立信路221號,"22.667287,120.30407",1,244.0,左營分局
CE093,左營區,新上里,高雄市左營區博愛二路168號,"22.65943799,120.303374267347",2,610.0,左營分局
CE094,左營區,新上里,高雄市左營區正心街18號,"22.663665,120.304163",1、2,374.0,左營分局
CE095,左營區,新上里,高雄市左營區明誠二路332號一樓之1,"22.661227,120.308237",3,1788.0,左營分局
CE096,左營區,新上里,高雄市左營區大順一路388號,"22.656714,120.304849",1,1125.0,左營分局
CE097,左營區,新上里,高雄市左營區明誠二路359號,"22.66091,120.307962",1,380.0,左營分局
CE098,左營區,新上里,高雄市左營區維新街164號,"22.660453,120.304609",1,521.0,左營分局
CE099,左營區,新上里,高雄市左營區自由二路6巷91號,"22.659167,120.311408",1,655.0,左營分局
CE100,左營區,新上里,高雄市左營區裕誠路427號,"22.665437,120.30631",1,173.0,左營分局
CE101,左營區,新上里,高雄市左營區富國路40號,"22.657979,120.306768",1,941.0,左營分局
CE102,左營區,新上里,高雄市左營區自由二路77號,"22.658844,120.308648",1,312.0,左營分局
CE103,左營區,新上里,高雄市左營區大順一路262號,"22.657033,120.307443",1,675.0,左營分局
CE104,左營區,新上里,高雄市左營區富民路110號,"22.660284,120.305345",1,201.0,左營分局
CE105,左營區,新上里,高雄市左營區大順一路238號,"22.656946,120.307961",2,938.0,左營分局
CE106,左營區,新上里,高雄市左營區明誠二路180號,"22.661117,120.310154",2,2027.0,左營分局
CE107,左營區,新上里,高雄市左營區光興街62號,"22.660442,120.310297",1,2162.0,左營分局
CE108,左營區,新上里,高雄市左營區明誠二路251號,"22.660845,120.309815",2,1004.0,左營分局
CE109,左營區,新上里,高雄市左營區自由二路111號B1樓,"22.659278,120.308519",1,1619.0,左營分局
CE110,左營區,新上里,高雄市左營區德威街12號二樓,"22.662371,120.307562",1,645.0,左營分局
CE111,左營區,新上里,高雄市左營區裕誠路441號,"22.665507,120.305831",1、2,351.0,左營分局
CE112,左營區,新上里,高雄市左營區自由二路331號,"22.664556,120.308126",1,846.0,左營分局
CE113,左營區,新上里,高雄市左營區嘉慶街15號,"22.658877,120.307633",1、2,749.0,左營分局
CE114,左營區,新上里,高雄市左營區明華一路153號B1樓,"22.662742,120.307689",1,616.0,左營分局
CE115,左營區,新上里,高雄市左營區至聖路285號,"22.659466,120.304291",2,761.0,左營分局
CE116,左營區,新上里,高雄市左營區忠言路113號,"22.658156,120.305685",2,1135.0,左營分局
CE117,左營區,新上里,高雄市左營區至聖路15號,"22.659514,120.311234",2,506.0,左營分局
CE118,左營區,新上里,高雄市左營區自由二路168號,"22.662566,120.30869",1,224.0,左營分局
CE119,左營區,新上里,高雄市左營區明誠二路249號,"22.660838,120.309929",1,1588.0,左營分局
CE120,左營區,新上里,高雄市左營區富民路331號,"22.664928,120.304725",2,1125.0,左營分局
CE121,左營區,新下里,高雄市左營區立信路286號,"22.668583,120.304413",2,929.0,左營分局
CE122,左營區,新上里,高雄市左營區明華一路19號,"22.662337,120.310284",1,1074.0,左營分局
CE123,左營區,新上里,高雄市左營區明華一路225號,"22.662818,120.305492",2,983.0,左營分局
CE124,左營區,新上里,高雄市左營區博愛二路102號,"22.658642,120.303338",3,1173.0,左營分局
CE125,左營區,新上里,高雄市左營區修明街121號二樓之1,"22.660294,120.30385",2,408.0,左營分局
CE126,左營區,新上里,高雄市左營區明華一路287號,"22.66287,120.303928",2,3856.0,左營分局
CE127,左營區,新下里,高雄市左營區立信路218號二樓,"22.667117,120.304428",1,579.0,左營分局
CE128,左營區,新上里,高雄市左營區明華一路222號,"22.663094,120.305374",3,922.0,左營分局
CE129,左營區,新上里,高雄市左營區至聖路181號,"22.659465,120.306955",1、2,2536.0,左營分局
CE130,左營區,新上里,高雄市左營區至聖路218號,"22.659775,120.306319",2,1621.0,左營分局
CE131,左營區,新上里,高雄市左營區明華一路258號二樓之1,"22.66326,120.304511",1,1025.0,左營分局
CE132,左營區,新上里,高雄市左營區保靖街63號二樓,"22.663612,120.305563",1,326.0,左營分局
CE133,左營區,新上里,高雄市左營區富民路366號,"22.665215,120.305496",3,1113.0,左營分局
CE134,左營區,新上里,高雄市左營區保靖街3號,"22.663563,120.307328",2,544.0,左營分局
CE135,左營區,新上里,高雄市左營區博愛二路260號,"22.661714,120.303386",1,407.0,左營分局
CE136,左營區,新上里,高雄市左營區安吉街422號,"22.665139,120.306172",1,601.0,左營分局
CE137,左營區,新上里,高雄市左營區明華一路132號,"22.66307,120.307291",2,1023.0,左營分局
CE138,左營區,新上里,高雄市左營區明華一路116號,"22.663004,120.307997",1、2,588.0,左營分局
CE139,左營區,新上里,高雄市左營區忠言路30號,"22.658522,120.307721",2,1725.0,左營分局
CE140,左營區,新上里,高雄市左營區新庄仔路772號,"22.668137,120.311743",1,294.0,左營分局
CE141,左營區,新下里,高雄市左營區立信路296號,"22.669053,120.304404",1,129.0,左營分局
CE142,左營區,新上里,高雄市左營區至聖路288號,"22.659789,120.304354",1,862.0,左營分局
CE143,左營區,新上里,高雄市左營區立信路181號,"22.666584,120.304497",1,433.0,左營分局
CE144,左營區,新上里,高雄市左營區太華街61號二樓,"22.657463,120.307298",1,234.0,左營分局
CE145,左營區,新上里,高雄市左營區博愛二路250號,"22.661394,120.303445",1、2、3、4、5,1075.0,左營分局
CE146,左營區,新上里,高雄市左營區正心街85號,"22.664995,120.30399",1、2,240.0,左營分局
CE147,左營區,新上里,高雄市左營區新上里12鄰辛亥路250號,"22.665378,120.310258",4,2217.0,左營分局
CE148,左營區,新上里,高雄市左營區至聖路257號,"22.659452,120.304846",3,1403.0,左營分局
CE149,左營區,新上里,高雄市左營區明華一路162號,"22.663083,120.306931",1,671.0,左營分局
CE150,左營區,新上里,高雄市左營區忠言路37號,"22.658159,120.307677",3,1793.0,左營分局
CE151,左營區,新上里,高雄市左營區辛亥路253號,"22.666336,120.31017",1、2,954.0,左營分局
CE152,左營區,新上里,高雄市左營區保靖街55號,"22.663603,120.305924",1、2、3,710.0,左營分局
CE153,左營區,新上里,高雄市左營區博愛二路20號,"22.656832,120.303458",1,447.0,左營分局
CE154,左營區,新上里,高雄市左營區大順一路408號二樓,"22.656607,120.304278",1、2,966.0,左營分局
CE155,左營區,新上里,高雄市左營區博愛二路150號,"22.65913,120.303335",1、2、3,789.0,左營分局
CE157,左營區,新下里,高雄市左營區崇德路801號,"22.677828,120.300129",1,4639.0,左營分局
CE158,左營區,新下里,高雄市左營區華夏路276號,"22.670888,120.297282",1,137.0,左營分局
CE159,左營區,新下里,高雄市左營區新莊一路137號,"22.673183,120.297832",1,606.0,左營分局
CE160,左營區,新下里,高雄市左營區南屏路260號,"22.669454,120.29785",1,437.0,左營分局
CE161,左營區,新下里,高雄市左營區南屏路352號,"22.66785338505788, 120.29954749772855",1,847.0,左營分局
CE162,左營區,新下里,高雄市左營區華夏路403號,"22.673434,120.29794",1、2,2743.0,左營分局
CF160,左營區,新光里,高雄市左營區新庄仔路161號,"22.671392,120.30323",2,803.0,左營分局
CE164,左營區,新下里,高雄市左營區南屏路217號,"22.670138,120.297383",1,96.0,左營分局
CE165,左營區,新下里,高雄市左營區新莊一路25號,"22.674294,120.296318",2,1246.0,左營分局
CE166,左營區,新下里,高雄市左營區新莊一路393號B1樓,"22.670966,120.302572",2,954.0,左營分局
CE167,左營區,新下里,高雄市左營區華夏路256號,"22.67049,120.297047",1,165.0,左營分局
CE168,左營區,新下里,高雄市左營區博愛二路642號,"22.66914479,120.303655267347",1,74.0,左營分局
CE169,左營區,新下里,高雄市左營區新莊一路242號,"22.671862,120.29898",1,379.0,左營分局
CE170,左營區,新下里,高雄市左營區南屏路293巷18號,"22.669018,120.299341",1,56.0,左營分局
CE171,左營區,新下里,高雄市左營區南屏路293巷22號,"22.669239,120.299666",1,1045.0,左營分局
CE172,左營區,新下里,高雄市左營區博愛二路418號,"22.666544,120.303575",1、2,2213.0,左營分局
CE173,左營區,新下里,高雄市左營區新莊一路212號,"22.671679,120.298401",1、2,1997.0,左營分局
CE174,左營區,新下里,高雄市左營區南屏路330號,"22.668088,120.299122",2,1084.0,左營分局
CE175,左營區,新下里,高雄市左營區南屏路309號,"22.668088,120.299122",1,943.0,左營分局
CE176,左營區,新下里,高雄市左營區博愛二路426號,"22.66691,120.303597",3,754.0,左營分局
CE177,左營區,新上里,高雄市左營區博愛二路368號B1樓,"22.665488,120.303551",2,1835.0,左營分局
CE178,左營區,新下里,高雄市左營區博愛二路458號,"22.667632,120.303611",1,1156.0,左營分局
CE179,左營區,新下里,高雄市左營區新莊一路170號,"22.672193,120.298355",3,1782.0,左營分局
CE180,左營區,新下里,高雄市左營區南屏路410號,"22.66671,120.299877",1,2441.0,左營分局
CE181,左營區,新下里,高雄市左營區新莊一路377號,"22.67099,120.301935",4,1561.0,左營分局
CE182,左營區,新下里,高雄市左營區博愛二路576號,"22.667764,120.303599",4,1574.0,左營分局
CE183,左營區,新下里,高雄市左營區南屏路205號,"22.670397,120.297132",1,102.0,左營分局
CE184,左營區,新上里,高雄市左營區博愛二路350號,"22.664342,120.303631",1,584.0,左營分局
CE185,左營區,新下里,高雄市左營區南屏路1號,"22.672457,120.295103",1,2279.0,左營分局
CE186,左營區,新下里,高雄市左營區新榮街151號,"22.672229,120.299233",1,550.0,左營分局
CE187,左營區,新下里,高雄市左營區新莊一路195號,"22.672229,120.299233",1,1237.0,左營分局
CE188,左營區,新下里,高雄市左營區新榮街53號,"22.668533,120.300521",2,1284.0,左營分局
CE189,左營區,新下里,高雄市左營區新莊一路288號,"22.67105,120.300186",2,1186.0,左營分局
CE190,左營區,新下里,高雄市左營區新榮街161號,"22.670273,120.301783",1、2,892.0,左營分局
CE191,左營區,新下里,高雄市左營區博愛二路767號,"22.669978,120.303129",3,31069.0,左營分局
CE192,左營區,新下里,高雄市左營區新南街90號,"22.672443,120.297148",1、2、3,1060.0,左營分局
CE193,左營區,新下里,高雄市左營區華夏路347號,"22.67207,120.297597",3,1025.0,左營分局
CE194,左營區,新下里,高雄市左營區新下里南屏路102號,"22.670608,120.296291",1,546.0,左營分局
CE195,左營區,新下里,高雄市左營區南屏路261之1號,"22.669288,120.298433",1、2,670.0,左營分局
CE196,左營區,新下里,高雄市左營區新榮街125號二樓,"22.669549,120.300984",1,2831.0,左營分局
CE197,左營區,新下里,高雄市左營區新榮街85號二樓,"22.668937,120.300693",1,2811.0,左營分局
CE198,左營區,新下里,高雄市左營區南屏路266號,"22.669271,120.298066",1,1149.0,左營分局
CE199,左營區,新下里,高雄市左營區新莊一路71號,"22.673646,120.297154",1,1085.0,左營分局
CE200,左營區,新下里,高雄市左營區新莊一路9號,"22.674758,120.296064",1、2、3,579.0,左營分局
CE201,左營區,新上里,高雄市左營區博愛二路50號,"22.657166,120.30342",1、2、3、4,1081.0,左營分局
CE202,左營區,新中里,高雄市左營區博愛三路12號,"22.670936,120.304056",1、3,3753.0,左營分局
CE203,左營區,新下里,"高雄市左營區政德路119號
","22.676051084624266, 120.29897376889322",1,682.0,左營分局
CE204,左營區,新中里,"高雄市左營區文德路168號
","22.6703650852378, 120.31201254005805",1,889.0,左營分局
CE205,左營區,新中里,高雄市左營區新庄仔路499巷17弄18之32號,"22.66882363,120.313191279879",1,741.0,左營分局
