類別,電腦編號,村里別,緯經度,地下層數位址,可容納人數,轄管分局,備註
大樓,ENA01051,大園里,"25.06496, 121.19714",1.0,109,大園分局,
大樓大園戶政所,ENA01054,大園里,"25.06785, 121.19584",1.0,304,大園分局,
大樓,ENA01056,大園里,"25.06195, 121.20043",1.0,345,大園分局,
大樓,ENA01072,大園里,"25.0634, 121.19574",2.0,1521,大園分局,
大樓,ENA01067,田心里,"25.0634, 121.19574",1.0,4687,大園分局,
大樓,ENA01063,田心里,"25.06121, 121.19389",1.0,2251,大園分局,
大樓大興高中,ENA01023,田心里,"25.06198, 121.19261",1.0,526,大園分局,
大樓,ENA01060,田心里,"25.05865, 121.1952",1.0,3106,大園分局,
大樓,ENA01069,田心里,"25.05778, 121.19529",1.0,740,大園分局,
大樓,ENA01068,田心里,"25.05753, 121.19695",1.0,4370,大園分局,
大樓,ENA01025,田心里,"25.06546, 121.18836",1.0,52,大園分局,
大樓,ENA01003,田心里,"25.06617, 121.19335",1.0,132,大園分局,
大樓,ENA01002,田心里,"25.06472, 121.19467",1.0,622,大園分局,
大樓,ENA01019,田心里,"25.06476, 121.19299",1.0,101,大園分局,
大樓大園區公所,ENA01066,田心里,"25.06385, 121.19546",1.0,1633,大園分局,
大樓,ENA01020,田心里,"25.06352, 121.19474",1.0,141,大園分局,
大樓,ENA01017,田心里,"25.064, 121.19427",1.0,178,大園分局,
大樓,ENA01016,田心里,"25.06378, 121.19424",1.0,100,大園分局,
公寓,ENA01018,田心里,"25.0634, 121.19574",1.0,484,大園分局,
大樓大園衛生所,ENA01055,田心里,"25.06344, 121.19536",1.0,2482,大園分局,
大樓,ENA01062,和平里,"25.0479, 121.17796",1.0,235,大園分局,
公寓,ENA01045,溪海里,"25.05994, 121.19925",1.0,513,大園分局,
大樓,ENA01044,溪海里,"25.04763, 121.19041",1.0,149,大園分局,
大樓,ENA01070,溪海里,"25.04651, 121.19079",1.0,233,大園分局,
大樓,ENA01061,溪海里,"25.05994, 121.19925",1.0,1723,大園分局,
大樓,ENA01064,溪海里,"25.02708, 121.19458",1.0,900,大園分局,
大樓,ENA01042,溪海里,"25.04777, 121.19043",1.0,85,大園分局,
大樓,ENA01043,溪海里,"25.04651, 121.19079",1.0,198,大園分局,
大樓大園消防隊,ENA01033,橫峰里,"25.06137, 121.20112",1.0,181,大園分局,
大樓,ENA01058,橫峰里,"25.05928, 121.20121",1.0,816,大園分局,
大樓大園國小,ENA01028,橫峰里,"25.05908, 121.20267",1.0,730,大園分局,
大樓大園國小,ENA01029,橫峰里,"25.05908, 121.20267",1.0,1254,大園分局,
大樓,ENA01059,橫峰里,"25.05892, 121.20123",1.0,1891,大園分局,
大樓,ENA01032,青山里,"25.03227, 121.21201",1.0,32,大園分局,
大樓,ENA01034,青山里,"25.03104, 121.21216",1.0,244,大園分局,
大樓,ENA01037,青峰里,"25.02649, 121.21336",1.0,360,大園分局,
大樓,ENA01040,青山里,"25.02169, 121.2127",1.0,121,大園分局,
大樓,ENA01065,橫峰里,"25.06147, 121.203",1.0,264,大園分局,
大樓,ENA01071,青山里,"25.01824, 121.21036",2.0,821,大園分局,
大樓,ENA03016,五權里,"25.0634, 121.19574",1.0,420,大園分局,
大樓,ENA03007,五權里,"25.01707, 121.23182",1.0,682,大園分局,
大樓,ENA03014,五權里,"25.02039, 121.22641",1.0,805,大園分局,
大樓,ENA03020,五權里,"25.00635, 121.22582",1.0,11828,大園分局,
大樓,ENA03021,五權里,"25.00635, 121.22582",1.0,11063,大園分局,
大樓,ENA03015,五權里,"25.00699, 121.22579",1.0,12969,大園分局,
大樓,ENA03017,五權里,"25.01067, 121.22909",1.0,280,大園分局,
大樓,ENA03010,五權里,"25.02459, 121.23307",1.0,146,大園分局,
大樓,ENA03011,五權里,"25.02459, 121.23307",1.0,322,大園分局,
大樓,ENA03024,五權里,"25.01205, 121.22574",1.0,193,大園分局,
大樓,ENA03025,五權里,"25.01373, 121.2327",1.0,1368,大園分局,
大樓,ENA03008,五權里,"25.02054, 121.23663",1.0,168,大園分局,
公寓,ENA03027,五權里,"25.02045, 121.2357",1.0,477,大園分局,
公寓,ENA03009,五權里,"25.02577, 121.23629",1.0,3822,大園分局,
大樓,ENA03026,五權里,"25.00754, 121.22559",1.0,1689,大園分局,
公寓,ENA03028,五權里,"25.01461, 121.23066",1.0,345,大園分局,
公寓,ENA03004,埔心里,"25.05425, 121.22423",1.0,1204,大園分局,
大樓,ENA03003,埔心里,"25.05775, 121.21223",1.0,2809,大園分局,
公寓,ENA03006,埔心里,"25.03364, 121.23355",1.0,4294,大園分局,
公寓,ENA03005,埔心里,"25.03832, 121.22812",1.0,181,大園分局,
公寓,ENA05007,三石里,"25.072, 121.25733",1.0,114,大園分局,
公寓,ENA05006,三石里,"25.07059, 121.25759",1.0,502,大園分局,
公寓,ENA05005,三石里,"25.07105, 121.2578",1.0,1644,大園分局,
大樓,ENA05015,菓林里,"25.07598, 121.25801",3.0,2720,大園分局,
公寓,ENA05004,菓林里,"25.07177, 121.25693",1.0,956,大園分局,
大樓,ENA05010,菓林里,"25.07743, 121.26257",1.0,3884,大園分局,
公寓,ENA05011,菓林里,"25.07177, 121.25693",1.0,2492,大園分局,
公寓,ENA05012,菓林里,"25.07537, 121.26405",1.0,2253,大園分局,
公寓,ENA05001,菓林里,"25.0732, 121.25716",1.0,6026,大園分局,
公寓,ENA05003,菓林里,"25.07743, 121.26257",1.0,401,大園分局,
公寓,ENA05002,菓林里,"25.07678, 121.26205",1.0,304,大園分局,
大樓,ENA05013,菓林里,"25.07537, 121.26405",3.0,2344,大園分局,
大樓,ENA05014,菓林里,"25.07518, 121.26061",3.0,2323,大園分局,
公寓菓林國小,ENA05008,菓林里,"25.0775, 121.26171",1.0,1513,大園分局,
大樓,ENA05009,菓林里,"25.07634, 121.26105",1.0,1768,大園分局,
公寓,ENA02003,沙崙里,"25.10019, 121.21275",1.0,57,大園分局,
大樓,ENA02004,沙崙里,"25.10019, 121.21275",1.0,97,大園分局,
公寓,ENA02005,海口里,"25.10444, 121.24634",1.0,1405,大園分局,
公寓,ENA02006,海口里,"25.10856, 121.24963",1.0,1714,大園分局,
大樓,ENA04072,內海里,"25.05646, 121.21708",1.0,2123,大園分局,
大樓,ENA04033,內海里,"25.0634, 121.19574",1.0,1324,大園分局,
大樓,ENA04036,內海里,"25.07574, 121.18751",1.0,633,大園分局,
大樓,ENA04038,內海里,"25.07391, 121.1892",1.0,256,大園分局,
公寓,ENA04039,內海里,"25.07391, 121.1892",1.0,517,大園分局,
公寓,ENA04040,內海里,"25.07605, 121.18575",1.0,6262,大園分局,
大樓,ENA04041,內海里,"25.0769, 121.18474",1.0,297,大園分局,
大樓,ENA04042,內海里,"25.07672, 121.18568",1.0,1178,大園分局,
大樓,ENA04043,內海里,"25.07737, 121.186",1.0,301,大園分局,
大樓,ENA04051,內海里,"25.08097, 121.18385",1.0,874,大園分局,
大樓,ENA04052,內海里,"25.07794, 121.18842",1.0,505,大園分局,
公寓,ENA04053,內海里,"25.0735, 121.1911",1.0,182,大園分局,
大樓,ENA04048,內海里,"25.07593, 121.18335",1.0,505,大園分局,
公寓,ENA04044,內海里,"25.07663, 121.18357",1.0,133,大園分局,
大樓,ENA04002,北港里,"25.07712, 121.1757",1.0,144,大園分局,
大樓,ENA04013,北港里,"25.07401, 121.17672",1.0,156,大園分局,
大樓,ENA04014,北港里,"25.07464, 121.17681",1.0,156,大園分局,
大樓,ENA04015,北港里,"25.07775, 121.17596",1.0,913,大園分局,
大樓,ENA04003,北港里,"25.0672, 121.17969",1.0,124,大園分局,
大樓,ENA04005,北港里,"25.06847, 121.17908",1.0,6721,大園分局,
大樓,ENA04006,北港里,"25.06847, 121.17908",1.0,1498,大園分局,
大樓,ENA04008,北港里,"25.07355, 121.17654",1.0,112,大園分局,
大樓,ENA04009,北港里,"25.07355, 121.17654",1.0,469,大園分局,
大樓,ENA04025,北港里,"25.07311, 121.17439",1.0,1248,大園分局,
大樓,ENA04020,北港里,"25.0726, 121.17843",1.0,100,大園分局,
公寓,ENA40470,圳頭里,"25.07125, 121.20358",1.0,1062,大園分局,
公寓,ENA04027,圳頭里,"25.07088, 121.20485",1.0,989,大園分局,
公寓,ENA40466,圳頭里,"25.09264, 121.20366",1.0,120,大園分局,
大樓,ENA04065,圳頭里,"25.09245, 121.2034",1.0,5644,大園分局,
大樓,ENA40467,圳頭里,"25.0934, 121.19671",1.0,112,大園分局,
大樓,ENA40468,圳頭里,"25.0934, 121.19671",1.0,98,大園分局,
大樓,ENA04060,南港里,"25.05323, 121.16697",1.0,4174,大園分局,
大樓,ENA04076,南港里,"25.05239, 121.16652",2.0,1998,大園分局,
大樓,ENA04058,南港里,"25.0579, 121.16817",1.0,36,大園分局,
大樓,ENA04059,南港里,"25.05316, 121.16559",1.0,178,大園分局,
大樓,ENA04030,南港里,"25.05316, 121.16559",1.0,262,大園分局,
大樓,ENA04031,南港里,"25.05125, 121.17453",1.0,254,大園分局,
大樓,ENA04063,南港里,"25.04456, 121.17083",1.0,6602,大園分局,
