電腦編號,建築物名稱,鄉鎮市區,村里別,地址,地下樓層,可容納人數,轄管分局
XX0043," 台灣電信管理局"," 新興區",開平里,高雄市新興區錦田路142號,1,240.2,新興分局
XX0047," 大樓"," 新興區",榮治里,高雄市新興區大同一路179號,1,356.97,新興分局
XX0049," 大樓"," 新興區",振成里,高雄市新興區五福二路147號,1,329.87,新興分局
XX0057," 高雄郵局"," 新興區",東坡里,高雄市新興區中正三路179號,1,1661.92,新興分局
XX0058," 大樓"," 新興區",順昌里,高雄市新興區七賢一路100號,1,352.86,新興分局
XX0059," 大樓"," 新興區",明莊里,高雄市新興區中山一路117號,1,489.959,新興分局
QJ0015," 大樓"," 前金區",新生里,高雄市前金區市中一路242號,1,347.39,新興分局
QJ0018," 大樓"," 前金區",長城里,高雄市前金區新盛一街9號地下室,2,513.18,新興分局
QJ0022," 大樓"," 前金區",國民里,高雄市前金區大同二路131號,1,265.67,新興分局
XX0097," 大樓"," 新興區",新江里,高雄市新興區中山一路300號,1,78.17,新興分局
QJ0023," 大樓"," 前金區",青山里,高雄市前金區中正四路105號,1,282.67,新興分局
XX0103," 大樓"," 新興區",新江里,高雄市新興區八德一路316號,2,1021.31,新興分局
XX0104," 大樓"," 新興區",新江里,高雄市新興區林森一路267號,2,1029.29,新興分局
XX0105," 大樓"," 新興區",大明里,高雄市新興區南台路16號,1,475.38,新興分局
XX0114," 大樓"," 新興區",建華里,高雄市新興區自立一路66之16號,2,1206.12,新興分局
XX0115," 大樓"," 新興區",成功里,高雄市新興區六合一路109號,1,187.11,新興分局
QJ0027," 大樓"," 新興區",國民里,高雄市前金區大同二路145號十之6,2,2661.62,新興分局
XX0129," 大樓"," 新興區",新江里,高雄市新興區南華路188號,1,381.54,新興分局
QJ0033," 大樓"," 前金區",草江里,高雄市前金區新盛一街55號,1,274.78,新興分局
QJ0034," 大樓"," 前金區",青山里,高雄市前金區中正四路99號,2,890.18,新興分局
XX0135," 透天"," 新興區",浩然里,高雄市新興區五福二路3號,1,472.5,新興分局
XX0136," 透天"," 新興區",中東里,高雄市新興區七賢一路393號,1,250,新興分局
QJ0036," 透天"," 前金區",博孝里,高雄市前金區五福三路122號,1,686.8,新興分局
XX0141," 大樓"," 新興區",中東里,高雄市新興區六合一路90號,1,207.9,新興分局
XX0143," 大樓"," 新興區",南港里,高雄市新興區林森一路242號,2,1344.55,新興分局
XX0144," 大樓"," 新興區",順昌里,高雄市新興區七賢一路75號,1,206.98,新興分局
XX0152," 大樓"," 新興區",玉衡里,高雄市新興區文橫一路17號,1,636.24,新興分局
XX0171," 大樓"," 新興區",中東里,高雄市新興區七賢一路301號,1,860.03,新興分局
XX0183," 大樓"," 新興區",建華里,高雄市新興區八德二路94號,1,228.09,新興分局
QJ0073," 大樓"," 前金區",長生里,高雄市前金區中華三路17號,1,243.52,新興分局
XX0188," 大樓"," 新興區",中東里,高雄市新興區六合一路92號,2,503.61,新興分局
XX0201," 大樓"," 新興區",興昌里,高雄市新興區七賢一路225號,2,619.63,新興分局
QJ0096," 大樓"," 前金區",新生里,高雄市前金區七賢二路254號,1,229.79,新興分局
XX0227," 大樓"," 新興區",德生里,高雄市新興區五福一路142號地下室,1,1200.67,新興分局
XX0228," 大樓"," 新興區",建華里,高雄市新興區南台橫路31號,1,438.13,新興分局
XX0229," 大樓"," 新興區",秋山里,高雄市新興區民主路16號,2,701.03,新興分局
XX0231," 大樓"," 新興區",中東里,高雄市新興區復興一路72號,1,275.87,新興分局
XX0237," 大樓"," 新興區",順昌里,高雄市新興區七賢一路73號,1,313.55,新興分局
XX0238," 大樓"," 新興區",永寧里,高雄市新興區五福二路146號,1,573.97,新興分局
XX0242," 大樓"," 新興區",文昌里,高雄市新興區中正二路218號,1,539.82,新興分局
XX0243," 大樓"," 新興區",文昌里,高雄市新興區和平一路215之4號,1,594.4,新興分局
XX0244," 大樓"," 新興區",德生里,高雄市新興區五福二路14號,1,168.04,新興分局
XX0257," 大樓"," 新興區",振成里,高雄市新興區文化路53號,1,510.28,新興分局
QJ0113," 大樓"," 前金區",長城里,高雄市前金區新盛一街12號,1,261.35,新興分局
QJ0114," 大樓"," 前金區",新生里,高雄市前金區七賢二路394號,1,667.66,新興分局
QJ0115," 大樓"," 前金區",文東里,高雄市前金區中山二路575號,1,1161.15,新興分局
QJ0135," 大樓"," 前金區",榮復里,高雄市前金區成功一路286號,1,318.4,新興分局
XX0288," 大樓"," 新興區",東坡里,高雄市新興區林森一路163號,1,1299.99,新興分局
