類別,電腦編號,村里別,地址,地下樓層數,可容納人數,派出所,備註,經度,緯度
大樓,D101000003,自強里,新北市板橋區自強新村82號,1,80.0,板橋派出所,,121.45433,25.012807
大樓,D101000004,自強里,新北市板橋區自強新村73-1號,1,65.0,板橋派出所,,121.45471,25.012911
大樓,D101000005,自強里,新北市板橋區自強新村78-1號,1,50.0,板橋派出所,,121.45474,25.012685
大樓,D101000009,自強里,新北市板橋區自強新村22-77號,1,69.0,板橋派出所,,121.45482,25.0143
大樓,D101000010,自強里,新北市板橋區自強新村57號,1,50.0,板橋派出所,,121.45458,25.013522
大樓,D101000011,自強里,新北市板橋區自強新村72號,1,82.0,板橋派出所,,121.45413,25.013221
公寓,D101000012,流芳里,新北市板橋區大東街33號,1,100.0,板橋派出所,,121.45657,25.008662
公寓,D101000013,流芳里,新北市板橋區大東街8號,1,33.0,板橋派出所,,121.456501,25.009327
公寓,D101000014,光華里,新北市板橋區光華街21-23號,1,49.0,板橋派出所,,121.453827,25.012395
公寓,D101000015,自強里,新北市板橋區自強新村75-1號,1,68.0,板橋派出所,,121.4543,25.012984
公寓,D101000016,自強里,新北市板橋區自強新村58號,1,49.0,板橋派出所,,121.454427,25.01355
公寓,D101000017,光華里,新北市板橋區光華街1巷18號,1,22.0,板橋派出所,,121.453387,25.011093
公寓,D101000018,光華里,新北市板橋區光華街15巷32號,1,42.0,板橋派出所,,121.453148,25.011707
大樓,D101000019,自強里,新北市板橋區自強新村45-46號,1,212.0,板橋派出所,,121.454173,25.014378
公寓,D101000020,自強里,新北市板橋區自強新村52號,1,73.0,板橋派出所,,121.45453,25.013694
大樓,D101000021,自強里,新北市板橋區自強新村45號,1,212.0,板橋派出所,,121.454746,25.013933
公寓,D101000022,自強里,新北市板橋區自強新村63號,1,56.0,板橋派出所,,121.45457,25.013288
公寓,D101000023,自強里,新北市板橋區自強新村67號,1,60.0,板橋派出所,,121.453976,25.013383
公寓,D101000024,自強里,新北市板橋區自強新村74號,1,109.0,板橋派出所,,121.454564,25.012946
公寓,D101000025,流芳里,新北市板橋區大東街26號,1,72.0,板橋派出所,,121.456495,25.009019
公寓,D101000026,新興里,新北市板橋區南雅東路100巷19號,1,112.0,板橋派出所,,121.454067,25.007578
公寓,D101000028,自強里,新北市板橋區自強新村53號,1,136.0,板橋派出所,,121.454349,25.013731
公寓,D101000029,香雅里,新北市板橋區南雅西路二段247號,1,118.0,板橋派出所,,121.451543,25.014532
公寓,D101000030,光榮里,新北市板橋區南雅西路二段102-106號,1,116.0,板橋派出所,,121.45231,25.011795
公寓,D101000032,香社里,新北市板橋區中正路275巷79弄13號,1,202.0,板橋派出所,,121.45209,25.017501
大樓,D101000033,自強里,新北市板橋區自強新村76號,1,56.0,板橋派出所,,121.45421,25.012975
公寓,D101000034,自強里,新北市板橋區自強新村62號,1,64.0,板橋派出所,,121.454709,25.013277
公寓,D101000035,自強里,新北市板橋區自強新村88號,1,114.0,板橋派出所,,121.454327,25.012558
公寓,D101000036,光華里,新北市板橋區光華街13巷2-4號,1,85.0,板橋派出所,,121.454122,25.01182103
公寓,D101000037,自強里,新北市板橋區自強新村95號,1,89.0,板橋派出所,,121.45548,25.013232
公寓,D101000038,光華里,新北市板橋區光華街15巷3-5號,1,93.0,板橋派出所,,121.4538804,25.01192117
公寓,D101000039,新興里,新北市板橋區南雅南路一段3巷24號,1,106.0,板橋派出所,,121.45633,25.005966
公寓,D101000040,自強里,新北市板橋區自強新村66號,1,65.0,板橋派出所,,121.45414,25.013382
大樓,D101000041,自強里,新北市板橋區自強新村66號,1,65.0,板橋派出所,,121.45414,25.013382
公寓,D101000042,光華里,新北市板橋區南雅西路二段96號,1,84.0,板橋派出所,,121.45244,25.011385
大樓,D101000044,自強里,新北市板橋區自強新村42號,1,106.0,板橋派出所,,121.45524,25.013872
公寓,D101000045,香社里,新北市板橋區中正路275巷71弄1-12號,1,286.0,板橋派出所,,121.45269,25.017708
公寓,D101000046,新興里,新北市板橋區中興路50號,1,13.0,板橋派出所,,121.45504,25.007494
公寓,D101000047,新興里,新北市板橋區中興路56號,1,78.0,板橋派出所,,121.45494,25.007406
公寓,D101000048,光華里,新北市板橋區光華街19巷70號,1,37.0,板橋派出所,,121.45287,25.011957
公寓,D101000049,自立里,新北市板橋區大智街71巷8弄14-18號,1,149.0,板橋派出所,,121.45293,25.015482
公寓,D101000050,香雅里,新北市板橋區南雅西路二段301巷39號,1,34.0,板橋派出所,,121.45174,25.016471
公寓,D101000051,新興里,新北市板橋區中興路60號,1,82.0,板橋派出所,,121.45488,25.007339
公寓,D101000052,新興里,新北市板橋區中興路48號,1,78.0,板橋派出所,,121.4551,25.007526
公寓,D101000053,新興里,新北市板橋區中興路58號,1,78.0,板橋派出所,,121.454907,25.007366
公寓,D101000054,香雅里,新北市板橋區南雅西路二段301巷41弄11-17號,1,182.0,板橋派出所,,121.451545,25.017052
公寓,D101000055,香社里,新北市板橋區大勇街9巷49-55號,1,256.0,板橋派出所,,121.454031,25.016688
公寓,D101000056,光華里,新北市板橋區光華街4-6號,1,148.0,板橋派出所,,121.45427,25.011375
公寓,D101000057,自強里,新北市板橋區自強新村79號,1,52.0,板橋派出所,,121.45459,25.012809
大樓,D101000058,漢生里,新北市板橋區光正街12號,1,240.0,板橋派出所,,121.463032,25.017171
公寓,D101000059,流芳里,新北市板橋區館前西路139號,1,852.0,板橋派出所,,121.45636,25.00776
公寓,D101000061,光華里,新北市板橋區光華街13巷29弄5號,1,52.0,板橋派出所,,121.453177,25.010966
公寓,D101000063,自立里,新北市板橋區大智街61號,1,352.0,板橋派出所,,121.453913,25.015435
公寓,D101000064,新興里,新北市板橋區南雅南路一段15號,1,49.0,板橋派出所,,121.456471,25.00697
公寓,D101000065,湳興里,新北市板橋區南雅西路二段7巷20-22號,1,72.0,板橋派出所,,121.452235,25.00965
公寓,D101000066,新興里,新北市板橋區館前西路興義巷3-9號,1,326.0,板橋派出所,,121.454942,25.008183
大樓,D101000067,社後里,新北市板橋區中正路313號,1,609.0,板橋派出所,,121.45508,25.019803
公寓,D101000068,新興里,新北市板橋區南雅南路一段1巷15-23號,1,78.0,板橋派出所,,121.45718,25.006957
大樓,D101000069,新興里,新北市板橋區南雅南路一段3號,1,48.0,板橋派出所,,121.456576,25.00719
公寓,D101000071,新興里,新北市板橋區中興路40號,1,109.0,板橋派出所,,121.455162,25.007625
公寓,D101000072,新興里,新北市板橋區中興路26-28號,1,121.0,板橋派出所,,121.45536,25.007798
公寓,D101000073,新興里,新北市板橋區中興路22-24號,1,58.0,板橋派出所,,121.45541,25.00785
公寓,D101000074,光華里,新北市板橋區西門街18-25號,1,20.0,板橋派出所,,121.4546,25.011366
公寓,D101000077,光華里,新北市板橋區光華街15巷20號,1,50.0,板橋派出所,,121.45342,25.011758
公寓,D101000078,湳興里,新北市板橋區南雅西路二段81-83號,1,96.0,板橋派出所,,121.45263,25.01018
公寓,D101000079,光華里,新北市板橋區光華街24巷4號,1,102.0,板橋派出所,,121.454279,25.012219
公寓,D101000080,光華里,新北市板橋區光華街13巷36-38號,1,344.0,板橋派出所,,121.45295,25.011332
公寓,D101000081,香雅里,新北市板橋區南雅西路二段273巷14號,1,116.0,板橋派出所,,121.45143,25.015316
公寓,D101000082,香雅里,新北市板橋區南雅西路二段287巷15號,1,116.0,板橋派出所,,121.45146,25.015526
公寓,D101000083,光華里,新北市板橋區南雅西路二段80-82號,1,110.0,板橋派出所,,121.45261,25.010837
公寓,D101000084,光榮里,新北市板橋區南雅西路二段110巷42號,1,52.0,板橋派出所,,121.45282,25.01337
公寓,D101000085,光華里,新北市板橋區光華街15巷37-39號,1,149.0,板橋派出所,,121.45289,25.011509
公寓,D101000086,新興里,新北市板橋區南雅南路一段1巷26-28號,1,76.0,板橋派出所,,121.45708,25.006719
公寓,D101000087,光華里,新北市板橋區光華街15巷42號,1,62.0,板橋派出所,,121.45279,25.011621
公寓,D101000088,自立里,新北市板橋區大智街71巷8弄2號,1,97.0,板橋派出所,,121.45335,25.015283
大樓,D101000089,光華里,新北市板橋區南雅西路二段2-1號,1,677.0,板橋派出所,,121.45322,25.008953
公寓,D101000090,光華里,新北市板橋區光華街15巷45號,1,36.0,板橋派出所,,121.45262,25.011443
大樓,D101000091,新興里,新北市板橋區館前西路207號,1,440.0,板橋派出所,,121.4548,25.008333
公寓,D101000092,新興里,新北市板橋區南興路38號,1,40.0,板橋派出所,,121.45458,25.007583
大樓,D101000093,留侯里,新北市板橋區府中路171號,1,2069.0,板橋派出所,,121.45482,25.009207
公寓,D101000094,新興里,新北市板橋區南興路34-36號,1,66.0,板橋派出所,,121.45467,25.007665
公寓,D101000096,新興里,新北市板橋區館前西路213巷7號,1,226.0,板橋派出所,,121.4545,25.008263
公寓,D101000097,光榮里,新北市板橋區光華街39巷13號,1,68.0,板橋派出所,,121.45332,25.013028
公寓,D101000098,光華里,新北市板橋區光華街13巷29號,1,49.0,板橋派出所,,121.4531,25.011236
大樓,D101000099,漢生里,新北市板橋區文化路一段215-217號,1,268.0,板橋派出所,,121.46348,25.017092
公寓,D101000100,新興里,新北市板橋區南雅南路一段5巷19號,1,94.0,板橋派出所,,121.4564,25.005467
公寓,D101000101,香雅里,新北市板橋區南雅西路二段301巷9號,1,46.0,板橋派出所,,121.45173,25.015829
公寓,D101000102,光榮里,新北市板橋區光華街19巷20-22號,1,145.0,板橋派出所,,121.45355,25.012399
公寓,D101000104,黃石里,新北市板橋區文化路一段25號,1,1213.0,板橋派出所,,121.45909,25.011684
公寓,D101000105,漢生里,新北市板橋區漢生西路21巷4號,1,128.0,板橋派出所,,121.46325,25.017992
公寓,D101000106,流芳里,新北市板橋區大東街30-32號,1,45.0,板橋派出所,,121.45648,25.00894
大樓,D101000107,流芳里,新北市板橋區大東街31號,1,358.0,板橋派出所,,121.4565875,25.00894513
大樓,D101000108,流芳里,新北市板橋區大東街25-27號,1,848.0,板橋派出所,,121.4566,25.008868
大樓,D101000109,湳興里,新北市板橋區南雅西路二段79號,1,18.0,板橋派出所,,121.45268,25.010115
公寓,D101000110,民安里,新北市板橋區民權路202巷7弄23號,1,68.0,板橋派出所,,121.45914,25.014936
公寓,D101000111,民安里,新北市板橋區民權路202巷7弄25號,1,60.0,板橋派出所,,121.45907,25.014951
公寓,D101000112,民安里,新北市板橋區民權路202巷7弄1號,1,52.0,板橋派出所,,121.46002,25.014721
公寓,D101000113,民安里,新北市板橋區民權路202巷1弄9-11號,1,41.0,板橋派出所,,121.45913,25.014348
公寓,D101000114,光華里,新北市板橋區光華街1巷2-8號,1,1310.0,板橋派出所,,121.45398,25.011293
大樓,D101000115,留侯里,新北市板橋區館前西路145號,1,213.0,板橋派出所,,121.45622,25.007874
大樓,D101000117,新興里,新北市板橋區南雅南路一段55號,1,184.0,板橋派出所,,121.45594,25.005988
大樓,D101000118,新興里,新北市板橋區南雅東路8號,3,2462.0,板橋派出所,,121.45517,25.005981
大樓,D101000119,香雅里,新北市板橋區南雅西路二段219-221號,2,257.0,板橋派出所,,121.4515,25.013858
大樓,D101000120,香社里,新北市板橋區大勇街9巷8號,1,1573.0,板橋派出所,,121.45383,25.016675
大樓,D101000121,民安里,新北市板橋區民權路186號,1,458.0,板橋派出所,,121.45932,25.013673
大樓,D101000122,民安里,新北市板橋區民權路252-254號,2,328.0,板橋派出所,,121.4583091,25.0150681
大樓,D101000124,留侯里,新北市板橋區館前西路138號,1,146.0,板橋派出所,,121.4563302,25.00834645
大樓,D101000125,湳興里,新北市板橋區南雅南路一段106號,1,541.0,板橋派出所,,121.4551209,25.00473434
大樓,D101000127,光華里,新北市板橋區南雅西路二段78號,1,660.0,板橋派出所,,121.4527,25.01056
大樓,D101000129,新民里,新北市板橋區文化路一段188巷56號,1,4578.0,板橋派出所,,121.46747,25.018553
大樓,D101000131,漢生里,新北市板橋區文化路一段189號,1,288.0,板橋派出所,,121.46306,25.016555
大樓,D101000132,湳興里,新北市板橋區館前西路275號,1,1556.0,板橋派出所,,121.45271,25.008431
大樓,D101000133,流芳里,新北市板橋區縣民大道一段189號,1,908.0,板橋派出所,,121.45822,25.007458
大樓,D101000134,挹秀里,新北市板橋區明德街15-17號,1,386.0,板橋派出所,,121.45989,25.010624
大樓,D101000135,新興里,新北市板橋區南雅東路22號,1,2070.0,板橋派出所,,121.45449,25.006251
大樓,D101000136,新民里,新北市板橋區文化路一段106號,1,188.0,板橋派出所,,121.464811,25.018163
大樓,D101000137,湳興里,新北市板橋區南雅東路27-1號,1,2622.0,板橋派出所,,121.45459,25.005987
大樓,D101000138,湳興里,新北市板橋區南雅東路1號,1,2569.0,板橋派出所,,121.45549,25.005629
大樓,D101000139,流芳里,新北市板橋區館前西路66號,1,1194.0,板橋派出所,,121.45778,25.007102
大樓,D101000140,新民里,新北市板橋區縣民大道二段3號,1,4466.0,板橋派出所,,121.46191,25.012125
大樓,D101000141,挹秀里,新北市板橋區府中路15號,1,543.0,板橋派出所,,121.459517,25.009505
大樓,D101000143,光榮里,新北市板橋區南雅西路二段142號,1,390.0,板橋派出所,,121.451985,25.013021
大樓,D101000144,漢生里,新北市板橋區光正街67號,1,340.0,板橋派出所,,121.461583,25.018232
大樓,D101000145,新興里,新北市板橋區縣民大道一段111號,1,271.0,板橋派出所,,121.4565667,25.00567477
大樓,D101000146,挹秀里,新北市板橋區府後街2號,1,634.0,板橋派出所,,121.459284,25.010048
大樓,D101000147,黃石里,新北市板橋區北門街13號,2,1916.0,板橋派出所,,121.456922,25.01096
大樓,D101000148,赤松里,新北市板橋區府中路54號,1,1016.0,板橋派出所,,121.45711,25.009649
大樓,D101000149,自強里,新北市板橋區中正路65號,1,1404.0,板橋派出所,,121.45621,25.013784
大樓,D101000150,社後里,新北市板橋區中正路151號,1,2325.0,板橋派出所,,121.4565252,25.01611634
大樓,D101000151,香雅里,新北市板橋區藝文街366號,1,3017.0,板橋派出所,,121.4503357,25.01869589
大樓,D101000152,新興里,新北市板橋區縣民大道一段121號,1,231.0,板橋派出所,,121.456658,25.005647
公寓,D101000153,香社里,新北市板橋區永翠路342號,1,3383.0,板橋派出所,,121.451575,25.02000777
大樓,D101000526,香社里,新北市板橋區中正路275巷79弄10-16號,1,200.0,板橋派出所,,121.45203,25.017776
公寓,D101000530,流芳里,新北市板橋區大東街5號,1,22.0,板橋派出所,,121.456638,25.00937
大樓,D101000531,新興里,新北市板橋區南雅東120號,1,92.0,板橋派出所,,121.4533738,25.00860943
公寓,D101000532,流芳里,新北市板橋區大東街46號,1,17.0,板橋派出所,,121.45629,25.00863207
公寓,D101000539,光華里,新北市板橋區光華街21號,1,49.0,板橋派出所,,121.4538682,25.01250863
公寓,D101000543,光華里,新北市板橋區光華街15巷32號,1,42.0,板橋派出所,,121.4531431,25.01190786
公寓,D101000551,新興里,新北市板橋區南雅東路100巷19號,1,112.0,板橋派出所,,121.4541495,25.00777014
公寓,D101000552,漢生里,新北市板橋區文化路1段221巷28號,1,104.0,板橋派出所,,121.4626984,25.01823312
大樓,D101000564,新興里,新北市板橋區南雅南路1段3巷24號,1,106.0,板橋派出所,,121.4563992,25.00613852
大樓,D101000747,社後里,新北市板橋區中正路107號,1,185.0,板橋派出所,,121.4563522,25.01519109
大樓,D101000883,挹秀里,新北市板橋區民權路85號,1,265.0,板橋派出所,,121.4608357,25.01202436
大樓,D101000884,挹秀里,新北市板橋區府中路67號,1,303.0,板橋派出所,,121.4581767,25.00945629
大樓,D101000885,新興里,新北市板橋區南雅南路1段23號,1,974.0,板橋派出所,,121.4564091,25.00700557
大樓,D101000886,挹秀里,新北市板橋區文化路1段48號,1,1805.0,板橋派出所,,121.4602458,25.01205331
